date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,4,4,-6,-5,-5,6,-1,0,8,297,1020,11,0.0,0.0,11.2,-9,55,2,Morris County,New Jersey
2020-03-02,11,11,-1,3,3,6,5,6,7,203,1015,11,0.1,0.0,11.2,-1,66,3,Morris County,New Jersey
2020-03-03,12,12,3,7,7,3,9,10,7,170,1005,11,9.5,0.0,8.6,8,89,3,Morris County,New Jersey
2020-03-04,10,10,3,3,3,6,6,7,12,267,1007,18,0.2,0.0,11.3,0,67,3,Morris County,New Jersey
2020-03-05,9,9,0,2,2,6,4,6,6,296,1019,9,0.0,0.0,11.3,-3,59,3,Morris County,New Jersey
2020-03-06,7,7,2,1,1,4,4,5,7,80,1012,10,1.3,0.3,7.1,0,74,2,Morris County,New Jersey
2020-03-07,5,5,-2,-3,-3,5,1,2,11,338,1023,15,0.5,0.3,11.4,-6,63,2,Morris County,New Jersey
2020-03-08,11,11,-1,2,2,6,5,7,8,254,1029,13,0.0,0.0,11.4,-4,52,3,Morris County,New Jersey
2020-03-09,16,16,5,9,9,6,10,12,9,243,1027,14,0.0,0.0,11.4,2,58,4,Morris County,New Jersey
2020-03-10,14,14,9,10,10,5,12,12,10,215,1018,16,1.9,0.0,5.9,7,76,3,Morris County,New Jersey
2020-03-11,12,12,2,5,5,6,7,8,6,60,1019,9,0.0,0.0,8.8,-1,60,2,Morris County,New Jersey
2020-03-12,7,7,3,4,4,5,6,6,6,119,1020,9,0.2,0.0,5.9,1,73,2,Morris County,New Jersey
2020-03-13,17,17,6,9,9,6,11,14,13,257,1012,20,3.4,0.0,8.8,6,74,3,Morris County,New Jersey
2020-03-14,9,9,2,2,2,5,5,6,9,307,1027,12,0.5,0.0,11.6,-3,57,3,Morris County,New Jersey
2020-03-15,11,11,1,3,3,5,5,7,6,345,1032,8,0.2,0.4,11.6,-3,58,3,Morris County,New Jersey
2020-03-16,6,6,-1,-1,-1,6,2,4,8,124,1033,11,0.0,0.0,8.8,-6,57,1,Morris County,New Jersey
2020-03-17,9,9,3,3,3,4,6,6,7,237,1023,11,1.2,0.0,6.0,4,89,2,Morris County,New Jersey
2020-03-18,12,12,1,4,4,6,6,8,6,113,1031,8,0.0,0.0,11.6,-2,61,3,Morris County,New Jersey
2020-03-19,8,8,4,5,5,3,7,7,6,72,1024,9,12.8,0.0,6.0,6,94,2,Morris County,New Jersey
2020-03-20,19,19,7,13,13,5,14,16,11,236,1014,17,3.5,0.0,6.1,12,86,4,Morris County,New Jersey
2020-03-21,9,9,0,2,2,6,5,6,9,226,1026,13,0.0,0.0,11.6,-4,52,3,Morris County,New Jersey
2020-03-22,6,6,-2,-2,-2,6,2,3,8,107,1036,11,0.0,0.0,11.6,-8,51,2,Morris County,New Jersey
2020-03-23,2,2,0,-3,-3,4,1,2,10,101,1027,16,15.0,0.4,6.3,0,90,1,Morris County,New Jersey
2020-03-24,8,8,0,1,1,6,4,6,7,344,1020,10,0.0,0.0,10.3,2,84,2,Morris County,New Jersey
2020-03-25,5,5,2,0,0,6,3,4,7,72,1019,10,0.1,0.0,6.3,1,84,1,Morris County,New Jersey
2020-03-26,13,13,1,6,6,6,8,10,5,214,1016,7,0.0,0.0,11.6,2,71,4,Morris County,New Jersey
2020-03-27,15,15,6,9,9,5,10,12,8,340,1012,11,0.6,0.0,10.3,4,66,4,Morris County,New Jersey
2020-03-28,7,7,6,5,5,5,7,7,7,118,1018,11,5.0,0.0,6.4,4,82,2,Morris County,New Jersey
2020-03-29,12,12,8,9,9,3,10,10,6,105,1013,9,2.4,0.0,6.4,9,96,2,Morris County,New Jersey
2020-03-30,12,12,6,7,7,4,8,9,6,250,1012,8,0.6,0.0,6.4,6,85,2,Morris County,New Jersey
2020-03-31,7,7,4,4,4,5,6,6,5,100,1015,7,2.6,0.0,6.4,3,81,2,Morris County,New Jersey
2020-04-01,9,9,2,3,3,6,5,7,7,245,1010,10,0.0,0.0,6.4,0,69,2,Morris County,New Jersey
