date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,-2,-2,-5,-9,-9,6,-2,-2,21,304,1011,28,0.1,0.0,7.0,-7,66,1,Mountrail County,North Dakota
2020-03-02,4,4,-5,-6,-6,5,0,2,17,270,1004,24,0.1,0.0,7.1,-6,63,1,Mountrail County,North Dakota
2020-03-03,4,4,-2,-4,-4,4,0,1,10,291,1004,15,1.6,0.7,5.6,-3,76,1,Mountrail County,North Dakota
2020-03-04,8,8,-1,-2,-2,5,3,5,16,262,1006,24,1.9,0.8,7.1,-3,66,1,Mountrail County,North Dakota
2020-03-05,4,4,0,-3,-3,6,1,2,13,311,1024,18,0.1,0.0,8.6,-4,66,1,Mountrail County,North Dakota
2020-03-06,14,14,-1,2,2,6,5,6,10,186,1018,17,0.0,0.0,11.2,-3,58,3,Mountrail County,North Dakota
2020-03-07,13,13,4,6,6,6,7,8,7,108,1008,12,0.0,0.0,11.3,2,70,3,Mountrail County,North Dakota
2020-03-08,1,1,-4,-4,-4,5,0,1,10,234,1011,13,1.0,0.3,5.7,-2,84,1,Mountrail County,North Dakota
2020-03-09,3,3,-6,-5,-5,6,-2,-2,4,148,1022,6,0.0,0.0,8.6,-9,60,1,Mountrail County,North Dakota
2020-03-10,3,3,-3,-2,-2,5,0,0,4,191,1019,7,0.5,0.2,8.6,-4,75,1,Mountrail County,North Dakota
2020-03-11,12,12,1,2,2,6,6,7,14,268,1005,21,0.4,0.0,7.2,-3,54,2,Mountrail County,North Dakota
2020-03-12,2,2,-1,-6,-6,5,0,0,18,310,1015,23,0.4,0.1,10.1,-8,56,1,Mountrail County,North Dakota
2020-03-13,-2,-2,-7,-11,-11,6,-5,-5,11,346,1030,13,0.0,0.0,11.5,-15,47,2,Mountrail County,North Dakota
2020-03-14,-3,-3,-9,-15,-15,6,-7,-7,17,101,1037,20,0.0,0.0,5.8,-15,53,1,Mountrail County,North Dakota
2020-03-15,-2,-2,-11,-11,-11,1,-6,-5,11,128,1031,14,6.7,5.3,5.8,-6,90,1,Mountrail County,North Dakota
2020-03-16,-3,-3,-8,-12,-12,5,-6,-6,12,285,1028,16,0.2,0.3,10.2,-9,80,1,Mountrail County,North Dakota
2020-03-17,2,2,-9,-8,-8,6,-4,-4,8,145,1020,12,0.0,0.0,11.6,-8,71,2,Mountrail County,North Dakota
2020-03-18,-3,-3,-6,-10,-10,3,-5,-5,10,54,1020,13,2.7,1.5,6.2,-7,87,1,Mountrail County,North Dakota
2020-03-19,-8,-8,-13,-17,-17,3,-10,-10,10,20,1030,13,2.7,2.6,7.6,-12,88,1,Mountrail County,North Dakota
2020-03-20,-8,-8,-17,-17,-17,6,-12,-12,6,135,1039,10,0.0,0.0,11.6,-14,85,2,Mountrail County,North Dakota
2020-03-21,-2,-2,-10,-11,-11,6,-6,-5,9,130,1025,14,0.0,0.0,8.9,-9,81,1,Mountrail County,North Dakota
2020-03-22,1,1,-7,-6,-6,6,-4,-2,4,314,1020,6,0.0,0.0,8.9,-6,84,1,Mountrail County,North Dakota
2020-03-23,9,9,-4,-1,-1,6,1,2,6,174,1013,10,0.0,0.0,11.6,-3,77,2,Mountrail County,North Dakota
2020-03-24,9,9,0,0,0,6,4,6,13,277,1007,19,0.0,0.0,9.0,-1,71,2,Mountrail County,North Dakota
2020-03-25,2,2,-2,-4,-4,6,0,0,7,122,1014,9,0.0,0.0,9.0,-5,70,1,Mountrail County,North Dakota
2020-03-26,7,7,-1,1,1,6,3,3,5,269,1009,8,0.0,0.0,10.3,-4,62,1,Mountrail County,North Dakota
2020-03-27,10,10,1,2,2,6,5,6,9,301,1007,14,0.0,0.0,11.6,-3,58,3,Mountrail County,North Dakota
2020-03-28,12,12,0,4,4,6,6,6,5,169,1009,8,0.0,0.0,11.6,-3,54,3,Mountrail County,North Dakota
2020-03-29,12,12,2,6,6,6,7,7,6,99,1013,10,0.0,0.0,11.6,-1,57,3,Mountrail County,North Dakota
2020-03-30,14,14,3,6,6,6,9,9,11,150,1014,19,0.1,0.0,11.6,0,55,3,Mountrail County,North Dakota
2020-03-31,12,12,5,5,5,5,8,9,11,183,1009,16,0.5,0.0,6.5,4,75,2,Mountrail County,North Dakota
2020-04-01,1,1,-7,-9,-9,4,-2,-3,17,323,1014,20,4.1,0.0,7.8,-6,79,1,Mountrail County,North Dakota
2020-04-02,-4,-4,-10,-15,-15,5,-7,-7,15,330,1027,18,0.2,0.1,7.8,-17,45,1,Mountrail County,North Dakota
