date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,5,5,-3,-4,-4,6,1,1,14,295,1020,17,0.0,0.0,11.2,-9,47,2,Nassau County,New York
2020-03-02,9,9,3,3,3,6,7,7,15,203,1016,25,0.0,0.0,11.2,1,66,3,Nassau County,New York
2020-03-03,10,10,6,7,7,3,9,10,12,188,1005,21,3.0,0.0,5.6,8,88,2,Nassau County,New York
2020-03-04,10,10,7,5,5,6,9,8,17,263,1007,26,4.6,0.0,11.3,0,57,3,Nassau County,New York
2020-03-05,9,9,4,3,3,6,7,7,11,268,1018,15,0.5,0.0,11.3,-2,54,3,Nassau County,New York
2020-03-06,8,8,4,2,2,5,6,7,14,71,1011,19,1.7,0.0,8.6,1,69,2,Nassau County,New York
2020-03-07,7,7,2,-1,-1,4,4,4,17,353,1021,22,0.1,0.0,11.4,-6,49,2,Nassau County,New York
2020-03-08,11,11,3,3,3,6,7,7,12,251,1029,18,0.0,0.0,11.4,-5,43,3,Nassau County,New York
2020-03-09,15,15,7,8,8,6,11,11,13,233,1027,24,0.0,0.0,11.4,2,53,4,Nassau County,New York
2020-03-10,13,13,8,9,9,4,12,12,15,218,1019,30,1.5,0.0,5.7,7,73,3,Nassau County,New York
2020-03-11,11,11,7,8,8,6,9,9,7,74,1019,10,1.1,0.0,11.5,0,54,3,Nassau County,New York
2020-03-12,8,8,7,5,5,6,8,7,9,109,1020,13,0.0,0.0,5.7,4,75,2,Nassau County,New York
2020-03-13,16,16,9,9,9,4,12,13,19,240,1013,36,15.2,0.0,7.2,6,74,3,Nassau County,New York
2020-03-14,10,10,5,4,4,5,8,8,14,287,1026,19,0.5,0.0,11.6,-2,50,3,Nassau County,New York
2020-03-15,12,12,4,5,5,6,7,8,8,5,1031,10,1.2,0.0,11.6,-3,51,3,Nassau County,New York
2020-03-16,6,6,1,0,0,6,4,4,14,108,1034,18,0.0,0.0,8.8,-4,56,1,Nassau County,New York
2020-03-17,10,10,6,6,6,4,8,8,10,210,1023,14,2.5,0.0,7.4,5,83,2,Nassau County,New York
2020-03-18,9,9,6,5,5,6,7,8,8,146,1031,11,0.0,0.0,11.6,-1,55,3,Nassau County,New York
2020-03-19,10,10,6,6,6,4,9,9,8,67,1025,12,31.7,0.0,6.2,6,86,2,Nassau County,New York
2020-03-20,18,18,9,12,12,4,13,14,13,221,1015,26,5.3,0.0,6.3,11,87,3,Nassau County,New York
2020-03-21,11,11,6,6,6,6,8,8,11,14,1025,15,0.0,0.0,11.6,-3,45,2,Nassau County,New York
2020-03-22,5,5,2,-1,-1,6,4,3,15,91,1036,19,0.0,0.0,8.9,-5,52,2,Nassau County,New York
2020-03-23,6,6,-2,0,0,4,4,5,18,97,1027,25,40.2,0.0,6.3,2,81,2,Nassau County,New York
2020-03-24,10,10,3,3,3,6,6,7,10,338,1019,13,0.0,0.0,11.6,1,69,3,Nassau County,New York
2020-03-25,8,8,5,2,2,6,6,7,15,80,1019,20,0.1,0.0,6.3,2,73,2,Nassau County,New York
2020-03-26,11,11,4,4,4,6,7,8,11,143,1016,14,0.0,0.0,11.6,1,66,3,Nassau County,New York
2020-03-27,16,16,9,10,10,6,12,13,9,220,1012,14,0.1,0.0,10.3,5,63,4,Nassau County,New York
2020-03-28,11,11,6,7,7,5,10,10,9,134,1019,14,10.9,0.0,6.4,4,72,2,Nassau County,New York
2020-03-29,12,12,9,8,8,4,10,10,11,78,1013,18,3.5,0.0,6.4,9,93,3,Nassau County,New York
2020-03-30,11,11,8,8,8,5,9,10,7,161,1012,10,1.1,0.0,9.0,6,79,3,Nassau County,New York
2020-03-31,7,7,5,3,3,6,6,6,10,85,1016,12,1.4,0.0,7.7,2,72,2,Nassau County,New York
2020-04-01,10,10,3,3,3,6,7,7,13,138,1009,17,0.0,0.0,9.0,-1,60,2,Nassau County,New York
2020-04-02,11,11,5,4,4,6,8,8,18,331,1006,25,0.0,0.0,9.0,0,60,2,Nassau County,New York
2020-04-03,10,10,8,6,6,5,9,9,18,352,1005,27,8.2,0.0,6.4,5,77,2,Nassau County,New York
2020-04-04,12,12,8,8,8,6,10,10,10,80,1015,13,0.0,0.0,7.7,5,72,3,Nassau County,New York
2020-04-05,10,10,6,7,7,6,9,9,9,182,1018,12,0.1,0.0,7.8,6,80,2,Nassau County,New York
2020-04-06,16,16,9,12,12,5,13,13,7,296,1016,11,0.6,0.0,11.6,3,53,4,Nassau County,New York
2020-04-07,15,15,11,11,11,6,12,13,9,229,1012,14,0.0,0.0,11.6,2,51,4,Nassau County,New York
2020-04-08,14,14,8,11,11,5,12,13,7,63,1001,11,10.4,0.0,6.5,9,79,3,Nassau County,New York
2020-04-09,14,14,9,8,8,6,11,12,18,239,994,28,2.9,0.0,6.5,5,68,3,Nassau County,New York
2020-04-10,9,9,5,2,2,6,7,8,23,285,997,29,0.7,0.0,7.8,-2,51,2,Nassau County,New York
2020-04-11,11,11,4,4,4,6,8,8,15,280,1013,20,0.0,0.0,11.6,-3,46,3,Nassau County,New York
2020-04-12,14,14,8,9,9,6,11,12,14,173,1021,22,0.0,0.0,11.6,4,63,4,Nassau County,New York
2020-04-13,15,15,9,10,10,3,13,14,29,185,1008,50,51.5,0.0,6.6,11,85,3,Nassau County,New York
2020-04-14,12,12,6,7,7,6,10,10,11,243,1017,15,0.0,0.0,10.3,1,53,4,Nassau County,New York
2020-04-15,10,10,5,5,5,6,8,8,12,301,1015,16,3.3,0.0,10.3,-3,46,2,Nassau County,New York
2020-04-16,9,9,5,3,3,6,7,7,17,301,1018,22,0.2,0.0,11.6,-5,43,3,Nassau County,New York
2020-04-17,9,9,4,3,3,4,6,7,12,226,1022,16,0.9,0.0,10.4,-4,49,2,Nassau County,New York
2020-04-18,9,9,1,5,5,4,7,8,10,237,1008,13,18.6,0.0,6.6,4,78,2,Nassau County,New York
2020-04-19,13,13,6,7,7,6,10,10,15,217,1011,21,0.0,0.0,11.6,2,57,4,Nassau County,New York
2020-04-20,12,12,7,9,9,6,10,10,9,31,1005,12,0.0,0.0,6.7,3,59,3,Nassau County,New York
2020-04-21,12,12,7,6,6,5,10,11,19,222,1003,27,7.9,0.0,6.7,4,68,3,Nassau County,New York
2020-04-22,10,10,3,2,2,6,6,6,18,282,1012,23,0.0,0.0,11.6,-7,39,3,Nassau County,New York
2020-04-23,9,9,5,5,5,5,7,7,7,212,1017,9,0.6,0.0,10.4,-3,51,2,Nassau County,New York
2020-04-24,8,8,3,4,4,4,7,8,13,31,1008,18,42.5,0.0,6.7,6,89,2,Nassau County,New York
2020-04-25,13,13,8,9,9,6,11,12,7,117,1017,9,0.0,0.0,13.5,5,69,4,Nassau County,New York
2020-04-26,10,10,3,6,6,4,9,10,17,67,1011,25,17.8,0.0,8.7,7,83,2,Nassau County,New York
2020-04-27,9,9,7,4,4,4,8,8,14,122,1012,19,3.8,0.0,8.7,5,80,2,Nassau County,New York
2020-04-28,15,15,6,7,7,6,10,11,10,256,1020,13,0.2,0.0,13.9,3,62,4,Nassau County,New York
2020-04-29,11,11,6,9,9,4,10,11,13,125,1023,19,0.5,0.0,11.0,6,73,3,Nassau County,New York
2020-04-30,14,14,11,9,9,5,13,13,26,140,1016,43,14.4,0.0,8.7,10,84,3,Nassau County,New York
2020-05-01,15,15,12,12,12,5,13,14,9,193,1005,14,15.9,0.0,8.7,11,85,3,Nassau County,New York
2020-05-02,18,18,11,14,14,6,15,16,12,280,1013,19,0.0,0.0,14.0,6,54,5,Nassau County,New York
2020-05-03,22,22,12,17,17,5,17,18,11,258,1008,19,10.5,0.0,12.2,10,64,5,Nassau County,New York
2020-05-04,17,17,11,14,14,5,15,16,15,305,1006,21,1.5,0.0,11.1,5,52,4,Nassau County,New York
2020-05-05,15,15,9,9,9,6,12,12,11,280,1012,14,0.0,0.0,14.1,0,45,3,Nassau County,New York
2020-05-06,12,12,6,8,8,6,10,10,10,95,1009,12,0.9,0.0,11.1,4,67,3,Nassau County,New York
2020-05-07,16,16,9,11,11,6,13,13,10,274,1008,14,0.0,0.0,14.1,3,52,4,Nassau County,New York
2020-05-08,12,12,3,8,8,5,10,11,7,180,1008,10,14.2,0.0,11.1,3,62,3,Nassau County,New York
2020-05-09,9,9,3,0,0,5,6,6,23,290,1010,29,8.7,0.0,14.2,-5,46,3,Nassau County,New York
2020-05-10,14,14,6,7,7,6,10,11,17,242,1018,24,0.0,0.0,14.5,0,49,4,Nassau County,New York
2020-05-11,14,14,9,9,9,5,11,13,16,223,1011,22,5.0,0.0,9.1,5,65,3,Nassau County,New York
2020-05-12,13,13,7,7,7,6,10,10,16,295,1017,21,0.0,0.0,14.5,-2,46,4,Nassau County,New York
2020-05-13,14,14,7,8,8,6,11,12,10,262,1025,12,0.0,0.0,14.5,-1,43,4,Nassau County,New York
2020-05-14,15,15,10,12,12,6,13,13,10,172,1025,13,0.0,0.0,14.5,4,56,4,Nassau County,New York
2020-05-15,23,23,13,18,18,5,19,20,16,234,1014,29,5.3,0.0,11.3,13,74,5,Nassau County,New York
2020-05-16,22,22,15,18,18,6,18,19,8,223,1017,13,1.4,0.0,14.5,11,66,5,Nassau County,New York
