date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,-4,-4,-9,-11,-11,3,-6,-6,8,44,1017,12,9.4,5.2,5.6,-8,89,1,Natrona County,Wyoming
2020-03-02,-4,-4,-13,-17,-17,5,-10,-8,12,212,1018,19,0.1,0.1,11.2,-12,85,2,Natrona County,Wyoming
2020-03-03,0,0,-12,-13,-13,6,-6,-5,13,203,1019,22,0.0,0.0,11.6,-9,82,2,Natrona County,Wyoming
2020-03-04,2,2,-7,-9,-9,6,-3,-2,16,211,1020,27,0.0,0.0,11.6,-5,81,2,Natrona County,Wyoming
2020-03-05,2,2,-11,-8,-8,4,-5,-4,6,208,1029,11,0.0,0.0,11.6,-6,89,2,Natrona County,Wyoming
2020-03-06,3,3,-6,-7,-7,6,-2,-1,10,213,1024,20,0.0,0.0,11.6,-6,73,2,Natrona County,Wyoming
2020-03-07,4,4,-1,-2,-2,6,2,2,10,211,1014,20,0.0,0.0,11.6,-2,76,2,Natrona County,Wyoming
2020-03-08,4,4,-3,-3,-3,4,1,2,8,208,1010,14,0.0,0.0,8.7,-1,87,1,Natrona County,Wyoming
2020-03-09,4,4,-6,-6,-6,6,-1,0,10,214,1017,16,0.0,0.0,11.6,-3,86,2,Natrona County,Wyoming
2020-03-10,5,5,-3,-4,-4,6,1,2,15,235,1020,25,0.0,0.0,11.6,-4,71,2,Natrona County,Wyoming
2020-03-11,7,7,-3,-5,-5,6,2,3,22,230,1014,36,0.0,0.0,11.6,-4,66,2,Natrona County,Wyoming
2020-03-12,-2,-2,-5,-6,-6,4,-2,-3,7,30,1016,12,4.4,3.7,8.8,-5,81,1,Natrona County,Wyoming
2020-03-13,2,2,-6,-7,-7,4,-2,-1,8,79,1018,11,3.9,3.3,7.4,-5,85,1,Natrona County,Wyoming
2020-03-14,4,4,-3,-3,-3,4,1,1,8,206,1016,11,3.5,3.0,11.6,-1,92,2,Natrona County,Wyoming
2020-03-15,8,8,0,0,0,6,4,4,10,211,1018,16,0.0,0.0,11.6,-1,77,2,Natrona County,Wyoming
2020-03-16,6,6,-4,-1,-1,5,1,2,4,86,1021,6,0.0,0.0,11.6,-3,82,2,Natrona County,Wyoming
2020-03-17,10,10,-3,1,1,6,3,5,7,221,1012,10,0.0,0.0,11.6,-3,69,2,Natrona County,Wyoming
2020-03-18,11,11,-3,1,1,4,4,5,8,175,1008,11,0.0,0.0,11.6,-3,66,3,Natrona County,Wyoming
2020-03-19,-1,-1,-7,-9,-9,3,-3,-3,15,26,1016,20,1.8,0.0,6.0,-6,81,1,Natrona County,Wyoming
2020-03-20,4,4,-8,-7,-7,6,-3,-2,7,191,1026,10,0.2,0.1,8.8,-8,66,1,Natrona County,Wyoming
2020-03-21,6,6,-4,-3,-3,6,1,2,11,227,1020,17,0.0,0.0,11.6,-5,69,2,Natrona County,Wyoming
2020-03-22,6,6,-3,-3,-3,6,2,3,11,245,1015,18,0.0,0.0,11.6,-5,65,2,Natrona County,Wyoming
2020-03-23,8,8,-2,-1,-1,6,3,5,13,230,1013,19,0.0,0.0,11.6,-5,58,2,Natrona County,Wyoming
2020-03-24,8,8,1,-1,-1,6,4,5,17,229,1010,24,0.2,0.0,10.2,-2,65,2,Natrona County,Wyoming
2020-03-25,7,7,-1,-1,-1,4,2,4,9,249,1007,13,1.0,0.5,7.5,-3,70,1,Natrona County,Wyoming
2020-03-26,6,6,-2,-1,-1,4,2,3,7,258,1006,9,4.0,2.6,6.3,-4,71,1,Natrona County,Wyoming
2020-03-27,4,4,-2,-1,-1,5,1,2,5,251,1008,6,0.3,0.1,9.0,-8,51,1,Natrona County,Wyoming
2020-03-28,6,6,-2,-3,-3,4,1,2,9,261,1013,13,1.8,1.5,11.6,-8,55,2,Natrona County,Wyoming
2020-03-29,8,8,-1,0,0,6,4,5,12,235,1015,16,0.0,0.0,11.6,-7,50,2,Natrona County,Wyoming
2020-03-30,10,10,0,2,2,6,5,6,11,243,1015,15,0.0,0.0,11.6,-6,51,3,Natrona County,Wyoming
2020-03-31,11,11,2,1,1,6,6,8,22,235,1011,30,0.1,0.0,11.6,-2,56,3,Natrona County,Wyoming
2020-04-01,8,8,-3,-1,-1,4,3,4,15,138,1007,21,7.3,5.8,9.0,-2,75,1,Natrona County,Wyoming
2020-04-02,-8,-8,-15,-17,-17,2,-10,-10,11,26,1023,16,13.9,6.0,9.0,-12,90,1,Natrona County,Wyoming
2020-04-03,0,0,-16,-13,-13,6,-8,-6,6,219,1024,10,0.0,0.0,11.6,-13,73,2,Natrona County,Wyoming
2020-04-04,4,4,-10,-7,-7,6,-2,0,8,227,1013,14,0.0,0.0,11.6,-7,71,2,Natrona County,Wyoming
2020-04-05,11,11,-1,1,1,6,4,6,10,232,1005,16,1.8,0.0,10.3,-1,68,2,Natrona County,Wyoming
2020-04-06,14,14,1,4,4,6,7,9,16,233,1005,23,2.1,0.0,11.6,-1,60,3,Natrona County,Wyoming
2020-04-07,14,14,3,5,5,6,9,10,17,250,1011,26,0.0,0.0,11.6,-2,51,3,Natrona County,Wyoming
2020-04-08,9,9,1,2,2,6,5,5,8,106,1017,12,0.0,0.0,11.6,-1,63,3,Natrona County,Wyoming
2020-04-09,9,9,-2,1,1,6,4,4,7,34,1018,10,0.0,0.0,11.6,-3,63,2,Natrona County,Wyoming
2020-04-10,17,17,2,8,8,6,10,12,11,245,1008,17,0.2,0.0,11.6,-1,51,4,Natrona County,Wyoming
2020-04-11,13,13,5,7,7,5,9,10,12,199,1004,16,3.2,0.0,9.1,-1,67,2,Natrona County,Wyoming
2020-04-12,-4,-4,-11,-15,-15,2,-8,-7,14,28,1023,18,9.6,4.6,6.6,-10,84,1,Natrona County,Wyoming
2020-04-13,-3,-3,-13,-12,-12,5,-8,-7,8,254,1029,10,0.4,0.2,9.1,-17,51,1,Natrona County,Wyoming
2020-04-14,4,4,-10,-8,-8,6,-2,-1,12,276,1023,16,0.0,0.0,7.9,-13,47,1,Natrona County,Wyoming
2020-04-15,4,4,-3,-4,-4,3,0,2,12,156,1017,18,0.9,0.3,7.9,-6,66,1,Natrona County,Wyoming
2020-04-16,-3,-3,-10,-13,-13,2,-7,-6,12,41,1026,17,10.3,7.7,6.6,-9,82,1,Natrona County,Wyoming
2020-04-17,6,6,-9,-6,-6,6,-1,1,13,229,1020,19,0.0,0.0,11.6,-9,62,2,Natrona County,Wyoming
2020-04-18,10,10,-3,0,0,6,3,5,7,260,1011,11,0.0,0.0,11.6,-7,49,3,Natrona County,Wyoming
2020-04-19,12,12,-2,3,3,6,6,7,9,275,1010,12,0.1,0.0,11.6,-4,57,3,Natrona County,Wyoming
2020-04-20,14,14,0,5,5,6,7,9,7,285,1013,10,0.0,0.0,11.6,-3,55,3,Natrona County,Wyoming
2020-04-21,16,16,1,8,8,6,10,12,8,254,1012,11,0.0,0.0,11.6,-4,42,4,Natrona County,Wyoming
2020-04-22,17,17,3,10,10,6,10,12,7,256,1011,9,0.0,0.0,11.6,-3,41,4,Natrona County,Wyoming
2020-04-23,14,14,4,7,7,6,10,10,12,275,1009,18,2.2,0.0,8.1,-1,54,3,Natrona County,Wyoming
2020-04-24,12,12,1,4,4,5,7,8,9,311,1017,12,10.7,0.9,8.1,-2,64,2,Natrona County,Wyoming
2020-04-25,14,14,1,6,6,6,8,9,8,246,1019,11,0.0,0.0,10.4,-3,52,2,Natrona County,Wyoming
2020-04-26,16,16,7,9,9,6,11,12,12,267,1014,17,0.6,0.0,7.0,1,48,3,Natrona County,Wyoming
