date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,14,14,5,7,7,6,9,10,13,225,1011,18,0.0,0.0,11.6,-4,39,4,Navajo County,Arizona
2020-03-02,11,11,4,6,6,6,7,8,6,167,1010,8,0.2,0.0,10.2,-3,48,3,Navajo County,Arizona
2020-03-03,13,13,5,6,6,6,8,8,10,259,1011,14,0.2,0.0,11.6,-6,36,3,Navajo County,Arizona
2020-03-04,14,14,5,7,7,6,9,9,5,258,1018,9,0.0,0.0,11.6,-6,35,3,Navajo County,Arizona
2020-03-05,16,16,6,10,10,6,11,11,4,80,1023,7,0.0,0.0,11.6,-6,30,4,Navajo County,Arizona
2020-03-06,17,17,8,10,10,6,12,12,9,185,1022,13,0.0,0.0,8.7,-4,34,3,Navajo County,Arizona
2020-03-07,19,19,8,12,12,6,13,14,13,194,1015,19,0.0,0.0,11.6,-1,39,4,Navajo County,Arizona
2020-03-08,15,15,8,9,9,6,11,11,13,222,1013,17,0.0,0.0,11.6,-2,42,4,Navajo County,Arizona
2020-03-09,15,15,5,7,7,6,9,10,8,213,1019,11,0.0,0.0,11.6,-1,53,3,Navajo County,Arizona
2020-03-10,14,14,9,9,9,5,11,11,10,200,1022,13,2.2,0.0,5.9,2,56,3,Navajo County,Arizona
2020-03-11,15,15,8,10,10,4,12,12,10,223,1018,13,15.4,0.0,6.0,7,72,3,Navajo County,Arizona
2020-03-12,15,15,10,12,12,6,12,13,5,188,1012,7,2.0,0.0,10.2,7,72,3,Navajo County,Arizona
2020-03-13,12,12,7,6,6,5,10,10,16,234,1010,20,19.4,0.0,8.8,2,63,2,Navajo County,Arizona
2020-03-14,14,14,5,6,6,6,9,10,10,201,1018,13,0.0,0.0,11.6,1,59,3,Navajo County,Arizona
2020-03-15,16,16,6,10,10,6,11,12,8,200,1018,11,0.0,0.0,11.6,0,51,4,Navajo County,Arizona
2020-03-16,18,18,6,10,10,6,11,12,8,185,1016,12,0.0,0.0,10.2,-2,43,3,Navajo County,Arizona
2020-03-17,17,17,8,10,10,6,12,12,13,198,1012,17,0.0,0.0,11.6,-3,38,4,Navajo County,Arizona
2020-03-18,11,11,5,5,5,5,8,9,15,195,1008,19,4.5,0.0,10.2,1,62,2,Navajo County,Arizona
2020-03-19,9,9,3,1,1,5,5,6,18,236,1015,22,4.9,0.1,8.8,-3,56,2,Navajo County,Arizona
2020-03-20,12,12,2,4,4,6,6,7,9,192,1022,11,0.0,0.0,11.6,-3,55,3,Navajo County,Arizona
2020-03-21,15,15,7,9,9,6,10,11,10,208,1018,13,0.1,0.0,10.2,-3,43,3,Navajo County,Arizona
2020-03-22,13,13,5,7,7,6,8,8,5,186,1019,6,0.0,0.0,11.6,-3,45,3,Navajo County,Arizona
2020-03-23,15,15,8,8,8,6,11,11,17,236,1016,21,0.4,0.0,10.2,-1,46,3,Navajo County,Arizona
2020-03-24,17,17,5,8,8,6,10,11,10,234,1018,13,0.4,0.0,11.6,-1,50,4,Navajo County,Arizona
2020-03-25,18,18,7,11,11,6,12,14,16,232,1013,21,0.0,0.0,10.2,-3,36,3,Navajo County,Arizona
2020-03-26,16,16,9,10,10,6,12,13,22,225,1008,28,0.0,0.0,11.6,-4,35,4,Navajo County,Arizona
2020-03-27,8,8,3,1,1,6,5,5,19,250,1011,24,0.6,0.0,11.6,-7,41,3,Navajo County,Arizona
2020-03-28,10,10,0,1,1,5,4,5,9,294,1019,13,0.4,0.3,11.6,-11,32,2,Navajo County,Arizona
