date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,2,2,-7,-8,-8,6,-3,-1,9,308,1018,12,0.0,0.0,11.2,-14,45,2,New London County,Connecticut
2020-03-02,10,10,-3,2,2,6,4,6,9,201,1016,13,0.2,0.0,11.2,-1,69,3,New London County,Connecticut
2020-03-03,13,13,6,7,7,4,9,10,9,196,1005,13,4.7,0.0,5.6,7,89,3,New London County,Connecticut
2020-03-04,10,10,2,4,4,5,7,8,12,269,1004,17,4.2,0.0,10.1,1,66,3,New London County,Connecticut
2020-03-05,9,9,1,3,3,5,6,6,6,304,1017,8,0.2,0.0,11.3,-2,63,3,New London County,Connecticut
2020-03-06,8,8,1,1,1,5,4,6,8,97,1013,11,0.3,0.1,5.7,-1,70,2,New London County,Connecticut
2020-03-07,6,6,-1,-2,-2,5,2,3,11,342,1019,16,0.6,0.3,10.1,-8,51,2,New London County,Connecticut
2020-03-08,11,11,-1,3,3,6,6,8,7,264,1027,11,0.0,0.0,10.1,-7,43,3,New London County,Connecticut
2020-03-09,17,17,6,9,9,6,11,13,9,234,1025,14,0.0,0.0,11.4,2,55,4,New London County,Connecticut
2020-03-10,16,16,8,11,11,5,12,13,10,223,1017,15,0.6,0.0,7.2,7,71,3,New London County,Connecticut
2020-03-11,13,13,4,7,7,6,8,9,6,336,1018,8,0.0,0.0,10.1,0,58,2,New London County,Connecticut
2020-03-12,11,11,3,4,4,4,6,8,6,146,1022,8,0.0,0.0,8.7,2,79,2,New London County,Connecticut
2020-03-13,16,16,6,10,10,5,12,13,13,227,1013,19,12.4,0.0,7.2,7,82,3,New London County,Connecticut
2020-03-14,10,10,3,3,3,6,6,8,9,297,1024,13,0.1,0.0,11.5,-2,56,3,New London County,Connecticut
2020-03-15,9,9,2,3,3,5,6,6,7,233,1031,9,0.3,0.1,11.6,-5,53,3,New London County,Connecticut
2020-03-16,6,6,-3,-2,-2,6,1,3,7,134,1035,9,0.0,0.0,11.6,-7,56,2,New London County,Connecticut
2020-03-17,10,10,0,3,3,4,5,7,6,188,1023,10,7.0,0.0,7.4,4,92,2,New London County,Connecticut
2020-03-18,14,14,1,3,3,6,5,8,5,277,1031,8,0.0,0.0,10.2,-2,63,2,New London County,Connecticut
2020-03-19,11,11,4,5,5,4,7,8,7,68,1027,9,21.2,0.0,6.2,5,90,2,New London County,Connecticut
2020-03-20,16,16,4,10,10,4,11,13,9,217,1014,14,6.5,0.0,6.3,11,93,3,New London County,Connecticut
2020-03-21,9,9,2,3,3,6,6,7,8,356,1025,11,0.0,0.0,10.3,-4,52,2,New London County,Connecticut
2020-03-22,7,7,-2,-2,-2,6,2,3,7,92,1037,10,0.0,0.0,11.6,-9,48,2,New London County,Connecticut
2020-03-23,4,4,-2,-2,-2,5,2,3,10,114,1030,14,23.0,0.0,6.3,-2,75,1,New London County,Connecticut
2020-03-24,8,8,2,2,2,5,4,6,7,345,1018,11,4.5,0.0,7.6,3,89,2,New London County,Connecticut
2020-03-25,6,6,1,1,1,6,4,5,7,86,1020,10,0.5,0.0,6.3,1,84,2,New London County,Connecticut
2020-03-26,13,13,0,4,4,6,6,8,7,199,1016,10,0.0,0.0,11.6,0,71,3,New London County,Connecticut
2020-03-27,16,16,6,9,9,6,11,13,7,334,1011,10,0.0,0.0,10.3,3,66,4,New London County,Connecticut
2020-03-28,12,12,4,7,7,5,8,10,5,148,1020,7,6.8,0.0,9.0,3,73,2,New London County,Connecticut
