date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,14,14,-1,6,6,6,7,9,4,195,1025,6,0.0,0.0,11.6,-2,56,3,Newberry County,South Carolina
2020-03-02,17,17,5,10,10,6,11,13,7,220,1019,11,1.5,0.0,10.2,6,71,3,Newberry County,South Carolina
2020-03-03,18,18,13,15,15,3,15,16,9,218,1011,14,12.6,0.0,5.9,14,94,4,Newberry County,South Carolina
2020-03-04,16,16,9,13,13,4,13,13,5,135,1015,7,12.5,0.0,7.3,12,90,3,Newberry County,South Carolina
2020-03-05,9,9,9,7,7,3,9,9,9,60,1018,13,63.2,0.0,5.9,9,95,2,Newberry County,South Carolina
2020-03-06,13,13,6,7,7,5,9,11,11,295,1018,16,0.2,0.0,11.6,2,69,4,Newberry County,South Carolina
2020-03-07,12,12,1,4,4,6,6,8,7,9,1030,10,0.0,0.0,11.6,-2,57,3,Newberry County,South Carolina
2020-03-08,15,15,1,8,8,6,9,10,4,168,1035,7,0.0,0.0,10.2,0,57,3,Newberry County,South Carolina
2020-03-09,18,18,5,11,11,6,11,14,5,197,1033,9,0.2,0.0,10.2,6,68,3,Newberry County,South Carolina
2020-03-10,18,18,13,14,14,4,14,16,7,233,1026,13,2.2,0.0,7.4,13,90,4,Newberry County,South Carolina
2020-03-11,22,22,12,16,16,3,17,19,8,239,1019,13,0.8,0.0,7.4,13,81,4,Newberry County,South Carolina
2020-03-12,24,24,12,17,17,5,18,19,6,250,1015,10,2.6,0.0,11.6,14,82,4,Newberry County,South Carolina
2020-03-13,24,24,17,19,19,6,20,20,7,296,1018,12,0.6,0.0,8.8,16,80,5,Newberry County,South Carolina
2020-03-14,18,18,9,14,14,6,14,15,5,83,1026,8,0.5,0.0,8.8,8,65,4,Newberry County,South Carolina
2020-03-15,17,17,13,14,14,4,14,15,5,37,1025,9,4.7,0.0,6.0,13,90,4,Newberry County,South Carolina
2020-03-16,12,12,8,10,10,5,11,10,5,82,1028,8,0.2,0.0,6.0,6,75,3,Newberry County,South Carolina
2020-03-17,21,21,10,15,15,6,15,16,4,242,1024,5,0.1,0.0,6.0,12,84,4,Newberry County,South Carolina
2020-03-18,21,21,13,16,16,4,17,17,5,101,1026,8,0.8,0.0,6.0,14,88,4,Newberry County,South Carolina
2020-03-19,27,27,17,21,22,4,22,23,7,213,1024,11,1.3,0.0,10.2,17,83,5,Newberry County,South Carolina
2020-03-20,27,27,17,22,22,5,22,23,10,229,1023,16,0.0,0.0,11.6,17,76,6,Newberry County,South Carolina
2020-03-21,26,26,16,21,22,6,22,22,6,276,1022,10,0.0,0.0,11.6,15,72,6,Newberry County,South Carolina
2020-03-22,13,13,10,12,12,6,13,13,9,60,1027,12,2.0,0.0,6.1,10,84,3,Newberry County,South Carolina
2020-03-23,14,14,9,11,11,3,12,12,4,84,1023,6,9.9,0.0,6.1,11,97,3,Newberry County,South Carolina
2020-03-24,16,16,10,13,13,3,13,14,5,55,1016,7,55.3,0.0,6.1,13,97,3,Newberry County,South Carolina
2020-03-25,22,22,15,18,18,5,19,19,7,326,1010,11,44.9,0.0,10.2,14,81,5,Newberry County,South Carolina
2020-03-26,21,21,10,15,15,6,15,17,5,172,1018,8,0.0,0.0,11.6,11,76,5,Newberry County,South Carolina
2020-03-27,27,27,14,21,22,4,22,23,7,230,1014,12,0.0,0.0,10.2,16,80,6,Newberry County,South Carolina
2020-03-28,28,28,18,23,24,4,24,24,9,241,1014,14,0.0,0.0,10.2,18,78,6,Newberry County,South Carolina
2020-03-29,27,27,19,23,25,6,25,24,10,247,1016,17,0.2,0.0,7.5,17,72,5,Newberry County,South Carolina
2020-03-30,23,23,15,19,19,6,19,20,5,293,1018,8,0.0,0.0,11.6,8,53,5,Newberry County,South Carolina
2020-03-31,16,16,10,12,12,4,13,14,8,80,1009,12,11.7,0.0,8.9,8,73,3,Newberry County,South Carolina
2020-04-01,15,15,6,9,9,5,10,12,7,225,1011,12,0.5,0.0,10.2,5,71,3,Newberry County,South Carolina
2020-04-02,18,18,5,11,11,6,13,14,5,216,1017,8,0.0,0.0,11.6,4,63,4,Newberry County,South Carolina
2020-04-03,23,23,7,14,14,6,16,17,3,300,1016,6,0.0,0.0,11.6,6,62,5,Newberry County,South Carolina
2020-04-04,23,23,11,16,16,6,17,19,4,57,1015,6,0.0,0.0,11.6,8,59,5,Newberry County,South Carolina
2020-04-05,22,22,12,17,17,6,18,18,4,195,1018,7,1.7,0.0,11.6,10,67,5,Newberry County,South Carolina
2020-04-06,26,26,14,20,20,5,21,22,6,254,1018,10,2.6,0.0,8.9,14,73,5,Newberry County,South Carolina
2020-04-07,25,25,15,19,19,5,20,21,9,239,1015,14,7.4,0.0,8.9,16,81,5,Newberry County,South Carolina
2020-04-08,28,28,17,22,22,6,22,24,9,268,1008,15,1.3,0.0,11.6,16,73,5,Newberry County,South Carolina
2020-04-09,28,28,18,22,23,5,23,24,11,277,1004,18,3.4,0.0,11.6,12,60,6,Newberry County,South Carolina
2020-04-10,16,16,11,12,12,6,13,13,10,336,1012,14,0.0,0.0,11.6,-1,43,4,Newberry County,South Carolina
2020-04-11,20,20,5,11,11,6,12,15,5,155,1019,9,0.0,0.0,11.6,1,51,4,Newberry County,South Carolina
2020-04-12,18,18,10,14,14,5,15,16,8,131,1016,13,48.6,0.0,6.5,14,89,4,Newberry County,South Carolina
2020-04-13,24,24,15,21,21,5,22,22,13,258,1010,21,2.6,0.0,11.6,15,74,6,Newberry County,South Carolina
2020-04-14,25,25,11,18,18,6,19,20,5,190,1015,8,0.0,0.0,11.6,11,71,6,Newberry County,South Carolina
2020-04-15,17,17,9,11,11,6,12,13,8,28,1016,11,0.0,0.0,11.6,4,62,4,Newberry County,South Carolina
2020-04-16,19,19,7,13,13,6,14,15,3,231,1024,5,0.0,0.0,11.6,3,57,5,Newberry County,South Carolina
2020-04-17,21,21,7,14,14,6,15,17,6,197,1023,9,0.0,0.0,10.4,6,60,4,Newberry County,South Carolina
2020-04-18,22,22,15,18,18,6,20,20,8,343,1013,12,0.0,0.0,11.6,10,66,6,Newberry County,South Carolina
2020-04-19,18,18,9,13,13,4,13,15,4,200,1013,6,1.0,0.0,9.2,9,77,3,Newberry County,South Carolina
2020-04-20,21,21,13,15,15,5,16,16,5,123,1005,8,38.8,0.0,8.0,12,83,4,Newberry County,South Carolina
2020-04-21,24,24,10,17,17,6,18,20,10,269,1011,16,0.0,0.0,11.6,9,64,5,Newberry County,South Carolina
2020-04-22,22,22,10,15,15,6,16,17,5,152,1018,10,0.0,0.0,11.6,6,55,5,Newberry County,South Carolina
2020-04-23,18,18,13,15,15,4,15,15,10,145,1013,16,20.7,0.0,6.8,14,91,4,Newberry County,South Carolina
2020-04-24,24,24,15,19,19,6,20,21,8,267,1007,12,2.1,0.0,10.4,15,78,5,Newberry County,South Carolina
2020-04-25,26,26,14,19,19,6,20,22,7,143,1011,11,1.3,0.0,10.4,14,74,5,Newberry County,South Carolina
2020-04-26,20,20,12,15,15,6,17,17,13,262,1012,19,0.6,0.0,11.6,9,70,5,Newberry County,South Carolina
2020-04-27,22,22,10,14,14,6,16,17,7,324,1020,11,0.0,0.0,11.6,4,52,5,Newberry County,South Carolina
2020-04-28,25,25,10,18,18,6,19,20,5,226,1021,8,0.0,0.0,11.6,8,59,5,Newberry County,South Carolina
2020-04-29,26,26,14,20,21,5,21,23,12,182,1013,18,23.9,0.0,11.6,14,71,6,Newberry County,South Carolina
