date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,1,1,-6,-7,-7,6,-2,-2,8,302,1017,10,0.0,0.0,11.2,-14,42,2,Norfolk County,Massachusetts
2020-03-02,10,10,-3,1,1,6,4,6,9,195,1016,14,0.0,0.0,11.2,-3,63,3,Norfolk County,Massachusetts
2020-03-03,15,15,6,8,8,4,10,11,9,201,1005,13,0.6,0.0,10.1,7,82,3,Norfolk County,Massachusetts
2020-03-04,9,9,4,4,4,5,7,8,14,270,1001,19,1.4,0.0,10.1,0,63,2,Norfolk County,Massachusetts
2020-03-05,10,10,1,3,3,6,5,7,7,301,1016,11,0.0,0.0,11.3,-4,54,3,Norfolk County,Massachusetts
2020-03-06,9,9,2,2,2,5,5,6,9,103,1014,12,0.5,0.0,7.1,-2,63,2,Norfolk County,Massachusetts
2020-03-07,5,5,-3,-4,-4,4,1,2,13,346,1018,18,2.4,0.5,10.1,-10,48,1,Norfolk County,Massachusetts
2020-03-08,10,10,-1,2,2,6,4,7,8,280,1026,11,0.0,0.0,11.4,-7,46,3,Norfolk County,Massachusetts
2020-03-09,18,18,4,10,10,6,11,13,8,236,1024,15,0.0,0.0,11.4,1,53,4,Norfolk County,Massachusetts
2020-03-10,16,16,10,12,12,6,13,14,11,226,1016,18,0.1,0.0,8.7,6,65,3,Norfolk County,Massachusetts
2020-03-11,11,11,3,6,6,5,8,9,6,234,1018,9,0.6,0.0,10.1,-2,52,2,Norfolk County,Massachusetts
2020-03-12,11,11,3,5,5,6,7,8,5,132,1022,6,0.0,0.0,8.7,-1,61,2,Norfolk County,Massachusetts
2020-03-13,15,15,5,7,7,6,10,12,13,221,1013,20,1.4,0.0,6.0,5,77,3,Norfolk County,Massachusetts
2020-03-14,10,10,3,3,3,6,6,8,12,284,1022,17,0.0,0.0,10.2,-3,54,2,Norfolk County,Massachusetts
2020-03-15,8,8,1,0,0,5,4,5,8,344,1031,11,0.3,0.3,10.2,-9,41,2,Norfolk County,Massachusetts
2020-03-16,4,4,-2,-3,-3,6,1,2,7,91,1036,10,0.0,0.0,11.6,-8,53,2,Norfolk County,Massachusetts
2020-03-17,8,8,-1,1,1,4,4,5,8,190,1023,12,4.4,0.0,6.0,2,86,2,Norfolk County,Massachusetts
2020-03-18,12,12,2,4,4,6,6,8,6,282,1030,8,0.0,0.0,10.2,-2,58,2,Norfolk County,Massachusetts
2020-03-19,7,7,5,3,3,4,6,6,7,100,1028,9,9.2,0.0,6.0,4,90,2,Norfolk County,Massachusetts
2020-03-20,17,17,5,11,11,5,12,13,10,219,1013,17,2.1,0.0,6.1,10,89,3,Norfolk County,Massachusetts
2020-03-21,9,9,2,2,2,6,6,6,10,230,1024,13,0.0,0.0,11.6,-6,43,3,Norfolk County,Massachusetts
2020-03-22,3,3,-5,-4,-4,6,0,1,8,70,1038,10,0.0,0.0,11.6,-10,45,2,Norfolk County,Massachusetts
2020-03-23,6,6,-1,-1,-1,5,2,4,8,135,1032,10,11.2,0.0,10.3,-4,64,1,Norfolk County,Massachusetts
2020-03-24,8,8,2,1,1,5,4,5,8,336,1018,12,3.9,0.0,6.3,2,86,2,Norfolk County,Massachusetts
2020-03-25,7,7,3,2,2,6,4,6,8,81,1021,11,0.1,0.0,6.3,0,75,2,Norfolk County,Massachusetts
2020-03-26,12,12,2,4,4,6,7,7,7,29,1015,10,0.0,0.0,11.6,-1,65,3,Norfolk County,Massachusetts
2020-03-27,14,14,5,8,8,6,10,12,8,321,1010,12,0.9,0.0,10.3,2,59,4,Norfolk County,Massachusetts
2020-03-28,14,14,4,8,8,5,9,11,5,160,1021,7,2.9,0.0,10.3,0,57,3,Norfolk County,Massachusetts
2020-03-29,8,8,2,4,4,3,7,7,9,112,1018,13,12.1,0.0,6.4,6,91,2,Norfolk County,Massachusetts
2020-03-30,8,8,4,3,3,5,6,7,10,50,1013,14,2.3,0.0,6.4,4,90,2,Norfolk County,Massachusetts
2020-03-31,5,5,1,0,0,4,3,4,8,51,1017,11,1.5,1.2,9.0,-1,76,1,Norfolk County,Massachusetts
2020-04-01,6,6,3,1,1,6,4,4,9,35,1009,12,0.4,0.1,6.4,0,72,1,Norfolk County,Massachusetts
2020-04-02,7,7,1,2,2,5,5,6,13,333,1000,19,6.1,0.0,6.4,3,83,2,Norfolk County,Massachusetts
2020-04-03,8,8,7,3,3,4,7,8,18,34,1002,27,19.2,0.0,6.5,5,88,2,Norfolk County,Massachusetts
2020-04-04,7,7,1,2,2,4,5,6,10,45,1016,13,1.0,0.0,6.5,3,82,2,Norfolk County,Massachusetts
2020-04-05,13,13,4,7,7,6,8,10,4,215,1017,6,0.0,0.0,6.5,4,76,2,Norfolk County,Massachusetts
2020-04-06,15,15,6,8,8,6,10,12,8,314,1015,11,0.0,0.0,11.6,0,55,4,Norfolk County,Massachusetts
2020-04-07,15,15,7,9,9,6,10,13,6,287,1010,9,0.0,0.0,11.6,0,48,4,Norfolk County,Massachusetts
2020-04-08,11,11,6,7,7,4,8,9,5,56,1002,7,2.5,0.0,6.5,3,71,2,Norfolk County,Massachusetts
2020-04-09,11,11,5,4,4,5,7,10,12,204,992,18,11.8,0.0,7.8,4,78,2,Norfolk County,Massachusetts
2020-04-10,9,9,3,1,1,5,5,7,14,279,990,19,1.2,0.0,10.3,-2,62,2,Norfolk County,Massachusetts
2020-04-11,10,10,2,2,2,5,5,7,12,287,1009,17,0.3,0.5,11.6,-4,52,3,Norfolk County,Massachusetts
2020-04-12,14,14,1,6,6,6,8,11,8,201,1022,12,0.0,0.0,9.1,0,57,3,Norfolk County,Massachusetts
2020-04-13,16,16,8,12,12,5,14,15,18,186,1010,29,18.4,0.0,6.6,12,86,3,Norfolk County,Massachusetts
2020-04-14,13,13,6,8,8,6,9,10,7,266,1015,10,0.0,0.0,11.6,1,55,4,Norfolk County,Massachusetts
2020-04-15,11,11,5,5,5,6,7,8,7,291,1012,9,0.5,0.0,9.1,-4,47,2,Norfolk County,Massachusetts
2020-04-16,9,9,2,2,2,6,5,6,8,292,1016,11,0.3,0.0,7.9,-5,53,2,Norfolk County,Massachusetts
2020-04-17,10,10,0,2,2,6,5,7,10,261,1020,14,0.0,0.0,12.0,-6,47,2,Norfolk County,Massachusetts
2020-04-18,4,4,-4,-1,-1,5,3,3,7,32,1008,10,8.5,0.0,8.6,2,94,1,Norfolk County,Massachusetts
2020-04-19,15,15,1,6,6,6,8,11,10,232,1009,15,0.0,0.0,13.7,1,62,4,Norfolk County,Massachusetts
2020-04-20,10,10,4,5,5,6,7,8,7,41,1005,9,0.0,0.0,12.1,-1,59,2,Norfolk County,Massachusetts
2020-04-21,12,12,3,4,4,5,7,10,12,193,1001,16,6.6,0.0,11.0,1,68,2,Norfolk County,Massachusetts
2020-04-22,8,8,-1,-1,-1,6,3,5,14,276,1006,19,0.0,0.0,13.8,-8,46,3,Norfolk County,Massachusetts
2020-04-23,13,13,0,5,5,6,8,9,8,252,1016,12,0.0,0.0,13.9,-6,43,3,Norfolk County,Massachusetts
2020-04-24,6,6,5,3,3,4,5,6,7,31,1010,9,5.0,0.0,8.7,3,86,2,Norfolk County,Massachusetts
2020-04-25,17,17,3,8,8,6,9,13,4,46,1017,7,0.0,0.0,13.3,3,67,3,Norfolk County,Massachusetts
2020-04-26,12,12,6,5,5,5,7,9,11,82,1016,15,6.0,0.0,8.7,2,70,2,Norfolk County,Massachusetts
2020-04-27,6,6,-1,1,1,4,5,5,16,22,1010,23,10.4,0.0,8.7,4,92,2,Norfolk County,Massachusetts
2020-04-28,10,10,2,3,3,6,6,7,8,241,1019,10,0.9,0.6,8.7,1,74,2,Norfolk County,Massachusetts
2020-04-29,12,12,2,6,6,6,8,11,7,83,1026,9,0.0,0.0,14.0,2,70,3,Norfolk County,Massachusetts
2020-04-30,13,13,7,7,7,6,9,10,9,140,1024,13,0.1,0.0,9.9,5,75,2,Norfolk County,Massachusetts
2020-05-01,18,18,12,13,13,5,14,15,9,204,1007,14,13.0,0.0,8.8,12,88,3,Norfolk County,Massachusetts
2020-05-02,19,19,8,12,12,6,13,16,10,311,1010,15,0.2,0.0,13.4,5,58,5,Norfolk County,Massachusetts
2020-05-03,22,22,11,15,15,6,17,17,7,260,1007,12,0.1,0.0,11.1,9,70,4,Norfolk County,Massachusetts
2020-05-04,18,18,9,13,13,6,14,16,9,309,1003,13,0.3,0.0,13.4,5,57,4,Norfolk County,Massachusetts
2020-05-05,15,15,6,8,8,6,10,12,9,314,1010,13,0.0,0.0,14.1,0,50,4,Norfolk County,Massachusetts
2020-05-06,14,14,5,8,8,5,9,12,5,87,1011,6,1.3,0.0,13.4,2,63,4,Norfolk County,Massachusetts
2020-05-07,16,16,4,9,9,5,10,13,5,312,1006,8,0.8,0.0,8.9,3,62,3,Norfolk County,Massachusetts
2020-05-08,14,14,5,7,7,5,10,11,9,238,1007,12,5.0,0.0,11.1,2,65,3,Norfolk County,Massachusetts
2020-05-09,8,8,2,0,0,5,4,6,16,292,1003,20,5.2,2.3,8.9,-4,59,2,Norfolk County,Massachusetts
2020-05-10,14,14,1,5,5,6,8,10,12,262,1014,16,0.0,0.0,14.3,-2,53,4,Norfolk County,Massachusetts
2020-05-11,17,17,6,9,9,6,10,13,8,205,1010,12,1.5,0.0,11.2,6,76,3,Norfolk County,Massachusetts
2020-05-12,13,13,4,6,6,6,8,11,11,294,1013,16,0.0,0.0,14.3,-1,53,4,Norfolk County,Massachusetts
