date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,12,12,-2,3,3,6,5,7,6,245,1025,10,0.0,0.0,11.6,-7,47,3,Northampton County,North Carolina
2020-03-02,17,17,5,10,10,6,11,13,11,212,1019,18,0.0,0.0,11.6,3,58,4,Northampton County,North Carolina
2020-03-03,19,19,11,14,14,5,15,17,13,230,1010,19,1.5,0.0,5.9,12,84,4,Northampton County,North Carolina
2020-03-04,17,17,8,11,11,6,12,13,8,251,1014,13,0.0,0.0,11.6,4,58,4,Northampton County,North Carolina
2020-03-05,11,11,8,8,8,5,9,10,7,91,1019,11,0.8,0.0,8.7,2,61,2,Northampton County,North Carolina
2020-03-06,13,13,6,6,6,5,8,10,11,297,1011,16,5.8,0.0,7.3,2,67,2,Northampton County,North Carolina
2020-03-07,11,11,2,3,3,6,6,8,11,345,1026,16,0.0,0.0,11.6,-3,53,3,Northampton County,North Carolina
2020-03-08,15,15,2,7,7,6,9,10,6,211,1034,9,0.0,0.0,11.6,-3,48,4,Northampton County,North Carolina
2020-03-09,19,19,5,11,11,6,13,14,10,226,1033,17,0.0,0.0,11.6,3,57,4,Northampton County,North Carolina
2020-03-10,20,20,13,15,15,6,16,17,13,222,1025,20,2.3,0.0,8.8,11,76,4,Northampton County,North Carolina
2020-03-11,21,21,12,16,16,4,16,17,5,168,1018,8,3.9,0.0,5.9,12,82,4,Northampton County,North Carolina
2020-03-12,23,23,12,16,16,4,16,18,4,131,1016,7,0.7,0.0,8.8,13,83,4,Northampton County,North Carolina
2020-03-13,23,23,16,19,19,6,20,21,12,265,1016,18,3.0,0.0,6.0,14,73,5,Northampton County,North Carolina
2020-03-14,14,14,8,10,10,6,11,11,7,143,1028,11,0.0,0.0,8.8,0,46,3,Northampton County,North Carolina
2020-03-15,13,13,8,8,8,6,10,11,9,57,1029,12,0.2,0.0,6.0,4,66,3,Northampton County,North Carolina
2020-03-16,15,15,5,8,8,6,10,11,7,66,1030,10,0.0,0.0,10.2,3,66,4,Northampton County,North Carolina
2020-03-17,18,18,9,12,12,4,12,14,6,238,1024,8,0.8,0.0,7.4,9,83,3,Northampton County,North Carolina
2020-03-18,16,16,9,11,11,5,12,13,8,82,1029,12,0.0,0.0,6.0,9,81,3,Northampton County,North Carolina
2020-03-19,26,26,13,19,19,6,20,22,10,231,1024,15,0.2,0.0,8.8,16,81,5,Northampton County,North Carolina
2020-03-20,28,28,19,23,23,6,23,25,14,228,1020,21,1.8,0.0,11.6,17,70,6,Northampton County,North Carolina
2020-03-21,17,17,7,12,12,5,13,13,9,44,1024,12,8.8,0.0,6.1,10,83,3,Northampton County,North Carolina
2020-03-22,12,12,8,7,7,5,10,10,10,64,1031,14,0.6,0.0,6.1,4,71,3,Northampton County,North Carolina
2020-03-23,13,13,9,9,9,5,11,12,8,280,1023,11,7.1,0.0,6.1,10,92,3,Northampton County,North Carolina
2020-03-24,16,16,6,10,10,4,11,13,7,74,1020,10,1.1,0.0,10.2,7,81,3,Northampton County,North Carolina
2020-03-25,12,12,8,8,8,4,10,11,10,124,1012,14,37.9,0.0,6.1,8,90,3,Northampton County,North Carolina
2020-03-26,17,17,5,10,10,4,11,13,5,168,1018,9,0.0,0.0,11.6,6,74,4,Northampton County,North Carolina
2020-03-27,26,26,12,18,18,6,19,21,9,255,1013,13,0.8,0.0,10.2,14,77,5,Northampton County,North Carolina
2020-03-28,28,28,15,21,22,5,22,22,6,246,1013,10,0.0,0.0,6.1,17,81,5,Northampton County,North Carolina
2020-03-29,30,30,21,25,27,6,27,26,12,233,1013,19,0.3,0.0,11.6,18,71,6,Northampton County,North Carolina
2020-03-30,22,22,16,18,18,6,19,19,10,277,1015,17,0.1,0.0,11.6,8,53,5,Northampton County,North Carolina
2020-03-31,14,14,8,9,9,5,11,12,9,59,1011,13,19.6,0.0,9.0,6,73,3,Northampton County,North Carolina
2020-04-01,13,13,7,7,7,5,9,10,11,120,1009,15,8.4,0.0,9.0,4,72,2,Northampton County,North Carolina
2020-04-02,16,16,6,9,9,6,11,12,11,317,1014,17,0.0,0.0,11.6,2,58,4,Northampton County,North Carolina
2020-04-03,19,19,7,11,11,6,13,15,12,324,1012,18,0.0,0.0,11.6,2,51,4,Northampton County,North Carolina
2020-04-04,17,17,7,10,10,6,11,14,7,27,1016,11,0.0,0.0,9.0,6,70,3,Northampton County,North Carolina
2020-04-05,20,20,7,13,13,5,13,15,4,213,1019,7,0.0,0.0,9.0,8,72,4,Northampton County,North Carolina
2020-04-06,24,24,12,16,16,5,18,19,6,225,1017,10,4.7,0.0,10.3,12,78,4,Northampton County,North Carolina
2020-04-07,26,26,13,19,19,5,19,21,5,246,1012,9,0.7,0.0,10.3,13,72,5,Northampton County,North Carolina
2020-04-08,28,28,17,22,23,6,23,24,10,258,1004,16,1.4,0.0,11.6,15,69,6,Northampton County,North Carolina
2020-04-09,26,26,14,19,19,6,20,22,11,272,999,16,0.7,0.0,11.6,10,61,6,Northampton County,North Carolina
2020-04-10,13,13,7,7,7,6,10,11,14,298,1009,19,0.0,0.0,11.6,-2,45,4,Northampton County,North Carolina
2020-04-11,17,17,4,9,9,6,10,12,7,278,1019,11,0.0,0.0,11.6,-1,48,4,Northampton County,North Carolina
2020-04-12,23,23,10,16,16,5,17,19,12,191,1019,18,0.6,0.0,9.1,9,64,4,Northampton County,North Carolina
2020-04-13,26,26,17,21,21,5,21,23,18,225,1009,28,14.0,0.0,7.8,15,72,5,Northampton County,North Carolina
2020-04-14,16,16,11,12,12,6,13,13,9,51,1017,12,0.3,0.0,6.5,6,61,3,Northampton County,North Carolina
2020-04-15,12,12,4,6,6,4,8,8,10,15,1017,13,1.0,0.0,9.1,1,66,2,Northampton County,North Carolina
2020-04-16,15,15,5,8,8,6,10,12,8,305,1023,12,0.0,0.0,11.6,0,51,4,Northampton County,North Carolina
2020-04-17,20,20,5,12,12,6,13,15,10,187,1022,16,0.0,0.0,11.6,5,60,5,Northampton County,North Carolina
2020-04-18,17,17,12,15,15,5,16,16,13,314,1012,20,5.9,0.0,9.1,7,65,4,Northampton County,North Carolina
2020-04-19,22,22,6,14,14,6,15,17,7,193,1013,11,0.7,0.0,11.6,8,69,5,Northampton County,North Carolina
2020-04-20,14,14,10,10,10,4,12,11,7,237,1004,12,22.8,0.0,6.6,9,84,3,Northampton County,North Carolina
