date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,19,19,11,15,15,6,15,16,9,147,1024,13,0.0,0.0,11.3,7,60,5,Okaloosa County,Florida
2020-03-02,21,21,16,19,19,6,19,20,13,191,1017,20,2.5,0.0,7.2,15,78,4,Okaloosa County,Florida
2020-03-03,23,23,19,21,21,6,21,22,10,220,1014,16,0.7,0.0,7.2,18,86,5,Okaloosa County,Florida
2020-03-04,23,23,18,21,21,5,22,22,10,209,1012,17,11.2,0.0,5.7,20,93,5,Okaloosa County,Florida
2020-03-05,23,23,16,19,19,5,20,21,13,266,1013,19,15.8,0.0,5.7,17,86,5,Okaloosa County,Florida
2020-03-06,17,17,12,12,12,6,14,15,14,350,1025,20,0.0,0.0,11.4,5,58,4,Okaloosa County,Florida
2020-03-07,16,16,6,10,10,6,11,12,10,34,1030,15,0.0,0.0,11.4,1,51,4,Okaloosa County,Florida
2020-03-08,17,17,10,12,12,6,13,14,11,126,1031,17,0.0,0.0,11.5,6,62,4,Okaloosa County,Florida
2020-03-09,19,19,14,16,16,6,17,18,13,137,1030,20,0.8,0.0,5.7,13,78,4,Okaloosa County,Florida
2020-03-10,22,22,17,18,18,6,19,19,7,178,1026,11,0.2,0.0,8.7,15,82,4,Okaloosa County,Florida
2020-03-11,23,23,17,19,19,4,20,21,7,214,1021,10,0.0,0.0,11.5,17,84,6,Okaloosa County,Florida
2020-03-12,24,24,18,20,20,4,21,21,8,218,1017,12,0.0,0.0,11.5,17,85,6,Okaloosa County,Florida
2020-03-13,24,24,18,20,20,4,21,22,6,215,1020,9,0.0,0.0,11.6,17,84,6,Okaloosa County,Florida
2020-03-14,24,24,18,21,22,6,22,22,5,139,1024,7,0.0,0.0,11.6,16,74,6,Okaloosa County,Florida
2020-03-15,27,27,17,22,23,6,23,23,4,164,1024,8,0.0,0.0,11.6,15,66,6,Okaloosa County,Florida
2020-03-16,25,25,18,21,22,6,22,22,6,136,1022,9,0.0,0.0,11.6,16,76,6,Okaloosa County,Florida
2020-03-17,25,25,19,22,23,6,23,23,5,168,1022,7,0.0,0.0,11.6,17,77,6,Okaloosa County,Florida
2020-03-18,24,24,19,22,23,5,23,23,9,153,1023,13,0.5,0.0,10.2,19,84,5,Okaloosa County,Florida
2020-03-19,25,25,20,22,23,4,23,23,10,160,1023,14,0.0,0.0,11.6,19,85,6,Okaloosa County,Florida
2020-03-20,25,25,20,22,24,4,24,24,9,185,1024,13,0.3,0.0,7.4,20,86,5,Okaloosa County,Florida
2020-03-21,24,24,19,22,23,5,23,23,4,174,1024,7,9.9,0.0,8.8,19,84,5,Okaloosa County,Florida
2020-03-22,24,24,17,20,20,6,21,21,6,94,1023,9,0.0,0.0,8.9,17,81,5,Okaloosa County,Florida
2020-03-23,25,25,20,22,24,6,24,24,9,209,1021,12,0.0,0.0,11.6,20,84,6,Okaloosa County,Florida
2020-03-24,25,25,21,23,24,6,24,24,11,207,1017,16,0.4,0.0,7.6,19,83,5,Okaloosa County,Florida
2020-03-25,27,27,21,24,26,5,26,25,11,251,1013,16,2.1,0.0,6.3,20,82,5,Okaloosa County,Florida
2020-03-26,26,26,19,23,24,6,24,24,7,155,1015,10,0.0,0.0,11.6,19,80,6,Okaloosa County,Florida
2020-03-27,26,26,21,23,25,5,25,24,9,203,1015,13,0.0,0.0,11.6,20,83,6,Okaloosa County,Florida
2020-03-28,26,26,22,24,26,6,26,25,11,186,1015,16,0.0,0.0,11.6,21,85,6,Okaloosa County,Florida
2020-03-29,27,27,22,24,27,5,27,26,8,204,1019,12,0.3,0.0,10.3,21,84,6,Okaloosa County,Florida
2020-03-30,26,26,19,22,24,6,24,23,7,112,1019,11,0.0,0.0,11.6,15,63,6,Okaloosa County,Florida
2020-03-31,28,28,21,23,25,5,25,25,16,257,1009,26,11.6,0.0,6.4,17,75,5,Okaloosa County,Florida
2020-04-01,22,22,11,15,15,6,16,17,11,235,1015,15,0.0,0.0,11.6,7,56,5,Okaloosa County,Florida
2020-04-02,22,22,12,17,17,6,18,18,7,111,1017,10,0.0,0.0,11.6,8,56,5,Okaloosa County,Florida
2020-04-03,23,23,16,19,19,6,20,20,6,142,1016,8,0.0,0.0,11.6,9,53,6,Okaloosa County,Florida
2020-04-04,26,26,16,20,22,6,22,22,6,89,1015,9,0.0,0.0,11.6,13,60,6,Okaloosa County,Florida
2020-04-05,25,25,19,21,21,4,21,21,6,250,1017,9,1.0,0.0,9.0,15,72,5,Okaloosa County,Florida
2020-04-06,24,24,18,21,22,6,22,22,5,160,1018,7,0.0,0.0,11.6,16,75,6,Okaloosa County,Florida
2020-04-07,25,25,19,22,23,6,23,23,7,194,1017,10,0.0,0.0,9.0,19,83,5,Okaloosa County,Florida
2020-04-08,27,27,22,24,26,6,26,25,12,245,1012,18,0.3,0.0,9.0,21,85,6,Okaloosa County,Florida
2020-04-09,29,29,22,25,27,6,27,26,10,277,1009,15,0.0,0.0,11.6,21,81,7,Okaloosa County,Florida
2020-04-10,22,22,15,19,19,5,20,19,12,15,1015,18,8.9,0.0,9.0,10,61,4,Okaloosa County,Florida
2020-04-11,21,21,12,16,16,6,17,18,10,128,1017,14,0.0,0.0,10.3,7,52,4,Okaloosa County,Florida
2020-04-12,26,26,20,23,25,6,25,24,18,172,1011,28,1.1,0.0,6.5,21,87,5,Okaloosa County,Florida
2020-04-13,27,27,20,23,25,5,25,24,10,273,1013,18,10.7,0.0,11.6,17,68,6,Okaloosa County,Florida
2020-04-14,26,26,15,20,20,6,21,22,8,161,1016,11,0.0,0.0,11.6,14,70,6,Okaloosa County,Florida
2020-04-15,21,21,12,15,15,6,16,16,12,13,1017,17,0.6,0.0,10.3,6,52,5,Okaloosa County,Florida
2020-04-16,23,23,11,16,16,6,17,18,12,57,1022,18,0.0,0.0,10.3,3,43,4,Okaloosa County,Florida
2020-04-17,22,22,16,19,19,5,20,20,10,140,1020,14,0.0,0.0,11.6,14,75,6,Okaloosa County,Florida
2020-04-18,27,27,20,22,24,5,24,24,5,283,1016,7,7.7,0.0,9.1,20,87,5,Okaloosa County,Florida
2020-04-19,26,26,21,24,26,5,26,24,14,222,1010,23,6.6,0.0,6.5,21,86,5,Okaloosa County,Florida
2020-04-20,25,25,18,21,21,4,22,22,11,303,1009,17,19.5,0.0,9.1,16,73,5,Okaloosa County,Florida
2020-04-21,26,26,16,21,21,6,21,22,5,283,1015,8,0.0,0.0,11.6,13,64,6,Okaloosa County,Florida
2020-04-22,25,25,18,21,22,6,22,22,9,129,1017,14,0.0,0.0,11.6,13,60,6,Okaloosa County,Florida
2020-04-23,23,23,20,22,24,5,24,22,15,220,1009,25,34.0,0.0,7.8,19,83,5,Okaloosa County,Florida
2020-04-24,28,28,19,23,24,5,24,24,6,294,1009,9,0.5,0.0,11.6,17,71,6,Okaloosa County,Florida
2020-04-25,26,26,19,23,24,6,24,24,9,227,1012,13,0.0,0.0,11.6,17,69,6,Okaloosa County,Florida
2020-04-26,24,24,17,20,20,6,20,21,12,320,1019,17,0.0,0.0,11.6,11,54,6,Okaloosa County,Florida
2020-04-27,26,26,12,18,18,6,19,20,7,73,1023,10,0.0,0.0,11.6,8,52,5,Okaloosa County,Florida
2020-04-28,24,24,16,20,20,6,21,22,10,146,1020,15,0.0,0.0,11.6,13,64,6,Okaloosa County,Florida
2020-04-29,23,23,19,22,24,4,24,23,15,205,1012,26,41.1,0.0,6.6,19,83,5,Okaloosa County,Florida
2020-04-30,23,23,15,18,18,6,19,20,11,301,1014,17,1.6,0.0,11.6,11,63,5,Okaloosa County,Florida
2020-05-01,24,24,15,19,19,6,19,21,7,158,1019,11,0.0,0.0,11.6,10,57,6,Okaloosa County,Florida
