date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,6,6,-5,-3,-3,6,-1,2,4,246,1024,7,0.0,0.0,11.0,-8,57,2,Okanogan County,Washington
2020-03-02,6,6,-5,-1,-1,6,1,3,5,173,1018,8,0.0,0.0,11.1,-5,66,2,Okanogan County,Washington
2020-03-03,10,10,-1,1,1,6,3,6,6,174,1015,11,0.0,0.0,10.1,-1,75,2,Okanogan County,Washington
2020-03-04,8,8,0,2,2,6,4,6,6,238,1020,9,0.1,0.0,11.2,-6,55,3,Okanogan County,Washington
2020-03-05,7,7,-2,0,0,6,1,4,4,192,1018,6,0.0,0.0,11.2,-4,66,2,Okanogan County,Washington
2020-03-06,10,10,-1,4,4,6,5,7,3,182,1013,4,0.0,0.0,5.6,0,73,2,Okanogan County,Washington
2020-03-07,5,5,-4,1,1,5,2,3,3,186,1009,5,9.6,0.0,5.6,0,85,1,Okanogan County,Washington
2020-03-08,6,6,-4,-2,-2,6,0,2,4,108,1017,6,0.2,0.0,7.1,-6,62,1,Okanogan County,Washington
2020-03-09,6,6,-5,-2,-2,6,0,3,3,175,1024,6,0.0,0.0,11.3,-11,48,2,Okanogan County,Washington
2020-03-10,8,8,0,2,2,5,3,5,5,169,1021,7,0.1,0.0,10.1,-5,55,3,Okanogan County,Washington
2020-03-11,8,8,-2,-1,-1,6,2,5,7,125,1018,11,0.0,0.0,11.4,-4,65,2,Okanogan County,Washington
2020-03-12,7,7,-4,-1,-1,6,1,3,3,238,1024,4,0.0,0.0,11.6,-8,52,2,Okanogan County,Washington
2020-03-13,3,3,-5,-4,-4,3,0,2,10,5,1013,14,8.3,5.2,5.9,-3,80,1,Okanogan County,Washington
2020-03-14,-4,-4,-8,-14,-14,4,-6,-5,16,8,1023,20,0.6,2.2,6.0,-11,67,1,Okanogan County,Washington
2020-03-15,-1,-1,-10,-13,-13,6,-6,-5,14,8,1028,20,0.0,0.0,11.6,-11,65,2,Okanogan County,Washington
2020-03-16,5,5,-7,-5,-5,6,-1,1,10,123,1026,14,0.0,0.0,11.6,-7,66,2,Okanogan County,Washington
2020-03-17,7,7,-3,-2,-2,6,1,3,7,122,1014,11,0.0,0.0,11.6,-3,76,2,Okanogan County,Washington
2020-03-18,9,9,-4,0,0,6,3,6,8,122,1013,13,0.0,0.0,11.6,-3,69,3,Okanogan County,Washington
2020-03-19,10,10,0,2,2,6,4,7,5,233,1019,8,0.0,0.0,11.6,-2,65,3,Okanogan County,Washington
2020-03-20,12,12,2,5,5,6,6,8,5,123,1024,8,0.0,0.0,11.6,1,70,3,Okanogan County,Washington
2020-03-21,13,13,3,7,7,6,9,9,6,123,1023,8,0.0,0.0,11.6,0,63,3,Okanogan County,Washington
2020-03-22,12,12,2,5,5,6,6,8,6,181,1016,9,0.0,0.0,6.3,-1,62,2,Okanogan County,Washington
2020-03-23,12,12,2,6,6,6,8,9,5,223,1007,7,0.0,0.0,11.6,-3,57,3,Okanogan County,Washington
2020-03-24,9,9,-3,2,2,6,3,6,2,203,1013,4,0.2,0.0,9.0,-5,53,2,Okanogan County,Washington
2020-03-25,9,9,0,1,1,6,4,5,7,9,1015,9,0.0,0.0,11.6,-7,51,3,Okanogan County,Washington
2020-03-26,9,9,-5,2,2,6,2,5,3,180,1014,4,0.0,0.0,11.6,-6,55,3,Okanogan County,Washington
2020-03-27,9,9,1,3,3,6,4,6,4,177,1014,6,0.0,0.0,11.6,-3,63,3,Okanogan County,Washington
2020-03-28,9,9,-1,2,2,6,4,7,6,162,1014,9,0.2,0.0,10.3,0,72,2,Okanogan County,Washington
2020-03-29,12,12,4,6,6,6,9,10,8,189,1010,12,1.7,0.0,7.7,1,68,2,Okanogan County,Washington
2020-03-30,11,11,2,4,4,5,7,9,12,222,1009,15,7.0,0.0,7.7,-2,58,2,Okanogan County,Washington
2020-03-31,9,9,1,4,4,6,5,7,3,302,1013,5,0.1,0.0,10.3,-5,51,2,Okanogan County,Washington
2020-04-01,7,7,-3,-2,-2,6,2,4,10,6,1018,14,0.0,0.0,7.8,-8,49,1,Okanogan County,Washington
2020-04-02,7,7,-3,-1,-1,6,1,4,6,118,1021,8,0.2,0.0,11.6,-9,50,2,Okanogan County,Washington
2020-04-03,8,8,-5,-1,-1,6,1,5,5,240,1015,7,0.1,0.0,11.6,-8,54,2,Okanogan County,Washington
2020-04-04,7,7,-6,-3,-3,6,0,3,5,157,1011,8,0.0,0.0,9.1,-9,52,1,Okanogan County,Washington
2020-04-05,8,8,-1,1,1,5,3,5,5,212,1005,7,0.6,0.1,6.6,-2,71,1,Okanogan County,Washington
2020-04-06,12,12,-3,2,2,6,4,8,5,237,1010,9,0.0,0.0,11.6,-2,67,3,Okanogan County,Washington
2020-04-07,14,14,-1,4,4,6,6,10,6,5,1018,10,0.0,0.0,11.6,-2,56,3,Okanogan County,Washington
2020-04-08,15,15,2,6,6,6,8,11,5,115,1024,8,0.0,0.0,10.4,-2,55,3,Okanogan County,Washington
2020-04-09,17,17,6,11,11,6,12,14,5,133,1018,7,0.0,0.0,11.6,2,57,4,Okanogan County,Washington
2020-04-10,19,19,8,11,11,6,12,15,7,5,1013,11,0.0,0.0,11.6,4,58,4,Okanogan County,Washington
2020-04-11,11,11,-1,4,4,5,7,9,14,121,1018,20,0.4,0.0,10.4,-5,49,2,Okanogan County,Washington
2020-04-12,10,10,-4,0,0,6,3,6,8,10,1026,13,0.0,0.0,11.6,-10,40,3,Okanogan County,Washington
2020-04-13,13,13,-4,5,5,6,6,9,3,74,1027,5,0.0,0.0,11.6,-7,42,3,Okanogan County,Washington
2020-04-14,16,16,3,10,10,6,11,13,4,34,1021,7,0.0,0.0,11.6,0,56,4,Okanogan County,Washington
2020-04-15,15,15,3,8,8,6,11,13,8,12,1024,11,0.0,0.0,11.6,0,61,4,Okanogan County,Washington
2020-04-16,14,14,2,7,7,6,8,10,5,182,1025,7,0.0,0.0,11.6,-3,53,4,Okanogan County,Washington
2020-04-17,15,15,1,8,8,6,9,12,6,171,1013,9,0.0,0.0,11.6,0,52,4,Okanogan County,Washington
2020-04-18,17,17,5,9,9,6,10,13,6,343,1011,9,0.5,0.0,9.2,3,62,3,Okanogan County,Washington
2020-04-19,18,18,4,12,12,6,12,15,3,250,1015,5,0.0,0.0,14.0,4,58,4,Okanogan County,Washington
2020-04-20,19,19,6,11,11,6,12,15,5,187,1015,8,0.0,0.0,14.0,2,56,5,Okanogan County,Washington
2020-04-21,20,20,5,13,13,6,14,16,3,257,1017,5,0.0,0.0,14.4,2,55,5,Okanogan County,Washington
2020-04-22,10,10,-2,5,5,5,6,8,3,193,1017,5,7.2,0.0,10.1,3,77,2,Okanogan County,Washington
2020-04-23,16,16,3,10,10,5,11,13,4,305,1018,6,0.2,0.0,13.4,2,64,4,Okanogan County,Washington
2020-04-24,16,16,5,10,10,6,11,13,5,186,1021,7,0.0,0.0,14.5,1,57,4,Okanogan County,Washington
2020-04-25,14,14,4,9,9,6,10,12,7,191,1016,9,0.7,0.0,10.2,4,66,3,Okanogan County,Washington
2020-04-26,16,16,4,10,10,6,11,13,5,180,1015,7,0.0,0.0,13.4,1,53,3,Okanogan County,Washington
2020-04-27,18,18,5,10,10,6,11,14,10,243,1013,15,0.0,0.0,14.5,-1,51,4,Okanogan County,Washington
2020-04-28,16,16,0,9,9,6,10,13,5,181,1023,7,0.0,0.0,13.4,0,55,3,Okanogan County,Washington
2020-04-29,16,16,4,12,12,6,12,14,5,182,1013,8,0.0,0.0,14.5,4,58,4,Okanogan County,Washington
2020-04-30,19,19,9,14,14,6,14,16,4,277,1013,6,0.0,0.0,12.4,4,56,4,Okanogan County,Washington
2020-05-01,17,17,5,11,11,6,13,14,6,173,1017,8,0.0,0.0,14.5,0,51,4,Okanogan County,Washington
2020-05-02,12,12,2,7,7,5,8,11,5,176,1012,8,17.8,0.0,11.4,2,68,3,Okanogan County,Washington
2020-05-03,15,15,4,8,8,6,10,12,6,210,1019,10,3.2,0.0,11.4,-1,57,3,Okanogan County,Washington
2020-05-04,15,15,1,8,8,6,10,12,4,189,1022,6,0.0,0.0,14.5,-2,49,3,Okanogan County,Washington
2020-05-05,18,18,5,12,12,6,12,15,3,224,1020,5,0.0,0.0,14.5,2,53,5,Okanogan County,Washington
2020-05-06,13,13,4,9,9,5,11,12,6,309,1021,9,16.3,0.0,9.3,2,61,3,Okanogan County,Washington
2020-05-07,17,17,-1,8,8,6,9,13,3,102,1028,6,0.0,0.0,14.5,-1,53,4,Okanogan County,Washington
2020-05-08,20,20,7,13,13,6,15,16,4,188,1025,6,0.0,0.0,14.5,3,55,5,Okanogan County,Washington
2020-05-09,22,22,5,15,15,6,17,19,4,251,1021,6,0.0,0.0,14.5,4,54,5,Okanogan County,Washington
2020-05-10,23,23,7,16,16,6,17,20,4,169,1015,6,0.0,0.0,14.5,4,49,5,Okanogan County,Washington
2020-05-11,22,22,12,17,17,6,18,19,5,18,1008,8,0.0,0.0,14.5,4,48,5,Okanogan County,Washington
2020-05-12,11,11,3,7,7,5,8,10,6,184,1004,9,9.7,0.0,9.4,6,84,2,Okanogan County,Washington
2020-05-13,19,19,4,11,11,6,11,16,4,199,1007,6,2.5,0.0,11.5,4,65,4,Okanogan County,Washington
2020-05-14,17,17,5,10,10,5,11,14,6,177,1013,10,2.2,0.0,10.5,5,70,3,Okanogan County,Washington
2020-05-15,18,18,2,12,12,6,13,15,5,182,1016,7,0.0,0.0,11.5,4,66,5,Okanogan County,Washington
2020-05-16,18,18,5,12,12,4,12,16,3,185,1009,4,0.7,0.0,11.5,5,68,4,Okanogan County,Washington
2020-05-17,19,19,10,13,13,3,14,15,4,183,1004,6,20.3,0.0,9.5,9,80,4,Okanogan County,Washington
2020-05-18,20,20,7,13,13,5,13,17,4,199,1006,6,1.6,0.0,12.5,7,69,4,Okanogan County,Washington
2020-05-19,22,22,8,15,15,5,16,19,3,315,1010,4,1.0,0.0,12.5,7,58,4,Okanogan County,Washington
2020-05-20,22,22,11,16,16,6,17,19,4,319,1008,7,0.5,0.0,13.5,7,62,4,Okanogan County,Washington
2020-05-21,18,18,8,12,12,5,12,15,3,248,1008,5,0.5,0.0,12.5,3,58,4,Okanogan County,Washington
2020-05-22,16,16,4,8,8,6,9,12,6,162,1013,8,0.0,0.0,9.6,2,59,3,Okanogan County,Washington
2020-05-23,18,18,1,11,11,6,12,15,4,188,1018,6,0.0,0.0,14.5,1,55,4,Okanogan County,Washington
2020-05-24,20,20,5,13,13,6,14,17,5,178,1018,8,0.0,0.0,14.5,4,56,5,Okanogan County,Washington
2020-05-25,20,20,8,14,14,6,15,18,6,199,1014,9,0.0,0.0,14.5,6,60,5,Okanogan County,Washington
2020-05-26,23,23,5,14,14,6,15,19,5,188,1015,9,0.0,0.0,14.5,4,55,5,Okanogan County,Washington
2020-05-27,23,23,6,14,14,6,15,19,4,188,1019,6,0.0,0.0,14.5,2,43,5,Okanogan County,Washington
2020-05-28,24,24,10,17,17,6,18,20,3,253,1017,6,0.0,0.0,14.5,3,43,6,Okanogan County,Washington
