date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,15,15,13,13,13,6,14,14,9,236,1014,11,1.3,0.0,8.6,7,66,3,Orange County,California
2020-03-02,19,19,12,15,15,6,16,16,6,215,1012,8,1.5,0.0,11.3,4,46,5,Orange County,California
2020-03-03,24,24,16,20,20,6,20,22,6,288,1015,8,0.0,0.0,11.3,2,32,6,Orange County,California
2020-03-04,22,22,18,20,20,6,21,21,4,202,1019,5,0.0,0.0,11.4,12,61,6,Orange County,California
2020-03-05,23,23,14,18,18,6,19,20,4,284,1020,6,0.0,0.0,7.2,11,64,5,Orange County,California
2020-03-06,21,21,14,17,17,6,17,19,5,233,1016,6,0.0,0.0,8.7,11,71,4,Orange County,California
2020-03-07,16,16,13,14,14,6,14,15,6,220,1015,7,0.9,0.0,8.7,9,71,3,Orange County,California
2020-03-08,19,19,13,15,15,6,15,17,4,217,1016,5,0.4,0.0,10.1,8,61,4,Orange County,California
2020-03-09,20,20,14,17,17,6,17,18,6,195,1018,8,0.0,0.0,11.5,7,53,5,Orange County,California
2020-03-10,20,20,15,17,17,5,17,18,8,157,1017,11,5.3,0.0,8.7,13,75,4,Orange County,California
2020-03-11,21,21,16,18,18,5,18,19,5,221,1016,7,4.2,0.0,7.2,12,71,4,Orange County,California
2020-03-12,20,20,14,17,17,6,17,18,4,247,1010,5,4.2,0.0,8.7,12,72,4,Orange County,California
2020-03-13,16,16,14,15,15,6,15,15,6,192,1013,7,3.5,0.0,5.8,10,75,4,Orange County,California
2020-03-14,17,17,14,15,15,6,15,16,6,221,1018,7,2.8,0.0,5.8,11,75,4,Orange County,California
2020-03-15,16,16,14,15,15,6,15,16,5,205,1020,6,1.0,0.0,7.4,9,67,4,Orange County,California
2020-03-16,15,15,13,13,13,5,14,15,11,177,1016,13,5.6,0.0,6.0,8,68,3,Orange County,California
2020-03-17,15,15,12,13,13,6,14,14,6,225,1015,7,0.3,0.0,11.6,4,52,4,Orange County,California
2020-03-18,17,17,10,13,13,6,14,15,8,274,1010,10,0.0,0.0,11.6,4,54,5,Orange County,California
2020-03-19,15,15,12,12,12,6,13,14,9,228,1017,11,4.8,0.0,6.2,7,64,3,Orange County,California
2020-03-20,17,17,12,15,15,6,15,16,6,188,1021,7,0.2,0.0,8.9,8,65,4,Orange County,California
2020-03-21,18,18,12,15,15,6,15,16,5,225,1021,6,1.9,0.0,8.9,9,67,4,Orange County,California
2020-03-22,18,18,14,15,15,5,16,17,7,160,1019,8,4.4,0.0,8.9,10,69,4,Orange County,California
