date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,22,22,10,16,16,6,17,18,6,98,1026,9,0.0,0.0,11.6,4,47,5,Orange County,Florida
2020-03-02,24,24,14,19,19,6,19,21,9,170,1021,14,0.1,0.0,10.2,11,63,5,Orange County,Florida
2020-03-03,28,28,16,22,23,6,23,24,9,208,1017,14,0.0,0.0,11.6,15,68,6,Orange County,Florida
2020-03-04,30,30,19,24,25,5,25,26,8,206,1016,12,0.0,0.0,11.6,18,73,7,Orange County,Florida
2020-03-05,31,31,21,25,27,4,27,27,12,217,1015,16,0.6,0.0,8.8,20,75,6,Orange County,Florida
2020-03-06,23,23,17,20,20,6,21,21,13,325,1019,18,0.3,0.0,11.6,10,55,6,Orange County,Florida
2020-03-07,17,17,9,12,12,6,13,14,13,30,1027,17,0.0,0.0,11.6,2,46,4,Orange County,Florida
2020-03-08,21,21,11,16,16,6,16,18,10,85,1030,14,0.0,0.0,11.6,9,61,5,Orange County,Florida
2020-03-09,22,22,15,18,18,6,18,19,10,106,1031,15,0.3,0.0,7.4,12,69,4,Orange County,Florida
2020-03-10,26,26,17,20,21,6,21,22,8,119,1027,11,2.0,0.0,7.4,15,73,5,Orange County,Florida
2020-03-11,28,28,18,22,22,6,22,24,5,143,1021,7,0.2,0.0,8.8,15,69,5,Orange County,Florida
2020-03-12,29,29,20,23,23,6,23,25,4,196,1018,6,0.2,0.0,11.6,16,66,7,Orange County,Florida
2020-03-13,31,31,19,24,25,6,25,26,5,161,1021,8,0.1,0.0,11.6,16,62,7,Orange County,Florida
2020-03-14,30,30,20,25,26,6,26,26,6,108,1024,8,0.0,0.0,11.6,17,66,7,Orange County,Florida
2020-03-15,31,31,20,26,27,6,27,27,5,73,1023,6,0.0,0.0,11.6,17,66,7,Orange County,Florida
2020-03-16,27,27,20,23,25,6,25,25,6,82,1023,9,1.0,0.0,8.8,18,72,5,Orange County,Florida
2020-03-17,29,29,20,24,24,6,24,26,7,139,1023,10,0.0,0.0,11.6,17,70,7,Orange County,Florida
2020-03-18,29,29,20,24,25,6,25,26,8,112,1024,11,0.0,0.0,11.6,17,68,7,Orange County,Florida
2020-03-19,29,29,20,24,25,6,25,26,8,128,1025,12,0.2,0.0,10.2,18,73,6,Orange County,Florida
2020-03-20,30,30,20,24,25,6,25,27,8,147,1025,11,0.0,0.0,11.6,18,71,7,Orange County,Florida
2020-03-21,32,32,21,26,27,6,27,27,4,194,1024,6,0.1,0.0,11.6,18,68,7,Orange County,Florida
2020-03-22,30,30,21,26,27,6,27,27,6,153,1022,8,0.0,0.0,11.6,17,64,7,Orange County,Florida
2020-03-23,31,31,21,25,26,6,26,27,6,191,1022,8,0.1,0.0,11.6,17,67,7,Orange County,Florida
2020-03-24,30,30,22,25,27,6,27,27,6,222,1019,8,0.0,0.0,11.6,17,61,6,Orange County,Florida
2020-03-25,30,30,20,25,26,6,26,27,10,262,1014,14,0.0,0.0,10.2,18,68,6,Orange County,Florida
2020-03-26,31,31,21,25,27,6,27,27,8,65,1015,11,0.9,0.0,8.8,19,74,6,Orange County,Florida
2020-03-27,32,32,21,27,29,4,29,28,7,153,1017,9,0.2,0.0,11.6,19,71,7,Orange County,Florida
2020-03-28,33,33,22,27,29,6,29,29,7,170,1018,10,0.0,0.0,11.6,17,62,7,Orange County,Florida
2020-03-29,35,35,21,28,29,6,29,29,6,189,1020,8,0.0,0.0,11.6,19,67,7,Orange County,Florida
2020-03-30,35,35,22,28,30,6,30,30,3,194,1018,4,0.0,0.0,10.2,20,67,6,Orange County,Florida
2020-03-31,31,31,23,26,28,6,28,28,12,237,1010,15,0.3,0.0,11.6,19,65,7,Orange County,Florida
2020-04-01,25,25,15,20,20,6,21,21,10,321,1011,13,0.3,0.0,11.6,10,54,6,Orange County,Florida
2020-04-02,28,28,16,21,22,6,22,23,6,228,1016,7,0.0,0.0,11.6,10,54,6,Orange County,Florida
2020-04-03,30,30,17,23,23,6,23,25,3,218,1016,4,0.0,0.0,11.6,11,53,6,Orange County,Florida
2020-04-04,31,31,20,26,27,6,27,28,3,225,1014,4,0.4,0.0,11.6,14,54,7,Orange County,Florida
2020-04-05,22,22,18,20,20,5,21,22,7,87,1016,10,2.2,0.0,6.2,15,74,5,Orange County,Florida
2020-04-06,25,25,18,21,22,6,22,23,9,96,1018,13,0.1,0.0,6.2,15,69,5,Orange County,Florida
2020-04-07,31,31,19,24,25,6,25,27,5,143,1018,8,0.0,0.0,11.6,17,66,7,Orange County,Florida
2020-04-08,32,32,21,26,28,6,28,28,9,278,1013,12,0.0,0.0,11.6,19,67,7,Orange County,Florida
2020-04-09,31,31,22,26,28,6,28,28,12,275,1010,16,0.0,0.0,11.6,20,71,7,Orange County,Florida
2020-04-10,27,27,20,24,25,6,25,26,10,128,1012,13,0.6,0.0,8.9,16,67,6,Orange County,Florida
2020-04-11,28,28,18,23,23,6,23,25,9,111,1017,12,0.0,0.0,10.3,13,56,5,Orange County,Florida
2020-04-12,32,32,22,26,29,5,29,28,13,150,1016,19,11.0,0.0,6.2,21,75,6,Orange County,Florida
2020-04-13,35,35,25,30,32,6,32,31,14,220,1016,20,1.4,0.0,11.6,20,64,8,Orange County,Florida
2020-04-14,34,34,24,28,30,6,30,30,9,209,1016,12,2.3,0.0,7.6,20,66,7,Orange County,Florida
2020-04-15,33,33,23,27,29,5,29,29,11,237,1014,15,5.4,0.0,7.7,20,72,6,Orange County,Florida
2020-04-16,18,18,11,17,17,4,18,17,12,33,1019,17,12.2,0.0,6.5,15,84,4,Orange County,Florida
2020-04-17,26,26,18,22,23,6,23,23,9,90,1020,14,1.9,0.0,6.5,18,79,5,Orange County,Florida
2020-04-18,29,29,22,25,28,4,28,27,9,268,1016,13,10.1,0.0,7.8,20,75,6,Orange County,Florida
2020-04-19,34,34,23,28,30,6,30,30,8,223,1014,10,0.0,0.0,11.6,18,59,7,Orange County,Florida
2020-04-20,31,31,22,27,29,5,29,29,16,247,1009,24,7.9,0.0,9.1,19,66,6,Orange County,Florida
2020-04-21,31,31,21,25,26,6,26,28,7,307,1013,10,0.0,0.0,11.6,15,57,7,Orange County,Florida
2020-04-22,29,29,20,24,24,6,24,26,9,58,1017,13,0.0,0.0,11.6,12,52,7,Orange County,Florida
2020-04-23,32,32,20,26,27,5,27,28,12,178,1014,17,3.6,0.0,10.3,17,62,6,Orange County,Florida
2020-04-24,27,27,21,24,27,3,27,26,10,192,1012,18,52.4,0.0,7.8,21,81,6,Orange County,Florida
2020-04-25,32,32,21,26,28,6,28,29,9,230,1013,12,3.1,0.0,9.1,21,73,6,Orange County,Florida
2020-04-26,32,32,24,27,29,6,29,29,9,280,1016,12,0.1,0.0,10.3,17,60,6,Orange County,Florida
2020-04-27,26,26,17,22,22,6,22,23,9,244,1020,12,0.0,0.0,11.6,9,46,6,Orange County,Florida
2020-04-28,27,27,17,21,22,6,22,24,8,108,1021,12,0.0,0.0,11.6,13,60,6,Orange County,Florida
