date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,-3,-3,-11,-11,-11,4,-7,-6,7,306,1020,11,1.5,1.1,10.1,-9,85,1,Oswego County,New York
2020-03-02,7,7,-1,-1,-1,5,3,4,10,178,1008,18,20.7,0.0,5.6,2,91,1,Oswego County,New York
2020-03-03,7,7,-1,1,1,3,4,4,8,125,1002,14,14.8,0.0,5.6,3,94,1,Oswego County,New York
2020-03-04,3,3,1,-4,-4,4,2,2,16,274,1005,22,1.8,1.4,5.6,-1,85,1,Oswego County,New York
2020-03-05,2,2,-6,-4,-4,6,0,0,8,291,1018,12,0.0,0.0,10.1,-3,79,1,Oswego County,New York
2020-03-06,2,2,-2,-4,-4,2,0,2,12,68,1015,19,7.6,3.3,5.8,-2,83,1,Oswego County,New York
2020-03-07,-2,-2,-9,-10,-10,5,-4,-4,10,313,1028,14,0.2,0.2,11.6,-8,73,2,Oswego County,New York
2020-03-08,8,8,-4,0,0,6,3,4,6,253,1026,10,0.0,0.0,11.6,-3,71,2,Oswego County,New York
2020-03-09,14,14,3,7,7,6,9,10,6,244,1022,11,0.0,0.0,11.6,3,73,3,Oswego County,New York
2020-03-10,12,12,2,5,5,5,8,10,12,213,1014,20,10.6,0.0,5.9,5,87,2,Oswego County,New York
2020-03-11,2,2,-2,-3,-3,5,0,0,5,267,1022,8,0.4,0.2,7.3,-6,68,1,Oswego County,New York
2020-03-12,10,10,0,2,2,6,5,7,8,153,1017,14,0.0,0.0,5.9,1,75,2,Oswego County,New York
2020-03-13,11,11,2,2,2,5,6,7,20,266,1008,31,17.1,0.0,10.2,2,74,2,Oswego County,New York
2020-03-14,3,3,-3,-4,-4,6,1,2,14,281,1026,20,0.0,0.0,10.2,-3,73,1,Oswego County,New York
2020-03-15,1,1,-4,-7,-7,6,-2,-1,10,349,1036,13,0.0,0.0,11.6,-9,56,2,Oswego County,New York
2020-03-16,7,7,-4,-2,-2,6,1,2,8,155,1031,12,0.0,0.0,11.6,-9,48,2,Oswego County,New York
2020-03-17,5,5,1,-2,-2,5,3,4,13,269,1020,20,9.4,0.0,6.0,1,85,1,Oswego County,New York
2020-03-18,5,5,-2,0,0,5,1,3,5,160,1030,9,0.3,0.0,7.4,-4,67,1,Oswego County,New York
2020-03-19,10,10,4,4,4,5,7,8,11,125,1022,17,6.2,0.0,6.0,5,86,2,Oswego County,New York
2020-03-20,17,17,3,9,9,5,12,14,17,237,1009,28,5.5,0.0,6.1,8,85,3,Oswego County,New York
2020-03-21,-1,-1,-5,-9,-9,5,-3,-3,11,333,1032,14,0.2,0.1,11.6,-12,51,2,Oswego County,New York
2020-03-22,4,4,-5,-4,-4,6,-1,1,6,160,1038,9,0.0,0.0,11.6,-13,42,2,Oswego County,New York
2020-03-23,2,2,-5,-5,-5,2,1,1,14,143,1025,21,26.0,7.9,6.1,-1,89,1,Oswego County,New York
2020-03-24,4,4,-3,-1,-1,3,1,2,4,334,1022,6,0.9,0.8,7.5,0,93,1,Oswego County,New York
2020-03-25,6,6,-2,-2,-2,6,2,4,9,141,1019,15,0.0,0.0,6.3,0,88,1,Oswego County,New York
2020-03-26,13,13,1,4,4,6,7,8,9,196,1013,15,2.8,0.0,7.7,4,88,2,Oswego County,New York
