date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,6,6,-2,-2,-2,6,2,3,14,198,1013,22,0.0,0.0,8.6,-1,76,1,Ottawa County,Michigan
2020-03-02,4,4,1,-1,-1,6,3,3,9,296,1007,13,0.0,0.0,10.1,0,81,1,Ottawa County,Michigan
2020-03-03,5,5,1,-1,-1,5,2,3,12,252,1003,17,0.6,0.2,8.6,-1,79,1,Ottawa County,Michigan
2020-03-04,2,2,-4,-4,-4,5,1,1,12,298,1012,17,0.5,0.3,10.1,-3,76,1,Ottawa County,Michigan
2020-03-05,8,8,0,-1,-1,5,3,4,13,210,1014,18,0.4,0.0,5.6,-2,71,1,Ottawa County,Michigan
2020-03-06,3,3,-2,-4,-4,5,1,2,15,355,1023,20,0.3,0.1,8.6,-3,77,1,Ottawa County,Michigan
2020-03-07,7,7,-2,-2,-2,6,2,3,9,207,1031,15,0.0,0.0,11.3,-6,60,2,Ottawa County,Michigan
2020-03-08,12,12,2,3,3,6,7,8,17,206,1022,29,0.0,0.0,11.4,-1,57,3,Ottawa County,Michigan
2020-03-09,11,11,7,7,7,4,10,10,19,207,1016,32,8.2,0.0,5.7,6,78,3,Ottawa County,Michigan
2020-03-10,7,7,2,1,1,6,5,4,12,330,1019,16,1.8,0.0,10.1,1,77,2,Ottawa County,Michigan
2020-03-11,7,7,1,2,2,6,4,5,5,229,1018,7,0.2,0.0,5.7,1,81,1,Ottawa County,Michigan
2020-03-12,13,13,1,4,4,5,7,7,11,171,1008,18,0.7,0.0,8.7,4,82,2,Ottawa County,Michigan
2020-03-13,5,5,0,-3,-3,5,3,3,19,277,1018,27,0.0,0.0,11.6,-4,62,2,Ottawa County,Michigan
2020-03-14,4,4,-1,-3,-3,5,1,2,7,337,1034,11,0.2,0.1,8.8,-4,70,1,Ottawa County,Michigan
2020-03-15,5,5,-2,-3,-3,6,1,2,8,67,1037,12,0.0,0.0,11.6,-4,71,2,Ottawa County,Michigan
2020-03-16,5,5,-1,-3,-3,6,2,3,10,209,1027,14,0.0,0.0,8.8,-2,75,1,Ottawa County,Michigan
2020-03-17,3,3,0,-2,-2,6,2,2,10,292,1024,15,0.0,0.0,11.6,-4,68,2,Ottawa County,Michigan
2020-03-18,9,9,0,2,2,6,4,6,7,137,1024,11,0.0,0.0,6.0,-2,64,2,Ottawa County,Michigan
2020-03-19,11,11,2,3,3,5,6,7,12,133,1015,20,7.9,0.0,8.8,6,89,2,Ottawa County,Michigan
2020-03-20,4,4,-3,-3,-3,4,3,2,17,330,1018,23,6.3,0.0,7.4,-1,80,1,Ottawa County,Michigan
2020-03-21,3,3,-5,-6,-6,6,-2,-1,7,148,1036,10,0.0,0.0,11.6,-11,52,2,Ottawa County,Michigan
2020-03-22,5,5,-4,-4,-4,5,0,2,9,134,1032,13,1.0,0.3,10.3,-7,64,1,Ottawa County,Michigan
2020-03-23,4,4,-2,-1,-1,4,1,2,5,300,1022,6,1.8,1.3,7.6,-1,90,1,Ottawa County,Michigan
2020-03-24,8,8,-1,1,1,6,3,5,6,95,1020,9,0.0,0.0,10.3,0,78,3,Ottawa County,Michigan
2020-03-25,10,10,1,3,3,6,6,7,7,214,1014,12,0.0,0.0,11.6,2,77,3,Ottawa County,Michigan
2020-03-26,12,12,6,7,7,5,8,10,6,234,1011,10,0.2,0.0,6.3,6,85,2,Ottawa County,Michigan
2020-03-27,13,13,2,5,5,5,8,8,9,106,1014,13,3.9,0.0,11.6,4,78,3,Ottawa County,Michigan
2020-03-28,12,12,8,6,6,4,9,9,14,98,1007,21,8.0,0.0,6.4,8,93,2,Ottawa County,Michigan
2020-03-29,10,10,5,4,4,5,8,8,22,222,1000,34,2.4,0.0,7.7,6,84,2,Ottawa County,Michigan
2020-03-30,5,5,1,-2,-2,5,3,4,16,317,1017,22,1.7,0.0,6.4,1,86,1,Ottawa County,Michigan
2020-03-31,7,7,0,1,1,5,4,5,7,33,1018,11,0.3,0.0,6.4,2,86,1,Ottawa County,Michigan
2020-04-01,9,9,3,3,3,5,5,6,6,119,1018,9,0.3,0.0,6.4,3,84,2,Ottawa County,Michigan
2020-04-02,12,12,3,5,5,6,7,8,5,210,1021,8,0.0,0.0,11.6,2,73,3,Ottawa County,Michigan
2020-04-03,16,16,4,9,9,6,10,11,4,124,1019,8,0.0,0.0,11.6,2,60,4,Ottawa County,Michigan
2020-04-04,7,7,3,4,4,5,6,6,9,305,1018,14,1.1,0.0,6.5,3,81,2,Ottawa County,Michigan
2020-04-05,12,12,-1,2,2,6,5,7,6,122,1023,10,0.0,0.0,11.6,-2,63,3,Ottawa County,Michigan
2020-04-06,14,14,3,7,7,6,9,10,6,187,1018,9,1.5,0.0,10.3,1,62,3,Ottawa County,Michigan
2020-04-07,18,18,10,12,12,4,13,14,9,222,1007,15,5.3,0.0,7.8,11,86,3,Ottawa County,Michigan
2020-04-08,14,14,8,10,10,4,11,12,7,269,1004,11,4.1,0.0,11.6,8,85,4,Ottawa County,Michigan
2020-04-09,5,5,2,-1,-1,6,4,4,17,300,1005,23,0.3,0.0,9.1,-2,67,1,Ottawa County,Michigan
2020-04-10,4,4,0,-2,-2,5,2,3,13,304,1014,18,0.2,0.0,9.1,-4,65,1,Ottawa County,Michigan
2020-04-11,12,12,0,4,4,5,7,8,9,225,1012,14,2.4,0.0,11.6,1,68,3,Ottawa County,Michigan
2020-04-12,14,14,8,9,9,4,11,11,10,159,1005,16,1.0,0.0,6.6,9,88,3,Ottawa County,Michigan
2020-04-13,3,3,-2,-1,-1,3,4,2,20,293,1005,27,3.4,0.0,6.6,0,76,1,Ottawa County,Michigan
