date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,18,18,11,14,14,5,14,15,10,189,1016,16,3.8,0.0,5.8,11,79,4,Ouachita County,Arkansas
2020-03-02,21,21,16,18,18,5,18,19,8,218,1009,14,4.8,0.0,5.9,16,88,4,Ouachita County,Arkansas
2020-03-03,19,19,14,16,16,6,16,17,4,170,1011,7,3.9,0.0,8.7,13,83,5,Ouachita County,Arkansas
2020-03-04,13,13,10,12,12,5,12,12,6,218,1015,9,16.9,0.0,5.9,10,89,3,Ouachita County,Arkansas
2020-03-05,20,20,10,13,13,5,14,15,6,333,1021,10,5.5,0.0,11.6,8,72,5,Ouachita County,Arkansas
2020-03-06,16,16,5,9,9,6,10,11,6,125,1031,11,0.0,0.0,11.6,1,55,4,Ouachita County,Arkansas
2020-03-07,15,15,4,8,8,6,9,11,5,116,1032,8,0.0,0.0,10.2,2,65,3,Ouachita County,Arkansas
2020-03-08,19,19,5,11,11,6,11,13,6,169,1027,10,0.0,0.0,11.6,6,70,4,Ouachita County,Arkansas
2020-03-09,16,16,8,13,13,5,14,15,9,179,1023,16,13.1,0.0,5.9,13,90,4,Ouachita County,Arkansas
2020-03-10,24,24,15,18,18,4,19,19,4,323,1023,7,0.7,0.0,10.2,14,80,4,Ouachita County,Arkansas
2020-03-11,24,24,13,19,19,5,19,21,6,233,1017,10,6.1,0.0,6.0,16,87,5,Ouachita County,Arkansas
2020-03-12,27,27,18,21,22,5,22,22,8,211,1011,12,8.5,0.0,8.8,18,86,5,Ouachita County,Arkansas
2020-03-13,15,15,2,11,11,3,12,11,9,51,1020,14,65.0,0.0,6.0,12,95,3,Ouachita County,Arkansas
2020-03-14,21,21,10,15,15,4,16,16,4,110,1022,7,5.4,0.0,6.0,13,91,4,Ouachita County,Arkansas
2020-03-15,11,11,8,8,8,5,10,9,8,39,1027,12,16.9,0.0,6.0,8,89,2,Ouachita County,Arkansas
2020-03-16,10,10,4,7,7,4,8,9,5,50,1025,7,13.8,0.0,6.0,8,92,2,Ouachita County,Arkansas
2020-03-17,20,20,9,14,14,3,14,16,4,62,1022,7,0.0,0.0,6.0,12,90,4,Ouachita County,Arkansas
2020-03-18,24,24,14,19,19,4,19,21,6,204,1018,9,5.1,0.0,6.0,17,89,5,Ouachita County,Arkansas
2020-03-19,25,25,19,21,23,5,23,22,10,196,1016,16,4.3,0.0,6.0,19,87,5,Ouachita County,Arkansas
2020-03-20,20,20,12,18,18,5,18,19,6,264,1022,10,15.9,0.0,6.0,16,91,4,Ouachita County,Arkansas
2020-03-21,16,16,6,9,9,6,10,11,7,52,1029,10,0.0,0.0,8.8,6,75,3,Ouachita County,Arkansas
2020-03-22,14,14,8,10,10,4,11,10,5,81,1022,7,19.6,0.0,6.1,9,93,3,Ouachita County,Arkansas
2020-03-23,18,18,13,15,15,3,15,15,4,71,1018,5,8.7,0.0,6.1,14,94,4,Ouachita County,Arkansas
2020-03-24,26,26,14,19,19,6,20,21,7,224,1011,12,4.1,0.0,6.1,17,89,5,Ouachita County,Arkansas
2020-03-25,25,25,10,17,17,4,18,18,5,126,1013,8,0.1,0.0,11.6,13,79,5,Ouachita County,Arkansas
2020-03-26,30,30,15,22,23,4,23,23,7,209,1010,12,0.0,0.0,11.6,17,77,6,Ouachita County,Arkansas
2020-03-27,30,30,19,24,25,5,25,25,8,209,1009,14,0.0,0.0,10.2,19,76,5,Ouachita County,Arkansas
2020-03-28,24,24,14,20,22,5,22,23,9,233,1009,14,13.4,0.0,6.1,18,86,5,Ouachita County,Arkansas
2020-03-29,23,23,9,16,16,6,17,17,3,344,1019,6,0.0,0.0,11.6,8,65,5,Ouachita County,Arkansas
2020-03-30,17,17,11,13,13,4,14,15,6,84,1020,10,19.3,0.0,7.5,9,75,3,Ouachita County,Arkansas
2020-03-31,18,18,11,13,13,4,13,14,5,131,1014,7,26.6,0.0,8.9,10,83,3,Ouachita County,Arkansas
2020-04-01,22,22,9,15,15,4,16,18,4,100,1016,7,0.0,0.0,11.6,9,70,4,Ouachita County,Arkansas
2020-04-02,23,23,11,16,16,6,17,18,6,151,1016,10,0.0,0.0,11.6,11,72,5,Ouachita County,Arkansas
2020-04-03,20,20,14,17,17,5,16,17,3,129,1016,6,1.0,0.0,9.0,14,87,4,Ouachita County,Arkansas
2020-04-04,18,18,13,15,15,5,15,15,4,56,1017,6,12.6,0.0,6.4,14,92,4,Ouachita County,Arkansas
2020-04-05,24,24,14,18,18,4,18,19,2,222,1018,4,0.9,0.0,6.4,15,83,4,Ouachita County,Arkansas
2020-04-06,24,24,14,19,19,4,20,20,3,167,1017,5,0.1,0.0,10.3,16,83,6,Ouachita County,Arkansas
2020-04-07,28,28,18,22,23,5,23,23,6,219,1013,10,6.4,0.0,6.4,20,89,5,Ouachita County,Arkansas
2020-04-08,31,31,20,25,26,4,26,27,7,238,1008,11,2.5,0.0,7.7,21,81,6,Ouachita County,Arkansas
2020-04-09,23,23,14,19,19,6,20,19,8,53,1013,12,0.9,0.0,11.6,12,67,5,Ouachita County,Arkansas
2020-04-10,18,18,9,12,12,6,13,13,7,58,1019,10,0.0,0.0,11.6,3,52,4,Ouachita County,Arkansas
2020-04-11,23,23,6,14,14,6,15,16,5,163,1014,9,4.0,0.0,10.3,8,69,5,Ouachita County,Arkansas
2020-04-12,21,21,15,18,18,4,18,19,6,104,1002,12,78.7,0.0,6.5,17,95,4,Ouachita County,Arkansas
2020-04-13,15,15,4,8,8,6,10,10,7,10,1018,11,0.0,0.0,11.6,3,68,4,Ouachita County,Arkansas
2020-04-14,14,14,4,7,7,6,9,10,7,40,1023,10,0.0,0.0,9.1,2,65,2,Ouachita County,Arkansas
2020-04-15,20,20,2,11,11,6,12,14,2,108,1022,4,0.0,0.0,11.6,3,62,4,Ouachita County,Arkansas
2020-04-16,21,21,4,12,12,6,12,15,6,154,1022,10,0.0,0.0,11.6,4,60,4,Ouachita County,Arkansas
2020-04-17,19,19,10,14,14,5,15,16,6,217,1018,10,2.2,0.0,7.8,11,82,4,Ouachita County,Arkansas
2020-04-18,21,21,5,12,12,5,14,14,6,86,1018,9,1.6,0.0,11.6,7,73,4,Ouachita County,Arkansas
2020-04-19,21,21,12,16,16,3,16,18,4,155,1007,7,28.0,0.0,6.6,15,96,4,Ouachita County,Arkansas
2020-04-20,25,25,10,17,17,4,18,19,3,230,1011,5,5.3,0.0,10.3,13,79,4,Ouachita County,Arkansas
2020-04-21,28,28,13,21,22,4,22,23,3,87,1015,5,0.2,0.0,11.6,13,71,6,Ouachita County,Arkansas
2020-04-22,25,25,15,18,18,5,18,20,9,156,1011,16,15.7,0.0,7.8,15,84,5,Ouachita County,Arkansas
2020-04-23,25,25,15,20,20,5,21,20,9,288,1004,13,8.5,0.0,9.1,15,79,5,Ouachita County,Arkansas
2020-04-24,26,26,13,19,19,4,20,22,5,155,1008,9,0.8,0.0,10.4,14,77,5,Ouachita County,Arkansas
2020-04-25,23,23,11,17,17,5,18,18,9,307,1013,13,3.4,0.0,10.4,12,73,4,Ouachita County,Arkansas
2020-04-26,25,25,10,18,18,6,18,20,4,319,1021,7,0.0,0.0,11.6,10,66,5,Ouachita County,Arkansas
2020-04-27,26,26,12,18,18,6,19,21,7,173,1020,11,0.0,0.0,11.6,12,67,6,Ouachita County,Arkansas
2020-04-28,25,25,16,20,20,5,20,20,9,165,1014,15,8.8,0.0,6.6,17,84,4,Ouachita County,Arkansas
2020-04-29,23,23,14,18,18,5,19,20,9,309,1012,13,69.0,0.0,11.6,12,70,6,Ouachita County,Arkansas
2020-04-30,25,25,11,17,17,6,18,19,5,311,1017,9,0.0,0.0,11.6,10,67,5,Ouachita County,Arkansas
2020-05-01,28,28,13,20,20,6,20,22,5,192,1016,8,0.0,0.0,11.6,13,69,6,Ouachita County,Arkansas
2020-05-02,30,30,15,22,23,6,23,24,8,197,1016,12,0.2,0.0,11.6,16,72,5,Ouachita County,Arkansas
2020-05-03,31,31,18,23,25,4,25,25,7,212,1014,10,0.0,0.0,10.4,19,76,5,Ouachita County,Arkansas
2020-05-04,31,31,19,24,25,4,25,26,6,191,1012,9,0.0,0.0,11.6,19,78,7,Ouachita County,Arkansas
2020-05-05,27,27,19,23,24,6,24,24,6,336,1014,10,0.0,0.0,11.6,15,65,6,Ouachita County,Arkansas
2020-05-06,24,24,12,18,18,6,19,20,6,118,1021,10,0.0,0.0,11.6,9,58,5,Ouachita County,Arkansas
2020-05-07,23,23,10,17,17,6,17,18,6,139,1020,10,0.2,0.0,11.6,10,68,5,Ouachita County,Arkansas
2020-05-08,24,24,13,19,19,4,19,21,10,216,1013,16,31.7,0.0,9.3,14,75,5,Ouachita County,Arkansas
2020-05-09,21,21,8,14,14,6,15,16,6,88,1024,9,0.0,0.0,11.6,6,62,5,Ouachita County,Arkansas
2020-05-10,25,25,7,16,16,6,16,19,3,313,1023,5,0.0,0.0,11.6,9,66,5,Ouachita County,Arkansas
2020-05-11,22,22,10,16,16,6,17,18,7,64,1025,11,0.0,0.0,11.6,7,58,5,Ouachita County,Arkansas
2020-05-12,26,26,10,16,16,6,18,19,6,135,1020,10,0.2,0.0,11.6,10,67,5,Ouachita County,Arkansas
2020-05-13,21,21,12,17,17,5,18,20,6,170,1018,9,5.6,0.0,9.3,17,90,4,Ouachita County,Arkansas
2020-05-14,27,27,16,21,23,2,23,23,7,166,1015,11,7.7,0.0,8.1,19,87,5,Ouachita County,Arkansas
2020-05-15,28,28,19,23,24,4,24,24,7,173,1013,11,0.4,0.0,8.1,20,86,5,Ouachita County,Arkansas
2020-05-16,30,30,20,24,26,3,26,26,6,195,1011,10,5.0,0.0,7.0,21,83,6,Ouachita County,Arkansas
