date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,26,26,13,18,18,6,19,20,15,221,1009,24,0.0,0.0,11.3,7,53,5,Palo Pinto County,Texas
2020-03-02,23,23,15,19,19,6,19,20,9,292,1008,16,0.0,0.0,11.6,4,40,5,Palo Pinto County,Texas
2020-03-03,21,21,14,17,17,6,17,19,7,137,1010,12,0.0,0.0,10.2,8,54,4,Palo Pinto County,Texas
2020-03-04,13,13,7,9,9,4,12,12,16,47,1015,23,55.1,0.0,5.9,9,83,3,Palo Pinto County,Texas
2020-03-05,21,21,7,12,12,6,13,15,7,305,1024,12,0.0,0.0,11.6,6,63,4,Palo Pinto County,Texas
2020-03-06,17,17,7,11,11,6,12,13,8,92,1033,14,0.0,0.0,11.6,-1,43,4,Palo Pinto County,Texas
2020-03-07,18,18,7,11,11,6,12,13,12,162,1027,18,0.0,0.0,11.6,3,56,4,Palo Pinto County,Texas
2020-03-08,18,18,10,12,12,6,14,14,16,176,1021,24,0.1,0.0,5.9,10,76,3,Palo Pinto County,Texas
2020-03-09,26,26,16,20,20,6,21,21,15,236,1017,21,0.1,0.0,10.2,11,62,6,Palo Pinto County,Texas
2020-03-10,26,26,11,17,17,6,19,19,9,149,1022,15,0.2,0.0,11.6,11,66,5,Palo Pinto County,Texas
2020-03-11,28,28,18,22,23,6,23,23,10,263,1015,16,0.0,0.0,11.6,15,68,6,Palo Pinto County,Texas
2020-03-12,29,29,20,24,25,6,25,26,12,253,1009,18,0.1,0.0,11.6,15,59,7,Palo Pinto County,Texas
2020-03-13,17,17,10,15,15,6,16,16,11,70,1015,17,5.9,0.0,6.0,14,83,4,Palo Pinto County,Texas
2020-03-14,24,24,18,20,20,5,21,21,8,279,1018,11,9.2,0.0,8.8,17,85,5,Palo Pinto County,Texas
2020-03-15,13,13,6,9,9,5,11,11,10,38,1026,12,5.6,0.0,6.0,9,86,3,Palo Pinto County,Texas
