date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,0,0,-5,-7,-7,4,-2,-1,13,258,1003,21,0.8,0.3,8.6,-3,92,1,Pennington County,Minnesota
2020-03-02,-3,-3,-16,-15,-15,4,-9,-9,13,199,1004,22,2.7,0.4,7.1,-9,92,1,Pennington County,Minnesota
2020-03-03,-4,-4,-12,-11,-11,4,-5,-5,10,302,1001,16,1.5,1.4,8.6,-6,93,1,Pennington County,Minnesota
2020-03-04,0,0,-13,-11,-11,4,-7,-6,9,171,1009,15,1.0,0.6,7.2,-7,94,1,Pennington County,Minnesota
2020-03-05,-1,-1,-9,-9,-9,2,-3,-2,12,345,1016,18,2.0,1.4,5.8,-4,94,1,Pennington County,Minnesota
2020-03-06,-1,-1,-12,-12,-12,6,-6,-6,12,177,1028,20,0.0,0.0,8.7,-8,85,1,Pennington County,Minnesota
2020-03-07,1,1,-3,-5,-5,4,0,0,9,158,1014,16,0.0,0.0,7.3,-1,93,1,Pennington County,Minnesota
2020-03-08,1,1,-6,-3,-3,3,0,0,7,313,1009,12,0.2,0.1,5.8,-2,97,1,Pennington County,Minnesota
2020-03-09,-11,-11,-17,-21,-21,5,-14,-15,8,330,1024,13,0.4,0.3,7.3,-15,93,1,Pennington County,Minnesota
2020-03-10,-6,-6,-16,-16,-16,6,-11,-11,5,188,1024,9,0.0,0.0,11.6,-13,86,2,Pennington County,Minnesota
2020-03-11,1,1,-9,-7,-7,5,-2,-1,11,193,1009,18,0.1,0.1,5.9,-3,96,1,Pennington County,Minnesota
2020-03-12,-1,-1,-8,-8,-8,3,-3,-2,12,305,1008,18,0.6,0.0,5.9,-4,93,1,Pennington County,Minnesota
2020-03-13,-10,-10,-15,-20,-20,5,-12,-12,12,307,1028,18,0.3,0.2,5.9,-13,91,1,Pennington County,Minnesota
2020-03-14,-7,-7,-17,-18,-18,4,-12,-12,6,47,1042,11,0.0,0.0,6.0,-14,92,1,Pennington County,Minnesota
2020-03-15,-3,-3,-12,-12,-12,3,-7,-6,8,153,1038,13,2.4,1.7,6.0,-8,92,1,Pennington County,Minnesota
2020-03-16,-5,-5,-11,-14,-14,4,-7,-8,11,297,1023,16,3.5,3.3,10.2,-8,92,1,Pennington County,Minnesota
2020-03-17,-5,-5,-13,-14,-14,6,-9,-9,7,233,1023,13,0.0,0.0,7.4,-10,89,1,Pennington County,Minnesota
2020-03-18,0,0,-8,-8,-8,3,-3,-2,8,71,1020,13,1.5,0.3,6.0,-4,96,1,Pennington County,Minnesota
2020-03-19,-7,-7,-13,-16,-16,3,-8,-7,15,232,1024,22,5.6,4.9,6.0,-9,92,1,Pennington County,Minnesota
2020-03-20,-12,-12,-22,-24,-24,5,-17,-17,8,324,1039,13,0.0,0.0,8.8,-18,94,1,Pennington County,Minnesota
2020-03-21,-3,-3,-17,-16,-16,6,-10,-9,9,156,1034,14,0.1,0.1,6.1,-11,89,1,Pennington County,Minnesota
2020-03-22,0,0,-7,-9,-9,4,-3,-3,10,184,1021,16,0.9,0.7,6.1,-4,95,1,Pennington County,Minnesota
2020-03-23,-1,-1,-10,-9,-9,5,-5,-5,7,188,1020,12,0.0,0.0,10.2,-6,93,1,Pennington County,Minnesota
2020-03-24,2,2,-6,-5,-5,6,0,1,12,173,1010,23,0.2,0.0,6.1,-1,93,1,Pennington County,Minnesota
2020-03-25,-3,-3,-6,-8,-8,4,-3,-5,9,351,1014,13,0.3,0.1,6.2,-4,94,1,Pennington County,Minnesota
2020-03-26,-1,-1,-10,-9,-9,4,-5,-5,6,200,1014,10,0.1,0.0,8.9,-6,95,1,Pennington County,Minnesota
2020-03-27,2,2,-6,-5,-5,4,-1,0,9,208,1011,16,0.0,0.0,6.2,-2,95,1,Pennington County,Minnesota
2020-03-28,1,1,-6,-5,-5,1,-1,-1,7,63,1013,11,0.0,0.0,7.6,-1,98,1,Pennington County,Minnesota
2020-03-29,1,1,-3,-5,-5,5,-1,0,9,344,1015,16,0.0,0.0,7.6,-1,97,1,Pennington County,Minnesota
2020-03-30,2,2,1,-1,-1,3,2,2,7,147,1024,12,0.0,0.0,6.2,1,99,1,Pennington County,Minnesota
2020-03-31,6,6,-2,-2,-2,6,2,2,11,134,1019,21,0.0,0.0,11.6,0,83,2,Pennington County,Minnesota
2020-04-01,7,7,-2,-4,-4,6,2,2,14,116,1014,22,3.6,0.0,6.3,0,89,1,Pennington County,Minnesota
2020-04-02,1,1,-7,-7,-7,2,-2,-1,11,333,1017,17,36.1,5.8,6.5,-2,96,1,Pennington County,Minnesota
2020-04-03,-9,-9,-11,-17,-17,2,-9,-9,12,301,1024,17,19.2,15.2,6.5,-11,91,1,Pennington County,Minnesota
2020-04-04,-2,-2,-13,-12,-12,6,-8,-7,6,154,1025,11,0.0,0.0,10.4,-10,79,2,Pennington County,Minnesota
2020-04-05,2,2,-3,-4,-4,4,0,0,7,262,1017,13,0.8,0.3,9.2,-2,86,1,Pennington County,Minnesota
2020-04-06,6,6,1,-1,-1,5,3,3,12,112,1011,22,0.5,0.0,8.0,2,92,1,Pennington County,Minnesota
2020-04-07,7,7,2,2,2,4,5,5,8,301,1006,12,0.5,0.0,11.6,1,78,2,Pennington County,Minnesota
2020-04-08,5,5,-1,-2,-2,5,2,3,14,300,1010,21,3.4,0.0,8.0,-2,71,1,Pennington County,Minnesota
2020-04-09,3,3,-3,-7,-7,4,-1,0,16,325,1016,21,0.5,0.0,9.2,-7,67,1,Pennington County,Minnesota
2020-04-10,7,7,-3,-2,-2,6,2,3,9,222,1014,14,0.0,0.0,9.2,-6,58,1,Pennington County,Minnesota
2020-04-11,5,5,-1,-3,-3,6,2,2,14,325,1012,18,0.0,0.0,10.4,-6,59,2,Pennington County,Minnesota
2020-04-12,1,1,-4,-7,-7,6,-2,-1,11,335,1018,14,0.0,0.0,9.2,-12,45,1,Pennington County,Minnesota
2020-04-13,-3,-3,-7,-11,-11,4,-5,-4,12,214,1018,15,0.9,0.6,6.9,-14,50,1,Pennington County,Minnesota
2020-04-14,-3,-3,-10,-12,-12,5,-7,-6,8,314,1020,10,0.5,0.3,6.9,-14,57,1,Pennington County,Minnesota
2020-04-15,0,0,-8,-8,-8,6,-4,-3,8,316,1020,11,0.0,0.0,11.6,-12,55,1,Pennington County,Minnesota
2020-04-16,4,4,-5,-4,-4,5,-1,0,8,298,1023,11,0.2,0.2,8.1,-10,51,1,Pennington County,Minnesota
2020-04-17,9,9,-2,0,0,6,4,4,11,246,1013,16,0.0,0.0,11.6,-6,52,2,Pennington County,Minnesota
2020-04-18,8,8,2,1,1,4,6,7,16,319,1002,22,4.2,0.0,7.0,0,67,2,Pennington County,Minnesota
2020-04-19,7,7,-3,-3,-3,6,1,2,12,249,1011,16,0.1,0.1,7.0,-7,53,1,Pennington County,Minnesota
2020-04-20,6,6,-2,-2,-2,5,3,4,15,319,1005,21,1.3,0.6,9.3,-5,59,1,Pennington County,Minnesota
2020-04-21,4,4,-4,-3,-3,5,0,1,6,204,1015,8,0.3,0.1,7.0,-9,54,1,Pennington County,Minnesota
2020-04-22,7,7,0,1,1,5,4,5,7,51,1008,10,3.9,0.0,7.0,1,80,1,Pennington County,Minnesota
2020-04-23,15,15,6,9,9,5,10,11,4,100,1006,6,2.9,0.0,7.0,5,77,3,Pennington County,Minnesota
2020-04-24,16,16,5,9,9,6,10,11,7,20,1013,10,2.8,0.0,9.3,4,68,3,Pennington County,Minnesota
2020-04-25,16,16,5,8,8,5,11,11,8,117,1017,12,4.4,0.0,8.2,5,74,3,Pennington County,Minnesota
2020-04-26,16,16,5,9,9,6,11,11,11,170,1016,16,0.0,0.0,10.5,4,66,4,Pennington County,Minnesota
2020-04-27,17,17,7,11,11,6,12,13,9,294,1010,13,1.5,0.0,9.4,4,62,3,Pennington County,Minnesota
2020-04-28,17,17,8,11,11,6,12,13,7,321,1009,11,0.2,0.0,11.6,5,66,4,Pennington County,Minnesota
2020-04-29,15,15,7,8,8,5,10,11,11,227,1018,15,0.4,0.0,10.5,4,68,3,Pennington County,Minnesota
2020-04-30,18,18,6,12,12,6,12,13,7,203,1013,11,0.0,0.0,11.6,2,52,3,Pennington County,Minnesota
2020-05-01,17,17,6,11,11,5,13,14,9,171,1005,14,8.8,0.0,8.3,6,66,3,Pennington County,Minnesota
2020-05-02,15,15,8,10,10,6,12,12,15,301,1010,22,0.6,0.0,11.6,5,67,4,Pennington County,Minnesota
2020-05-03,10,10,1,1,1,6,5,5,11,242,1020,15,0.0,0.0,10.5,-2,63,2,Pennington County,Minnesota
2020-05-04,13,13,1,4,4,5,7,8,8,129,1020,12,0.3,0.0,12.3,0,64,2,Pennington County,Minnesota
2020-05-05,11,11,5,6,6,4,7,7,5,151,1020,7,1.2,0.0,9.3,2,69,2,Pennington County,Minnesota
2020-05-06,13,13,5,7,7,6,9,10,11,322,1023,15,0.0,0.0,14.5,1,61,3,Pennington County,Minnesota
2020-05-07,9,9,0,0,0,6,4,5,12,120,1023,17,0.0,0.0,14.5,-7,45,3,Pennington County,Minnesota
2020-05-08,8,8,-2,0,0,6,3,4,8,339,1027,11,0.0,0.0,13.5,-7,47,2,Pennington County,Minnesota
2020-05-09,8,8,2,1,1,4,4,5,10,31,1021,14,1.4,0.3,9.4,-5,51,2,Pennington County,Minnesota
2020-05-10,7,7,0,-1,-1,6,4,4,15,348,1028,19,0.0,0.0,13.5,-6,50,2,Pennington County,Minnesota
2020-05-11,7,7,-3,-1,-1,6,3,4,10,337,1028,14,0.0,0.0,14.5,-10,43,2,Pennington County,Minnesota
2020-05-12,11,11,-2,3,3,6,5,6,4,288,1024,7,0.0,0.0,14.5,-9,39,3,Pennington County,Minnesota
2020-05-13,8,8,-1,2,2,5,5,6,11,154,1013,17,17.7,0.0,10.4,2,78,2,Pennington County,Minnesota
2020-05-14,17,17,7,10,10,4,11,13,6,196,1006,9,11.7,0.0,9.4,8,86,3,Pennington County,Minnesota
2020-05-15,18,18,6,11,11,6,12,13,6,296,1015,9,0.0,0.0,14.5,5,66,4,Pennington County,Minnesota
2020-05-16,19,19,9,14,14,6,15,16,4,173,1013,7,0.1,0.0,13.5,7,63,4,Pennington County,Minnesota
2020-05-17,21,21,10,16,16,6,16,17,8,201,1014,12,0.0,0.0,15.6,8,64,5,Pennington County,Minnesota
2020-05-18,22,22,8,14,14,6,16,16,10,123,1020,16,0.0,0.0,15.6,6,56,5,Pennington County,Minnesota
2020-05-19,23,23,10,15,15,6,16,17,14,151,1018,21,0.0,0.0,15.6,9,63,5,Pennington County,Minnesota
2020-05-20,22,22,15,18,18,6,18,19,13,170,1016,19,0.1,0.0,15.5,14,79,4,Pennington County,Minnesota
2020-05-21,21,21,13,16,16,6,17,18,14,172,1013,20,0.2,0.0,14.6,14,78,4,Pennington County,Minnesota
2020-05-22,21,21,14,15,15,5,16,16,12,168,1011,17,9.9,0.0,13.6,14,84,4,Pennington County,Minnesota
2020-05-23,21,21,13,17,17,6,17,18,9,156,1010,14,0.1,0.0,13.7,13,80,4,Pennington County,Minnesota
2020-05-24,23,23,13,17,17,4,17,19,6,173,1009,10,6.1,0.0,13.7,14,85,4,Pennington County,Minnesota
2020-05-25,19,19,11,15,15,6,15,16,8,349,1013,11,0.0,0.0,14.6,10,73,4,Pennington County,Minnesota
2020-05-26,20,20,14,15,15,4,16,16,7,271,1010,10,22.9,0.0,11.8,14,87,4,Pennington County,Minnesota
2020-05-27,24,24,13,18,18,6,19,20,10,257,1010,16,0.0,0.0,15.8,12,73,6,Pennington County,Minnesota
2020-05-28,14,14,9,10,10,6,12,13,13,301,1016,19,0.4,0.0,14.6,7,71,3,Pennington County,Minnesota
2020-05-29,13,13,5,7,7,6,10,10,11,325,1023,15,0.2,0.0,14.6,6,77,3,Pennington County,Minnesota
2020-05-30,15,15,4,9,9,6,10,11,5,116,1027,8,0.0,0.0,15.9,2,64,4,Pennington County,Minnesota
2020-05-31,20,20,6,13,13,6,14,15,9,169,1021,14,0.1,0.0,15.9,7,65,4,Pennington County,Minnesota
2020-06-01,27,27,16,21,21,5,21,21,12,232,1007,19,7.3,0.0,14.7,17,79,5,Pennington County,Minnesota
2020-06-02,24,24,16,20,20,6,21,21,7,306,1010,11,0.0,0.0,15.9,13,65,6,Pennington County,Minnesota
2020-06-03,23,23,13,18,18,6,20,19,7,187,1010,11,1.5,0.0,15.9,12,68,4,Pennington County,Minnesota
2020-06-04,22,22,13,17,17,5,18,19,10,268,1007,16,3.7,0.0,15.9,12,70,5,Pennington County,Minnesota
2020-06-05,19,19,12,15,15,6,16,16,10,311,1014,15,0.9,0.0,15.9,11,78,5,Pennington County,Minnesota
2020-06-06,20,20,9,14,14,6,15,16,11,109,1018,16,0.3,0.0,16.0,11,77,5,Pennington County,Minnesota
2020-06-07,24,24,14,18,18,4,20,20,19,151,1005,31,26.7,0.0,12.0,18,91,5,Pennington County,Minnesota
2020-06-08,27,27,18,23,25,4,25,25,11,194,1000,17,43.0,0.0,13.8,21,87,5,Pennington County,Minnesota
2020-06-09,17,17,9,15,15,5,16,16,15,324,1004,22,14.3,0.0,12.0,15,91,4,Pennington County,Minnesota
2020-06-10,18,18,10,13,13,6,15,15,13,317,1007,18,0.4,0.0,14.7,10,80,3,Pennington County,Minnesota
2020-06-11,19,19,10,13,13,5,14,16,12,300,1015,18,7.3,0.0,12.9,11,83,4,Pennington County,Minnesota
2020-06-12,17,17,7,11,11,6,13,13,7,72,1027,12,1.2,0.0,16.0,8,78,4,Pennington County,Minnesota
2020-06-13,19,19,7,12,12,6,14,15,12,127,1025,19,0.0,0.0,16.0,8,69,4,Pennington County,Minnesota
2020-06-14,22,22,12,16,16,6,17,18,18,143,1017,26,0.7,0.0,15.6,13,77,5,Pennington County,Minnesota
2020-06-15,26,26,19,23,24,5,24,24,15,180,1012,23,14.8,0.0,12.9,20,86,5,Pennington County,Minnesota
2020-06-16,29,29,18,24,25,5,25,25,13,172,1011,21,3.4,0.0,14.7,20,82,5,Pennington County,Minnesota
2020-06-17,27,27,22,25,27,5,27,25,18,186,1006,29,8.3,0.0,12.9,21,79,5,Pennington County,Minnesota
2020-06-18,21,21,14,19,19,5,19,20,10,265,1009,15,26.1,0.0,13.8,17,87,4,Pennington County,Minnesota
2020-06-19,18,18,10,14,14,4,14,15,7,254,1016,11,0.7,0.0,14.7,11,81,4,Pennington County,Minnesota
2020-06-20,21,21,12,15,15,5,16,16,11,158,1011,18,9.9,0.0,12.9,12,83,4,Pennington County,Minnesota
2020-06-21,18,18,10,13,13,4,14,15,7,282,1008,10,4.4,0.0,12.9,11,85,3,Pennington County,Minnesota
2020-06-22,18,18,9,13,13,5,14,15,8,313,1012,11,0.7,0.0,13.8,11,87,3,Pennington County,Minnesota
