date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,19,19,6,11,11,6,12,13,6,175,1023,11,0.0,0.0,8.6,7,72,3,Perry County,Alabama
2020-03-02,20,20,12,15,15,5,15,16,9,208,1015,16,18.1,0.0,5.7,13,89,4,Perry County,Alabama
2020-03-03,22,22,16,18,18,4,19,20,7,256,1011,13,24.1,0.0,7.2,17,92,4,Perry County,Alabama
2020-03-04,14,14,7,12,12,4,14,14,8,36,1015,13,66.1,0.0,5.7,13,93,3,Perry County,Alabama
2020-03-05,14,14,10,10,10,4,12,12,9,137,1016,13,19.6,0.0,5.7,10,92,3,Perry County,Alabama
2020-03-06,14,14,6,8,8,5,10,11,10,333,1026,16,0.0,0.0,11.4,3,67,4,Perry County,Alabama
2020-03-07,15,15,2,6,6,6,8,9,5,32,1032,9,0.0,0.0,11.4,0,62,3,Perry County,Alabama
2020-03-08,17,17,5,10,10,6,11,12,7,139,1031,11,0.0,0.0,11.4,4,67,4,Perry County,Alabama
2020-03-09,21,21,8,13,13,4,14,16,9,165,1029,14,0.6,0.0,7.2,11,81,4,Perry County,Alabama
2020-03-10,22,22,14,17,17,5,17,18,7,211,1025,12,4.8,0.0,7.2,15,88,4,Perry County,Alabama
2020-03-11,23,23,14,18,18,3,18,19,5,215,1019,9,3.3,0.0,5.8,16,91,4,Perry County,Alabama
2020-03-12,26,26,15,20,20,4,20,21,8,215,1015,13,0.0,0.0,11.5,16,81,6,Perry County,Alabama
2020-03-13,22,22,16,19,19,4,20,20,6,276,1019,10,2.7,0.0,5.8,17,89,4,Perry County,Alabama
2020-03-14,26,26,16,20,20,4,21,22,4,190,1023,6,0.0,0.0,11.6,16,81,6,Perry County,Alabama
2020-03-15,24,24,14,18,18,5,19,20,5,331,1024,8,0.7,0.0,7.4,16,88,5,Perry County,Alabama
2020-03-16,22,22,12,17,17,6,18,18,4,172,1023,6,0.6,0.0,6.0,14,85,4,Perry County,Alabama
2020-03-17,25,25,17,21,21,4,22,22,2,225,1022,4,4.6,0.0,8.8,17,84,5,Perry County,Alabama
2020-03-18,26,26,16,20,20,4,21,22,6,192,1021,11,5.6,0.0,6.2,17,84,5,Perry County,Alabama
2020-03-19,26,26,17,21,22,3,22,23,7,190,1022,12,3.5,0.0,6.2,19,86,5,Perry County,Alabama
2020-03-20,26,26,17,21,22,4,22,23,8,226,1023,13,8.1,0.0,6.2,18,88,5,Perry County,Alabama
2020-03-21,20,20,12,17,17,5,17,18,5,347,1025,8,2.7,0.0,8.9,14,83,4,Perry County,Alabama
2020-03-22,14,14,6,10,10,5,11,12,5,76,1024,8,6.1,0.0,6.3,10,89,3,Perry County,Alabama
2020-03-23,21,21,15,18,18,3,18,19,5,265,1020,9,5.1,0.0,6.3,17,96,4,Perry County,Alabama
2020-03-24,27,27,17,22,23,5,23,24,9,219,1014,14,4.4,0.0,8.9,18,84,5,Perry County,Alabama
2020-03-25,24,24,16,19,19,4,19,20,5,319,1013,9,4.8,0.0,8.9,16,84,5,Perry County,Alabama
2020-03-26,28,28,14,21,22,6,22,22,6,170,1014,9,0.0,0.0,11.6,15,72,6,Perry County,Alabama
2020-03-27,29,29,17,22,24,4,24,24,6,206,1013,11,0.0,0.0,10.3,18,80,6,Perry County,Alabama
2020-03-28,30,30,19,23,24,4,24,25,9,207,1013,14,0.2,0.0,9.0,19,81,5,Perry County,Alabama
2020-03-29,25,25,18,21,21,6,22,22,7,308,1018,11,0.5,0.0,9.0,14,70,5,Perry County,Alabama
2020-03-30,23,23,15,19,19,6,19,20,6,52,1020,10,0.0,0.0,11.6,9,54,6,Perry County,Alabama
