date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,12,12,6,5,5,6,8,9,11,12,1009,17,0.0,0.0,11.2,-2,50,3,Phelps County,Nebraska
2020-03-02,9,9,1,1,1,5,4,4,9,234,1013,13,1.2,1.0,11.2,-1,70,2,Phelps County,Nebraska
2020-03-03,15,15,1,5,5,6,8,8,12,286,1011,19,0.0,0.0,11.3,-5,44,3,Phelps County,Nebraska
2020-03-04,16,16,3,7,7,6,10,10,14,236,1016,22,0.0,0.0,11.3,-2,45,3,Phelps County,Nebraska
2020-03-05,11,11,4,4,4,6,8,8,16,329,1025,23,0.0,0.0,11.3,-8,35,3,Phelps County,Nebraska
2020-03-06,14,14,0,4,4,6,7,7,12,172,1030,19,0.0,0.0,11.3,-5,45,3,Phelps County,Nebraska
2020-03-07,20,20,9,11,11,6,13,14,18,193,1016,29,0.0,0.0,10.1,2,45,3,Phelps County,Nebraska
2020-03-08,24,24,11,15,15,5,17,17,14,196,1008,22,5.2,0.0,11.4,5,51,5,Phelps County,Nebraska
2020-03-09,9,9,3,4,4,4,7,5,12,238,1017,15,31.7,5.7,8.8,2,76,2,Phelps County,Nebraska
2020-03-10,15,15,2,5,5,6,7,8,8,194,1021,12,0.3,0.0,8.8,1,65,2,Phelps County,Nebraska
2020-03-11,19,19,4,10,10,6,11,12,9,228,1014,15,0.0,0.0,11.6,3,60,4,Phelps County,Nebraska
2020-03-12,12,12,5,7,7,6,10,10,13,352,1011,18,2.6,0.0,11.6,2,60,4,Phelps County,Nebraska
2020-03-13,4,4,0,-1,-1,3,2,3,9,151,1026,13,8.9,6.7,6.0,-3,69,1,Phelps County,Nebraska
2020-03-14,1,1,-2,-5,-5,3,0,0,12,86,1029,17,10.7,5.5,6.0,0,98,1,Phelps County,Nebraska
2020-03-15,1,1,-7,-6,-6,4,-1,-1,9,142,1033,13,1.4,1.3,6.0,-1,95,1,Phelps County,Nebraska
2020-03-16,5,5,-1,-1,-1,4,2,3,6,284,1025,10,0.0,0.0,6.0,1,93,1,Phelps County,Nebraska
2020-03-17,5,5,0,0,0,5,3,3,9,153,1024,13,0.3,0.0,8.8,1,85,1,Phelps County,Nebraska
2020-03-18,14,14,6,8,8,3,9,10,7,117,1011,10,0.2,0.0,7.4,8,91,3,Phelps County,Nebraska
2020-03-19,18,18,9,12,12,4,14,15,14,227,1006,21,12.4,0.0,7.4,7,82,3,Phelps County,Nebraska
2020-03-20,1,1,-7,-10,-10,5,-3,-3,15,15,1035,19,0.6,0.0,11.6,-12,54,2,Phelps County,Nebraska
2020-03-21,8,8,-6,-4,-4,6,1,1,12,189,1029,17,0.0,0.0,11.6,-8,52,2,Phelps County,Nebraska
2020-03-22,13,13,2,4,4,6,7,8,9,187,1018,14,0.2,0.0,8.8,1,69,2,Phelps County,Nebraska
2020-03-23,18,18,4,9,9,6,10,11,7,254,1016,11,0.2,0.0,11.6,3,65,4,Phelps County,Nebraska
2020-03-24,20,20,7,12,12,5,13,14,8,238,1010,12,0.0,0.0,10.2,5,64,3,Phelps County,Nebraska
2020-03-25,22,22,9,14,14,6,15,16,11,257,1006,16,0.0,0.0,11.6,3,53,4,Phelps County,Nebraska
2020-03-26,11,11,4,5,5,6,7,7,10,91,1008,14,0.0,0.0,7.5,4,79,2,Phelps County,Nebraska
2020-03-27,14,14,7,8,8,6,10,10,9,77,1005,12,1.8,0.0,7.5,6,81,3,Phelps County,Nebraska
2020-03-28,6,6,1,2,2,5,6,6,17,345,1002,24,20.7,0.0,6.2,4,84,2,Phelps County,Nebraska
2020-03-29,16,16,4,8,8,6,10,11,9,294,1016,15,0.0,0.0,11.6,0,53,4,Phelps County,Nebraska
2020-03-30,15,15,7,8,8,5,10,11,9,168,1018,14,3.1,0.0,9.0,3,62,3,Phelps County,Nebraska
2020-03-31,19,19,7,12,12,6,13,13,10,233,1014,15,0.3,0.0,10.3,5,63,3,Phelps County,Nebraska
2020-04-01,20,20,9,13,13,6,14,14,12,181,1006,18,0.0,0.0,11.6,7,63,3,Phelps County,Nebraska
2020-04-02,10,10,-3,1,1,4,5,6,15,122,1011,20,0.9,0.0,6.4,2,81,2,Phelps County,Nebraska
2020-04-03,7,7,-4,-5,-5,6,0,2,13,234,1025,17,0.0,0.0,11.6,-9,50,2,Phelps County,Nebraska
2020-04-04,10,10,-3,0,0,6,3,4,8,169,1023,11,0.0,0.0,11.6,-8,50,2,Phelps County,Nebraska
2020-04-05,17,17,1,7,7,6,9,10,14,165,1014,20,0.0,0.0,11.6,2,66,3,Phelps County,Nebraska
2020-04-06,24,24,9,16,16,6,17,17,7,239,1006,11,0.0,0.0,11.6,9,66,5,Phelps County,Nebraska
2020-04-07,25,25,12,18,18,6,19,20,12,317,1007,18,0.0,0.0,11.6,4,43,6,Phelps County,Nebraska
