date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,13,13,0,6,6,6,8,8,4,172,1025,5,0.0,0.0,11.6,-2,57,3,Pickens County,South Carolina
2020-03-02,13,13,4,6,6,5,8,9,5,240,1019,7,3.0,0.0,8.7,5,83,2,Pickens County,South Carolina
2020-03-03,16,16,10,12,12,4,13,14,7,238,1011,12,12.6,0.0,7.3,12,95,3,Pickens County,South Carolina
2020-03-04,13,13,10,11,11,4,11,12,4,139,1016,6,2.3,0.0,8.7,9,87,3,Pickens County,South Carolina
2020-03-05,9,9,5,7,7,3,8,8,5,37,1018,7,41.1,0.0,5.9,7,93,2,Pickens County,South Carolina
2020-03-06,10,10,2,4,4,4,7,8,10,299,1019,15,0.0,0.0,11.6,0,69,3,Pickens County,South Carolina
2020-03-07,13,13,0,5,5,6,6,8,5,37,1031,7,0.0,0.0,11.6,-3,56,3,Pickens County,South Carolina
2020-03-08,13,13,1,8,8,6,9,9,4,191,1035,6,0.0,0.0,8.8,0,58,2,Pickens County,South Carolina
2020-03-09,16,16,4,10,10,6,10,12,5,212,1033,8,0.3,0.0,7.3,5,70,3,Pickens County,South Carolina
2020-03-10,16,16,11,12,12,4,13,13,7,235,1026,11,4.2,0.0,5.9,12,92,3,Pickens County,South Carolina
2020-03-11,21,21,11,15,15,3,16,17,8,235,1019,12,0.0,0.0,8.8,11,81,4,Pickens County,South Carolina
2020-03-12,21,21,11,16,16,6,16,18,5,198,1015,9,2.0,0.0,8.8,12,79,4,Pickens County,South Carolina
2020-03-13,20,20,15,17,17,5,17,18,7,252,1018,11,1.6,0.0,7.4,15,87,4,Pickens County,South Carolina
2020-03-14,13,13,6,11,11,5,12,12,5,53,1026,8,1.3,0.0,8.8,7,68,3,Pickens County,South Carolina
2020-03-15,17,17,12,13,13,3,14,15,5,82,1025,7,1.9,0.0,6.0,11,84,3,Pickens County,South Carolina
2020-03-16,13,13,8,9,9,6,10,10,6,92,1027,8,1.3,0.0,6.0,6,78,2,Pickens County,South Carolina
2020-03-17,20,20,10,14,14,5,14,15,5,238,1024,6,3.6,0.0,7.4,12,87,4,Pickens County,South Carolina
2020-03-18,16,16,11,13,13,3,14,15,6,69,1025,10,0.8,0.0,6.0,12,90,3,Pickens County,South Carolina
2020-03-19,25,25,15,19,19,3,20,21,6,214,1024,9,0.3,0.0,7.4,16,86,5,Pickens County,South Carolina
2020-03-20,25,25,16,20,20,4,21,22,9,233,1023,13,1.2,0.0,11.6,16,80,5,Pickens County,South Carolina
2020-03-21,24,24,16,20,20,6,21,21,4,231,1023,6,0.4,0.0,11.6,13,70,5,Pickens County,South Carolina
2020-03-22,13,13,10,10,10,5,12,12,10,62,1026,14,1.5,0.0,6.1,8,76,3,Pickens County,South Carolina
2020-03-23,14,14,9,10,10,2,10,11,5,111,1022,7,25.0,0.0,6.1,10,95,3,Pickens County,South Carolina
2020-03-24,13,13,9,10,10,3,11,12,6,64,1016,9,56.4,0.0,7.5,10,95,3,Pickens County,South Carolina
2020-03-25,22,22,11,17,17,4,18,18,4,79,1011,7,16.5,0.0,10.2,12,79,5,Pickens County,South Carolina
2020-03-26,18,18,11,13,13,6,13,14,6,178,1017,9,0.0,0.0,8.9,10,81,3,Pickens County,South Carolina
2020-03-27,27,27,12,19,19,6,21,22,8,228,1014,13,0.0,0.0,11.6,15,79,6,Pickens County,South Carolina
2020-03-28,25,25,17,20,21,6,21,22,10,231,1014,15,0.0,0.0,11.6,17,82,6,Pickens County,South Carolina
2020-03-29,24,24,17,20,22,5,22,22,10,242,1016,17,0.0,0.0,10.2,15,74,5,Pickens County,South Carolina
2020-03-30,22,22,13,17,17,6,17,18,4,244,1019,6,0.0,0.0,11.6,8,56,5,Pickens County,South Carolina
2020-03-31,11,11,6,9,9,5,11,10,7,38,1010,10,10.1,0.0,6.2,8,81,3,Pickens County,South Carolina
2020-04-01,14,14,6,8,8,6,10,12,7,229,1013,12,0.0,0.0,11.6,3,65,4,Pickens County,South Carolina
2020-04-02,19,19,5,12,12,6,13,14,4,156,1018,7,0.0,0.0,11.6,3,60,4,Pickens County,South Carolina
2020-04-03,21,21,8,14,14,6,15,16,4,225,1016,6,0.0,0.0,11.6,6,61,5,Pickens County,South Carolina
2020-04-04,22,22,12,16,16,6,17,18,3,184,1015,6,0.2,0.0,7.6,8,59,4,Pickens County,South Carolina
2020-04-05,21,21,12,16,16,5,17,18,5,180,1018,7,4.6,0.0,10.3,11,71,4,Pickens County,South Carolina
2020-04-06,25,25,13,19,19,5,20,21,5,229,1018,8,5.0,0.0,11.6,13,75,6,Pickens County,South Carolina
2020-04-07,25,25,14,18,18,5,19,20,8,240,1015,13,3.9,0.0,6.2,14,77,5,Pickens County,South Carolina
2020-04-08,28,28,16,22,23,6,23,24,8,249,1008,13,0.8,0.0,11.6,15,72,6,Pickens County,South Carolina
2020-04-09,25,25,16,20,20,6,21,22,10,297,1005,16,0.8,0.0,11.6,9,58,6,Pickens County,South Carolina
2020-04-10,16,16,7,10,10,6,11,12,6,206,1013,9,0.0,0.0,11.6,-1,44,4,Pickens County,South Carolina
2020-04-11,18,18,6,11,11,6,12,13,3,177,1019,5,0.0,0.0,11.6,2,54,4,Pickens County,South Carolina
2020-04-12,12,12,5,9,9,4,10,11,5,156,1015,9,29.2,0.0,7.8,10,86,3,Pickens County,South Carolina
2020-04-13,22,22,12,18,18,5,19,20,15,251,1010,22,23.5,0.0,11.6,13,76,5,Pickens County,South Carolina
2020-04-14,21,21,10,15,15,6,16,17,6,148,1016,9,0.0,0.0,11.6,9,73,5,Pickens County,South Carolina
2020-04-15,17,17,6,9,9,6,11,12,6,140,1017,10,0.0,0.0,11.6,3,61,4,Pickens County,South Carolina
2020-04-16,19,19,6,12,12,6,13,15,3,183,1024,4,0.0,0.0,11.6,1,50,4,Pickens County,South Carolina
2020-04-17,19,19,7,13,13,6,13,15,6,212,1022,9,0.0,0.0,11.6,6,64,5,Pickens County,South Carolina
2020-04-18,23,23,12,17,17,6,19,19,7,299,1014,12,0.0,0.0,11.6,7,59,5,Pickens County,South Carolina
2020-04-19,14,14,7,9,9,5,10,11,5,179,1012,8,4.3,0.0,9.2,7,79,3,Pickens County,South Carolina
2020-04-20,23,23,12,17,17,5,18,19,4,68,1005,6,23.2,0.0,9.2,10,74,4,Pickens County,South Carolina
2020-04-21,23,23,10,15,15,6,16,19,9,281,1012,15,0.0,0.0,11.6,8,62,5,Pickens County,South Carolina
2020-04-22,20,20,9,14,14,6,14,16,4,199,1018,7,0.0,0.0,11.6,7,63,5,Pickens County,South Carolina
2020-04-23,16,16,11,14,14,4,14,14,7,169,1012,9,38.4,0.0,6.8,13,94,3,Pickens County,South Carolina
2020-04-24,24,24,15,19,19,6,20,20,8,259,1007,12,0.3,0.0,11.6,13,76,6,Pickens County,South Carolina
2020-04-25,22,22,14,17,17,5,19,19,6,113,1011,9,7.3,0.0,8.0,13,79,4,Pickens County,South Carolina
2020-04-26,19,19,9,12,12,6,13,15,13,267,1013,18,1.5,0.0,11.6,8,72,5,Pickens County,South Carolina
2020-04-27,21,21,8,14,14,6,15,17,5,223,1021,8,0.0,0.0,11.6,5,60,5,Pickens County,South Carolina
2020-04-28,23,23,9,17,17,6,18,19,5,212,1021,9,0.0,0.0,11.6,8,62,5,Pickens County,South Carolina
2020-04-29,21,21,12,16,16,5,17,18,10,192,1012,16,48.5,0.0,8.1,14,85,4,Pickens County,South Carolina
2020-04-30,19,19,11,13,13,5,14,16,8,250,1009,11,28.4,0.0,9.2,10,78,4,Pickens County,South Carolina
2020-05-01,23,23,9,15,15,6,17,18,5,296,1015,8,0.0,0.0,11.6,7,61,5,Pickens County,South Carolina
2020-05-02,24,24,9,17,17,6,18,19,5,217,1020,8,0.0,0.0,11.6,10,67,5,Pickens County,South Carolina
