date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,11,11,-1,3,3,6,5,7,6,278,1025,10,0.0,0.0,11.6,-6,49,3,Pitt County,North Carolina
2020-03-02,18,18,5,10,10,6,12,14,10,218,1020,17,0.0,0.0,10.2,3,59,4,Pitt County,North Carolina
2020-03-03,19,19,11,14,14,4,15,17,12,228,1011,19,10.0,0.0,5.9,13,87,4,Pitt County,North Carolina
2020-03-04,16,16,10,12,12,6,13,14,6,248,1015,10,0.0,0.0,11.6,7,70,4,Pitt County,North Carolina
2020-03-05,11,11,3,7,7,5,9,10,8,76,1018,12,19.9,0.0,7.3,6,77,2,Pitt County,North Carolina
2020-03-06,13,13,6,6,6,5,9,11,14,293,1011,20,27.1,0.0,8.7,4,73,3,Pitt County,North Carolina
2020-03-07,11,11,3,3,3,6,6,8,12,346,1026,18,0.0,0.0,11.6,-2,57,3,Pitt County,North Carolina
2020-03-08,14,14,2,7,7,6,8,10,4,159,1035,8,0.0,0.0,11.6,-2,50,4,Pitt County,North Carolina
2020-03-09,19,19,5,11,11,6,12,14,8,227,1034,14,0.0,0.0,11.6,4,60,4,Pitt County,North Carolina
2020-03-10,21,21,12,15,15,6,16,17,11,226,1026,19,3.2,0.0,5.9,12,79,4,Pitt County,North Carolina
2020-03-11,22,22,13,17,17,4,18,19,7,239,1019,11,2.4,0.0,5.9,14,83,4,Pitt County,North Carolina
2020-03-12,24,24,14,19,19,4,19,21,6,164,1015,10,0.3,0.0,11.6,14,76,6,Pitt County,North Carolina
2020-03-13,22,22,17,18,18,5,19,20,11,241,1017,18,1.5,0.0,6.0,15,83,4,Pitt County,North Carolina
2020-03-14,16,16,8,12,12,6,13,13,9,62,1028,14,0.0,0.0,11.6,4,56,4,Pitt County,North Carolina
2020-03-15,13,13,9,8,8,4,11,11,10,56,1027,14,0.8,0.0,6.0,6,76,3,Pitt County,North Carolina
2020-03-16,16,16,6,9,9,6,11,13,8,50,1028,12,0.0,0.0,11.6,5,71,4,Pitt County,North Carolina
2020-03-17,18,18,9,12,12,4,13,14,5,237,1024,7,3.2,0.0,6.0,11,87,3,Pitt County,North Carolina
2020-03-18,18,18,11,13,13,4,14,14,7,69,1028,11,0.0,0.0,6.0,12,89,3,Pitt County,North Carolina
2020-03-19,26,26,14,20,21,4,21,22,10,237,1025,16,2.4,0.0,6.0,17,83,5,Pitt County,North Carolina
2020-03-20,28,28,19,23,24,6,24,25,15,228,1022,22,0.1,0.0,11.6,18,75,6,Pitt County,North Carolina
2020-03-21,20,20,10,15,15,5,16,17,9,31,1023,13,0.4,0.0,7.4,12,79,4,Pitt County,North Carolina
2020-03-22,12,12,6,7,7,4,10,11,13,61,1029,17,1.6,0.0,6.1,6,75,3,Pitt County,North Carolina
2020-03-23,17,17,11,13,13,4,13,15,8,276,1022,11,2.1,0.0,7.5,11,88,3,Pitt County,North Carolina
2020-03-24,18,18,9,12,12,5,13,15,7,83,1019,10,8.4,0.0,7.5,9,81,3,Pitt County,North Carolina
2020-03-25,16,16,10,11,11,5,13,14,11,229,1011,15,38.0,0.0,6.1,11,87,3,Pitt County,North Carolina
2020-03-26,18,18,7,11,11,6,12,14,6,153,1018,9,0.0,0.0,11.6,7,73,4,Pitt County,North Carolina
2020-03-27,26,26,12,18,18,6,19,21,9,255,1014,14,0.0,0.0,8.9,15,79,5,Pitt County,North Carolina
2020-03-28,29,29,18,23,25,5,25,25,9,227,1014,14,0.0,0.0,11.6,18,79,6,Pitt County,North Carolina
2020-03-29,29,29,20,24,25,6,25,26,13,236,1014,20,0.0,0.0,11.6,19,73,7,Pitt County,North Carolina
2020-03-30,22,22,17,20,20,6,21,20,9,292,1016,16,0.0,0.0,11.6,10,54,6,Pitt County,North Carolina
2020-03-31,16,16,7,11,11,4,13,14,13,61,1010,18,10.8,0.0,9.0,7,69,3,Pitt County,North Carolina
2020-04-01,12,12,8,7,7,5,10,10,12,116,1008,16,16.7,0.0,7.7,5,74,3,Pitt County,North Carolina
2020-04-02,16,16,7,9,9,6,11,13,10,317,1014,16,0.0,0.0,11.6,4,62,4,Pitt County,North Carolina
2020-04-03,19,19,8,12,12,6,14,15,12,318,1012,19,0.0,0.0,11.6,3,54,4,Pitt County,North Carolina
2020-04-04,18,18,8,11,11,6,12,14,8,15,1015,11,0.2,0.0,9.0,7,71,3,Pitt County,North Carolina
2020-04-05,20,20,7,13,13,6,13,16,4,160,1020,7,0.0,0.0,11.6,7,70,5,Pitt County,North Carolina
2020-04-06,25,25,12,18,18,5,19,21,7,281,1017,11,1.8,0.0,9.0,13,76,5,Pitt County,North Carolina
2020-04-07,26,26,14,20,21,4,21,22,6,252,1013,10,0.3,0.0,11.6,15,73,6,Pitt County,North Carolina
2020-04-08,28,28,18,22,23,6,23,24,10,259,1005,16,1.1,0.0,11.6,16,70,6,Pitt County,North Carolina
2020-04-09,27,27,17,21,23,5,23,23,10,262,1000,17,5.0,0.0,7.8,12,63,5,Pitt County,North Carolina
2020-04-10,14,14,8,9,9,6,11,12,13,302,1009,18,0.0,0.0,11.6,-1,45,4,Pitt County,North Carolina
