date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,21,21,9,15,15,6,15,16,6,94,1026,11,0.0,0.0,11.6,4,51,5,Polk County,Florida
2020-03-02,23,23,13,18,18,6,18,20,9,161,1021,14,0.1,0.0,8.7,11,67,4,Polk County,Florida
2020-03-03,28,28,16,21,22,6,22,23,9,203,1017,15,0.0,0.0,11.6,16,73,6,Polk County,Florida
2020-03-04,31,31,18,24,25,4,25,26,9,200,1016,13,0.0,0.0,11.6,19,78,7,Polk County,Florida
2020-03-05,31,31,21,25,26,4,26,27,12,213,1016,17,0.5,0.0,10.2,20,79,6,Polk County,Florida
2020-03-06,22,22,15,20,20,6,21,20,13,334,1019,19,0.2,0.0,10.2,11,60,6,Polk County,Florida
2020-03-07,18,18,9,12,12,6,13,14,12,36,1026,18,0.0,0.0,11.6,2,47,4,Polk County,Florida
2020-03-08,21,21,10,15,15,6,16,18,11,83,1030,17,0.0,0.0,11.6,9,64,5,Polk County,Florida
2020-03-09,23,23,13,17,17,6,18,19,11,104,1030,16,0.2,0.0,10.2,12,71,4,Polk County,Florida
2020-03-10,26,26,16,20,21,6,21,22,8,106,1027,12,2.6,0.0,8.8,15,73,5,Polk County,Florida
2020-03-11,27,27,17,21,22,6,22,23,5,106,1021,8,1.1,0.0,8.8,16,73,5,Polk County,Florida
2020-03-12,28,28,18,23,23,6,23,25,4,138,1018,6,0.7,0.0,10.2,16,68,5,Polk County,Florida
2020-03-13,29,29,19,23,24,6,24,25,5,115,1021,9,0.4,0.0,10.2,16,64,6,Polk County,Florida
2020-03-14,29,29,18,24,25,6,25,25,7,95,1023,10,0.0,0.0,11.6,17,69,7,Polk County,Florida
2020-03-15,30,30,19,25,25,4,25,26,6,63,1023,9,0.1,0.0,11.6,17,70,7,Polk County,Florida
2020-03-16,28,28,19,23,24,6,24,25,7,75,1022,11,2.2,0.0,8.8,18,76,5,Polk County,Florida
2020-03-17,29,29,19,23,24,4,24,25,7,130,1023,11,0.0,0.0,8.8,17,72,6,Polk County,Florida
2020-03-18,30,30,19,24,25,6,25,26,8,104,1024,12,0.0,0.0,11.6,16,69,7,Polk County,Florida
2020-03-19,29,29,18,23,24,5,24,26,8,127,1025,13,0.2,0.0,8.8,18,73,6,Polk County,Florida
2020-03-20,31,31,19,24,25,5,25,26,7,148,1025,11,0.0,0.0,11.6,17,69,7,Polk County,Florida
2020-03-21,31,31,20,25,25,6,25,27,3,158,1023,5,0.1,0.0,11.6,18,68,7,Polk County,Florida
2020-03-22,30,30,20,24,25,6,25,26,5,131,1022,8,0.1,0.0,11.6,17,65,7,Polk County,Florida
2020-03-23,30,30,20,24,25,6,25,26,6,200,1022,10,0.1,0.0,11.6,18,70,7,Polk County,Florida
2020-03-24,29,29,21,24,26,6,26,26,6,214,1019,9,0.1,0.0,8.8,17,66,6,Polk County,Florida
2020-03-25,30,30,19,24,25,4,25,26,9,258,1015,14,0.4,0.0,8.8,18,75,6,Polk County,Florida
2020-03-26,30,30,20,25,25,4,25,27,5,189,1015,8,0.5,0.0,10.2,19,74,6,Polk County,Florida
2020-03-27,33,33,20,26,28,4,28,28,6,145,1017,9,0.3,0.0,11.6,19,69,7,Polk County,Florida
2020-03-28,32,32,20,26,27,6,27,28,7,158,1018,10,0.0,0.0,11.6,16,61,7,Polk County,Florida
2020-03-29,33,33,20,26,27,5,27,28,5,166,1020,7,0.0,0.0,11.6,18,68,7,Polk County,Florida
