date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,17,17,2,8,8,6,9,11,5,205,1024,8,0.0,0.0,8.6,3,68,3,Polk County,Georgia
2020-03-02,12,12,7,8,8,4,10,10,8,180,1017,14,19.0,0.0,7.1,8,89,3,Polk County,Georgia
2020-03-03,20,20,13,15,15,5,15,16,9,236,1011,16,21.6,0.0,5.7,13,89,4,Polk County,Georgia
2020-03-04,12,12,5,10,10,4,11,11,4,283,1016,7,24.9,0.0,5.7,10,93,3,Polk County,Georgia
2020-03-05,9,9,3,6,6,3,8,8,8,64,1017,12,74.5,0.0,5.7,8,96,2,Polk County,Georgia
2020-03-06,10,10,3,3,3,5,6,7,12,314,1024,18,0.0,0.0,11.4,1,73,3,Polk County,Georgia
2020-03-07,12,12,-2,3,3,6,6,6,6,120,1031,9,0.0,0.0,11.4,-1,69,3,Polk County,Georgia
2020-03-08,15,15,3,8,8,6,10,11,5,146,1034,9,0.0,0.0,7.2,1,64,3,Polk County,Georgia
2020-03-09,18,18,5,10,10,6,11,13,8,170,1032,13,0.1,0.0,8.8,7,74,3,Polk County,Georgia
2020-03-10,17,17,12,13,13,3,14,14,8,211,1025,14,7.2,0.0,5.9,12,86,3,Polk County,Georgia
2020-03-11,19,19,12,15,15,5,15,16,4,238,1019,6,3.6,0.0,6.0,13,92,4,Polk County,Georgia
2020-03-12,22,22,14,17,17,4,17,18,6,215,1015,10,2.3,0.0,6.0,15,88,4,Polk County,Georgia
2020-03-13,18,18,15,16,16,6,16,17,7,213,1020,11,3.0,0.0,6.0,14,86,4,Polk County,Georgia
2020-03-14,23,23,10,15,15,6,16,17,5,123,1025,8,2.2,0.0,7.4,12,79,4,Polk County,Georgia
2020-03-15,16,16,12,14,14,4,14,16,3,203,1025,5,9.9,0.0,6.0,13,94,4,Polk County,Georgia
2020-03-16,15,15,10,12,12,5,12,13,6,119,1025,10,3.8,0.0,6.0,11,89,3,Polk County,Georgia
