date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,12,12,4,5,5,6,8,8,11,201,1008,18,0.0,0.0,11.6,2,68,3,Pottawattamie County,Iowa
2020-03-02,7,7,-1,0,0,6,3,3,8,277,1012,12,0.0,0.0,11.6,-4,63,2,Pottawattamie County,Iowa
2020-03-03,12,12,2,3,3,6,7,7,13,291,1007,21,0.0,0.0,11.6,-2,57,3,Pottawattamie County,Iowa
2020-03-04,13,13,2,5,5,4,7,7,9,280,1014,15,0.0,0.0,11.6,1,66,3,Pottawattamie County,Iowa
2020-03-05,10,10,3,2,2,6,7,7,21,309,1020,30,0.0,0.0,11.6,-3,52,3,Pottawattamie County,Iowa
2020-03-06,9,9,-3,-1,-1,6,3,3,8,216,1032,13,0.0,0.0,11.6,-5,60,2,Pottawattamie County,Iowa
2020-03-07,17,17,4,7,7,6,10,11,18,190,1022,27,0.0,0.0,11.6,-1,49,4,Pottawattamie County,Iowa
2020-03-08,18,18,8,11,11,6,13,13,19,193,1013,27,0.0,0.0,11.6,5,61,4,Pottawattamie County,Iowa
2020-03-09,8,8,-5,2,2,4,6,5,13,236,1015,18,22.7,0.0,5.9,4,87,1,Pottawattamie County,Iowa
2020-03-10,9,9,-2,0,0,6,3,4,6,200,1023,9,0.1,0.0,7.3,-2,70,1,Pottawattamie County,Iowa
2020-03-11,15,15,2,7,7,5,8,8,7,237,1015,13,0.3,0.0,11.6,2,69,3,Pottawattamie County,Iowa
2020-03-12,13,13,5,8,8,5,11,12,16,310,1008,24,3.3,0.0,7.4,4,66,3,Pottawattamie County,Iowa
2020-03-13,7,7,0,2,2,5,4,4,6,233,1027,9,0.3,0.0,7.4,-5,54,1,Pottawattamie County,Iowa
2020-03-14,2,2,0,-3,-3,2,1,1,11,83,1033,15,12.2,9.8,6.0,0,90,1,Pottawattamie County,Iowa
2020-03-15,2,2,-3,-4,-4,6,0,1,8,131,1036,10,0.1,0.0,6.0,-3,82,1,Pottawattamie County,Iowa
2020-03-16,7,7,-1,1,1,4,3,4,5,225,1025,7,0.0,0.0,7.4,1,85,1,Pottawattamie County,Iowa
2020-03-17,9,9,-1,2,2,6,4,4,7,112,1025,9,0.0,0.0,11.6,0,73,2,Pottawattamie County,Iowa
2020-03-18,11,11,6,6,6,4,8,8,8,134,1015,12,8.5,0.0,6.0,7,94,2,Pottawattamie County,Iowa
2020-03-19,19,19,9,12,12,4,14,15,11,169,1007,19,43.0,0.0,6.0,10,89,3,Pottawattamie County,Iowa
2020-03-20,1,1,-6,-8,-8,4,-2,-2,16,350,1032,20,1.7,0.0,11.6,-8,62,2,Pottawattamie County,Iowa
2020-03-21,6,6,-5,-3,-3,6,0,1,7,177,1033,10,0.0,0.0,11.6,-7,60,2,Pottawattamie County,Iowa
2020-03-22,5,5,-3,-2,-2,6,2,3,11,147,1022,16,0.2,0.0,7.5,0,85,1,Pottawattamie County,Iowa
2020-03-23,9,9,2,4,4,4,6,6,7,171,1020,9,0.0,0.0,6.1,4,87,2,Pottawattamie County,Iowa
2020-03-24,12,12,3,5,5,6,7,7,10,149,1015,14,0.0,0.0,6.1,6,88,2,Pottawattamie County,Iowa
2020-03-25,17,17,7,10,10,6,12,12,11,193,1008,16,0.1,0.0,8.9,9,85,3,Pottawattamie County,Iowa
2020-03-26,11,11,5,5,5,6,8,8,12,50,1009,16,0.0,0.0,6.1,5,85,2,Pottawattamie County,Iowa
2020-03-27,9,9,7,6,6,6,8,8,9,84,1007,12,0.0,0.0,6.2,7,90,2,Pottawattamie County,Iowa
2020-03-28,15,15,6,8,8,4,10,12,14,147,997,21,12.3,0.0,6.2,7,85,3,Pottawattamie County,Iowa
2020-03-29,14,14,4,5,5,6,8,9,17,299,1012,23,0.9,0.0,11.6,-1,54,3,Pottawattamie County,Iowa
2020-03-30,16,16,4,9,9,6,10,11,6,102,1022,10,0.0,0.0,11.6,2,58,4,Pottawattamie County,Iowa
2020-03-31,17,17,6,10,10,6,11,12,7,144,1017,11,0.0,0.0,11.6,3,58,4,Pottawattamie County,Iowa
2020-04-01,20,20,6,11,11,6,13,13,14,169,1012,20,0.0,0.0,11.6,7,72,4,Pottawattamie County,Iowa
2020-04-02,15,15,12,11,11,5,13,13,14,164,1011,20,2.4,0.0,6.2,9,81,3,Pottawattamie County,Iowa
2020-04-03,5,5,-3,-6,-6,3,0,0,15,336,1023,18,3.5,1.5,8.9,-4,74,1,Pottawattamie County,Iowa
2020-04-04,10,10,-3,0,0,6,3,4,6,89,1024,9,0.0,0.0,11.6,-6,56,2,Pottawattamie County,Iowa
