date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,17,17,7,10,10,6,12,13,10,188,1020,16,0.0,0.0,8.6,6,71,3,Prentiss County,Mississippi
2020-03-02,20,20,12,15,15,5,15,16,12,210,1012,19,11.3,0.0,5.7,13,88,4,Prentiss County,Mississippi
2020-03-03,18,18,13,16,16,5,16,17,8,295,1010,12,8.2,0.0,8.6,12,78,4,Prentiss County,Mississippi
2020-03-04,13,13,8,11,11,5,12,12,4,217,1016,6,5.3,0.0,5.7,8,78,3,Prentiss County,Mississippi
2020-03-05,17,17,9,12,12,5,12,14,5,132,1018,8,4.4,0.0,8.6,7,74,3,Prentiss County,Mississippi
2020-03-06,11,11,4,5,5,6,8,8,11,338,1028,17,0.0,0.0,11.4,0,59,3,Prentiss County,Mississippi
2020-03-07,14,14,1,5,5,6,7,8,5,66,1033,8,0.0,0.0,11.4,-2,58,3,Prentiss County,Mississippi
2020-03-08,17,17,4,8,8,6,10,12,8,179,1030,13,0.0,0.0,11.4,3,63,4,Prentiss County,Mississippi
2020-03-09,18,18,10,13,13,5,14,15,12,181,1027,18,0.3,0.0,7.2,10,78,3,Prentiss County,Mississippi
2020-03-10,21,21,14,16,16,5,17,18,9,264,1023,14,9.6,0.0,5.7,14,88,4,Prentiss County,Mississippi
2020-03-11,20,20,10,14,14,2,14,16,4,198,1018,7,26.4,0.0,5.8,13,93,4,Prentiss County,Mississippi
2020-03-12,23,23,15,18,18,4,19,19,8,193,1012,14,6.8,0.0,7.4,17,90,4,Prentiss County,Mississippi
2020-03-13,13,13,5,11,11,3,12,12,9,31,1021,14,17.9,0.0,6.0,10,84,3,Prentiss County,Mississippi
2020-03-14,20,20,10,14,14,6,15,16,6,205,1024,9,2.3,0.0,6.0,11,80,4,Prentiss County,Mississippi
2020-03-15,13,13,7,8,8,4,10,10,9,18,1027,13,32.1,0.0,6.0,8,88,2,Prentiss County,Mississippi
2020-03-16,19,19,5,11,11,6,12,13,4,139,1025,5,1.3,0.0,8.8,8,79,3,Prentiss County,Mississippi
2020-03-17,19,19,12,14,14,4,14,15,4,132,1023,6,2.0,0.0,7.4,13,90,4,Prentiss County,Mississippi
2020-03-18,24,24,12,17,17,3,18,20,7,198,1020,12,2.5,0.0,6.0,16,89,4,Prentiss County,Mississippi
2020-03-19,25,25,18,21,21,6,22,22,11,193,1019,18,3.6,0.0,6.2,18,87,5,Prentiss County,Mississippi
2020-03-20,21,21,15,19,19,5,20,20,11,236,1021,18,18.7,0.0,6.2,17,89,5,Prentiss County,Mississippi
2020-03-21,15,15,6,8,8,6,10,11,8,9,1028,12,1.1,0.0,10.3,6,78,4,Prentiss County,Mississippi
2020-03-22,12,12,6,8,8,4,9,10,5,154,1024,7,0.5,0.0,8.9,6,83,2,Prentiss County,Mississippi
2020-03-23,18,18,13,15,15,4,15,15,5,121,1020,7,29.7,0.0,6.3,13,92,4,Prentiss County,Mississippi
2020-03-24,23,23,13,17,17,4,18,19,6,198,1013,11,37.8,0.0,6.3,16,93,4,Prentiss County,Mississippi
2020-03-25,24,24,12,16,16,5,17,17,5,94,1014,7,0.0,0.0,10.3,12,80,5,Prentiss County,Mississippi
2020-03-26,27,27,11,18,18,4,19,20,8,185,1013,13,0.0,0.0,11.6,15,82,6,Prentiss County,Mississippi
2020-03-27,27,27,19,22,23,6,23,23,10,219,1011,15,0.0,0.0,10.3,18,81,5,Prentiss County,Mississippi
2020-03-28,26,26,20,22,23,5,23,22,12,210,1011,19,6.1,0.0,6.3,19,85,5,Prentiss County,Mississippi
2020-03-29,21,21,13,17,17,6,18,18,7,278,1018,11,1.8,0.0,7.7,11,70,4,Prentiss County,Mississippi
2020-03-30,20,20,12,15,15,4,15,17,2,171,1021,4,0.9,0.0,9.0,9,67,4,Prentiss County,Mississippi
2020-03-31,13,13,8,8,8,3,10,10,9,19,1013,14,47.9,0.0,6.4,8,89,3,Prentiss County,Mississippi
2020-04-01,17,17,6,10,10,4,11,12,5,134,1017,8,0.0,0.0,11.6,6,76,4,Prentiss County,Mississippi
2020-04-02,21,21,6,12,12,6,14,15,5,120,1019,8,0.0,0.0,11.6,6,67,4,Prentiss County,Mississippi
2020-04-03,21,21,10,15,15,6,15,17,4,210,1017,7,0.0,0.0,10.3,9,69,5,Prentiss County,Mississippi
2020-04-04,24,24,12,17,17,6,17,19,4,130,1016,7,0.0,0.0,11.6,11,68,5,Prentiss County,Mississippi
