date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,3,3,-4,-5,-5,6,-1,1,10,227,1006,15,0.0,0.0,5.5,-2,92,1,Price County,Wisconsin
2020-03-02,0,0,-7,-8,-8,5,-4,-3,8,256,1007,12,0.0,0.0,10.1,-6,88,1,Price County,Wisconsin
2020-03-03,1,1,-6,-8,-8,3,-3,-2,9,266,1000,14,2.2,1.5,5.6,-4,89,1,Price County,Wisconsin
2020-03-04,0,0,-10,-10,-10,5,-5,-4,7,288,1013,10,0.4,0.4,10.1,-7,86,2,Price County,Wisconsin
2020-03-05,1,1,-5,-7,-7,2,-1,0,12,277,1010,18,13.5,10.8,5.6,-3,91,1,Price County,Wisconsin
2020-03-06,1,1,-10,-9,-9,4,-5,-4,7,224,1032,10,0.3,0.1,11.3,-8,81,2,Price County,Wisconsin
2020-03-07,5,5,-6,-5,-5,6,0,1,11,205,1024,18,0.0,0.0,10.1,-3,78,2,Price County,Wisconsin
2020-03-08,9,9,3,2,2,6,6,7,12,204,1013,19,0.0,0.0,10.1,4,86,2,Price County,Wisconsin
2020-03-09,3,3,-4,-2,-2,4,2,3,7,228,1014,11,0.0,0.0,5.9,1,94,1,Price County,Wisconsin
2020-03-10,3,3,-8,-5,-5,4,-3,-1,5,170,1023,7,0.1,0.0,8.7,-5,87,1,Price County,Wisconsin
2020-03-11,4,4,-4,-2,-2,3,0,1,5,185,1015,7,1.8,1.6,5.9,-1,93,1,Price County,Wisconsin
2020-03-12,4,4,0,-3,-3,3,2,2,10,233,1004,16,23.9,6.6,5.9,1,94,1,Price County,Wisconsin
2020-03-13,-2,-2,-7,-11,-11,4,-4,-4,13,290,1020,18,1.3,1.2,5.9,-7,81,1,Price County,Wisconsin
2020-03-14,-1,-1,-8,-9,-9,6,-5,-4,6,8,1038,8,0.0,0.0,6.0,-8,85,1,Price County,Wisconsin
2020-03-15,1,1,-10,-8,-8,4,-5,-3,5,147,1040,7,0.0,0.0,11.6,-7,83,2,Price County,Wisconsin
2020-03-16,1,1,-4,-6,-6,3,-2,-1,9,240,1024,12,1.8,1.4,6.0,-3,89,1,Price County,Wisconsin
2020-03-17,1,1,-8,-8,-8,5,-4,-3,8,281,1023,11,0.5,0.5,11.6,-7,78,2,Price County,Wisconsin
2020-03-18,2,2,-3,-3,-3,4,0,0,5,145,1022,8,0.4,0.3,6.0,-1,93,1,Price County,Wisconsin
2020-03-19,2,2,0,-2,-2,2,1,1,7,102,1015,10,5.8,0.0,6.0,1,97,1,Price County,Wisconsin
2020-03-20,-4,-4,-11,-12,-12,5,-6,-5,11,352,1028,15,0.5,1.0,8.8,-8,81,1,Price County,Wisconsin
2020-03-21,-1,-1,-12,-10,-10,6,-7,-5,4,145,1037,7,0.0,0.0,10.2,-11,75,1,Price County,Wisconsin
2020-03-22,0,0,-7,-9,-9,4,-3,-3,10,160,1028,13,1.4,1.1,6.1,-6,83,1,Price County,Wisconsin
2020-03-23,4,4,-3,-3,-3,4,0,1,5,251,1021,7,1.5,0.9,6.3,-2,89,1,Price County,Wisconsin
2020-03-24,5,5,-4,-2,-2,4,1,2,7,170,1018,11,0.2,0.0,9.0,-1,88,1,Price County,Wisconsin
2020-03-25,6,6,1,0,0,3,3,4,7,250,1010,11,7.6,0.0,6.3,3,97,1,Price County,Wisconsin
2020-03-26,7,7,-1,1,1,5,2,3,3,117,1013,4,0.7,0.8,7.7,-1,84,1,Price County,Wisconsin
2020-03-27,10,10,-1,2,2,5,4,6,5,171,1014,7,0.0,0.0,11.6,1,84,2,Price County,Wisconsin
2020-03-28,5,5,0,0,0,3,3,4,11,77,1009,16,3.4,0.0,6.4,3,93,1,Price County,Wisconsin
2020-03-29,4,4,1,-1,-1,3,3,4,12,235,1001,18,10.9,0.2,6.4,2,93,1,Price County,Wisconsin
2020-03-30,6,6,-2,-2,-2,4,1,3,9,123,1023,12,0.7,0.7,9.0,-1,82,1,Price County,Wisconsin
2020-03-31,3,3,-2,-2,-2,6,1,1,6,57,1023,7,0.0,0.0,7.7,-2,82,1,Price County,Wisconsin
2020-04-01,7,7,-1,1,1,5,3,4,5,140,1020,7,0.1,0.0,7.7,0,83,1,Price County,Wisconsin
2020-04-02,12,12,1,3,3,5,6,7,8,147,1019,12,0.0,0.0,11.6,2,78,2,Price County,Wisconsin
2020-04-03,7,7,-3,1,1,3,4,6,8,200,1018,12,14.0,0.0,6.5,3,90,2,Price County,Wisconsin
2020-04-04,5,5,-8,-5,-5,5,-2,-1,6,331,1024,9,4.3,4.7,11.6,-6,77,2,Price County,Wisconsin
2020-04-05,10,10,-5,0,0,6,2,4,5,188,1022,8,0.0,0.0,11.6,-4,67,2,Price County,Wisconsin
2020-04-06,10,10,1,3,3,6,5,7,6,152,1016,9,0.1,0.0,10.3,0,71,2,Price County,Wisconsin
2020-04-07,15,15,6,8,8,5,9,11,6,238,1005,10,5.9,0.0,6.6,8,88,3,Price County,Wisconsin
2020-04-08,11,11,3,4,4,5,6,8,8,296,1006,11,0.2,0.0,10.3,-1,63,2,Price County,Wisconsin
2020-04-09,4,4,-2,-5,-5,5,0,1,11,324,1009,15,1.8,1.4,6.6,-6,64,1,Price County,Wisconsin
2020-04-10,6,6,-4,-3,-3,6,0,2,7,292,1015,10,0.0,0.0,9.1,-8,58,1,Price County,Wisconsin
2020-04-11,11,11,-2,2,2,6,4,7,6,252,1009,9,0.0,0.0,10.4,-3,61,3,Price County,Wisconsin
2020-04-12,1,1,-3,-5,-5,2,0,0,11,22,1010,15,9.7,5.6,6.6,-2,86,1,Price County,Wisconsin
2020-04-13,0,0,-7,-9,-9,3,-3,-3,12,305,1011,17,7.2,6.5,7.9,-7,80,1,Price County,Wisconsin
2020-04-14,-2,-2,-12,-11,-11,4,-6,-6,7,271,1018,11,2.9,2.2,6.7,-11,76,1,Price County,Wisconsin
2020-04-15,-1,-1,-14,-10,-10,5,-7,-5,5,287,1019,8,1.0,0.8,7.9,-11,75,1,Price County,Wisconsin
2020-04-16,3,3,-10,-8,-8,5,-4,-2,8,276,1023,12,0.1,0.0,10.4,-8,74,1,Price County,Wisconsin
2020-04-17,6,6,-7,-3,-3,6,0,2,5,257,1017,7,0.3,0.0,10.4,-7,68,1,Price County,Wisconsin
2020-04-18,6,6,-3,-2,-2,5,2,4,10,235,1005,16,5.1,0.0,6.7,0,85,1,Price County,Wisconsin
2020-04-19,6,6,0,-1,-1,4,2,3,7,313,1010,10,0.6,0.3,9.2,-3,73,1,Price County,Wisconsin
2020-04-20,7,7,-3,-1,-1,5,3,4,10,265,1002,16,4.5,0.0,6.8,-3,75,1,Price County,Wisconsin
2020-04-21,4,4,-7,-6,-6,5,-2,-1,9,322,1013,12,0.4,0.4,10.4,-12,50,2,Price County,Wisconsin
2020-04-22,1,1,-2,-5,-5,4,-1,0,8,120,1013,11,0.9,0.4,6.8,-6,65,1,Price County,Wisconsin
2020-04-23,5,5,-1,0,0,6,2,3,5,119,1010,8,0.0,0.0,7.0,-1,81,1,Price County,Wisconsin
