date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,11,11,-2,4,4,6,6,7,5,238,1024,8,0.0,0.0,11.6,-7,49,3,Prince George County,Virginia
2020-03-02,17,17,3,9,9,6,10,12,10,210,1017,16,0.0,0.0,11.6,2,58,4,Prince George County,Virginia
2020-03-03,19,19,10,13,13,5,14,16,10,218,1008,17,0.2,0.0,7.3,11,79,4,Prince George County,Virginia
2020-03-04,16,16,7,11,11,6,12,13,7,251,1013,12,0.0,0.0,11.6,1,52,4,Prince George County,Virginia
2020-03-05,13,13,6,7,7,6,9,10,6,82,1020,10,0.0,0.0,10.2,0,54,2,Prince George County,Virginia
2020-03-06,11,11,6,6,6,5,8,9,7,301,1011,12,3.5,0.0,7.3,3,71,2,Prince George County,Virginia
2020-03-07,10,10,2,2,2,6,6,7,10,346,1025,15,0.0,0.0,11.6,-3,54,3,Prince George County,Virginia
2020-03-08,15,15,2,9,9,6,10,10,5,216,1033,8,0.0,0.0,11.6,-2,52,4,Prince George County,Virginia
2020-03-09,19,19,5,11,11,6,12,14,9,224,1031,15,0.0,0.0,11.6,3,58,4,Prince George County,Virginia
2020-03-10,21,21,13,15,15,5,16,17,12,223,1023,19,1.2,0.0,7.3,11,74,4,Prince George County,Virginia
2020-03-11,18,18,9,13,13,6,14,14,5,79,1019,7,0.1,0.0,7.4,9,77,3,Prince George County,Virginia
2020-03-12,18,18,8,12,12,3,12,14,4,95,1016,7,0.1,0.0,6.0,11,89,3,Prince George County,Virginia
2020-03-13,24,24,14,19,19,5,20,21,11,268,1015,18,3.6,0.0,6.0,12,70,5,Prince George County,Virginia
2020-03-14,14,14,7,9,9,6,11,11,6,115,1029,9,0.0,0.0,10.2,-2,42,3,Prince George County,Virginia
2020-03-15,9,9,4,6,6,6,8,8,6,52,1030,9,0.2,0.0,6.0,4,77,2,Prince George County,Virginia
2020-03-16,14,14,4,7,7,6,9,10,5,100,1030,8,0.0,0.0,10.2,3,72,4,Prince George County,Virginia
2020-03-17,19,19,6,12,12,4,12,14,5,230,1023,7,0.0,0.0,10.2,9,82,4,Prince George County,Virginia
2020-03-18,14,14,6,9,9,6,11,11,7,92,1030,10,0.0,0.0,6.0,6,74,3,Prince George County,Virginia
2020-03-19,26,26,12,19,19,5,20,22,8,234,1023,12,2.5,0.0,7.4,15,81,5,Prince George County,Virginia
2020-03-20,28,28,19,23,24,6,24,25,13,229,1018,20,1.1,0.0,11.6,16,69,6,Prince George County,Virginia
2020-03-21,13,13,5,11,11,4,12,11,7,39,1025,10,1.4,0.0,6.1,8,75,3,Prince George County,Virginia
2020-03-22,13,13,6,7,7,6,9,10,8,67,1032,11,0.0,0.0,10.2,2,62,3,Prince George County,Virginia
2020-03-23,14,14,7,8,8,4,10,11,6,299,1023,9,4.2,0.0,6.1,9,93,3,Prince George County,Virginia
2020-03-24,16,16,5,9,9,4,10,12,5,50,1020,7,0.9,0.0,10.2,6,78,4,Prince George County,Virginia
