date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,12,12,-4,2,2,6,4,5,6,192,1023,10,0.0,0.0,11.6,-4,59,3,Putnam County,West Virginia
2020-03-02,11,11,4,6,6,4,8,9,9,209,1013,15,16.5,0.0,5.8,6,83,2,Putnam County,West Virginia
2020-03-03,15,15,8,11,11,4,13,13,10,243,1006,16,14.0,0.0,5.8,8,85,3,Putnam County,West Virginia
2020-03-04,14,14,2,7,7,6,9,10,8,233,1015,12,0.2,0.0,11.6,3,71,3,Putnam County,West Virginia
2020-03-05,14,14,1,7,7,6,8,9,4,177,1018,6,0.0,0.0,10.2,1,67,2,Putnam County,West Virginia
2020-03-06,5,5,0,0,0,4,4,4,11,296,1018,16,7.1,3.3,5.9,1,82,1,Putnam County,West Virginia
2020-03-07,8,8,-3,0,0,5,3,3,5,209,1033,7,0.5,0.2,8.7,-3,73,1,Putnam County,West Virginia
2020-03-08,15,15,-1,6,6,6,7,9,5,208,1032,8,0.0,0.0,10.2,-1,63,2,Putnam County,West Virginia
2020-03-09,17,17,5,9,9,6,11,13,7,217,1029,12,0.0,0.0,11.6,5,66,4,Putnam County,West Virginia
2020-03-10,15,15,10,12,12,5,13,14,10,248,1020,15,7.2,0.0,5.9,10,82,3,Putnam County,West Virginia
2020-03-11,14,14,8,10,10,4,11,12,4,239,1018,6,0.5,0.0,5.9,8,87,3,Putnam County,West Virginia
2020-03-12,20,20,7,13,13,4,13,15,4,181,1013,7,7.4,0.0,8.8,10,81,4,Putnam County,West Virginia
2020-03-13,13,13,6,11,11,5,12,12,9,295,1018,14,24.3,0.0,10.2,7,71,4,Putnam County,West Virginia
2020-03-14,6,6,-3,2,2,5,4,5,5,54,1030,8,7.8,0.0,7.4,0,76,1,Putnam County,West Virginia
2020-03-15,7,7,3,2,2,4,4,5,6,30,1031,8,2.1,0.0,6.0,2,88,1,Putnam County,West Virginia
2020-03-16,12,12,5,8,8,5,8,10,4,211,1026,5,0.1,0.0,7.4,6,83,2,Putnam County,West Virginia
2020-03-17,12,12,6,9,9,4,9,10,4,292,1024,5,4.0,0.0,6.0,8,90,3,Putnam County,West Virginia
2020-03-18,18,18,4,10,10,2,11,12,6,145,1024,10,30.2,0.0,7.4,9,90,3,Putnam County,West Virginia
2020-03-19,21,21,13,16,16,5,17,18,7,195,1020,12,20.8,0.0,6.0,16,90,4,Putnam County,West Virginia
2020-03-20,22,22,15,18,18,5,19,20,11,246,1018,18,12.8,0.0,6.0,15,82,4,Putnam County,West Virginia
2020-03-21,7,7,2,3,3,6,5,5,5,18,1029,7,1.1,0.0,6.1,1,76,2,Putnam County,West Virginia
2020-03-22,15,15,-1,5,5,6,7,8,5,69,1029,8,0.0,0.0,10.2,2,75,2,Putnam County,West Virginia
2020-03-23,12,12,7,9,9,4,10,11,7,254,1020,11,19.6,0.0,6.1,8,88,3,Putnam County,West Virginia
2020-03-24,15,15,3,8,8,4,9,11,5,61,1018,7,0.5,0.0,10.2,6,83,4,Putnam County,West Virginia
2020-03-25,14,14,8,9,9,5,10,11,5,322,1013,8,4.5,0.0,7.5,8,90,3,Putnam County,West Virginia
2020-03-26,21,21,7,13,13,6,13,15,6,220,1013,10,0.0,0.0,11.6,8,74,5,Putnam County,West Virginia
2020-03-27,23,23,13,17,17,5,17,18,5,181,1011,9,6.4,0.0,6.1,15,88,4,Putnam County,West Virginia
2020-03-28,26,26,17,21,22,4,22,23,8,227,1010,13,2.2,0.0,8.9,18,83,5,Putnam County,West Virginia
2020-03-29,22,22,14,18,18,5,19,20,11,244,1011,18,4.5,0.0,8.9,13,73,4,Putnam County,West Virginia
2020-03-30,15,15,8,10,10,6,11,13,9,273,1018,13,0.0,0.0,11.6,5,66,4,Putnam County,West Virginia
2020-03-31,8,8,5,6,6,5,7,7,3,170,1014,5,7.0,0.0,6.2,4,82,2,Putnam County,West Virginia
2020-04-01,10,10,4,4,4,5,6,7,6,317,1014,8,3.6,0.0,6.2,4,89,2,Putnam County,West Virginia
2020-04-02,14,14,3,7,7,4,8,9,5,312,1020,7,0.4,0.0,8.9,3,78,2,Putnam County,West Virginia
2020-04-03,17,17,4,10,10,6,11,13,4,323,1018,7,0.0,0.0,11.6,4,71,4,Putnam County,West Virginia
2020-04-04,19,19,5,12,12,6,13,15,3,129,1017,5,0.0,0.0,11.6,5,65,4,Putnam County,West Virginia
2020-04-05,18,18,11,14,14,5,14,15,3,196,1018,6,5.7,0.0,6.2,10,81,4,Putnam County,West Virginia
2020-04-06,20,20,9,14,14,5,14,16,3,324,1019,4,0.0,0.0,7.6,10,81,4,Putnam County,West Virginia
2020-04-07,23,23,12,17,17,4,18,19,7,239,1012,12,11.4,0.0,8.9,14,85,4,Putnam County,West Virginia
2020-04-08,22,22,15,19,19,5,19,20,8,274,1005,14,18.0,0.0,6.3,16,86,5,Putnam County,West Virginia
2020-04-09,13,13,5,9,9,5,11,12,11,280,1004,15,9.6,0.0,8.9,5,71,3,Putnam County,West Virginia
2020-04-10,9,9,1,2,2,5,5,6,10,295,1014,13,1.7,0.9,10.4,-1,66,3,Putnam County,West Virginia
2020-04-11,16,16,1,7,7,6,8,10,5,246,1018,8,0.0,0.0,11.6,1,62,4,Putnam County,West Virginia
2020-04-12,20,20,7,12,12,5,13,16,7,197,1012,11,10.8,0.0,10.4,7,68,5,Putnam County,West Virginia
2020-04-13,17,17,5,11,11,5,13,14,12,266,1007,18,28.7,0.0,6.7,10,82,3,Putnam County,West Virginia
2020-04-14,8,8,0,3,3,4,4,6,4,320,1022,5,1.9,0.8,6.8,1,80,2,Putnam County,West Virginia
2020-04-15,11,11,-2,3,3,4,5,7,6,240,1020,8,0.0,0.0,11.6,-2,67,3,Putnam County,West Virginia
2020-04-16,11,11,-2,4,4,6,6,7,5,277,1026,7,0.0,0.0,11.6,-3,63,3,Putnam County,West Virginia
2020-04-17,18,18,2,8,8,5,9,12,6,240,1018,9,7.9,0.0,9.2,4,74,3,Putnam County,West Virginia
2020-04-18,12,12,3,5,5,4,7,8,6,290,1016,9,21.0,2.6,9.2,2,75,2,Putnam County,West Virginia
2020-04-19,14,14,1,7,7,6,8,11,5,242,1012,7,0.0,0.0,11.6,3,70,3,Putnam County,West Virginia
2020-04-20,16,16,7,11,11,6,12,13,5,314,1007,8,0.0,0.0,10.4,6,73,3,Putnam County,West Virginia
2020-04-21,13,13,4,8,8,5,10,12,10,293,1010,15,2.3,0.0,9.2,3,69,3,Putnam County,West Virginia
2020-04-22,17,17,0,9,9,6,9,11,3,250,1018,5,0.0,0.0,11.6,1,60,4,Putnam County,West Virginia
2020-04-23,12,12,6,9,9,4,11,11,5,122,1009,9,24.1,0.0,6.9,9,91,3,Putnam County,West Virginia
2020-04-24,17,17,10,13,13,4,13,14,3,318,1007,5,28.0,0.0,6.9,12,93,3,Putnam County,West Virginia
2020-04-25,20,20,8,12,12,3,13,16,6,139,1011,10,23.7,0.0,8.1,11,88,4,Putnam County,West Virginia
2020-04-26,11,11,7,8,8,4,10,11,10,255,1008,16,33.4,0.0,6.9,9,96,3,Putnam County,West Virginia
2020-04-27,16,16,4,9,9,6,11,11,5,314,1021,7,0.9,0.0,9.3,4,74,3,Putnam County,West Virginia
2020-04-28,22,22,7,14,14,6,16,17,7,237,1018,11,0.0,0.0,9.3,8,68,4,Putnam County,West Virginia
2020-04-29,26,26,12,20,21,5,21,22,9,190,1008,15,6.1,0.0,10.4,10,66,5,Putnam County,West Virginia
2020-04-30,13,13,8,8,8,4,10,11,8,233,1007,12,7.8,0.0,6.9,8,88,3,Putnam County,West Virginia
2020-05-01,13,13,6,8,8,5,9,10,6,298,1015,9,3.0,0.0,7.0,7,85,3,Putnam County,West Virginia
2020-05-02,25,25,6,15,15,4,16,18,6,206,1018,9,0.0,0.0,11.6,10,75,5,Putnam County,West Virginia
2020-05-03,20,20,12,17,17,5,17,19,8,252,1012,13,28.5,0.0,7.0,16,94,4,Putnam County,West Virginia
