date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,18,18,9,12,12,6,13,14,14,195,1018,23,2.3,0.0,5.6,8,71,3,Quitman County,Mississippi
2020-03-02,20,20,14,16,16,6,16,17,12,203,1010,20,6.8,0.0,5.7,15,88,4,Quitman County,Mississippi
2020-03-03,18,18,14,16,16,5,16,16,8,335,1011,13,1.3,0.0,11.3,12,76,5,Quitman County,Mississippi
2020-03-04,13,13,10,11,11,5,12,12,6,179,1016,9,8.7,0.0,7.3,9,81,3,Quitman County,Mississippi
2020-03-05,18,18,9,12,12,5,12,13,7,233,1019,11,2.9,0.0,8.7,8,75,3,Quitman County,Mississippi
2020-03-06,12,12,6,6,6,6,9,9,12,352,1030,19,0.0,0.0,11.6,2,61,3,Quitman County,Mississippi
2020-03-07,14,14,3,6,6,6,8,9,6,96,1033,10,0.0,0.0,8.8,0,59,2,Quitman County,Mississippi
2020-03-08,17,17,5,10,10,6,11,12,9,174,1029,15,0.0,0.0,11.6,5,66,4,Quitman County,Mississippi
2020-03-09,19,19,12,14,14,5,15,16,16,188,1025,25,9.4,0.0,5.9,13,85,4,Quitman County,Mississippi
2020-03-10,18,18,12,16,16,5,17,17,8,299,1023,13,11.1,0.0,7.4,14,86,4,Quitman County,Mississippi
2020-03-11,23,23,11,16,16,5,17,18,7,270,1017,11,14.9,0.0,6.0,14,89,4,Quitman County,Mississippi
2020-03-12,22,22,17,19,19,5,20,20,13,202,1011,20,13.5,0.0,6.0,17,90,4,Quitman County,Mississippi
2020-03-13,14,14,6,11,11,4,13,12,12,36,1021,19,38.6,0.0,6.0,11,86,3,Quitman County,Mississippi
2020-03-14,21,21,10,13,13,4,14,15,8,144,1024,12,2.4,0.0,6.0,12,86,4,Quitman County,Mississippi
2020-03-15,12,12,7,6,6,5,9,9,13,22,1028,17,17.8,0.0,7.4,7,89,2,Quitman County,Mississippi
2020-03-16,16,16,6,8,8,5,10,11,6,147,1025,9,2.1,0.0,6.0,8,87,3,Quitman County,Mississippi
2020-03-17,19,19,10,14,14,3,14,15,6,140,1023,9,0.0,0.0,6.0,12,89,4,Quitman County,Mississippi
2020-03-18,24,24,13,19,19,4,20,21,10,199,1019,16,8.7,0.0,6.0,17,89,5,Quitman County,Mississippi
2020-03-19,24,24,19,21,21,5,22,22,14,197,1018,23,4.2,0.0,7.4,19,87,5,Quitman County,Mississippi
2020-03-20,21,21,13,19,19,5,21,21,12,256,1021,20,12.1,0.0,8.8,17,87,5,Quitman County,Mississippi
