date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,20,20,10,14,14,6,15,16,10,176,1019,17,0.0,0.0,7.3,11,76,4,Rapides Parish,Louisiana
2020-03-02,23,23,16,19,19,6,20,20,10,216,1012,16,3.2,0.0,7.3,17,88,5,Rapides Parish,Louisiana
2020-03-03,26,26,19,22,23,5,23,23,6,191,1011,10,2.4,0.0,10.2,19,86,5,Rapides Parish,Louisiana
2020-03-04,19,19,13,16,16,3,16,16,11,40,1011,17,13.2,0.0,5.9,15,93,4,Rapides Parish,Louisiana
2020-03-05,19,19,11,13,13,6,14,14,10,240,1018,15,2.1,0.0,8.8,10,81,3,Rapides Parish,Louisiana
2020-03-06,17,17,8,11,11,6,12,13,9,19,1030,15,0.0,0.0,11.6,5,62,4,Rapides Parish,Louisiana
2020-03-07,15,15,6,9,9,6,10,11,6,86,1031,9,0.0,0.0,10.2,3,66,3,Rapides Parish,Louisiana
2020-03-08,19,19,6,12,12,6,12,14,6,152,1028,10,0.0,0.0,11.6,7,72,4,Rapides Parish,Louisiana
2020-03-09,19,19,12,16,16,5,16,18,11,165,1025,18,6.6,0.0,5.9,15,89,4,Rapides Parish,Louisiana
2020-03-10,25,25,17,20,20,5,20,21,5,225,1024,8,15.8,0.0,6.0,17,88,5,Rapides Parish,Louisiana
2020-03-11,26,26,16,20,20,4,21,22,8,217,1019,12,1.3,0.0,11.6,17,83,5,Rapides Parish,Louisiana
2020-03-12,27,27,17,20,21,4,21,22,10,204,1014,15,0.0,0.0,10.2,17,84,5,Rapides Parish,Louisiana
2020-03-13,25,25,18,21,21,3,21,22,5,167,1018,8,1.3,0.0,6.0,18,88,5,Rapides Parish,Louisiana
2020-03-14,27,27,18,21,22,4,22,22,7,180,1022,10,0.6,0.0,6.0,19,88,5,Rapides Parish,Louisiana
2020-03-15,24,24,15,20,20,4,21,22,6,24,1024,8,0.5,0.0,7.4,18,87,5,Rapides Parish,Louisiana
2020-03-16,25,25,14,18,18,6,19,20,5,118,1022,7,1.2,0.0,8.8,15,82,5,Rapides Parish,Louisiana
2020-03-17,27,27,18,21,22,5,22,23,3,86,1020,6,11.1,0.0,6.0,18,84,5,Rapides Parish,Louisiana
2020-03-18,26,26,17,21,22,3,22,22,8,178,1019,13,4.5,0.0,6.0,19,88,5,Rapides Parish,Louisiana
2020-03-19,27,27,19,23,24,4,24,24,10,181,1018,15,1.3,0.0,6.0,20,86,5,Rapides Parish,Louisiana
2020-03-20,24,24,17,21,21,4,22,22,7,168,1022,12,16.4,0.0,6.0,19,90,5,Rapides Parish,Louisiana
2020-03-21,19,19,14,15,15,6,15,16,9,38,1025,12,3.2,0.0,6.1,13,88,4,Rapides Parish,Louisiana
2020-03-22,24,24,13,18,18,5,19,19,7,155,1021,11,47.6,0.0,6.1,17,90,4,Rapides Parish,Louisiana
2020-03-23,28,28,18,22,23,3,23,23,7,218,1018,11,1.2,0.0,6.1,19,86,5,Rapides Parish,Louisiana
2020-03-24,28,28,19,22,24,3,24,24,10,210,1013,15,0.1,0.0,8.8,19,85,5,Rapides Parish,Louisiana
2020-03-25,29,29,18,23,24,4,24,24,5,34,1013,9,0.0,0.0,11.6,18,78,6,Rapides Parish,Louisiana
2020-03-26,30,30,19,24,25,4,25,25,8,187,1013,13,0.0,0.0,11.6,19,79,7,Rapides Parish,Louisiana
2020-03-27,30,30,21,25,28,6,28,26,10,188,1011,15,0.0,0.0,11.6,20,79,7,Rapides Parish,Louisiana
2020-03-28,29,29,21,24,26,6,26,26,12,196,1011,17,1.4,0.0,8.9,20,79,7,Rapides Parish,Louisiana
2020-03-29,25,25,13,19,19,5,19,20,6,49,1019,11,6.8,0.0,11.6,12,70,6,Rapides Parish,Louisiana
2020-03-30,25,25,16,19,19,6,20,20,7,81,1018,11,2.7,0.0,6.1,14,73,5,Rapides Parish,Louisiana
2020-03-31,21,21,12,18,18,5,18,19,10,333,1012,16,10.9,0.0,8.9,15,83,4,Rapides Parish,Louisiana
2020-04-01,22,22,10,15,15,6,15,17,4,120,1017,6,0.0,0.0,11.6,9,70,5,Rapides Parish,Louisiana
2020-04-02,24,24,12,17,17,6,18,19,5,141,1016,7,0.0,0.0,11.6,12,71,5,Rapides Parish,Louisiana
2020-04-03,23,23,14,18,18,6,19,19,5,105,1015,8,0.4,0.0,11.6,13,75,5,Rapides Parish,Louisiana
2020-04-04,22,22,16,18,18,5,18,19,3,124,1016,6,0.5,0.0,9.0,13,74,4,Rapides Parish,Louisiana
2020-04-05,25,25,14,19,19,4,20,21,4,69,1017,6,0.0,0.0,7.7,15,80,5,Rapides Parish,Louisiana
2020-04-06,27,27,16,21,22,4,22,23,5,153,1017,8,0.5,0.0,11.6,17,81,6,Rapides Parish,Louisiana
2020-04-07,30,30,20,24,26,6,26,26,7,217,1014,11,2.2,0.0,9.0,21,85,6,Rapides Parish,Louisiana
2020-04-08,30,30,21,25,27,4,27,27,7,225,1011,12,8.7,0.0,10.3,22,84,6,Rapides Parish,Louisiana
2020-04-09,26,26,18,23,24,3,24,24,7,33,1011,11,9.6,0.0,7.7,20,86,5,Rapides Parish,Louisiana
2020-04-10,19,19,12,15,15,5,16,17,10,43,1017,14,14.9,0.0,11.6,11,74,5,Rapides Parish,Louisiana
2020-04-11,24,24,9,16,16,6,17,18,7,139,1014,11,1.1,0.0,9.0,11,73,4,Rapides Parish,Louisiana
2020-04-12,28,28,19,23,26,5,26,25,13,200,1003,21,3.9,0.0,7.7,20,82,6,Rapides Parish,Louisiana
2020-04-13,18,18,8,13,13,6,14,14,10,139,1016,14,0.4,0.0,11.6,9,76,4,Rapides Parish,Louisiana
2020-04-14,18,18,6,9,9,6,11,13,10,25,1019,15,0.0,0.0,11.6,6,73,4,Rapides Parish,Louisiana
2020-04-15,17,17,5,10,10,6,11,12,8,36,1021,13,0.0,0.0,11.6,5,68,4,Rapides Parish,Louisiana
2020-04-16,21,21,6,12,12,6,13,15,7,129,1022,11,0.0,0.0,11.6,5,62,5,Rapides Parish,Louisiana
2020-04-17,24,24,10,17,17,6,18,19,6,185,1018,9,0.7,0.0,9.1,13,77,4,Rapides Parish,Louisiana
2020-04-18,23,23,14,18,18,5,19,18,6,52,1016,9,3.1,0.0,9.1,16,88,4,Rapides Parish,Louisiana
2020-04-19,28,28,19,23,24,5,24,24,9,208,1007,14,12.8,0.0,6.5,20,88,5,Rapides Parish,Louisiana
2020-04-20,26,26,14,20,20,3,20,21,4,119,1011,6,0.0,0.0,11.6,15,82,6,Rapides Parish,Louisiana
2020-04-21,27,27,15,21,22,4,22,23,4,82,1015,6,0.0,0.0,11.6,17,80,6,Rapides Parish,Louisiana
