date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,16,16,9,11,11,6,12,13,11,218,1008,19,0.3,0.0,7.3,8,74,3,Ray County,Missouri
2020-03-02,10,10,2,4,4,6,6,6,7,245,1011,10,0.0,0.0,10.2,0,64,2,Ray County,Missouri
2020-03-03,14,14,4,6,6,6,8,10,10,291,1010,16,0.0,0.0,11.6,0,58,3,Ray County,Missouri
2020-03-04,14,14,6,8,8,6,9,10,7,299,1017,12,0.0,0.0,11.6,2,61,3,Ray County,Missouri
2020-03-05,13,13,5,5,5,6,8,10,14,312,1021,22,0.0,0.0,11.6,-1,54,4,Ray County,Missouri
2020-03-06,10,10,0,2,2,6,5,5,7,252,1033,12,0.0,0.0,11.6,-3,57,2,Ray County,Missouri
2020-03-07,16,16,3,6,6,6,9,10,12,187,1027,20,0.0,0.0,8.7,1,57,2,Ray County,Missouri
2020-03-08,18,18,8,11,11,6,13,13,18,200,1019,26,0.2,0.0,11.6,5,60,4,Ray County,Missouri
2020-03-09,15,15,8,10,10,4,13,13,17,234,1014,25,50.3,0.0,5.9,9,87,3,Ray County,Missouri
2020-03-10,12,12,1,4,4,6,6,7,5,228,1024,8,0.0,0.0,10.2,1,73,3,Ray County,Missouri
2020-03-11,18,18,6,11,11,6,12,13,4,295,1016,7,0.0,0.0,11.6,7,72,4,Ray County,Missouri
2020-03-12,14,14,9,10,10,5,12,13,10,153,1008,16,3.8,0.0,6.0,9,83,3,Ray County,Missouri
2020-03-13,10,10,3,4,4,5,6,7,8,48,1026,12,0.5,0.0,8.8,-2,58,2,Ray County,Missouri
2020-03-14,3,3,-4,-2,-2,4,3,3,14,79,1030,21,10.9,0.0,6.0,1,86,1,Ray County,Missouri
2020-03-15,6,6,1,-1,-1,6,3,3,9,87,1034,12,0.2,0.1,6.0,-1,79,1,Ray County,Missouri
2020-03-16,7,7,-1,2,2,5,4,5,5,155,1026,7,6.6,0.0,6.0,3,89,1,Ray County,Missouri
2020-03-17,11,11,3,5,5,6,7,7,6,90,1025,9,0.0,0.0,7.4,4,81,2,Ray County,Missouri
2020-03-18,19,19,8,11,11,4,12,13,8,136,1015,12,27.3,0.0,8.8,10,90,3,Ray County,Missouri
2020-03-19,23,23,13,18,18,5,18,20,15,201,1007,27,17.6,0.0,7.4,14,80,4,Ray County,Missouri
2020-03-20,6,6,0,1,1,6,5,4,15,354,1026,20,0.0,0.0,10.2,0,69,1,Ray County,Missouri
2020-03-21,8,8,-2,0,0,6,3,4,6,139,1032,9,0.0,0.0,11.6,-4,65,2,Ray County,Missouri
2020-03-22,5,5,3,0,0,4,4,4,10,135,1023,14,8.7,0.0,6.1,2,90,1,Ray County,Missouri
2020-03-23,14,14,1,5,5,4,7,8,6,122,1020,9,0.0,0.0,7.5,5,85,2,Ray County,Missouri
2020-03-24,12,12,7,6,6,4,9,9,9,85,1015,12,0.9,0.0,6.1,7,88,2,Ray County,Missouri
2020-03-25,19,19,5,10,10,4,12,13,9,180,1010,15,0.8,0.0,10.2,9,83,4,Ray County,Missouri
2020-03-26,20,20,11,14,14,4,15,16,7,235,1005,11,0.9,0.0,6.1,13,87,4,Ray County,Missouri
2020-03-27,21,21,11,14,14,4,15,16,7,80,1004,11,8.0,0.0,6.1,13,93,4,Ray County,Missouri
2020-03-28,21,21,13,16,16,5,17,19,16,204,999,25,1.8,0.0,8.9,10,72,4,Ray County,Missouri
2020-03-29,17,17,7,9,9,6,12,13,16,283,1013,22,0.0,0.0,11.6,3,58,4,Ray County,Missouri
2020-03-30,19,19,7,12,12,6,12,14,6,93,1021,9,0.0,0.0,11.6,4,57,4,Ray County,Missouri
2020-03-31,17,17,7,12,12,6,12,13,5,135,1017,8,0.0,0.0,10.2,4,59,3,Ray County,Missouri
2020-04-01,20,20,6,12,12,5,13,14,9,164,1014,15,0.0,0.0,11.6,8,76,4,Ray County,Missouri
2020-04-02,19,19,12,14,14,5,15,16,11,167,1012,18,0.4,0.0,6.4,11,75,4,Ray County,Missouri
2020-04-03,3,3,-2,0,0,3,4,2,12,330,1019,15,4.9,0.0,6.4,2,86,1,Ray County,Missouri
2020-04-04,11,11,-3,1,1,6,4,5,8,46,1023,12,0.0,0.0,11.6,-2,66,3,Ray County,Missouri
2020-04-05,16,16,3,8,8,6,10,11,7,128,1019,11,0.1,0.0,9.0,6,78,3,Ray County,Missouri
2020-04-06,17,17,9,13,13,4,14,15,10,196,1013,15,0.2,0.0,6.5,13,91,3,Ray County,Missouri
2020-04-07,24,24,15,19,19,5,20,20,10,224,1007,15,0.0,0.0,9.0,17,86,5,Ray County,Missouri
2020-04-08,26,26,14,20,20,6,21,21,10,256,1008,14,0.0,0.0,11.6,11,67,6,Ray County,Missouri
2020-04-09,13,13,6,8,8,6,10,11,13,308,1017,18,0.0,0.0,11.6,-1,51,4,Ray County,Missouri
2020-04-10,12,12,-2,3,3,6,6,6,6,209,1021,10,0.0,0.0,11.6,-3,54,3,Ray County,Missouri
2020-04-11,17,17,6,11,11,5,12,13,12,204,1007,20,5.8,0.0,6.5,8,75,3,Ray County,Missouri
2020-04-12,18,18,6,12,12,4,14,15,14,226,1001,24,17.6,0.0,6.5,10,90,4,Ray County,Missouri
2020-04-13,7,7,-2,-2,-2,6,2,3,13,315,1021,18,0.0,0.0,11.6,-7,52,2,Ray County,Missouri
