date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,24,24,16,19,19,6,19,20,16,271,1011,23,0.0,0.0,8.6,-2,25,4,Reeves County,Texas
2020-03-02,24,24,15,19,19,6,19,20,14,260,1010,20,0.0,0.0,11.3,0,29,5,Reeves County,Texas
2020-03-03,14,14,6,12,12,5,13,13,13,46,1010,18,13.1,0.0,5.7,7,68,3,Reeves County,Texas
2020-03-04,11,11,5,7,7,4,10,10,14,34,1017,18,41.9,0.0,5.7,6,77,2,Reeves County,Texas
2020-03-05,20,20,8,12,12,6,13,14,8,274,1025,13,0.0,0.0,11.4,2,51,4,Reeves County,Texas
2020-03-06,20,20,10,13,13,6,14,14,15,118,1029,21,0.0,0.0,11.4,4,51,4,Reeves County,Texas
2020-03-07,21,21,11,15,15,6,16,16,15,146,1021,21,0.0,0.0,11.4,4,45,5,Reeves County,Texas
2020-03-08,21,21,13,17,17,6,18,18,9,94,1016,14,0.3,0.0,10.1,8,52,5,Reeves County,Texas
2020-03-09,24,24,16,19,19,6,19,19,11,262,1018,15,0.8,0.0,11.5,7,47,5,Reeves County,Texas
2020-03-10,26,26,15,20,20,6,21,20,5,196,1020,7,0.0,0.0,11.6,9,54,6,Reeves County,Texas
2020-03-11,26,26,17,22,22,6,22,22,3,177,1016,6,0.0,0.0,11.6,8,41,6,Reeves County,Texas
2020-03-12,24,24,16,21,22,6,22,22,7,293,1011,10,0.0,0.0,11.6,11,50,6,Reeves County,Texas
2020-03-13,26,26,16,20,20,5,21,21,8,119,1012,10,4.1,0.0,10.2,13,65,5,Reeves County,Texas
2020-03-14,23,23,16,19,19,6,20,19,7,220,1017,12,1.9,0.0,11.6,8,47,5,Reeves County,Texas
2020-03-15,24,24,16,19,19,5,20,20,19,114,1019,28,15.5,0.0,6.0,15,78,5,Reeves County,Texas
2020-03-16,24,24,15,18,18,6,20,20,8,151,1016,11,1.8,0.0,8.8,14,74,4,Reeves County,Texas
2020-03-17,27,27,18,21,21,6,20,22,9,137,1014,14,1.1,0.0,11.6,12,60,5,Reeves County,Texas
2020-03-18,25,25,16,20,20,6,20,21,12,187,1012,18,0.3,0.0,11.6,9,50,6,Reeves County,Texas
