date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,-2,-2,-10,-11,-11,6,-6,-5,7,309,1019,10,0.0,0.0,11.2,-11,68,2,Rensselaer County,New York
2020-03-02,10,10,-3,0,0,5,3,5,10,182,1013,16,0.4,0.1,8.6,-2,71,1,Rensselaer County,New York
2020-03-03,13,13,4,6,6,4,8,9,6,165,1003,10,1.6,0.0,7.1,5,86,2,Rensselaer County,New York
2020-03-04,6,6,1,0,0,5,4,4,11,278,1003,15,3.2,0.0,5.6,0,76,1,Rensselaer County,New York
2020-03-05,5,5,-2,-2,-2,6,1,3,7,308,1017,10,0.0,0.0,11.3,-3,72,2,Rensselaer County,New York
2020-03-06,8,8,0,1,1,5,3,5,6,94,1014,8,0.5,0.2,8.6,-3,66,2,Rensselaer County,New York
2020-03-07,3,3,-6,-7,-7,6,-2,-1,11,355,1023,14,0.0,0.0,11.3,-9,60,2,Rensselaer County,New York
2020-03-08,10,10,-3,1,1,6,3,5,4,280,1027,6,0.0,0.0,11.4,-5,58,2,Rensselaer County,New York
2020-03-09,16,16,2,7,7,6,9,11,6,209,1024,10,0.0,0.0,11.4,2,68,4,Rensselaer County,New York
2020-03-10,15,15,8,9,9,6,11,12,10,197,1015,16,3.4,0.0,7.2,7,79,3,Rensselaer County,New York
2020-03-11,6,6,0,0,0,5,3,4,6,224,1020,9,1.3,0.0,8.7,-4,65,1,Rensselaer County,New York
2020-03-12,10,10,0,3,3,6,5,7,6,180,1020,9,0.0,0.0,8.7,-1,67,2,Rensselaer County,New York
2020-03-13,12,12,5,6,6,5,9,10,14,247,1011,21,6.8,0.0,8.7,3,77,3,Rensselaer County,New York
2020-03-14,6,6,0,-1,-1,6,3,4,11,294,1024,15,0.0,0.0,11.6,-3,65,2,Rensselaer County,New York
2020-03-15,4,4,-3,-3,-3,6,1,1,8,237,1033,11,0.0,0.0,11.6,-7,59,2,Rensselaer County,New York
2020-03-16,6,6,-4,-3,-3,6,0,3,7,182,1034,9,0.0,0.0,10.2,-9,52,1,Rensselaer County,New York
2020-03-17,7,7,0,0,0,5,4,6,10,229,1022,15,1.8,0.2,6.0,1,86,2,Rensselaer County,New York
2020-03-18,8,8,-1,1,1,6,3,5,5,255,1030,8,0.1,0.0,8.8,-4,59,1,Rensselaer County,New York
2020-03-19,7,7,2,3,3,4,4,5,5,116,1026,7,12.4,0.0,6.2,3,88,2,Rensselaer County,New York
