date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,14,14,0,4,4,6,7,9,14,199,1016,22,1.6,0.0,8.6,3,76,2,Richland County,Illinois
2020-03-02,15,15,11,10,10,5,12,13,9,299,1008,15,8.1,0.0,7.1,9,82,3,Richland County,Illinois
2020-03-03,14,14,7,8,8,5,10,11,11,277,1007,16,6.1,0.0,11.3,4,68,4,Richland County,Illinois
2020-03-04,12,12,6,6,6,6,8,10,10,316,1015,17,0.0,0.0,10.1,1,63,3,Richland County,Illinois
2020-03-05,14,14,3,5,5,6,8,9,10,235,1019,17,0.0,0.0,10.1,1,63,2,Richland County,Illinois
2020-03-06,7,7,0,-1,-1,5,3,4,15,331,1027,22,0.0,0.0,10.1,-3,63,2,Richland County,Illinois
2020-03-07,10,10,-2,1,1,6,4,5,7,157,1033,11,0.0,0.0,11.4,-4,61,2,Richland County,Illinois
2020-03-08,15,15,3,6,6,6,8,10,12,192,1027,21,0.0,0.0,11.4,2,63,3,Richland County,Illinois
2020-03-09,15,15,10,10,10,5,13,13,18,187,1021,29,6.5,0.0,5.7,9,81,3,Richland County,Illinois
2020-03-10,11,11,7,9,9,5,11,9,10,324,1021,15,9.3,0.0,5.7,7,82,2,Richland County,Illinois
2020-03-11,15,15,4,8,8,6,9,10,4,226,1018,7,0.0,0.0,7.2,5,80,2,Richland County,Illinois
2020-03-12,17,17,7,11,11,4,12,13,10,172,1009,16,4.8,0.0,7.2,11,90,3,Richland County,Illinois
2020-03-13,10,10,4,4,4,6,7,7,10,338,1024,15,1.0,0.0,10.1,0,62,2,Richland County,Illinois
2020-03-14,5,5,-2,0,0,5,4,4,10,55,1031,14,7.9,0.0,5.8,0,80,1,Richland County,Illinois
2020-03-15,8,8,1,1,1,6,4,5,10,53,1033,14,0.0,0.0,6.0,1,77,1,Richland County,Illinois
2020-03-16,6,6,2,3,3,5,5,5,3,186,1027,5,1.1,0.0,6.0,2,85,1,Richland County,Illinois
2020-03-17,11,11,4,6,6,6,7,8,5,10,1025,8,0.1,0.0,11.6,3,75,2,Richland County,Illinois
2020-03-18,10,10,3,5,5,4,7,8,6,144,1020,11,11.4,0.0,6.2,8,93,2,Richland County,Illinois
2020-03-19,19,19,10,15,15,3,15,16,12,187,1015,22,38.7,0.0,6.2,14,94,4,Richland County,Illinois
2020-03-20,17,17,5,10,10,5,12,12,16,329,1020,24,16.2,0.0,6.3,9,81,3,Richland County,Illinois
2020-03-21,8,8,-1,-1,-1,6,3,4,9,26,1032,13,0.0,0.0,11.6,-4,64,2,Richland County,Illinois
2020-03-22,5,5,-1,-1,-1,5,2,3,8,101,1028,12,0.9,0.0,7.6,-1,79,1,Richland County,Illinois
2020-03-23,10,10,2,4,4,6,6,7,5,120,1022,8,0.0,0.0,8.9,3,80,2,Richland County,Illinois
2020-03-24,14,14,3,6,6,5,8,9,8,86,1017,12,1.2,0.0,7.6,5,85,2,Richland County,Illinois
2020-03-25,17,17,4,9,9,4,10,11,6,157,1014,11,0.1,0.0,11.6,6,80,4,Richland County,Illinois
2020-03-26,21,21,9,13,13,6,15,16,10,192,1009,17,1.6,0.0,6.3,12,85,4,Richland County,Illinois
