date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,13,13,2,6,6,6,7,8,6,185,1026,9,0.0,0.0,10.2,-4,49,2,Robeson County,North Carolina
2020-03-02,19,19,6,11,11,6,13,14,10,211,1020,16,0.0,0.0,10.2,5,60,3,Robeson County,North Carolina
2020-03-03,18,18,9,14,14,5,15,16,11,217,1012,18,15.9,0.0,5.9,14,92,4,Robeson County,North Carolina
2020-03-04,16,16,7,12,12,5,13,13,5,116,1015,7,1.3,0.0,7.3,10,82,3,Robeson County,North Carolina
2020-03-05,10,10,9,8,8,4,10,9,7,69,1018,11,40.8,0.0,5.9,8,91,2,Robeson County,North Carolina
2020-03-06,14,14,7,7,7,5,10,11,13,297,1014,20,4.9,0.0,10.2,3,69,3,Robeson County,North Carolina
2020-03-07,12,12,3,4,4,6,7,8,11,353,1027,16,0.0,0.0,11.6,-2,52,3,Robeson County,North Carolina
2020-03-08,16,16,4,9,9,6,10,12,4,166,1035,8,0.0,0.0,11.6,-1,49,4,Robeson County,North Carolina
2020-03-09,20,20,6,12,12,6,13,15,7,209,1034,12,0.0,0.0,11.6,6,64,4,Robeson County,North Carolina
2020-03-10,20,20,13,16,16,5,16,18,10,222,1027,16,1.9,0.0,8.8,12,80,4,Robeson County,North Carolina
2020-03-11,23,23,13,17,17,4,19,19,7,243,1019,12,6.5,0.0,8.8,14,82,4,Robeson County,North Carolina
2020-03-12,24,24,14,19,19,5,19,20,7,235,1015,11,2.2,0.0,11.6,14,76,6,Robeson County,North Carolina
2020-03-13,22,22,18,19,19,6,20,20,9,264,1018,14,0.2,0.0,10.2,15,79,5,Robeson County,North Carolina
2020-03-14,19,19,11,14,14,6,15,15,8,71,1027,13,0.0,0.0,10.2,6,55,5,Robeson County,North Carolina
2020-03-15,15,15,11,12,12,4,13,14,9,49,1026,12,1.2,0.0,6.0,10,82,3,Robeson County,North Carolina
2020-03-16,18,18,8,11,11,6,12,14,8,51,1028,11,0.0,0.0,8.8,5,64,3,Robeson County,North Carolina
2020-03-17,19,19,10,14,14,4,15,16,4,242,1024,6,5.3,0.0,6.0,11,82,4,Robeson County,North Carolina
2020-03-18,22,22,12,16,16,5,17,18,6,85,1027,10,0.0,0.0,10.2,13,83,4,Robeson County,North Carolina
2020-03-19,27,27,16,21,23,5,23,23,9,221,1025,14,5.1,0.0,7.4,17,81,5,Robeson County,North Carolina
2020-03-20,28,28,19,23,24,6,24,25,13,226,1023,19,0.1,0.0,11.6,18,77,6,Robeson County,North Carolina
2020-03-21,23,23,16,20,20,6,21,22,7,34,1022,10,3.1,0.0,7.4,16,78,5,Robeson County,North Carolina
2020-03-22,12,12,9,9,9,5,11,11,13,51,1028,18,2.6,0.0,6.1,7,78,3,Robeson County,North Carolina
2020-03-23,17,17,9,12,12,4,13,14,5,248,1023,7,0.7,0.0,6.1,10,87,3,Robeson County,North Carolina
2020-03-24,19,19,12,15,15,5,15,16,6,101,1018,9,32.2,0.0,6.1,12,86,4,Robeson County,North Carolina
2020-03-25,20,20,12,17,17,4,17,19,11,219,1010,16,37.9,0.0,7.5,14,82,4,Robeson County,North Carolina
2020-03-26,21,21,8,13,13,6,14,16,6,191,1018,9,0.0,0.0,11.6,9,74,5,Robeson County,North Carolina
2020-03-27,27,27,13,19,19,5,20,22,9,240,1014,14,0.0,0.0,10.2,16,81,5,Robeson County,North Carolina
2020-03-28,29,29,19,23,24,6,24,25,10,228,1014,16,0.0,0.0,11.6,18,75,7,Robeson County,North Carolina
2020-03-29,29,29,20,24,26,6,26,26,13,241,1015,19,0.3,0.0,11.6,19,75,7,Robeson County,North Carolina
2020-03-30,23,23,17,20,20,6,20,20,7,187,1017,11,0.1,0.0,11.6,9,51,6,Robeson County,North Carolina
2020-03-31,17,17,10,13,13,5,14,15,12,66,1009,17,13.0,0.0,8.9,7,67,3,Robeson County,North Carolina
2020-04-01,15,15,9,9,9,5,11,12,10,355,1009,15,4.6,0.0,6.2,6,74,3,Robeson County,North Carolina
2020-04-02,17,17,7,10,10,6,12,14,9,327,1016,14,0.1,0.0,11.6,4,60,4,Robeson County,North Carolina
2020-04-03,20,20,9,13,13,6,14,16,10,318,1014,16,0.0,0.0,11.6,4,53,5,Robeson County,North Carolina
2020-04-04,21,21,10,15,15,6,16,17,7,15,1015,12,0.0,0.0,11.6,6,56,5,Robeson County,North Carolina
2020-04-05,22,22,10,15,15,6,17,17,5,173,1019,9,0.0,0.0,11.6,9,68,5,Robeson County,North Carolina
2020-04-06,25,25,13,19,19,5,21,21,8,253,1017,12,6.4,0.0,9.0,14,76,5,Robeson County,North Carolina
2020-04-07,27,27,16,21,22,5,22,22,9,251,1014,14,5.3,0.0,11.6,15,74,6,Robeson County,North Carolina
2020-04-08,28,28,18,22,23,6,23,24,9,249,1007,14,1.3,0.0,11.6,16,69,6,Robeson County,North Carolina
2020-04-09,28,28,19,23,23,6,23,25,13,276,1001,21,1.2,0.0,11.6,13,61,6,Robeson County,North Carolina
2020-04-10,15,15,11,12,12,6,13,13,10,321,1011,14,0.0,0.0,11.6,1,45,3,Robeson County,North Carolina
2020-04-11,18,18,7,12,12,6,12,15,5,169,1020,9,0.0,0.0,11.6,2,50,5,Robeson County,North Carolina
2020-04-12,23,23,12,16,16,5,17,19,12,165,1019,19,0.6,0.0,7.8,13,75,4,Robeson County,North Carolina
2020-04-13,27,27,20,23,25,5,25,24,16,233,1010,27,45.7,0.0,9.1,16,70,5,Robeson County,North Carolina
2020-04-14,26,26,14,19,19,5,20,21,7,131,1015,11,1.0,0.0,11.6,14,72,6,Robeson County,North Carolina
2020-04-15,14,14,8,9,9,6,11,11,11,33,1016,15,0.5,0.0,10.3,6,70,3,Robeson County,North Carolina
2020-04-16,18,18,7,12,12,6,13,14,5,349,1023,8,0.0,0.0,11.6,2,52,4,Robeson County,North Carolina
2020-04-17,21,21,9,16,16,6,15,18,8,194,1023,13,0.0,0.0,11.6,6,56,5,Robeson County,North Carolina
