date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,14,14,1,4,4,6,8,10,14,213,1009,22,0.6,0.0,10.1,4,79,3,Rock Island County,Illinois
2020-03-02,7,7,-1,0,0,6,3,3,7,318,1010,10,0.5,0.0,11.2,-2,71,2,Rock Island County,Illinois
2020-03-03,10,10,0,1,1,6,5,6,12,283,1006,17,0.0,0.0,11.2,-2,62,3,Rock Island County,Illinois
2020-03-04,8,8,2,1,1,6,4,5,8,312,1015,12,1.7,0.0,11.3,-2,64,2,Rock Island County,Illinois
2020-03-05,11,11,3,3,3,6,7,8,18,273,1015,27,0.0,0.0,10.1,-2,60,3,Rock Island County,Illinois
2020-03-06,6,6,-2,-4,-4,6,1,2,13,346,1030,18,0.0,0.0,11.3,-7,55,2,Rock Island County,Illinois
2020-03-07,12,12,-1,1,1,6,5,7,13,188,1029,21,0.0,0.0,11.6,-3,57,3,Rock Island County,Illinois
2020-03-08,17,17,6,8,8,6,11,11,17,202,1019,27,0.0,0.0,11.6,3,63,4,Rock Island County,Illinois
2020-03-09,12,12,7,8,8,5,11,11,14,186,1014,22,16.7,0.0,5.9,8,85,3,Rock Island County,Illinois
2020-03-10,10,10,3,3,3,6,6,6,8,298,1022,11,0.1,0.0,8.8,2,76,2,Rock Island County,Illinois
2020-03-11,14,14,3,7,7,6,9,9,6,261,1016,10,0.0,0.0,11.6,4,78,3,Rock Island County,Illinois
2020-03-12,16,16,6,8,8,6,11,11,13,197,1008,19,0.2,0.0,7.4,7,84,3,Rock Island County,Illinois
2020-03-13,8,8,0,0,0,6,4,5,11,294,1025,16,0.0,0.0,10.2,-4,57,2,Rock Island County,Illinois
2020-03-14,3,3,0,-1,-1,4,2,2,7,51,1034,10,1.6,0.5,7.4,-2,78,1,Rock Island County,Illinois
2020-03-15,4,4,-3,-3,-3,6,0,1,7,76,1036,11,0.1,0.0,6.0,-2,84,1,Rock Island County,Illinois
2020-03-16,6,6,0,0,0,6,3,4,5,228,1026,8,0.0,0.0,6.0,0,84,1,Rock Island County,Illinois
2020-03-17,9,9,-1,2,2,6,4,4,6,316,1026,9,0.0,0.0,11.6,-2,64,2,Rock Island County,Illinois
2020-03-18,8,8,4,3,3,4,6,6,7,126,1020,11,2.3,0.0,6.0,3,84,2,Rock Island County,Illinois
2020-03-19,18,18,5,9,9,4,11,11,11,160,1011,18,3.3,0.0,6.0,10,94,3,Rock Island County,Illinois
2020-03-20,4,4,0,-1,-1,5,3,3,14,344,1023,18,0.4,0.0,8.8,-1,75,1,Rock Island County,Illinois
2020-03-21,5,5,-2,-2,-2,6,1,1,6,108,1035,9,0.0,0.0,8.8,-5,65,1,Rock Island County,Illinois
2020-03-22,4,4,-2,-4,-4,4,0,2,10,139,1028,13,2.2,0.3,7.5,-3,78,1,Rock Island County,Illinois
2020-03-23,7,7,-3,1,1,4,2,3,3,250,1023,5,0.0,0.3,6.1,0,89,1,Rock Island County,Illinois
2020-03-24,12,12,-1,2,2,6,5,6,7,117,1018,10,0.0,0.0,11.6,1,78,3,Rock Island County,Illinois
