date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,10,10,-6,0,0,6,3,4,5,209,1023,8,0.0,0.0,11.6,-10,49,2,Rockingham County,Virginia
2020-03-02,13,13,0,3,3,5,6,8,9,208,1015,15,4.4,0.0,8.7,1,73,2,Rockingham County,Virginia
2020-03-03,15,15,5,6,6,5,9,11,9,210,1006,16,1.8,0.0,5.8,6,86,3,Rockingham County,Virginia
2020-03-04,14,14,0,5,5,6,7,9,8,255,1012,13,0.1,0.0,11.6,-2,55,3,Rockingham County,Virginia
2020-03-05,11,11,-1,4,4,6,6,7,5,153,1019,8,0.0,0.0,10.2,-2,64,2,Rockingham County,Virginia
2020-03-06,9,9,1,1,1,6,4,7,11,310,1012,16,0.4,0.0,10.2,-2,64,2,Rockingham County,Virginia
2020-03-07,7,7,-1,-1,-1,6,4,4,12,344,1028,16,0.0,0.0,11.6,-6,59,2,Rockingham County,Virginia
2020-03-08,14,14,-3,5,5,6,7,8,6,203,1032,10,0.0,0.0,11.6,-4,54,3,Rockingham County,Virginia
2020-03-09,18,18,3,10,10,6,12,13,7,204,1029,13,0.0,0.0,11.6,1,58,4,Rockingham County,Virginia
2020-03-10,16,16,9,11,11,6,12,14,11,221,1020,16,0.4,0.0,7.3,9,80,3,Rockingham County,Virginia
2020-03-11,12,12,5,7,7,5,8,9,3,109,1019,5,0.0,0.0,5.9,6,88,2,Rockingham County,Virginia
2020-03-12,18,18,5,11,11,4,12,13,3,159,1016,5,0.0,0.0,10.2,8,84,3,Rockingham County,Virginia
2020-03-13,17,17,9,12,12,4,14,15,10,288,1015,13,13.5,0.0,6.0,6,70,4,Rockingham County,Virginia
2020-03-14,12,12,2,5,5,5,7,8,4,175,1029,6,3.7,0.0,10.2,-1,61,2,Rockingham County,Virginia
2020-03-15,5,5,0,1,1,4,3,4,5,32,1030,7,10.2,0.0,6.0,2,92,1,Rockingham County,Virginia
2020-03-16,8,8,-1,2,2,6,4,5,5,163,1030,8,0.0,0.0,6.0,0,77,2,Rockingham County,Virginia
2020-03-17,18,18,3,9,9,6,11,12,7,260,1023,10,0.2,0.0,6.0,5,79,3,Rockingham County,Virginia
2020-03-18,11,11,1,4,4,4,6,7,5,158,1028,8,2.2,0.0,6.0,3,83,2,Rockingham County,Virginia
2020-03-19,23,23,7,15,15,5,17,18,8,223,1021,13,12.5,0.0,11.6,12,86,5,Rockingham County,Virginia
2020-03-20,22,22,15,18,18,6,19,20,11,235,1016,18,1.3,0.0,10.2,14,80,5,Rockingham County,Virginia
2020-03-21,7,7,5,6,6,6,8,7,6,38,1026,7,0.5,0.0,6.1,4,75,2,Rockingham County,Virginia
2020-03-22,9,9,1,2,2,6,5,6,6,117,1032,9,0.0,0.0,8.8,-1,65,2,Rockingham County,Virginia
2020-03-23,11,11,4,5,5,4,6,7,4,203,1023,5,0.6,0.0,6.1,5,92,2,Rockingham County,Virginia
2020-03-24,14,14,1,7,7,6,7,9,3,109,1020,5,0.1,0.0,8.9,4,81,2,Rockingham County,Virginia
2020-03-25,8,8,2,5,5,3,6,7,4,43,1014,6,9.6,0.0,6.1,5,96,2,Rockingham County,Virginia
2020-03-26,16,16,1,8,8,4,9,10,7,195,1016,11,0.0,0.0,11.6,5,83,4,Rockingham County,Virginia
2020-03-27,19,19,8,12,12,5,13,15,4,46,1012,8,9.9,0.0,6.1,11,89,4,Rockingham County,Virginia
2020-03-28,21,21,11,15,15,4,17,17,4,164,1013,6,11.8,0.0,6.2,13,93,4,Rockingham County,Virginia
2020-03-29,25,25,11,19,19,3,20,21,8,231,1011,12,1.6,0.0,6.2,12,76,5,Rockingham County,Virginia
2020-03-30,17,17,8,11,11,6,12,14,10,285,1015,14,0.0,0.0,11.6,4,61,4,Rockingham County,Virginia
2020-03-31,9,9,5,6,6,5,7,8,4,87,1013,5,2.6,0.0,7.5,3,75,2,Rockingham County,Virginia
2020-04-01,11,11,3,4,4,5,6,8,7,240,1010,10,3.9,0.0,6.2,3,83,2,Rockingham County,Virginia
2020-04-02,11,11,0,3,3,6,6,8,11,327,1015,17,0.0,0.0,11.6,-1,65,3,Rockingham County,Virginia
2020-04-03,14,14,2,5,5,6,9,11,13,336,1014,20,0.0,0.0,11.6,-1,55,4,Rockingham County,Virginia
2020-04-04,14,14,2,8,8,6,9,11,4,33,1017,6,0.0,0.0,9.0,4,76,3,Rockingham County,Virginia
2020-04-05,13,13,5,9,9,3,9,11,3,159,1018,5,1.1,0.0,7.7,7,89,3,Rockingham County,Virginia
2020-04-06,17,17,8,12,12,5,12,14,3,39,1018,5,1.4,0.0,6.5,9,84,3,Rockingham County,Virginia
2020-04-07,20,20,8,15,15,6,15,17,4,222,1011,7,5.4,0.0,9.0,10,80,4,Rockingham County,Virginia
2020-04-08,24,24,12,18,18,5,20,21,8,295,1003,12,5.3,0.0,9.0,12,72,5,Rockingham County,Virginia
2020-04-09,16,16,4,9,9,5,11,13,14,288,999,19,2.7,0.0,9.1,5,70,3,Rockingham County,Virginia
2020-04-10,8,8,1,0,0,5,5,6,14,303,1008,19,0.5,0.5,11.6,-5,58,3,Rockingham County,Virginia
2020-04-11,14,14,-2,5,5,6,7,9,6,289,1017,8,0.0,0.0,11.6,-2,64,3,Rockingham County,Virginia
2020-04-12,19,19,3,11,11,5,12,15,7,196,1016,10,6.8,0.0,11.6,6,73,4,Rockingham County,Virginia
2020-04-13,19,19,12,15,15,5,17,17,11,247,1006,17,65.5,0.0,6.6,11,84,4,Rockingham County,Virginia
2020-04-14,12,12,2,5,5,5,6,9,4,182,1020,6,7.4,0.0,10.3,2,74,2,Rockingham County,Virginia
2020-04-15,10,10,-1,3,3,5,6,6,6,311,1018,10,7.6,10.0,10.3,-4,59,3,Rockingham County,Virginia
2020-04-16,9,9,-2,2,2,6,5,6,7,302,1023,10,0.0,0.0,11.6,-6,57,3,Rockingham County,Virginia
