date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,11,11,-4,-1,-1,6,3,4,12,185,1018,22,0.1,0.0,10.1,-1,74,2,Rush County,Indiana
2020-03-02,11,11,4,6,6,5,9,10,11,261,1008,19,13.4,0.0,5.6,7,90,2,Rush County,Indiana
2020-03-03,12,12,5,6,6,5,9,10,12,276,1005,18,12.0,0.0,8.6,4,75,2,Rush County,Indiana
2020-03-04,10,10,3,2,2,6,6,8,12,282,1014,19,0.1,0.0,8.6,0,66,2,Rush County,Indiana
2020-03-05,12,12,0,2,2,6,5,7,10,199,1018,16,0.1,0.0,7.1,-1,64,2,Rush County,Indiana
2020-03-06,2,2,-2,-5,-5,3,1,1,17,322,1022,23,1.1,0.2,5.7,-2,77,1,Rush County,Indiana
2020-03-07,8,8,-3,0,0,6,2,3,5,186,1033,9,0.0,0.0,11.4,-4,67,2,Rush County,Indiana
2020-03-08,13,13,0,3,3,6,6,7,12,202,1029,20,0.0,0.0,8.6,0,64,2,Rush County,Indiana
2020-03-09,15,15,8,8,8,6,11,12,19,204,1023,29,1.2,0.0,10.1,6,72,4,Rush County,Indiana
2020-03-10,12,12,5,8,8,4,10,11,13,319,1019,18,19.4,0.0,5.7,8,84,3,Rush County,Indiana
2020-03-11,13,13,4,6,6,6,8,9,5,242,1018,7,0.0,0.0,8.8,4,79,2,Rush County,Indiana
2020-03-12,16,16,7,10,10,5,11,12,9,177,1010,13,6.5,0.0,6.0,9,83,3,Rush County,Indiana
2020-03-13,8,8,4,3,3,6,7,6,13,301,1021,17,1.8,0.0,11.6,0,64,3,Rush County,Indiana
2020-03-14,3,3,1,-2,-2,3,2,2,8,60,1032,12,10.4,8.3,6.0,-1,84,1,Rush County,Indiana
2020-03-15,4,4,-2,-4,-4,5,0,1,10,59,1034,14,0.4,0.4,6.0,-1,88,1,Rush County,Indiana
2020-03-16,8,8,0,1,1,4,4,5,6,202,1027,9,2.1,0.0,8.8,1,82,1,Rush County,Indiana
2020-03-17,11,11,3,4,4,5,6,7,7,325,1025,10,0.7,0.0,11.6,2,75,3,Rush County,Indiana
2020-03-18,7,7,0,2,2,5,5,5,7,117,1022,12,26.0,0.0,7.4,5,92,2,Rush County,Indiana
2020-03-19,17,17,9,11,11,3,13,13,12,160,1016,19,12.9,0.0,6.0,13,96,3,Rush County,Indiana
2020-03-20,18,18,5,12,12,5,14,14,18,306,1018,25,17.7,0.0,6.1,9,82,3,Rush County,Indiana
2020-03-21,6,6,-2,-3,-3,6,1,2,9,40,1032,13,0.0,0.0,8.8,-5,67,1,Rush County,Indiana
2020-03-22,5,5,-2,-3,-3,6,1,2,8,113,1030,11,4.2,0.0,7.5,-3,75,1,Rush County,Indiana
2020-03-23,7,7,2,3,3,6,5,6,6,338,1021,8,0.1,0.0,6.1,2,85,2,Rush County,Indiana
2020-03-24,11,11,1,3,3,6,6,8,9,96,1018,13,1.9,0.0,8.9,3,82,2,Rush County,Indiana
2020-03-25,15,15,2,7,7,6,9,10,6,159,1014,10,1.9,0.0,11.6,4,74,4,Rush County,Indiana
2020-03-26,18,18,7,11,11,5,12,14,9,196,1010,15,0.8,0.0,10.3,10,84,4,Rush County,Indiana
2020-03-27,14,14,8,10,10,5,12,13,11,90,1010,16,10.3,0.0,6.3,11,93,3,Rush County,Indiana
2020-03-28,23,23,16,19,19,5,20,20,13,222,1006,21,17.5,0.0,6.4,17,90,5,Rush County,Indiana
2020-03-29,14,14,10,11,11,5,13,12,20,243,1009,31,21.2,0.0,7.7,8,72,3,Rush County,Indiana
2020-03-30,11,11,5,5,5,6,8,9,14,294,1019,19,0.0,0.0,10.3,2,68,2,Rush County,Indiana
2020-03-31,7,7,2,2,2,6,5,5,8,143,1016,10,0.7,0.0,7.7,1,77,2,Rush County,Indiana
2020-04-01,10,10,3,4,4,5,6,7,8,115,1017,11,1.3,0.0,6.4,3,80,2,Rush County,Indiana
2020-04-02,14,14,4,8,8,6,9,10,4,339,1020,7,0.0,0.0,11.6,3,69,3,Rush County,Indiana
2020-04-03,18,18,8,12,12,6,13,14,2,201,1018,4,0.0,0.0,11.6,5,61,4,Rush County,Indiana
2020-04-04,19,19,11,14,14,6,15,16,7,253,1017,9,0.7,0.0,7.7,8,72,4,Rush County,Indiana
2020-04-05,14,14,7,8,8,6,10,11,6,29,1020,8,0.1,0.0,7.7,6,81,3,Rush County,Indiana
2020-04-06,16,16,7,11,11,6,12,13,5,201,1018,8,0.1,0.0,6.5,9,80,3,Rush County,Indiana
2020-04-07,23,23,12,17,17,6,18,19,12,240,1009,18,1.3,0.0,6.5,15,84,4,Rush County,Indiana
2020-04-08,24,24,16,19,19,5,20,20,9,279,1004,15,22.6,0.0,7.8,14,78,4,Rush County,Indiana
2020-04-09,9,9,3,3,3,5,7,8,17,294,1007,23,15.7,0.9,10.3,2,69,2,Rush County,Indiana
2020-04-10,8,8,0,0,0,5,4,5,12,298,1016,17,1.2,0.8,11.6,-2,66,2,Rush County,Indiana
2020-04-11,14,14,2,5,5,6,8,10,10,211,1015,16,0.0,0.0,11.6,2,67,3,Rush County,Indiana
2020-04-12,14,14,10,9,9,4,11,12,13,180,1007,20,0.8,0.0,6.6,9,83,3,Rush County,Indiana
2020-04-13,10,10,3,4,4,5,8,8,15,290,1008,20,6.3,0.0,7.8,3,74,2,Rush County,Indiana
2020-04-14,6,6,1,0,0,6,3,4,8,277,1023,11,0.0,0.0,9.1,-6,51,1,Rush County,Indiana
