date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,14,14,7,8,8,6,10,11,10,124,1007,16,0.0,0.0,11.2,1,51,4,Russell County,Kansas
2020-03-02,11,11,2,4,4,6,6,6,8,206,1013,12,0.0,0.0,11.3,-1,60,3,Russell County,Kansas
2020-03-03,16,16,3,7,7,6,9,10,10,288,1012,17,0.0,0.0,11.3,-4,41,3,Russell County,Kansas
2020-03-04,16,16,5,9,9,6,11,11,11,231,1018,18,0.0,0.0,11.3,-3,40,4,Russell County,Kansas
2020-03-05,14,14,7,7,7,6,10,10,15,341,1025,23,0.0,0.0,11.3,-6,34,4,Russell County,Kansas
2020-03-06,15,15,2,6,6,6,8,9,11,166,1031,16,0.0,0.0,11.6,-5,39,3,Russell County,Kansas
2020-03-07,19,19,9,12,12,6,14,15,23,195,1019,34,0.0,0.0,11.6,0,40,4,Russell County,Kansas
2020-03-08,22,22,11,14,14,6,16,16,22,197,1011,31,0.1,0.0,11.6,6,54,5,Russell County,Kansas
2020-03-09,13,13,7,9,9,4,11,10,13,346,1014,18,1.4,0.0,8.8,6,73,3,Russell County,Kansas
2020-03-10,17,17,2,8,8,6,9,10,8,179,1022,12,0.2,0.0,11.6,2,63,2,Russell County,Kansas
2020-03-11,20,20,8,13,13,6,13,14,7,258,1015,12,1.4,0.0,11.6,5,62,4,Russell County,Kansas
2020-03-12,16,16,8,11,11,6,13,14,13,339,1010,20,0.8,0.0,11.6,5,60,4,Russell County,Kansas
2020-03-13,5,5,-2,0,0,4,4,4,12,83,1026,17,7.9,2.6,6.0,-3,65,1,Russell County,Kansas
2020-03-14,7,7,1,-1,-1,3,3,4,12,78,1027,15,5.8,4.6,6.0,1,87,1,Russell County,Kansas
