date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,-5,-5,-16,-13,-13,4,-10,-9,3,287,1019,4,0.0,0.0,8.6,-13,84,1,Rutland County,Vermont
2020-03-02,7,7,-9,-3,-3,5,-1,2,5,164,1012,9,0.7,0.1,5.6,-2,87,1,Rutland County,Vermont
2020-03-03,9,9,1,3,3,3,4,7,4,173,1003,8,2.8,0.0,7.1,3,93,2,Rutland County,Vermont
2020-03-04,3,3,-3,-4,-4,5,1,2,12,268,1001,17,0.7,0.3,7.1,-2,83,1,Rutland County,Vermont
2020-03-05,4,4,-4,-3,-3,5,1,1,5,282,1017,7,0.4,0.1,7.1,-4,83,1,Rutland County,Vermont
2020-03-06,4,4,-4,-3,-3,4,0,2,5,77,1016,7,2.3,1.9,5.6,-2,87,1,Rutland County,Vermont
2020-03-07,-2,-2,-9,-10,-10,4,-5,-5,7,328,1024,9,3.2,3.7,11.3,-9,81,2,Rutland County,Vermont
2020-03-08,6,6,-8,-3,-3,6,-1,1,5,260,1026,8,0.0,0.0,11.3,-5,77,2,Rutland County,Vermont
2020-03-09,11,11,0,3,3,6,6,7,6,233,1022,10,0.0,0.0,11.4,2,78,3,Rutland County,Vermont
2020-03-10,12,12,4,6,6,4,8,9,8,201,1014,13,1.8,0.0,7.2,6,89,2,Rutland County,Vermont
2020-03-11,3,3,-3,-2,-2,5,0,0,4,322,1020,5,0.1,0.1,7.2,-4,74,1,Rutland County,Vermont
2020-03-12,8,8,-3,1,1,5,3,5,4,155,1021,7,0.1,0.0,5.7,-2,75,2,Rutland County,Vermont
2020-03-13,9,9,-1,1,1,5,5,7,13,224,1010,18,7.7,0.0,5.7,1,83,2,Rutland County,Vermont
2020-03-14,6,6,-2,-3,-3,6,2,3,12,288,1022,15,0.0,0.0,11.5,-4,67,2,Rutland County,Vermont
2020-03-15,0,0,-7,-7,-7,6,-3,-2,7,335,1034,9,0.0,0.0,11.6,-10,60,2,Rutland County,Vermont
2020-03-16,4,4,-8,-4,-4,6,-2,1,4,179,1034,6,0.0,0.0,11.6,-12,52,2,Rutland County,Vermont
2020-03-17,5,5,-2,-2,-2,5,2,4,9,227,1021,12,0.8,0.7,6.0,-1,84,1,Rutland County,Vermont
2020-03-18,6,6,-4,0,0,6,2,3,3,268,1030,5,0.2,0.0,6.2,-5,68,1,Rutland County,Vermont
2020-03-19,6,6,-1,0,0,2,2,3,5,107,1027,7,5.1,0.2,6.2,1,91,1,Rutland County,Vermont
2020-03-20,15,15,1,8,8,4,10,13,11,227,1010,17,6.5,0.0,7.6,7,89,3,Rutland County,Vermont
2020-03-21,1,1,-5,-7,-7,6,-2,-2,9,336,1028,11,0.0,0.0,11.6,-12,52,2,Rutland County,Vermont
2020-03-22,4,4,-7,-5,-5,6,-2,0,4,123,1038,6,0.0,0.0,11.6,-15,41,2,Rutland County,Vermont
2020-03-23,3,3,-5,-5,-5,4,-1,1,7,138,1030,9,4.5,1.8,6.3,-8,65,1,Rutland County,Vermont
2020-03-24,3,3,-5,-3,-3,3,0,1,4,327,1021,6,0.1,2.0,7.6,-3,91,1,Rutland County,Vermont
2020-03-25,5,5,-6,-2,-2,4,1,3,4,135,1021,7,0.2,0.0,7.6,-3,87,1,Rutland County,Vermont
2020-03-26,10,10,-5,2,2,4,4,7,4,208,1014,7,0.1,0.0,10.3,1,86,2,Rutland County,Vermont
2020-03-27,8,8,1,3,3,4,5,5,5,319,1013,7,0.0,0.0,11.6,0,80,3,Rutland County,Vermont
2020-03-28,13,13,-3,5,5,5,6,9,3,214,1020,5,1.0,0.0,10.3,-1,68,3,Rutland County,Vermont
2020-03-29,6,6,-1,1,1,5,4,5,7,112,1016,10,10.2,0.0,6.4,4,94,2,Rutland County,Vermont
2020-03-30,7,7,1,2,2,4,4,5,6,106,1013,8,13.4,0.3,6.4,3,95,2,Rutland County,Vermont
2020-03-31,7,7,-1,2,2,5,4,5,3,145,1017,4,1.1,0.4,6.4,0,85,1,Rutland County,Vermont
2020-04-01,5,5,-2,0,0,5,2,4,5,338,1012,6,0.3,0.0,7.7,-1,84,1,Rutland County,Vermont
2020-04-02,4,4,-2,-2,-2,4,2,2,9,334,1007,12,3.8,0.2,6.5,1,94,1,Rutland County,Vermont
2020-04-03,7,7,3,3,3,3,5,6,6,233,1009,8,7.0,0.0,6.5,5,96,2,Rutland County,Vermont
2020-04-04,9,9,3,5,5,3,6,8,2,288,1017,3,0.2,0.0,6.5,4,91,2,Rutland County,Vermont
2020-04-05,12,12,1,7,7,4,7,10,2,261,1017,3,0.2,0.0,6.5,5,86,2,Rutland County,Vermont
2020-04-06,11,11,1,4,4,5,6,7,5,300,1016,8,0.0,0.0,11.6,-2,68,3,Rutland County,Vermont
2020-04-07,12,12,0,5,5,6,7,9,4,283,1010,6,0.0,0.0,11.6,-2,59,3,Rutland County,Vermont
2020-04-08,12,12,3,7,7,4,8,10,3,310,1002,4,0.8,0.0,9.1,0,67,2,Rutland County,Vermont
2020-04-09,6,6,0,1,1,4,4,6,8,238,990,10,25.6,0.0,6.6,3,92,2,Rutland County,Vermont
2020-04-10,3,3,-1,-4,-4,3,1,2,10,311,990,13,5.5,4.0,6.6,-1,87,1,Rutland County,Vermont
2020-04-11,5,5,-4,-2,-2,5,2,3,9,293,1009,12,0.7,0.6,9.1,-4,74,1,Rutland County,Vermont
2020-04-12,12,12,-5,3,3,6,6,9,7,222,1019,10,0.0,0.0,10.4,-1,69,3,Rutland County,Vermont
2020-04-13,13,13,2,7,7,4,9,10,10,143,1004,17,24.4,0.0,6.6,7,93,3,Rutland County,Vermont
2020-04-14,8,8,0,1,1,6,5,6,9,264,1015,12,0.1,0.0,11.6,-4,62,2,Rutland County,Vermont
2020-04-15,5,5,-4,-2,-2,5,1,3,7,279,1013,9,2.7,0.9,7.9,-7,59,1,Rutland County,Vermont
2020-04-16,5,5,-4,-2,-2,3,1,3,7,288,1016,10,4.2,3.1,6.7,-8,59,1,Rutland County,Vermont
2020-04-17,7,7,-5,-2,-2,6,2,4,9,257,1019,13,0.0,0.0,10.4,-8,55,1,Rutland County,Vermont
2020-04-18,8,8,-3,2,2,4,4,6,4,249,1010,5,2.7,0.9,6.7,-3,72,2,Rutland County,Vermont
2020-04-19,12,12,-5,1,1,5,4,8,8,234,1006,11,1.0,0.0,9.1,1,82,2,Rutland County,Vermont
2020-04-20,8,8,-1,1,1,6,4,4,6,322,1006,7,0.1,0.0,13.3,-5,63,1,Rutland County,Vermont
2020-04-21,10,10,-2,1,1,5,4,7,9,218,999,13,9.7,0.0,11.0,-3,71,2,Rutland County,Vermont
2020-04-22,4,4,-4,-6,-6,5,-1,1,14,285,1006,18,0.1,0.0,8.7,-9,55,1,Rutland County,Vermont
2020-04-23,10,10,-5,0,0,6,3,5,6,266,1015,8,0.0,0.0,13.9,-10,46,3,Rutland County,Vermont
2020-04-24,13,13,-1,6,6,6,7,9,3,241,1011,5,0.0,0.0,9.9,-2,64,2,Rutland County,Vermont
