date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,14,14,9,9,9,5,11,12,11,204,1009,20,0.6,0.0,7.3,8,82,3,Saline County,Missouri
2020-03-02,10,10,3,4,4,6,7,6,8,238,1011,10,0.0,0.0,11.6,1,67,3,Saline County,Missouri
2020-03-03,14,14,4,6,6,6,8,9,10,291,1010,16,0.0,0.0,11.6,0,60,3,Saline County,Missouri
2020-03-04,13,13,7,7,7,6,9,9,8,202,1016,13,0.0,0.0,11.6,2,63,2,Saline County,Missouri
2020-03-05,13,13,5,5,5,6,8,10,15,307,1020,23,0.0,0.0,11.6,-1,55,3,Saline County,Missouri
2020-03-06,9,9,0,1,1,6,4,5,9,345,1032,13,0.0,0.0,11.6,-4,56,2,Saline County,Missouri
2020-03-07,16,16,3,6,6,6,8,10,12,182,1028,20,0.0,0.0,8.7,0,57,2,Saline County,Missouri
2020-03-08,19,19,8,11,11,6,13,14,16,201,1020,26,0.0,0.0,11.6,4,57,4,Saline County,Missouri
2020-03-09,15,15,7,10,10,4,12,13,17,199,1014,26,53.4,0.0,5.9,9,86,3,Saline County,Missouri
2020-03-10,12,12,2,4,4,6,6,7,6,269,1024,9,2.0,0.0,11.6,2,75,3,Saline County,Missouri
2020-03-11,17,17,7,11,11,6,11,12,4,295,1016,7,0.0,0.0,11.6,6,73,4,Saline County,Missouri
2020-03-12,18,18,10,12,12,5,13,14,10,258,1008,17,3.2,0.0,5.9,9,84,3,Saline County,Missouri
2020-03-13,10,10,3,4,4,6,7,7,8,42,1026,12,0.0,0.0,8.8,-2,57,2,Saline County,Missouri
2020-03-14,4,4,-6,-2,-2,3,2,3,13,74,1030,19,7.5,3.4,6.0,1,86,1,Saline County,Missouri
2020-03-15,6,6,1,0,0,6,3,4,9,81,1034,12,0.0,0.0,6.0,-1,77,1,Saline County,Missouri
2020-03-16,7,7,1,2,2,4,4,4,5,158,1026,7,6.3,0.0,6.0,2,87,1,Saline County,Missouri
2020-03-17,11,11,3,5,5,6,7,7,6,84,1025,9,0.0,0.0,7.4,4,81,2,Saline County,Missouri
2020-03-18,17,17,8,10,10,5,11,11,8,123,1016,12,23.3,0.0,7.4,10,90,3,Saline County,Missouri
2020-03-19,23,23,13,17,17,5,18,19,15,192,1008,27,18.2,0.0,6.0,15,85,4,Saline County,Missouri
2020-03-20,7,7,2,3,3,6,7,5,15,349,1025,20,1.0,0.0,8.8,2,72,1,Saline County,Missouri
2020-03-21,8,8,-1,1,1,6,3,4,6,127,1033,9,0.0,0.0,10.2,-3,67,2,Saline County,Missouri
2020-03-22,4,4,-1,-1,-1,4,3,3,11,136,1024,16,13.3,0.0,6.1,1,90,1,Saline County,Missouri
2020-03-23,13,13,1,6,6,4,7,8,5,118,1021,7,0.1,0.0,8.8,4,85,2,Saline County,Missouri
2020-03-24,12,12,6,6,6,5,8,9,9,85,1015,12,0.8,0.0,6.1,6,87,2,Saline County,Missouri
2020-03-25,20,20,4,10,10,4,11,12,9,177,1011,14,0.0,0.0,11.6,8,82,4,Saline County,Missouri
2020-03-26,21,21,12,15,15,5,17,17,8,229,1005,13,0.4,0.0,7.5,13,84,4,Saline County,Missouri
2020-03-27,22,22,12,15,15,4,16,16,7,94,1005,11,9.1,0.0,6.1,15,92,4,Saline County,Missouri
2020-03-28,23,23,12,17,17,5,18,20,16,204,1000,25,17.5,0.0,6.2,13,74,5,Saline County,Missouri
2020-03-29,17,17,7,9,9,6,12,12,17,278,1013,24,0.0,0.0,11.6,3,58,4,Saline County,Missouri
2020-03-30,18,18,7,12,12,6,12,13,4,57,1021,7,0.0,0.0,11.6,3,54,4,Saline County,Missouri
2020-03-31,16,16,7,11,11,6,12,12,7,243,1017,11,0.0,0.0,11.6,5,63,4,Saline County,Missouri
2020-04-01,19,19,5,10,10,6,12,13,9,150,1015,14,0.0,0.0,11.6,8,77,4,Saline County,Missouri
2020-04-02,20,20,12,14,14,6,15,16,14,162,1014,22,0.0,0.0,9.0,10,72,4,Saline County,Missouri
2020-04-03,7,7,0,4,4,5,7,6,12,320,1018,16,1.5,0.0,6.4,4,85,2,Saline County,Missouri
2020-04-04,12,12,-2,2,2,6,5,6,9,34,1022,12,0.4,0.0,11.6,-1,65,3,Saline County,Missouri
2020-04-05,16,16,4,9,9,6,10,11,7,129,1020,11,0.0,0.0,7.7,6,76,3,Saline County,Missouri
2020-04-06,19,19,9,15,15,6,15,16,10,202,1014,15,0.1,0.0,6.5,13,87,4,Saline County,Missouri
2020-04-07,22,22,16,19,19,6,19,19,11,226,1008,16,0.1,0.0,7.8,17,88,4,Saline County,Missouri
2020-04-08,27,27,15,21,22,5,22,22,10,229,1007,15,0.1,0.0,11.6,13,72,6,Saline County,Missouri
2020-04-09,13,13,4,6,6,6,9,10,13,305,1016,19,0.0,0.0,11.6,-1,52,4,Saline County,Missouri
2020-04-10,12,12,-1,3,3,6,6,6,6,170,1021,10,0.0,0.0,11.6,-3,55,3,Saline County,Missouri
2020-04-11,18,18,6,11,11,6,13,14,12,198,1008,19,2.6,0.0,6.5,7,70,3,Saline County,Missouri
2020-04-12,20,20,12,14,14,4,16,17,14,181,1000,23,39.3,0.0,6.5,11,89,4,Saline County,Missouri
2020-04-13,7,7,-2,-2,-2,5,2,3,14,317,1020,19,0.3,0.0,11.6,-6,54,2,Saline County,Missouri
2020-04-14,9,9,-1,1,1,6,4,5,8,276,1024,12,0.1,0.0,7.8,-6,50,1,Saline County,Missouri
2020-04-15,9,9,2,2,2,6,5,6,9,223,1020,14,0.0,0.0,11.6,-3,59,3,Saline County,Missouri
2020-04-16,10,10,1,2,2,5,5,7,11,98,1021,16,7.5,0.0,6.6,1,73,2,Saline County,Missouri
2020-04-17,5,5,1,0,0,4,4,4,11,239,1019,15,15.4,0.6,6.6,1,85,1,Saline County,Missouri
2020-04-18,15,15,-1,4,4,6,7,9,10,214,1016,15,0.0,0.0,11.6,2,73,3,Saline County,Missouri
2020-04-19,16,16,6,10,10,6,11,13,7,142,1010,11,0.2,0.0,6.6,7,77,3,Saline County,Missouri
2020-04-20,18,18,6,11,11,6,12,13,6,252,1010,10,1.6,0.0,6.6,7,72,3,Saline County,Missouri
2020-04-21,18,18,6,12,12,6,13,13,5,208,1016,10,0.1,0.0,11.6,6,66,4,Saline County,Missouri
2020-04-22,16,16,8,10,10,5,12,14,11,171,1011,18,47.5,0.0,7.9,9,81,3,Saline County,Missouri
2020-04-23,19,19,11,15,15,4,15,16,7,230,1004,10,2.6,0.0,9.1,12,84,4,Saline County,Missouri
2020-04-24,16,16,13,14,14,5,14,15,4,211,1007,7,4.6,0.0,6.9,12,88,4,Saline County,Missouri
2020-04-25,15,15,10,10,10,5,12,12,14,356,1012,19,41.1,0.0,8.1,9,84,3,Saline County,Missouri
2020-04-26,19,19,7,13,13,6,13,15,4,266,1020,8,0.1,0.0,11.6,8,72,3,Saline County,Missouri
2020-04-27,20,20,12,14,14,5,15,15,13,195,1017,21,5.4,0.0,6.9,12,80,4,Saline County,Missouri
2020-04-28,23,23,14,18,18,5,19,19,11,240,1009,18,10.7,0.0,8.1,15,85,4,Saline County,Missouri
2020-04-29,14,14,9,9,9,5,11,11,13,330,1010,21,4.4,0.0,6.9,8,81,3,Saline County,Missouri
2020-04-30,19,19,8,12,12,6,13,15,8,320,1015,12,0.0,0.0,11.6,8,72,4,Saline County,Missouri
2020-05-01,24,24,11,17,17,6,18,18,10,178,1012,16,1.1,0.0,9.3,12,75,4,Saline County,Missouri
2020-05-02,24,24,16,20,20,6,21,21,7,186,1012,13,3.4,0.0,7.0,16,81,5,Saline County,Missouri
2020-05-03,20,20,14,17,17,6,17,17,7,51,1015,12,2.1,0.0,9.3,12,74,4,Saline County,Missouri
2020-05-04,19,19,11,12,12,5,14,15,11,108,1013,18,15.8,0.0,7.0,9,76,4,Saline County,Missouri
2020-05-05,18,18,9,11,11,4,13,14,15,294,1015,20,2.4,0.0,9.3,9,80,3,Saline County,Missouri
2020-05-06,16,16,6,9,9,5,10,11,7,314,1023,11,0.9,0.0,8.2,7,79,3,Saline County,Missouri
2020-05-07,18,18,7,11,11,6,12,14,5,213,1019,8,4.5,0.0,10.5,8,80,4,Saline County,Missouri
2020-05-08,12,12,7,7,7,5,10,10,13,120,1019,18,26.0,0.0,9.3,5,75,3,Saline County,Missouri
2020-05-09,15,15,4,9,9,6,10,12,7,230,1024,11,0.0,0.0,10.5,5,70,3,Saline County,Missouri
2020-05-10,13,13,4,6,6,6,9,9,13,316,1024,19,0.1,0.0,11.6,4,72,3,Saline County,Missouri
2020-05-11,12,12,3,6,6,6,7,9,6,310,1027,10,0.0,0.0,9.3,2,70,2,Saline County,Missouri
2020-05-12,13,13,5,8,8,5,8,9,5,136,1024,7,0.0,0.0,9.3,4,75,2,Saline County,Missouri
2020-05-13,16,16,6,8,8,4,10,11,10,147,1017,16,0.9,0.0,7.1,11,93,3,Saline County,Missouri
2020-05-14,21,21,14,19,19,5,20,20,14,203,1010,23,3.7,0.0,8.9,18,90,4,Saline County,Missouri
2020-05-15,22,22,17,20,20,5,21,20,7,75,1011,11,25.0,0.0,13.4,18,90,5,Saline County,Missouri
2020-05-16,25,25,17,20,20,5,21,21,9,217,1009,14,13.7,0.0,9.1,18,89,5,Saline County,Missouri
2020-05-17,22,22,12,17,17,4,19,18,7,70,1016,10,0.1,0.0,14.5,14,82,5,Saline County,Missouri
2020-05-18,17,17,10,13,13,6,14,15,12,324,1011,17,1.3,0.0,9.2,11,84,3,Saline County,Missouri
2020-05-19,20,20,10,14,14,4,14,16,9,121,1013,13,0.5,0.0,9.2,12,87,4,Saline County,Missouri
2020-05-20,20,20,12,16,16,4,16,18,8,85,1016,11,1.1,0.0,9.2,14,88,4,Saline County,Missouri
2020-05-21,21,21,12,16,16,4,16,17,8,114,1015,12,0.3,0.0,10.3,14,89,4,Saline County,Missouri
2020-05-22,23,23,13,18,18,5,19,20,10,133,1013,15,4.2,0.0,9.2,16,89,4,Saline County,Missouri
2020-05-23,27,27,14,21,21,6,22,22,9,244,1010,14,1.7,0.0,14.5,18,81,6,Saline County,Missouri
2020-05-24,29,29,19,24,26,6,26,25,8,190,1011,14,4.1,0.0,12.4,20,83,6,Saline County,Missouri
2020-05-25,27,27,19,22,23,5,23,24,8,164,1011,13,17.3,0.0,9.2,19,83,5,Saline County,Missouri
2020-05-26,25,25,19,21,22,5,22,23,12,174,1009,18,5.5,0.0,9.2,19,86,5,Saline County,Missouri
2020-05-27,22,22,16,19,19,4,19,20,3,158,1011,6,3.1,0.0,12.4,17,89,4,Saline County,Missouri
2020-05-28,21,21,11,17,17,4,18,19,6,201,1012,11,21.6,0.0,9.3,17,92,4,Saline County,Missouri
2020-05-29,21,21,14,17,17,4,18,19,8,339,1020,13,0.0,0.0,14.5,14,80,5,Saline County,Missouri
2020-05-30,22,22,13,16,16,6,17,19,5,59,1023,8,0.0,0.0,13.5,13,80,5,Saline County,Missouri
2020-05-31,20,20,12,16,16,6,17,17,7,120,1024,11,0.0,0.0,10.3,14,82,4,Saline County,Missouri
2020-06-01,27,27,16,21,22,6,22,23,11,205,1020,18,0.0,0.0,14.5,17,80,6,Saline County,Missouri
2020-06-02,28,28,19,23,25,6,25,24,12,222,1015,18,0.0,0.0,14.5,20,81,6,Saline County,Missouri
2020-06-03,30,30,21,25,27,5,27,26,9,263,1011,15,7.5,0.0,12.4,22,84,6,Saline County,Missouri
2020-06-04,31,31,22,26,29,6,29,27,7,220,1008,12,7.0,0.0,9.3,22,83,6,Saline County,Missouri
2020-06-05,31,31,20,26,29,5,29,27,6,226,1011,10,1.5,0.0,11.4,22,83,6,Saline County,Missouri
2020-06-06,31,31,22,26,30,6,30,27,6,128,1014,9,0.0,0.0,14.5,22,81,7,Saline County,Missouri
2020-06-07,31,31,21,26,29,6,29,27,9,148,1013,14,0.0,0.0,14.5,22,80,7,Saline County,Missouri
2020-06-08,29,29,21,25,27,6,27,26,10,120,1009,16,0.0,0.0,14.5,21,79,7,Saline County,Missouri
2020-06-09,28,28,22,24,27,4,27,24,10,300,998,17,53.9,0.0,11.4,21,88,5,Saline County,Missouri
2020-06-10,18,18,10,14,14,5,15,16,12,302,1006,19,1.1,0.0,9.3,12,79,4,Saline County,Missouri
2020-06-11,26,26,14,20,20,6,21,21,8,252,1022,14,0.1,0.0,14.5,15,75,6,Saline County,Missouri
2020-06-12,28,28,18,23,24,5,24,24,5,267,1024,8,2.6,0.0,12.4,19,78,5,Saline County,Missouri
2020-06-13,28,28,18,23,24,6,24,24,7,116,1021,11,0.0,0.0,14.5,19,79,6,Saline County,Missouri
