date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,14,14,-1,6,6,6,7,9,4,205,1025,6,0.0,0.0,11.6,-1,61,3,Saluda County,South Carolina
2020-03-02,17,17,5,10,10,5,11,13,8,220,1019,12,5.2,0.0,8.7,6,72,3,Saluda County,South Carolina
2020-03-03,17,17,14,15,15,4,16,16,9,218,1012,14,32.3,0.0,5.9,15,95,4,Saluda County,South Carolina
2020-03-04,14,14,9,13,13,3,14,13,5,127,1015,8,15.1,0.0,5.9,13,93,3,Saluda County,South Carolina
2020-03-05,10,10,5,7,7,3,9,9,8,73,1018,12,63.5,0.0,5.9,9,95,2,Saluda County,South Carolina
2020-03-06,12,12,6,7,7,5,9,11,11,296,1018,17,0.2,0.0,11.6,2,70,4,Saluda County,South Carolina
2020-03-07,12,12,0,4,4,6,6,8,6,11,1030,10,0.0,0.0,11.6,-2,60,3,Saluda County,South Carolina
2020-03-08,14,14,2,8,8,6,9,10,4,161,1035,6,0.0,0.0,7.3,0,59,3,Saluda County,South Carolina
2020-03-09,19,19,5,11,11,6,12,14,5,184,1033,8,0.2,0.0,7.3,6,70,3,Saluda County,South Carolina
2020-03-10,18,18,13,14,14,4,14,16,8,232,1027,13,1.8,0.0,5.9,13,90,4,Saluda County,South Carolina
2020-03-11,22,22,12,16,16,3,17,18,7,247,1019,11,0.7,0.0,7.4,13,84,4,Saluda County,South Carolina
2020-03-12,22,22,12,17,17,4,18,19,5,239,1016,10,4.0,0.0,8.8,15,85,4,Saluda County,South Carolina
2020-03-13,24,24,17,19,19,6,20,21,7,267,1018,11,2.1,0.0,7.4,16,81,5,Saluda County,South Carolina
2020-03-14,18,18,9,14,14,6,14,15,6,97,1026,9,1.6,0.0,7.4,9,71,4,Saluda County,South Carolina
2020-03-15,18,18,12,14,14,3,15,16,6,145,1024,9,6.2,0.0,6.0,13,93,4,Saluda County,South Carolina
2020-03-16,12,12,8,9,9,5,10,10,6,60,1028,8,0.5,0.0,6.0,7,79,3,Saluda County,South Carolina
2020-03-17,21,21,10,15,15,6,15,17,4,241,1024,5,0.1,0.0,7.4,12,85,4,Saluda County,South Carolina
2020-03-18,23,23,13,17,17,4,17,18,5,98,1026,8,1.7,0.0,6.0,15,90,4,Saluda County,South Carolina
2020-03-19,27,27,17,21,22,5,22,23,7,208,1024,12,1.3,0.0,8.8,18,84,5,Saluda County,South Carolina
2020-03-20,26,26,17,21,22,5,22,23,9,231,1023,15,0.1,0.0,11.6,17,78,6,Saluda County,South Carolina
2020-03-21,25,25,16,21,21,5,21,22,6,276,1022,10,0.2,0.0,11.6,15,77,6,Saluda County,South Carolina
2020-03-22,14,14,11,12,12,4,13,13,9,58,1026,12,1.0,0.0,6.1,10,84,3,Saluda County,South Carolina
2020-03-23,18,18,11,13,13,3,14,14,5,180,1023,8,5.9,0.0,6.1,13,96,3,Saluda County,South Carolina
2020-03-24,17,17,9,14,14,3,14,15,4,66,1016,7,30.2,0.0,6.1,14,97,3,Saluda County,South Carolina
2020-03-25,22,22,16,19,19,5,20,20,7,105,1010,10,21.7,0.0,8.9,15,82,4,Saluda County,South Carolina
2020-03-26,21,21,10,15,15,6,16,17,5,160,1018,9,0.0,0.0,11.6,11,76,5,Saluda County,South Carolina
2020-03-27,27,27,15,21,22,5,22,23,7,231,1014,12,0.0,0.0,11.6,17,81,6,Saluda County,South Carolina
2020-03-28,28,28,18,22,24,5,24,24,9,241,1014,14,0.0,0.0,11.6,18,77,6,Saluda County,South Carolina
2020-03-29,27,27,19,23,24,6,24,23,10,251,1016,16,0.5,0.0,7.5,17,76,5,Saluda County,South Carolina
2020-03-30,23,23,15,18,18,6,18,19,5,191,1018,9,0.0,0.0,11.6,9,56,5,Saluda County,South Carolina
2020-03-31,15,15,5,12,12,5,13,14,8,82,1008,12,12.6,0.0,7.5,9,75,3,Saluda County,South Carolina
2020-04-01,15,15,6,9,9,5,10,12,8,234,1011,12,0.2,0.0,10.2,4,70,3,Saluda County,South Carolina
2020-04-02,18,18,5,12,12,6,13,14,5,209,1017,8,0.0,0.0,11.6,4,63,4,Saluda County,South Carolina
2020-04-03,22,22,7,15,15,6,16,17,3,187,1016,6,0.0,0.0,11.6,7,62,5,Saluda County,South Carolina
2020-04-04,23,23,11,17,17,6,18,19,4,55,1015,6,0.0,0.0,11.6,8,61,5,Saluda County,South Carolina
2020-04-05,23,23,13,17,17,6,17,17,4,169,1018,7,2.4,0.0,10.3,10,69,5,Saluda County,South Carolina
2020-04-06,26,26,14,19,19,5,20,21,7,253,1018,12,4.6,0.0,7.6,14,74,5,Saluda County,South Carolina
2020-04-07,23,23,16,19,19,5,20,21,9,243,1015,15,4.6,0.0,6.2,16,81,5,Saluda County,South Carolina
2020-04-08,28,28,16,22,22,6,22,24,9,265,1008,14,0.6,0.0,11.6,16,75,6,Saluda County,South Carolina
2020-04-09,27,27,17,21,22,5,22,24,11,279,1004,17,2.4,0.0,11.6,13,64,6,Saluda County,South Carolina
2020-04-10,16,16,11,12,12,6,14,14,8,343,1012,12,0.0,0.0,11.6,1,46,4,Saluda County,South Carolina
2020-04-11,20,20,5,12,12,6,14,15,6,147,1019,9,0.0,0.0,11.6,1,50,4,Saluda County,South Carolina
2020-04-12,19,19,10,14,14,5,15,17,9,145,1016,16,47.6,0.0,6.5,14,89,4,Saluda County,South Carolina
2020-04-13,24,24,15,21,23,5,23,22,13,260,1010,21,11.4,0.0,11.6,15,74,6,Saluda County,South Carolina
2020-04-14,25,25,11,18,18,6,19,20,5,208,1015,8,0.0,0.0,11.6,12,70,6,Saluda County,South Carolina
2020-04-15,16,16,9,11,11,6,13,13,7,22,1016,11,0.0,0.0,11.6,5,64,4,Saluda County,South Carolina
2020-04-16,20,20,7,14,14,6,14,16,3,27,1023,5,0.0,0.0,11.6,4,60,5,Saluda County,South Carolina
2020-04-17,21,21,7,15,15,6,15,17,6,189,1023,10,0.0,0.0,11.6,6,60,5,Saluda County,South Carolina
2020-04-18,23,23,15,19,19,6,21,21,9,293,1013,13,0.0,0.0,11.6,11,66,6,Saluda County,South Carolina
2020-04-19,19,19,10,12,12,3,13,14,3,222,1013,5,2.4,0.0,9.2,10,81,3,Saluda County,South Carolina
2020-04-20,21,21,13,15,15,5,16,16,6,120,1005,9,42.4,0.0,9.2,12,85,4,Saluda County,South Carolina
2020-04-21,24,24,10,16,16,6,17,19,9,269,1011,15,0.0,0.0,11.6,10,67,5,Saluda County,South Carolina
2020-04-22,21,21,10,14,14,6,16,17,5,142,1018,9,0.0,0.0,11.6,6,57,5,Saluda County,South Carolina
2020-04-23,18,18,13,15,15,4,15,16,10,136,1013,16,34.0,0.0,8.0,14,91,4,Saluda County,South Carolina
2020-04-24,24,24,15,20,20,6,21,21,8,270,1007,12,2.1,0.0,10.4,15,79,5,Saluda County,South Carolina
2020-04-25,26,26,13,20,20,5,20,22,5,169,1011,9,1.2,0.0,11.6,14,75,6,Saluda County,South Carolina
2020-04-26,20,20,12,15,15,6,16,17,13,262,1012,19,1.4,0.0,11.6,9,70,5,Saluda County,South Carolina
2020-04-27,22,22,9,15,15,6,16,17,7,324,1020,12,0.0,0.0,11.6,4,53,5,Saluda County,South Carolina
2020-04-28,25,25,10,18,18,6,19,20,5,225,1021,9,0.0,0.0,11.6,8,59,5,Saluda County,South Carolina
2020-04-29,26,26,15,20,20,5,20,22,13,185,1013,19,26.8,0.0,10.4,14,72,5,Saluda County,South Carolina
2020-04-30,21,21,13,15,15,5,16,17,9,251,1008,14,49.0,0.0,6.9,11,78,4,Saluda County,South Carolina
2020-05-01,22,22,9,15,15,6,16,17,8,300,1015,12,0.0,0.0,11.6,8,65,5,Saluda County,South Carolina
2020-05-02,25,25,10,18,18,6,19,20,5,198,1021,8,0.0,0.0,11.6,10,65,6,Saluda County,South Carolina
2020-05-03,28,28,13,21,22,6,22,24,9,245,1016,15,0.0,0.0,11.6,13,63,6,Saluda County,South Carolina
2020-05-04,27,27,18,22,23,5,23,24,5,288,1013,9,15.4,0.0,9.2,17,75,5,Saluda County,South Carolina
2020-05-05,29,29,19,24,25,5,25,26,7,248,1010,11,25.4,0.0,11.6,19,79,6,Saluda County,South Carolina
2020-05-06,22,22,14,18,18,5,20,19,9,274,1011,13,4.3,0.0,11.6,10,69,5,Saluda County,South Carolina
2020-05-07,19,19,5,12,12,6,13,15,5,302,1018,8,0.0,0.0,11.6,3,57,5,Saluda County,South Carolina
2020-05-08,21,21,8,13,13,6,14,17,8,225,1014,12,1.5,0.0,9.3,7,68,4,Saluda County,South Carolina
2020-05-09,19,19,6,11,11,6,13,14,6,223,1021,9,1.2,0.0,11.6,4,62,4,Saluda County,South Carolina
2020-05-10,22,22,7,15,15,6,16,17,5,199,1022,8,0.0,0.0,11.6,5,55,5,Saluda County,South Carolina
2020-05-11,20,20,9,14,14,6,15,17,7,304,1020,11,0.0,0.0,11.6,5,57,5,Saluda County,South Carolina
2020-05-12,21,21,6,13,13,6,14,16,5,172,1024,8,0.0,0.0,11.6,4,56,5,Saluda County,South Carolina
2020-05-13,24,24,11,17,17,6,17,19,3,117,1025,6,0.0,0.0,11.6,11,69,5,Saluda County,South Carolina
2020-05-14,26,26,13,20,21,5,21,23,6,177,1025,9,0.0,0.0,11.6,14,72,6,Saluda County,South Carolina
2020-05-15,26,26,14,20,21,5,21,22,5,170,1022,9,0.0,0.0,10.4,15,76,5,Saluda County,South Carolina
2020-05-16,28,28,15,22,23,5,23,25,4,195,1018,7,0.0,0.0,11.6,15,70,7,Saluda County,South Carolina
