date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,11,11,-4,2,2,5,4,7,6,310,1015,10,6.4,0.0,7.1,1,77,2,San Benito County,California
2020-03-02,17,17,0,7,7,6,8,11,5,338,1016,9,0.0,0.0,11.6,-3,51,4,San Benito County,California
2020-03-03,21,21,4,12,12,6,13,16,2,209,1016,4,0.0,0.0,11.6,2,55,5,San Benito County,California
2020-03-04,24,24,9,16,16,6,17,19,2,156,1018,3,0.0,0.0,11.6,7,62,5,San Benito County,California
2020-03-05,23,23,8,16,16,6,17,18,4,154,1020,6,0.0,0.0,8.7,8,71,4,San Benito County,California
2020-03-06,20,20,7,12,12,6,12,15,2,187,1016,4,0.0,0.0,10.2,6,75,4,San Benito County,California
2020-03-07,14,14,3,8,8,6,10,12,4,241,1015,6,3.0,0.0,8.7,5,79,3,San Benito County,California
2020-03-08,13,13,2,6,6,6,7,10,5,157,1016,9,0.1,0.0,8.8,3,75,2,San Benito County,California
2020-03-09,11,11,4,7,7,5,7,9,3,214,1018,5,3.5,0.0,5.9,4,80,2,San Benito County,California
2020-03-10,18,18,5,11,11,5,12,15,3,151,1016,6,12.3,0.0,5.9,5,71,4,San Benito County,California
2020-03-11,19,19,5,12,12,6,12,15,2,130,1017,4,4.8,0.0,11.6,7,76,4,San Benito County,California
2020-03-12,23,23,8,15,15,6,16,18,5,321,1011,8,0.0,0.0,11.6,8,70,5,San Benito County,California
2020-03-13,19,19,6,10,10,6,11,15,7,155,1010,12,0.0,0.0,11.6,6,75,4,San Benito County,California
2020-03-14,15,15,6,7,7,6,9,12,10,184,1017,17,1.2,0.0,7.4,5,76,3,San Benito County,California
2020-03-15,11,11,4,4,4,5,7,9,11,186,1017,20,18.2,0.0,7.4,5,87,2,San Benito County,California
2020-03-16,9,9,-2,4,4,5,6,8,5,315,1014,8,19.1,0.0,6.0,4,86,2,San Benito County,California
2020-03-17,11,11,0,3,3,5,5,8,5,189,1015,8,10.1,0.0,6.0,2,84,2,San Benito County,California
2020-03-18,13,13,-2,4,4,6,5,9,4,315,1013,7,0.5,0.0,11.6,1,78,2,San Benito County,California
2020-03-19,13,13,3,7,7,6,7,11,2,129,1018,4,0.6,0.0,7.4,2,73,3,San Benito County,California
2020-03-20,14,14,2,8,8,5,8,11,3,159,1022,4,4.6,0.0,11.6,4,77,4,San Benito County,California
2020-03-21,14,14,8,10,10,5,10,11,3,187,1021,4,9.7,0.0,6.1,7,83,3,San Benito County,California
2020-03-22,15,15,6,9,9,4,9,12,3,116,1017,4,20.1,0.0,6.1,7,88,3,San Benito County,California
2020-03-23,17,17,6,10,10,5,11,14,4,224,1020,6,2.6,0.0,7.5,8,84,3,San Benito County,California
2020-03-24,13,13,5,9,9,6,9,11,2,301,1022,3,1.9,0.0,6.1,5,78,3,San Benito County,California
2020-03-25,13,13,0,5,5,5,7,10,6,314,1019,10,7.0,0.0,6.3,3,79,2,San Benito County,California
2020-03-26,13,13,-1,5,5,5,6,9,5,316,1018,9,3.2,0.0,7.6,0,74,2,San Benito County,California
2020-03-27,14,14,1,6,6,6,8,11,6,324,1022,10,0.0,0.0,11.6,2,77,4,San Benito County,California
2020-03-28,12,12,2,6,6,5,7,10,3,327,1023,5,2.7,0.0,6.3,5,83,2,San Benito County,California
2020-03-29,14,14,4,9,9,5,9,12,3,248,1021,5,2.8,0.0,6.4,6,81,3,San Benito County,California
2020-03-30,19,19,3,9,9,4,10,14,5,317,1025,9,0.0,0.0,11.6,5,76,4,San Benito County,California
2020-03-31,21,21,6,13,13,6,13,17,8,321,1021,11,0.0,0.0,11.6,9,75,5,San Benito County,California
2020-04-01,18,18,2,9,9,5,11,14,10,324,1015,15,0.0,0.0,11.6,4,69,4,San Benito County,California
2020-04-02,18,18,3,8,8,6,10,14,8,325,1018,14,0.0,0.0,11.6,0,57,4,San Benito County,California
2020-04-03,18,18,1,6,6,6,8,13,7,320,1017,12,0.0,0.0,11.6,0,61,4,San Benito County,California
2020-04-04,15,15,1,7,7,6,8,12,5,313,1013,8,1.5,0.0,9.0,4,78,3,San Benito County,California
2020-04-05,13,13,3,6,6,4,8,11,10,200,1007,15,40.1,0.0,6.4,6,89,3,San Benito County,California
2020-04-06,13,13,2,6,6,5,8,9,5,184,1011,8,8.1,0.0,6.4,2,80,2,San Benito County,California
2020-04-07,16,16,1,9,9,6,10,12,3,337,1017,5,0.4,0.0,10.3,3,71,3,San Benito County,California
2020-04-08,17,17,7,11,11,6,11,13,4,284,1015,5,0.2,0.0,11.6,7,79,3,San Benito County,California
2020-04-09,12,12,2,8,8,4,9,10,4,130,1016,6,4.8,0.0,6.5,8,91,3,San Benito County,California
2020-04-10,19,19,6,11,11,6,12,15,5,318,1017,9,0.5,0.0,10.3,7,79,3,San Benito County,California
2020-04-11,20,20,5,12,12,4,13,16,4,323,1017,8,0.0,0.0,11.6,8,81,5,San Benito County,California
2020-04-12,19,19,5,12,12,4,13,15,4,193,1017,6,0.0,0.0,10.3,9,84,5,San Benito County,California
2020-04-13,21,21,10,14,14,6,14,17,4,242,1019,7,0.0,0.0,11.6,9,76,5,San Benito County,California
2020-04-14,23,23,9,16,16,6,16,19,5,341,1022,8,0.0,0.0,11.6,4,51,5,San Benito County,California
2020-04-15,25,25,11,17,17,6,18,21,4,256,1018,7,0.0,0.0,11.6,4,47,6,San Benito County,California
2020-04-16,23,23,9,15,15,6,16,18,3,248,1012,5,0.0,0.0,11.6,6,62,5,San Benito County,California
2020-04-17,20,20,5,11,11,6,12,15,3,215,1014,5,0.5,0.0,9.1,8,79,4,San Benito County,California
