date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,12,12,8,8,8,6,10,10,6,318,1015,10,0.2,0.0,7.1,2,58,3,San Joaquin County,California
2020-03-02,19,19,6,11,11,6,12,14,10,330,1017,16,0.0,0.0,11.6,-3,35,4,San Joaquin County,California
2020-03-03,22,22,9,15,15,6,15,17,3,344,1017,5,0.0,0.0,11.6,5,56,5,San Joaquin County,California
2020-03-04,25,25,10,17,17,6,18,20,3,107,1019,5,0.0,0.0,11.6,8,56,5,San Joaquin County,California
2020-03-05,24,24,12,18,18,6,19,19,2,339,1020,4,0.0,0.0,8.7,9,64,4,San Joaquin County,California
2020-03-06,20,20,9,14,14,6,14,16,3,314,1015,5,0.0,0.0,10.2,8,73,4,San Joaquin County,California
2020-03-07,14,14,8,11,11,5,11,12,3,260,1014,5,2.3,0.0,5.9,7,79,3,San Joaquin County,California
2020-03-08,16,16,7,11,11,6,11,13,4,133,1016,5,0.1,0.0,7.3,6,71,3,San Joaquin County,California
2020-03-09,18,18,8,13,13,6,13,14,3,202,1018,5,0.0,0.0,8.8,6,65,3,San Joaquin County,California
2020-03-10,21,21,8,13,13,6,15,16,7,240,1017,11,0.0,0.0,11.6,7,64,5,San Joaquin County,California
2020-03-11,22,22,10,16,16,6,18,18,4,308,1018,6,0.0,0.0,11.6,9,68,5,San Joaquin County,California
2020-03-12,22,22,10,16,16,6,17,18,5,307,1011,8,0.0,0.0,11.6,9,63,5,San Joaquin County,California
2020-03-13,22,22,11,16,16,6,18,18,6,205,1008,9,0.0,0.0,11.6,8,62,5,San Joaquin County,California
2020-03-14,15,15,10,11,11,6,12,13,7,208,1015,10,2.2,0.0,10.2,7,72,3,San Joaquin County,California
2020-03-15,11,11,9,8,8,5,10,11,8,232,1015,12,8.8,0.0,6.0,7,80,3,San Joaquin County,California
2020-03-16,8,8,4,4,4,4,6,6,7,195,1014,10,16.2,0.0,7.4,4,88,2,San Joaquin County,California
2020-03-17,14,14,4,7,7,6,8,10,7,160,1015,10,0.2,0.0,8.8,3,73,3,San Joaquin County,California
2020-03-18,14,14,6,9,9,6,10,12,4,233,1013,5,0.2,0.0,7.4,4,71,3,San Joaquin County,California
2020-03-19,16,16,6,10,10,6,10,12,4,329,1018,6,0.2,0.0,11.6,5,69,4,San Joaquin County,California
2020-03-20,18,18,7,11,11,6,12,14,4,100,1023,6,0.0,0.0,11.6,4,61,4,San Joaquin County,California
