date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,24,24,12,16,16,6,18,18,14,217,1012,22,0.0,0.0,10.1,9,64,5,San Saba County,Texas
2020-03-02,26,26,15,19,19,6,19,20,8,216,1009,14,0.0,0.0,11.4,12,66,6,San Saba County,Texas
2020-03-03,22,22,16,19,19,6,19,19,9,151,1009,14,0.0,0.0,11.6,8,52,5,San Saba County,Texas
2020-03-04,13,13,9,10,10,3,12,12,21,45,1012,34,107.7,0.0,5.9,11,89,3,San Saba County,Texas
2020-03-05,20,20,8,12,12,6,13,14,8,327,1024,13,1.5,0.0,11.6,6,68,4,San Saba County,Texas
2020-03-06,17,17,9,11,11,6,12,13,9,84,1032,14,0.0,0.0,11.6,3,55,4,San Saba County,Texas
2020-03-07,17,17,8,10,10,6,11,13,11,152,1027,18,0.0,0.0,10.2,3,57,3,San Saba County,Texas
2020-03-08,19,19,10,13,13,5,14,15,18,172,1022,25,0.7,0.0,5.9,10,78,4,San Saba County,Texas
2020-03-09,23,23,15,18,18,5,19,20,14,221,1019,22,5.0,0.0,5.9,15,79,4,San Saba County,Texas
2020-03-10,26,26,15,20,20,5,20,21,8,188,1022,13,0.5,0.0,11.6,16,79,5,San Saba County,Texas
2020-03-11,28,28,18,22,22,5,22,23,9,232,1016,15,1.6,0.0,8.8,16,73,5,San Saba County,Texas
2020-03-12,28,28,17,22,23,5,23,23,10,208,1011,15,6.0,0.0,8.8,17,76,5,San Saba County,Texas
2020-03-13,22,22,18,20,20,6,21,20,9,147,1013,13,5.4,0.0,6.0,18,87,5,San Saba County,Texas
2020-03-14,25,25,19,21,22,5,22,22,12,209,1017,16,0.9,0.0,6.0,18,83,5,San Saba County,Texas
2020-03-15,19,19,13,15,15,5,16,16,10,65,1023,13,5.1,0.0,6.0,14,90,4,San Saba County,Texas
2020-03-16,20,20,14,17,17,5,17,18,8,137,1020,12,18.6,0.0,6.0,15,91,4,San Saba County,Texas
2020-03-17,25,25,17,20,20,5,21,21,11,151,1017,15,8.6,0.0,6.0,17,86,5,San Saba County,Texas
2020-03-18,24,24,18,21,21,4,22,22,15,190,1014,25,53.7,0.0,6.0,18,86,5,San Saba County,Texas
2020-03-19,27,27,18,22,22,5,22,23,15,217,1014,23,11.0,0.0,7.4,17,79,5,San Saba County,Texas
2020-03-20,15,15,8,13,13,5,14,14,11,19,1023,16,17.0,0.0,6.0,10,76,3,San Saba County,Texas
2020-03-21,13,13,6,7,7,6,9,10,9,60,1027,11,2.9,0.0,6.1,6,79,2,San Saba County,Texas
2020-03-22,21,21,12,16,16,4,17,17,7,183,1018,9,2.0,0.0,6.1,15,90,4,San Saba County,Texas
