date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,12,12,5,6,6,6,8,9,11,225,1008,18,0.0,0.0,10.1,2,63,2,Sarpy County,Nebraska
2020-03-02,9,9,0,1,1,6,4,4,8,275,1012,12,0.0,0.0,11.6,-3,63,2,Sarpy County,Nebraska
2020-03-03,13,13,3,5,5,6,8,8,12,286,1007,20,0.0,0.0,11.6,-1,53,3,Sarpy County,Nebraska
2020-03-04,14,14,5,7,7,6,9,10,10,271,1014,16,0.0,0.0,11.6,0,57,3,Sarpy County,Nebraska
2020-03-05,11,11,4,4,4,6,8,9,19,315,1021,26,0.0,0.0,11.6,-3,49,3,Sarpy County,Nebraska
2020-03-06,11,11,0,2,2,6,5,5,8,227,1032,12,0.0,0.0,11.6,-4,57,3,Sarpy County,Nebraska
2020-03-07,18,18,6,9,9,6,11,12,17,194,1020,27,0.0,0.0,11.6,0,45,4,Sarpy County,Nebraska
2020-03-08,19,19,9,12,12,6,14,14,18,193,1012,26,0.0,0.0,11.6,6,58,4,Sarpy County,Nebraska
2020-03-09,7,7,-2,3,3,5,6,5,12,235,1015,16,14.3,0.0,7.3,4,83,1,Sarpy County,Nebraska
2020-03-10,10,10,-1,2,2,6,4,5,6,157,1023,9,0.2,0.0,7.3,-1,70,1,Sarpy County,Nebraska
2020-03-11,17,17,4,9,9,6,10,10,7,220,1014,12,0.2,0.0,11.6,4,69,4,Sarpy County,Nebraska
2020-03-12,13,13,5,9,9,5,11,12,16,333,1009,23,3.3,0.0,10.2,4,63,3,Sarpy County,Nebraska
2020-03-13,8,8,1,3,3,4,5,5,5,21,1027,8,0.8,0.0,7.4,-5,52,2,Sarpy County,Nebraska
2020-03-14,2,2,0,-4,-4,3,1,1,11,87,1032,16,12.2,10.5,6.0,0,94,1,Sarpy County,Nebraska
2020-03-15,3,3,-2,-3,-3,6,1,1,8,139,1035,11,0.3,0.1,7.4,-2,83,1,Sarpy County,Nebraska
2020-03-16,6,6,-1,1,1,5,3,4,5,217,1025,7,0.0,0.0,7.4,1,87,1,Sarpy County,Nebraska
2020-03-17,10,10,1,2,2,6,5,5,7,122,1025,10,0.0,0.0,10.2,1,75,3,Sarpy County,Nebraska
2020-03-18,12,12,4,6,6,3,8,9,7,125,1014,10,0.9,0.0,6.0,8,93,2,Sarpy County,Nebraska
2020-03-19,20,20,10,14,14,4,15,16,12,181,1006,19,18.0,0.0,6.0,10,88,4,Sarpy County,Nebraska
2020-03-20,1,1,-5,-8,-8,4,-2,-2,17,353,1033,20,1.4,0.0,11.6,-9,61,2,Sarpy County,Nebraska
2020-03-21,7,7,-5,-3,-3,6,0,1,8,173,1032,11,0.0,0.0,11.6,-7,62,2,Sarpy County,Nebraska
2020-03-22,7,7,-1,-1,-1,6,3,4,9,147,1021,15,0.0,0.0,6.1,1,85,1,Sarpy County,Nebraska
2020-03-23,11,11,3,4,4,4,7,7,8,159,1019,11,0.0,0.0,6.1,5,88,2,Sarpy County,Nebraska
2020-03-24,12,12,4,5,5,5,8,7,10,148,1013,15,0.0,0.0,6.1,6,90,2,Sarpy County,Nebraska
2020-03-25,19,19,7,12,12,5,13,14,11,197,1007,16,0.6,0.0,8.9,9,81,3,Sarpy County,Nebraska
2020-03-26,11,11,6,5,5,6,8,7,10,44,1009,14,0.0,0.0,6.1,5,85,2,Sarpy County,Nebraska
2020-03-27,10,10,8,7,7,6,9,9,7,67,1006,9,0.0,0.0,6.1,7,89,2,Sarpy County,Nebraska
2020-03-28,17,17,7,10,10,5,11,12,14,151,998,20,8.6,0.0,7.5,6,82,3,Sarpy County,Nebraska
2020-03-29,15,15,4,7,7,6,10,10,15,304,1013,22,0.0,0.0,11.6,1,57,4,Sarpy County,Nebraska
2020-03-30,17,17,6,10,10,6,11,12,8,118,1021,12,0.0,0.0,10.2,2,54,4,Sarpy County,Nebraska
2020-03-31,17,17,8,12,12,5,12,13,7,174,1016,11,1.7,0.0,7.6,6,65,3,Sarpy County,Nebraska
2020-04-01,21,21,9,13,13,6,15,15,14,177,1010,20,1.2,0.0,11.6,9,70,5,Sarpy County,Nebraska
2020-04-02,14,14,7,11,11,4,13,14,14,158,1011,20,7.2,0.0,6.2,8,84,3,Sarpy County,Nebraska
2020-04-03,6,6,-2,-5,-5,6,0,1,15,342,1024,18,0.1,0.0,10.3,-5,67,1,Sarpy County,Nebraska
2020-04-04,10,10,-3,1,1,6,3,4,6,104,1024,8,0.0,0.0,11.6,-5,56,2,Sarpy County,Nebraska
2020-04-05,15,15,1,6,6,6,8,9,10,160,1018,15,0.0,0.0,11.6,3,73,3,Sarpy County,Nebraska
2020-04-06,18,18,10,12,12,6,14,14,11,173,1009,17,3.4,0.0,6.5,12,86,3,Sarpy County,Nebraska
2020-04-07,24,24,13,19,19,5,19,20,8,297,1006,12,1.0,0.0,11.6,12,67,5,Sarpy County,Nebraska
2020-04-08,18,18,10,15,15,6,15,16,11,336,1010,15,0.0,0.0,11.6,7,59,5,Sarpy County,Nebraska
2020-04-09,9,9,1,2,2,6,6,7,15,320,1019,20,0.0,0.0,11.6,-5,46,3,Sarpy County,Nebraska
2020-04-10,11,11,-1,2,2,6,5,6,8,207,1019,12,0.0,0.0,10.4,-6,48,2,Sarpy County,Nebraska
2020-04-11,17,17,6,9,9,6,11,12,8,119,1004,14,0.4,0.0,6.8,6,73,3,Sarpy County,Nebraska
2020-04-12,6,6,-2,-3,-3,3,3,2,21,356,1007,30,5.7,0.0,6.8,1,83,1,Sarpy County,Nebraska
2020-04-13,4,4,-5,-6,-6,6,0,1,14,302,1023,19,0.0,0.0,11.6,-10,51,2,Sarpy County,Nebraska
2020-04-14,7,7,-3,-2,-2,6,2,3,9,278,1023,13,0.2,0.0,9.2,-8,52,1,Sarpy County,Nebraska
2020-04-15,10,10,-2,2,2,6,4,4,6,211,1020,8,0.0,0.0,11.6,-5,55,2,Sarpy County,Nebraska
2020-04-16,3,3,-1,-4,-4,1,1,1,12,70,1024,17,25.4,20.7,6.8,-1,90,1,Sarpy County,Nebraska
2020-04-17,5,5,-4,-3,-3,5,1,1,9,257,1022,14,4.7,4.8,11.6,-1,88,2,Sarpy County,Nebraska
2020-04-18,18,18,1,7,7,6,10,10,13,228,1011,21,0.2,0.0,11.6,4,71,3,Sarpy County,Nebraska
2020-04-19,15,15,7,10,10,6,11,12,8,37,1011,12,0.2,0.0,11.6,5,68,4,Sarpy County,Nebraska
2020-04-20,18,18,8,12,12,6,13,13,8,272,1010,12,0.1,0.0,10.4,5,61,4,Sarpy County,Nebraska
2020-04-21,19,19,8,13,13,6,14,14,7,215,1014,11,0.0,0.0,11.6,7,66,4,Sarpy County,Nebraska
2020-04-22,23,23,12,16,16,5,17,18,8,229,1007,14,3.0,0.0,11.6,11,69,4,Sarpy County,Nebraska
2020-04-23,23,23,12,18,18,6,19,19,6,321,1003,10,1.5,0.0,11.6,10,65,4,Sarpy County,Nebraska
2020-04-24,18,18,12,14,14,6,14,15,8,121,1009,11,3.4,0.0,6.9,10,79,4,Sarpy County,Nebraska
2020-04-25,18,18,8,13,13,5,14,15,7,339,1016,11,7.5,0.0,9.3,8,72,3,Sarpy County,Nebraska
2020-04-26,20,20,9,14,14,6,14,16,7,226,1018,12,0.7,0.0,11.6,7,65,5,Sarpy County,Nebraska
2020-04-27,26,26,11,17,17,6,18,19,9,160,1012,15,1.8,0.0,11.6,12,69,5,Sarpy County,Nebraska
2020-04-28,21,21,13,17,17,6,18,19,13,316,1008,19,1.6,0.0,10.4,11,71,5,Sarpy County,Nebraska
2020-04-29,18,18,10,12,12,5,13,14,16,347,1014,23,2.1,0.0,8.1,8,72,3,Sarpy County,Nebraska
2020-04-30,22,22,10,15,15,6,16,17,6,188,1015,10,0.0,0.0,10.4,8,65,4,Sarpy County,Nebraska
2020-05-01,27,27,13,18,18,6,20,20,9,216,1008,14,0.0,0.0,11.6,12,64,6,Sarpy County,Nebraska
2020-05-02,22,22,16,18,18,6,19,19,9,134,1014,13,0.0,0.0,11.6,10,63,5,Sarpy County,Nebraska
2020-05-03,21,21,13,16,16,6,17,17,6,82,1016,10,0.1,0.0,10.5,8,58,4,Sarpy County,Nebraska
2020-05-04,13,13,11,11,11,3,13,12,9,123,1013,14,17.1,0.0,7.0,10,83,3,Sarpy County,Nebraska
2020-05-05,17,17,8,11,11,6,13,13,15,326,1016,21,0.1,0.0,10.5,6,70,4,Sarpy County,Nebraska
2020-05-06,14,14,6,8,8,6,10,11,7,334,1024,10,0.6,0.0,7.1,5,74,3,Sarpy County,Nebraska
2020-05-07,13,13,8,8,8,4,10,10,7,149,1018,11,1.6,0.0,8.2,6,78,3,Sarpy County,Nebraska
2020-05-08,12,12,3,5,5,5,8,8,12,227,1024,17,5.7,0.0,11.6,2,66,3,Sarpy County,Nebraska
2020-05-09,14,14,6,8,8,6,10,11,10,240,1022,14,2.8,0.0,8.2,4,68,3,Sarpy County,Nebraska
2020-05-10,11,11,2,3,3,6,7,7,15,327,1027,20,0.0,0.0,11.6,0,64,3,Sarpy County,Nebraska
2020-05-11,11,11,2,5,5,6,7,8,6,335,1027,8,0.0,0.0,10.5,0,60,2,Sarpy County,Nebraska
2020-05-12,14,14,4,8,8,6,9,11,7,137,1022,10,0.0,0.0,9.4,3,65,3,Sarpy County,Nebraska
2020-05-13,12,12,4,6,6,6,9,9,11,154,1014,16,0.0,0.0,7.1,8,91,2,Sarpy County,Nebraska
2020-05-14,23,23,15,19,19,5,20,20,7,260,1007,12,1.6,0.0,7.1,15,82,5,Sarpy County,Nebraska
2020-05-15,22,22,12,16,16,6,17,17,8,78,1013,13,0.0,0.0,11.6,10,68,5,Sarpy County,Nebraska
2020-05-16,22,22,15,18,18,5,18,19,8,229,1009,11,4.8,0.0,9.4,15,84,4,Sarpy County,Nebraska
2020-05-17,23,23,13,18,18,5,19,18,8,148,1016,11,0.0,0.0,10.5,13,79,4,Sarpy County,Nebraska
2020-05-18,17,17,10,12,12,6,13,14,12,121,1015,17,0.1,0.0,7.2,10,81,3,Sarpy County,Nebraska
2020-05-19,20,20,10,14,14,6,14,16,6,54,1016,8,0.0,0.0,9.4,11,82,4,Sarpy County,Nebraska
2020-05-20,20,20,13,17,17,5,17,17,8,124,1016,11,0.4,0.0,7.2,14,84,4,Sarpy County,Nebraska
2020-05-21,22,22,14,17,17,5,17,18,12,136,1013,16,0.6,0.0,8.3,14,85,4,Sarpy County,Nebraska
2020-05-22,20,20,15,17,17,4,17,17,11,135,1010,20,39.3,0.0,9.0,16,92,4,Sarpy County,Nebraska
2020-05-23,25,25,16,19,19,4,20,20,7,212,1008,11,14.0,0.0,11.2,16,84,4,Sarpy County,Nebraska
2020-05-24,27,27,19,23,24,4,24,24,13,172,1007,23,24.7,0.0,11.4,19,83,5,Sarpy County,Nebraska
2020-05-25,19,19,12,17,17,4,17,18,9,230,1011,13,9.2,0.0,9.3,16,93,4,Sarpy County,Nebraska
2020-05-26,18,18,15,16,16,5,16,16,12,234,1009,17,23.2,0.0,9.3,15,96,4,Sarpy County,Nebraska
2020-05-27,21,21,15,17,17,5,17,17,8,242,1012,12,0.2,0.0,9.3,15,89,4,Sarpy County,Nebraska
2020-05-28,24,24,16,19,19,6,20,21,12,353,1015,19,0.9,0.0,12.4,15,76,5,Sarpy County,Nebraska
2020-05-29,22,22,12,17,17,6,18,18,7,339,1021,11,0.0,0.0,14.5,11,70,5,Sarpy County,Nebraska
2020-05-30,19,19,14,16,16,6,16,17,7,101,1023,11,2.6,0.0,10.4,13,80,4,Sarpy County,Nebraska
2020-05-31,23,23,14,18,18,6,20,19,13,151,1021,18,0.7,0.0,9.4,15,82,4,Sarpy County,Nebraska
2020-06-01,29,29,19,24,25,5,25,24,18,208,1014,27,1.5,0.0,13.5,19,74,6,Sarpy County,Nebraska
2020-06-02,30,30,20,25,27,5,27,26,13,211,1011,19,3.0,0.0,13.5,20,75,7,Sarpy County,Nebraska
2020-06-03,30,30,19,24,25,5,25,25,7,40,1010,11,4.7,0.0,13.5,19,74,7,Sarpy County,Nebraska
2020-06-04,30,30,19,24,26,5,26,26,6,238,1006,9,1.4,0.0,14.5,20,76,7,Sarpy County,Nebraska
2020-06-05,31,31,22,26,29,5,29,27,9,39,1010,14,1.1,0.0,14.5,21,76,7,Sarpy County,Nebraska
2020-06-06,31,31,21,26,29,6,29,26,14,137,1012,21,5.3,0.0,10.4,22,82,6,Sarpy County,Nebraska
2020-06-07,31,31,24,27,30,6,30,28,16,177,1009,24,0.2,0.0,14.5,22,76,7,Sarpy County,Nebraska
2020-06-08,30,30,23,26,29,6,29,27,17,169,1005,24,0.0,0.0,14.5,21,72,7,Sarpy County,Nebraska
2020-06-09,29,29,21,24,27,4,27,26,11,71,999,20,26.3,0.0,10.4,19,82,6,Sarpy County,Nebraska
2020-06-10,22,22,13,16,16,4,17,17,19,329,1009,32,26.4,0.0,12.5,12,74,4,Sarpy County,Nebraska
2020-06-11,28,28,15,20,21,6,21,22,7,278,1020,12,0.0,0.0,14.5,13,61,6,Sarpy County,Nebraska
2020-06-12,29,29,18,23,24,6,24,25,7,96,1023,12,0.0,0.0,14.5,17,67,6,Sarpy County,Nebraska
2020-06-13,29,29,19,24,25,6,25,25,12,141,1018,19,1.5,0.0,14.5,19,76,6,Sarpy County,Nebraska
