date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,21,21,9,15,15,6,15,17,5,79,1026,8,0.0,0.0,11.6,3,47,5,Seminole County,Florida
2020-03-02,24,24,14,18,18,6,19,20,8,172,1021,11,0.2,0.0,11.6,11,64,5,Seminole County,Florida
2020-03-03,28,28,16,22,23,6,23,24,8,214,1017,12,0.0,0.0,11.6,15,66,6,Seminole County,Florida
2020-03-04,31,31,19,24,25,5,25,26,7,211,1016,11,0.0,0.0,11.6,18,70,7,Seminole County,Florida
2020-03-05,31,31,21,26,27,4,27,27,11,219,1015,16,0.1,0.0,10.2,20,72,6,Seminole County,Florida
2020-03-06,23,23,16,20,20,6,21,20,12,327,1018,16,0.5,0.0,10.2,9,53,5,Seminole County,Florida
2020-03-07,16,16,9,11,11,6,12,14,11,26,1027,15,0.0,0.0,11.6,2,49,4,Seminole County,Florida
2020-03-08,21,21,11,15,15,6,16,18,9,82,1031,13,0.5,0.0,5.9,9,62,4,Seminole County,Florida
2020-03-09,22,22,14,17,17,6,18,19,9,106,1031,13,0.7,0.0,5.9,12,69,4,Seminole County,Florida
2020-03-10,26,26,17,20,21,6,21,22,6,126,1027,9,1.7,0.0,6.0,15,73,5,Seminole County,Florida
2020-03-11,28,28,17,22,22,6,22,24,5,167,1021,7,0.5,0.0,7.4,15,68,5,Seminole County,Florida
2020-03-12,29,29,19,22,23,6,23,24,4,195,1018,6,0.3,0.0,8.8,15,68,5,Seminole County,Florida
2020-03-13,31,31,18,23,24,6,24,26,5,158,1021,7,0.0,0.0,11.6,15,63,7,Seminole County,Florida
2020-03-14,30,30,19,24,25,6,25,26,6,94,1024,8,0.0,0.0,11.6,16,66,7,Seminole County,Florida
2020-03-15,31,31,19,25,26,6,26,27,4,63,1023,6,0.0,0.0,11.6,16,64,7,Seminole County,Florida
2020-03-16,28,28,20,23,24,6,24,25,7,73,1023,10,1.2,0.0,8.8,17,71,5,Seminole County,Florida
2020-03-17,30,30,20,24,24,6,24,26,6,144,1023,9,0.0,0.0,11.6,17,69,7,Seminole County,Florida
2020-03-18,30,30,20,24,25,6,25,26,7,112,1024,10,0.0,0.0,11.6,17,67,7,Seminole County,Florida
2020-03-19,29,29,19,24,25,6,25,26,7,134,1025,11,0.1,0.0,10.2,18,73,6,Seminole County,Florida
2020-03-20,31,31,20,25,26,6,26,27,7,159,1025,10,0.0,0.0,11.6,18,70,7,Seminole County,Florida
2020-03-21,31,31,20,25,26,6,26,27,4,143,1024,7,0.2,0.0,10.2,18,68,6,Seminole County,Florida
2020-03-22,31,31,21,25,26,6,26,27,5,139,1022,8,0.0,0.0,10.2,17,64,6,Seminole County,Florida
2020-03-23,31,31,21,25,26,6,26,27,5,200,1022,6,0.3,0.0,11.6,17,65,7,Seminole County,Florida
2020-03-24,31,31,22,25,27,6,27,27,5,224,1019,7,0.1,0.0,10.2,16,60,6,Seminole County,Florida
2020-03-25,30,30,21,25,26,6,26,27,10,262,1014,14,0.0,0.0,11.6,18,67,7,Seminole County,Florida
2020-03-26,30,30,21,25,26,6,26,27,8,75,1015,11,0.7,0.0,8.8,19,74,6,Seminole County,Florida
2020-03-27,33,33,21,27,28,4,28,28,6,175,1017,8,0.0,0.0,11.6,19,70,7,Seminole County,Florida
2020-03-28,34,34,21,27,29,6,29,29,7,178,1018,11,0.0,0.0,11.6,17,62,7,Seminole County,Florida
2020-03-29,34,34,21,27,28,6,28,29,5,199,1020,8,0.0,0.0,11.6,18,65,7,Seminole County,Florida
2020-03-30,34,34,21,28,30,6,30,30,3,173,1018,4,0.0,0.0,10.2,19,65,6,Seminole County,Florida
2020-03-31,32,32,23,26,28,6,28,28,11,242,1010,14,0.2,0.0,11.6,18,63,6,Seminole County,Florida
2020-04-01,25,25,14,20,20,6,21,20,9,331,1011,12,1.2,0.0,11.6,9,56,6,Seminole County,Florida
2020-04-02,26,26,14,19,19,6,20,22,5,32,1016,8,0.0,0.0,11.6,9,55,6,Seminole County,Florida
2020-04-03,29,29,16,22,22,6,22,24,3,128,1016,4,0.0,0.0,11.6,10,54,6,Seminole County,Florida
2020-04-04,31,31,18,24,25,6,25,27,4,259,1014,6,0.0,0.0,11.6,13,55,7,Seminole County,Florida
2020-04-05,22,22,18,20,20,6,21,21,6,81,1016,9,2.5,0.0,6.2,16,79,5,Seminole County,Florida
2020-04-06,27,27,18,22,22,6,22,24,8,88,1018,11,0.3,0.0,7.5,15,67,5,Seminole County,Florida
2020-04-07,31,31,18,25,26,6,26,27,4,164,1018,6,0.0,0.0,11.6,16,63,7,Seminole County,Florida
2020-04-08,32,32,22,27,29,6,29,28,9,271,1013,12,0.0,0.0,11.6,18,66,6,Seminole County,Florida
2020-04-09,31,31,23,26,28,6,28,28,12,267,1009,16,0.0,0.0,10.3,20,71,7,Seminole County,Florida
2020-04-10,26,26,16,22,23,6,23,24,9,21,1012,12,0.2,0.0,10.3,15,67,5,Seminole County,Florida
2020-04-11,29,29,17,22,23,6,23,25,7,107,1017,10,0.1,0.0,10.3,12,54,5,Seminole County,Florida
2020-04-12,31,31,21,26,28,5,28,28,12,144,1017,19,11.2,0.0,6.2,21,77,6,Seminole County,Florida
2020-04-13,36,36,25,29,31,6,31,31,14,227,1016,18,0.4,0.0,11.6,19,60,8,Seminole County,Florida
2020-04-14,34,34,25,27,30,6,30,29,6,180,1016,9,2.6,0.0,10.3,21,68,6,Seminole County,Florida
2020-04-15,33,33,24,28,30,6,30,29,10,254,1014,13,3.9,0.0,7.7,20,73,6,Seminole County,Florida
2020-04-16,17,17,15,17,17,5,18,17,10,35,1019,15,17.7,0.0,6.5,15,85,4,Seminole County,Florida
2020-04-17,25,25,17,21,22,6,22,23,8,89,1021,12,1.5,0.0,6.5,17,79,5,Seminole County,Florida
2020-04-18,28,28,21,25,27,5,27,27,8,274,1016,13,10.3,0.0,7.8,20,76,6,Seminole County,Florida
2020-04-19,34,34,22,28,29,6,29,30,7,230,1014,10,0.1,0.0,11.6,17,57,7,Seminole County,Florida
2020-04-20,29,29,22,27,28,5,28,28,15,253,1008,22,7.0,0.0,7.8,19,64,6,Seminole County,Florida
2020-04-21,31,31,19,25,25,6,25,27,6,293,1013,9,0.0,0.0,11.6,14,56,7,Seminole County,Florida
2020-04-22,28,28,19,23,23,6,23,25,8,51,1017,12,0.0,0.0,11.6,12,54,7,Seminole County,Florida
2020-04-23,32,32,20,26,27,5,27,28,10,181,1014,14,4.7,0.0,11.6,17,63,6,Seminole County,Florida
2020-04-24,26,26,22,23,26,4,26,24,8,217,1011,14,55.0,0.0,6.5,21,82,5,Seminole County,Florida
2020-04-25,33,33,21,26,29,5,29,29,7,236,1013,11,5.2,0.0,10.3,20,70,6,Seminole County,Florida
2020-04-26,32,32,24,28,29,6,29,29,8,278,1016,12,0.5,0.0,11.6,16,59,6,Seminole County,Florida
2020-04-27,26,26,17,21,21,6,21,22,8,136,1020,12,0.0,0.0,11.6,8,48,6,Seminole County,Florida
2020-04-28,28,28,16,22,22,6,22,24,7,97,1021,10,0.0,0.0,11.6,12,58,6,Seminole County,Florida
2020-04-29,29,29,18,23,24,6,24,26,10,149,1017,14,0.0,0.0,11.6,17,68,7,Seminole County,Florida
2020-04-30,29,29,21,24,26,5,26,26,12,261,1012,17,10.9,0.0,9.2,15,62,6,Seminole County,Florida
2020-05-01,28,28,16,22,22,6,22,24,6,307,1017,9,0.0,0.0,11.6,9,47,6,Seminole County,Florida
2020-05-02,30,30,16,23,23,6,23,26,6,62,1021,8,0.0,0.0,11.6,10,48,7,Seminole County,Florida
2020-05-03,32,32,18,25,25,6,25,28,5,151,1019,8,0.0,0.0,11.6,13,55,7,Seminole County,Florida
2020-05-04,33,33,20,27,28,6,28,29,4,285,1016,6,0.0,0.0,11.6,16,56,7,Seminole County,Florida
2020-05-05,33,33,21,27,29,6,29,29,5,268,1014,7,0.0,0.0,11.6,16,57,7,Seminole County,Florida
2020-05-06,31,31,21,26,28,6,28,28,9,264,1013,12,1.1,0.0,11.6,18,66,7,Seminole County,Florida
2020-05-07,24,24,16,19,19,6,20,21,9,128,1018,13,0.1,0.0,11.6,7,45,6,Seminole County,Florida
2020-05-08,29,29,14,22,22,6,22,25,6,203,1018,9,0.0,0.0,11.6,7,41,6,Seminole County,Florida
2020-05-09,27,27,19,22,23,6,23,24,9,139,1018,12,0.3,0.0,9.2,17,73,5,Seminole County,Florida
2020-05-10,20,20,13,19,19,4,20,20,7,55,1019,12,36.0,0.0,6.9,18,87,4,Seminole County,Florida
2020-05-11,28,28,18,23,23,4,23,25,8,36,1018,10,0.2,0.0,10.4,15,66,6,Seminole County,Florida
2020-05-12,28,28,18,23,23,6,23,25,7,60,1021,10,0.0,0.0,11.6,13,57,7,Seminole County,Florida
2020-05-13,28,28,19,23,24,6,24,26,10,86,1023,14,0.0,0.0,11.6,16,67,7,Seminole County,Florida
2020-05-14,27,27,19,23,24,6,24,25,11,89,1022,15,0.0,0.0,11.6,17,69,7,Seminole County,Florida
2020-05-15,27,27,21,24,25,6,25,26,9,77,1019,13,0.1,0.0,8.1,17,68,6,Seminole County,Florida
2020-05-16,31,31,20,25,26,6,26,28,7,72,1016,10,0.0,0.0,11.6,18,69,7,Seminole County,Florida
2020-05-17,32,32,21,26,27,6,27,29,5,82,1016,6,0.1,0.0,10.4,18,69,6,Seminole County,Florida
2020-05-18,33,33,23,27,29,5,29,30,7,255,1013,9,3.9,0.0,9.2,20,69,6,Seminole County,Florida
