date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,5,5,-6,-6,-6,5,-1,0,13,187,1014,22,0.2,0.0,10.1,-3,83,1,Shiawassee County,Michigan
2020-03-02,6,6,0,-1,-1,6,3,3,10,281,1006,15,0.0,0.0,8.6,1,87,1,Shiawassee County,Michigan
2020-03-03,7,7,-1,-1,-1,5,2,4,10,244,1002,14,0.3,0.0,10.1,-1,80,1,Shiawassee County,Michigan
2020-03-04,4,4,-1,-4,-4,5,1,2,12,290,1011,18,0.3,0.0,8.6,-3,77,1,Shiawassee County,Michigan
2020-03-05,8,8,-2,-1,-1,6,2,4,10,191,1016,15,2.0,0.0,8.6,-3,71,1,Shiawassee County,Michigan
2020-03-06,2,2,-2,-5,-5,3,0,1,13,6,1020,18,2.1,1.3,5.7,-3,82,1,Shiawassee County,Michigan
2020-03-07,7,7,-4,-2,-2,6,1,2,8,219,1031,13,0.0,0.0,11.3,-6,61,2,Shiawassee County,Michigan
2020-03-08,13,13,1,3,3,6,7,8,16,219,1023,26,0.0,0.0,10.1,-2,54,2,Shiawassee County,Michigan
2020-03-09,14,14,8,8,8,5,11,12,17,222,1018,27,4.6,0.0,7.3,6,70,3,Shiawassee County,Michigan
2020-03-10,9,9,4,4,4,6,7,6,11,340,1017,16,4.7,0.0,8.8,2,71,2,Shiawassee County,Michigan
2020-03-11,7,7,2,1,1,6,4,4,6,188,1019,9,0.0,0.0,5.9,0,80,1,Shiawassee County,Michigan
2020-03-12,12,12,1,4,4,6,7,7,10,180,1010,15,0.2,0.0,7.4,4,81,2,Shiawassee County,Michigan
2020-03-13,5,5,1,-2,-2,5,4,3,20,272,1015,27,0.6,0.3,11.6,-3,64,2,Shiawassee County,Michigan
2020-03-14,5,5,-2,-2,-2,5,1,2,6,235,1033,9,0.3,0.1,10.2,-5,67,1,Shiawassee County,Michigan
2020-03-15,4,4,-3,-4,-4,5,0,1,9,45,1037,13,0.1,0.2,11.6,-6,69,2,Shiawassee County,Michigan
2020-03-16,7,7,-4,-2,-2,6,1,4,7,203,1027,11,0.1,0.0,10.2,-5,66,1,Shiawassee County,Michigan
2020-03-17,8,8,0,-1,-1,6,3,4,12,281,1023,17,0.0,0.0,10.2,-3,69,2,Shiawassee County,Michigan
2020-03-18,9,9,0,1,1,6,4,5,6,146,1025,10,0.1,0.0,6.0,-2,68,2,Shiawassee County,Michigan
2020-03-19,10,10,1,3,3,5,6,7,10,145,1017,16,2.6,0.0,7.4,5,89,2,Shiawassee County,Michigan
2020-03-20,9,9,-3,2,2,5,6,6,17,309,1016,23,2.3,0.0,7.4,3,78,2,Shiawassee County,Michigan
2020-03-21,1,1,-5,-8,-8,6,-3,-2,10,32,1036,13,0.0,0.0,11.6,-11,54,2,Shiawassee County,Michigan
2020-03-22,4,4,-5,-5,-5,5,-1,1,8,125,1033,11,0.9,0.3,10.2,-9,58,1,Shiawassee County,Michigan
2020-03-23,4,4,-2,-3,-3,3,0,1,6,311,1022,8,7.2,6.3,6.1,-1,92,1,Shiawassee County,Michigan
2020-03-24,7,7,-1,1,1,6,2,4,4,136,1021,7,0.0,0.0,10.2,-1,81,1,Shiawassee County,Michigan
2020-03-25,13,13,0,4,4,6,6,7,5,244,1014,9,0.0,0.0,11.6,1,75,3,Shiawassee County,Michigan
2020-03-26,12,12,4,6,6,4,9,10,9,304,1011,14,0.8,0.0,6.1,6,82,3,Shiawassee County,Michigan
2020-03-27,13,13,1,4,4,6,6,8,7,103,1015,11,0.0,0.0,11.6,1,72,3,Shiawassee County,Michigan
2020-03-28,12,12,6,5,5,5,8,8,10,70,1010,15,17.9,0.0,6.2,7,93,2,Shiawassee County,Michigan
2020-03-29,14,14,6,7,7,4,10,11,20,226,1001,28,3.7,0.0,6.4,7,82,3,Shiawassee County,Michigan
2020-03-30,7,7,3,1,1,4,5,6,16,304,1014,21,1.0,0.0,6.4,2,83,2,Shiawassee County,Michigan
2020-03-31,5,5,2,0,0,6,4,4,10,12,1017,13,0.5,0.0,6.4,2,90,1,Shiawassee County,Michigan
