date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,6,6,0,3,3,5,3,4,2,264,1026,2,5.4,0.0,5.5,1,90,1,Snohomish County,Washington
2020-03-02,6,6,2,3,3,4,4,5,3,166,1021,3,37.2,0.0,5.5,4,99,2,Snohomish County,Washington
2020-03-03,8,8,5,5,5,5,7,7,5,195,1018,6,10.5,0.0,5.6,6,97,2,Snohomish County,Washington
2020-03-04,8,8,2,3,3,5,5,6,3,172,1022,5,14.4,0.0,5.6,1,86,2,Snohomish County,Washington
2020-03-05,13,13,2,5,5,5,7,9,5,181,1017,8,5.0,0.0,10.1,2,73,2,Snohomish County,Washington
2020-03-06,6,6,-3,2,2,3,3,5,3,246,1014,4,26.2,0.0,5.8,2,96,1,Snohomish County,Washington
2020-03-07,6,6,-1,2,2,5,2,5,2,228,1011,4,12.1,0.0,5.8,1,93,1,Snohomish County,Washington
2020-03-08,7,7,-4,1,1,5,2,4,3,282,1018,4,2.5,0.8,7.3,0,88,1,Snohomish County,Washington
2020-03-09,9,9,-2,3,3,6,5,6,4,300,1024,6,0.0,0.0,11.6,-5,59,3,Snohomish County,Washington
2020-03-10,10,10,1,4,4,6,6,8,5,195,1022,6,0.0,0.0,8.7,-2,58,2,Snohomish County,Washington
2020-03-11,6,6,1,3,3,4,4,5,3,262,1021,4,10.3,0.0,5.9,2,91,2,Snohomish County,Washington
2020-03-12,9,9,0,3,3,6,4,6,3,288,1025,5,0.0,0.0,11.6,-1,73,3,Snohomish County,Washington
2020-03-13,8,8,1,3,3,4,4,6,2,28,1012,3,1.8,0.0,5.9,-1,74,2,Snohomish County,Washington
2020-03-14,7,7,-2,0,0,6,2,4,3,136,1019,4,0.2,0.0,6.0,-4,70,1,Snohomish County,Washington
2020-03-15,7,7,-4,0,0,6,2,4,4,297,1024,6,0.0,0.0,11.6,-6,61,2,Snohomish County,Washington
2020-03-16,14,14,0,7,7,6,8,10,4,296,1022,6,0.0,0.0,11.6,0,68,3,Snohomish County,Washington
2020-03-17,13,13,2,6,6,6,7,10,3,281,1012,5,0.0,0.0,7.4,3,76,2,Snohomish County,Washington
2020-03-18,13,13,3,7,7,6,8,10,3,268,1013,4,0.0,0.0,11.6,3,75,3,Snohomish County,Washington
2020-03-19,15,15,2,8,8,6,9,12,3,289,1018,5,0.2,0.0,10.2,4,76,3,Snohomish County,Washington
2020-03-20,15,15,5,9,9,6,10,12,3,278,1024,5,0.0,0.0,11.6,5,77,4,Snohomish County,Washington
2020-03-21,14,14,4,8,8,6,9,11,3,284,1024,4,0.0,0.0,11.6,4,79,4,Snohomish County,Washington
2020-03-22,14,14,2,7,7,6,8,11,4,229,1016,5,0.1,0.0,8.8,3,72,3,Snohomish County,Washington
2020-03-23,6,6,3,3,3,5,5,5,4,186,1009,6,15.9,0.0,6.1,4,94,2,Snohomish County,Washington
2020-03-24,8,8,0,4,4,4,4,6,2,207,1014,3,17.4,0.0,7.5,3,94,2,Snohomish County,Washington
2020-03-25,7,7,2,3,3,5,4,5,2,253,1016,3,9.3,0.0,6.4,3,94,2,Snohomish County,Washington
2020-03-26,6,6,2,3,3,5,4,5,3,189,1016,4,6.2,0.0,6.4,3,96,1,Snohomish County,Washington
2020-03-27,6,6,-1,3,3,4,4,5,2,162,1015,3,16.4,0.0,6.4,4,99,1,Snohomish County,Washington
2020-03-28,8,8,0,5,5,4,6,7,4,145,1013,5,16.7,0.0,6.4,6,97,2,Snohomish County,Washington
2020-03-29,8,8,6,6,6,4,7,7,5,168,1009,6,36.8,0.0,6.4,6,96,2,Snohomish County,Washington
2020-03-30,6,6,1,1,1,4,4,5,8,201,1009,12,33.4,0.0,6.4,3,95,2,Snohomish County,Washington
2020-03-31,9,9,0,3,3,4,4,6,3,225,1015,4,37.4,0.0,6.5,3,94,2,Snohomish County,Washington
2020-04-01,7,7,1,3,3,4,3,5,2,301,1019,3,10.8,0.0,6.5,3,95,2,Snohomish County,Washington
2020-04-02,8,8,0,2,2,5,3,5,3,216,1022,4,11.5,0.0,6.5,2,90,2,Snohomish County,Washington
2020-04-03,5,5,0,1,1,3,2,4,3,221,1017,5,14.8,4.4,6.5,2,95,1,Snohomish County,Washington
2020-04-04,10,10,0,4,4,5,5,7,3,53,1009,4,0.1,1.4,9.1,0,76,2,Snohomish County,Washington
2020-04-05,12,12,3,6,6,6,7,9,3,303,1004,4,0.2,0.0,6.5,2,74,2,Snohomish County,Washington
2020-04-06,13,13,1,8,8,5,8,11,3,273,1011,4,0.0,0.0,11.6,2,69,4,Snohomish County,Washington
2020-04-07,12,12,1,7,7,6,8,9,2,269,1021,3,0.0,0.0,10.3,2,77,2,Snohomish County,Washington
2020-04-08,16,16,4,9,9,6,10,13,3,287,1024,5,0.0,0.0,10.3,4,69,3,Snohomish County,Washington
2020-04-09,19,19,4,12,12,6,13,16,3,279,1018,4,0.0,0.0,11.6,5,67,5,Snohomish County,Washington
