date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,6,6,-7,-5,-5,6,-1,1,12,188,1016,21,0.0,0.0,11.2,-2,85,2,Steuben County,Indiana
2020-03-02,5,5,-1,1,1,5,5,4,11,302,1007,17,13.4,0.0,8.6,3,89,1,Steuben County,Indiana
2020-03-03,8,8,1,1,1,6,4,5,11,266,1003,17,0.1,0.0,10.1,-1,72,2,Steuben County,Indiana
2020-03-04,4,4,-1,-3,-3,5,1,2,11,290,1013,17,0.9,0.3,8.6,-3,74,1,Steuben County,Indiana
2020-03-05,9,9,-1,0,0,6,3,5,10,200,1016,15,1.0,0.0,11.3,-3,65,2,Steuben County,Indiana
2020-03-06,3,3,-2,-4,-4,2,1,2,14,347,1021,20,3.4,2.1,5.7,-2,83,1,Steuben County,Indiana
2020-03-07,7,7,-3,-2,-2,6,1,2,8,210,1032,12,0.0,0.0,11.3,-6,63,2,Steuben County,Indiana
2020-03-08,12,12,1,2,2,6,6,7,14,210,1025,24,0.0,0.0,8.6,-2,59,2,Steuben County,Indiana
2020-03-09,14,14,8,8,8,4,11,12,18,215,1020,28,2.2,0.0,7.2,6,75,3,Steuben County,Indiana
2020-03-10,8,8,3,5,5,5,7,6,12,326,1018,17,10.0,0.0,7.3,4,80,2,Steuben County,Indiana
2020-03-11,9,9,2,3,3,5,5,6,5,238,1018,7,0.4,0.0,5.9,1,79,2,Steuben County,Indiana
2020-03-12,13,13,2,5,5,6,7,8,8,175,1010,13,0.0,0.0,5.9,5,84,2,Steuben County,Indiana
2020-03-13,5,5,1,-1,-1,6,4,3,19,283,1019,25,0.1,0.0,11.6,-4,59,2,Steuben County,Indiana
2020-03-14,5,5,0,-1,-1,5,2,3,5,154,1033,8,0.4,0.1,8.8,-4,64,1,Steuben County,Indiana
2020-03-15,6,6,-3,-3,-3,5,1,2,9,67,1036,13,0.3,0.3,11.6,-4,68,2,Steuben County,Indiana
2020-03-16,7,7,-1,-1,-1,5,2,3,7,205,1027,10,0.1,0.0,8.8,-2,75,1,Steuben County,Indiana
2020-03-17,8,8,0,0,0,5,3,5,9,298,1024,13,0.0,0.0,11.6,-2,70,2,Steuben County,Indiana
2020-03-18,8,8,1,1,1,5,4,5,8,133,1024,11,8.2,0.0,6.0,1,80,1,Steuben County,Indiana
2020-03-19,11,11,3,4,4,4,7,8,12,137,1016,19,18.9,0.0,6.0,8,93,2,Steuben County,Indiana
2020-03-20,15,15,-2,4,4,6,8,8,19,307,1017,26,4.2,0.0,7.4,4,78,2,Steuben County,Indiana
2020-03-21,4,4,-4,-5,-5,6,-1,0,7,46,1034,10,0.0,0.0,10.2,-9,56,2,Steuben County,Indiana
2020-03-22,4,4,-3,-5,-5,4,0,1,10,118,1032,13,4.6,2.6,8.8,-6,69,1,Steuben County,Indiana
2020-03-23,4,4,-1,-1,-1,3,2,2,5,322,1022,7,3.8,4.4,6.1,1,94,1,Steuben County,Indiana
2020-03-24,8,8,0,1,1,6,3,5,6,117,1021,9,0.0,0.0,8.9,0,81,1,Steuben County,Indiana
2020-03-25,14,14,0,5,5,6,6,8,5,244,1014,9,0.0,0.0,11.6,2,74,3,Steuben County,Indiana
2020-03-26,14,14,7,8,8,5,10,11,8,173,1010,12,4.7,0.0,6.1,7,84,3,Steuben County,Indiana
2020-03-27,12,12,7,7,7,3,9,10,10,108,1013,13,2.5,0.0,9.0,6,83,3,Steuben County,Indiana
2020-03-28,13,13,7,8,8,4,10,11,11,95,1007,19,34.3,0.0,6.4,9,96,3,Steuben County,Indiana
2020-03-29,12,12,7,7,7,5,10,9,21,234,1004,32,9.8,0.0,6.4,7,78,2,Steuben County,Indiana
2020-03-30,6,6,2,0,0,5,4,5,16,291,1017,21,0.7,0.1,6.4,1,78,1,Steuben County,Indiana
2020-03-31,5,5,0,-1,-1,4,3,3,7,33,1017,11,0.6,0.0,6.4,1,91,1,Steuben County,Indiana
2020-04-01,9,9,4,3,3,4,6,7,8,125,1017,11,1.6,0.0,6.4,2,80,2,Steuben County,Indiana
2020-04-02,14,14,2,6,6,6,7,9,6,331,1020,10,0.0,0.0,11.6,2,71,3,Steuben County,Indiana
2020-04-03,17,17,5,10,10,6,11,12,4,60,1019,8,0.0,0.0,11.6,3,60,4,Steuben County,Indiana
2020-04-04,10,10,1,5,5,4,8,8,8,245,1017,13,0.8,0.0,6.5,4,81,2,Steuben County,Indiana
2020-04-05,13,13,2,5,5,6,7,8,7,36,1021,10,0.0,0.0,10.3,1,68,3,Steuben County,Indiana
2020-04-06,14,14,3,7,7,6,8,9,7,159,1019,10,0.3,0.0,11.6,1,61,3,Steuben County,Indiana
