date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,18,18,8,12,12,6,13,13,11,156,1006,18,0.0,0.0,11.3,-4,32,4,Stevens County,Kansas
2020-03-02,11,11,3,4,4,6,7,6,8,132,1011,12,0.0,0.0,11.3,-2,53,3,Stevens County,Kansas
2020-03-03,15,15,3,8,8,6,9,9,7,93,1012,12,0.0,0.0,11.3,-6,36,3,Stevens County,Kansas
2020-03-04,15,15,4,8,8,6,10,10,10,118,1018,17,0.0,0.0,11.3,-7,32,3,Stevens County,Kansas
2020-03-05,13,13,6,7,7,6,10,10,11,19,1025,18,0.0,0.0,11.3,-5,36,3,Stevens County,Kansas
2020-03-06,18,18,4,9,9,6,11,12,16,204,1028,24,0.0,0.0,11.4,-3,37,4,Stevens County,Kansas
2020-03-07,21,21,10,13,13,6,14,15,22,204,1017,33,0.0,0.0,11.4,2,43,4,Stevens County,Kansas
2020-03-08,23,23,13,16,16,6,17,18,21,208,1009,31,0.0,0.0,10.1,5,50,4,Stevens County,Kansas
2020-03-09,17,17,8,11,11,6,13,12,16,354,1013,23,0.0,0.0,11.4,4,57,4,Stevens County,Kansas
2020-03-10,24,24,8,13,13,6,15,15,12,204,1017,18,0.0,0.0,11.5,2,47,5,Stevens County,Kansas
2020-03-11,20,20,9,14,14,6,15,14,11,177,1013,18,0.0,0.0,11.5,5,54,4,Stevens County,Kansas
2020-03-12,20,20,13,16,16,6,17,17,13,157,1008,21,0.0,0.0,11.5,1,37,5,Stevens County,Kansas
2020-03-13,4,4,-8,-2,-2,2,3,3,18,105,1022,24,8.8,2.5,6.0,-1,73,1,Stevens County,Kansas
2020-03-14,10,10,1,2,2,4,5,6,11,124,1022,15,5.1,0.2,7.4,3,88,2,Stevens County,Kansas
2020-03-15,9,9,2,1,1,6,5,6,14,148,1028,18,0.9,0.0,7.4,1,78,2,Stevens County,Kansas
2020-03-16,23,23,5,11,11,6,13,14,13,234,1018,19,0.0,0.0,11.6,4,67,4,Stevens County,Kansas
2020-03-17,11,11,4,4,4,4,8,8,17,123,1018,23,2.0,0.0,6.0,6,86,2,Stevens County,Kansas
2020-03-18,24,24,9,15,15,6,16,18,16,227,1007,24,0.0,0.0,8.8,4,52,4,Stevens County,Kansas
2020-03-19,20,20,13,15,15,6,17,16,28,233,1004,36,0.1,0.0,11.6,1,46,5,Stevens County,Kansas
2020-03-20,7,7,-1,-2,-2,5,3,2,15,46,1031,19,0.1,0.0,11.6,-7,50,2,Stevens County,Kansas
