date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,11,11,-2,3,3,6,5,6,5,231,1025,7,0.0,0.0,8.7,-6,51,2,Stokes County,North Carolina
2020-03-02,15,15,4,7,7,6,9,11,10,216,1018,16,0.1,0.0,11.6,3,68,3,Stokes County,North Carolina
2020-03-03,16,16,6,10,10,4,12,13,10,224,1010,15,17.3,0.0,5.9,11,91,3,Stokes County,North Carolina
2020-03-04,15,15,7,10,10,6,11,12,6,251,1015,9,0.1,0.0,11.6,3,61,4,Stokes County,North Carolina
2020-03-05,12,12,7,8,8,5,9,10,5,111,1019,7,1.5,0.0,7.3,5,75,2,Stokes County,North Carolina
2020-03-06,10,10,3,4,4,4,7,9,11,299,1015,16,0.2,0.0,8.7,0,64,2,Stokes County,North Carolina
2020-03-07,11,11,0,3,3,6,6,7,9,345,1029,13,0.0,0.0,11.6,-5,52,3,Stokes County,North Carolina
2020-03-08,14,14,1,6,6,6,8,9,5,215,1034,8,0.0,0.0,11.6,-3,52,3,Stokes County,North Carolina
2020-03-09,17,17,4,9,9,6,10,12,8,224,1032,13,0.0,0.0,11.6,4,66,4,Stokes County,North Carolina
2020-03-10,18,18,12,13,13,6,14,15,11,224,1024,17,1.8,0.0,5.9,11,80,4,Stokes County,North Carolina
2020-03-11,21,21,10,15,15,4,16,17,3,220,1018,5,2.1,0.0,8.8,11,78,4,Stokes County,North Carolina
2020-03-12,20,20,10,14,14,5,14,15,5,134,1015,8,1.9,0.0,7.4,11,80,4,Stokes County,North Carolina
2020-03-13,20,20,14,18,18,6,18,19,10,304,1017,15,4.2,0.0,10.2,11,68,5,Stokes County,North Carolina
2020-03-14,15,15,8,10,10,6,11,12,4,92,1028,6,0.1,0.0,8.8,2,55,3,Stokes County,North Carolina
2020-03-15,12,12,7,8,8,5,10,11,8,55,1027,10,0.3,0.0,6.0,6,78,3,Stokes County,North Carolina
2020-03-16,13,13,6,7,7,5,8,10,5,125,1029,7,0.4,0.0,6.0,4,73,2,Stokes County,North Carolina
2020-03-17,12,12,7,9,9,4,10,11,4,238,1024,6,4.2,0.0,6.0,9,90,3,Stokes County,North Carolina
2020-03-18,16,16,9,10,10,5,11,11,5,95,1027,8,0.3,0.0,6.0,9,84,3,Stokes County,North Carolina
2020-03-19,22,22,14,18,18,4,18,19,7,221,1023,11,1.7,0.0,6.0,16,87,4,Stokes County,North Carolina
2020-03-20,26,26,16,20,21,5,21,23,11,238,1021,17,7.3,0.0,10.2,15,76,5,Stokes County,North Carolina
2020-03-21,17,17,12,14,14,4,15,16,5,71,1023,7,9.2,0.0,6.1,12,83,4,Stokes County,North Carolina
2020-03-22,11,11,6,7,7,6,9,10,8,79,1029,10,0.0,0.0,8.8,4,68,2,Stokes County,North Carolina
2020-03-23,10,10,6,7,7,4,8,8,4,166,1023,6,19.8,0.0,6.1,7,94,2,Stokes County,North Carolina
