date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,0,0,-8,-8,-8,6,-2,0,15,289,1008,27,0.0,0.0,11.1,-5,80,2,Stutsman County,North Dakota
2020-03-02,2,2,-11,-10,-10,6,-4,-4,12,221,1006,23,0.0,0.0,10.1,-7,83,1,Stutsman County,North Dakota
2020-03-03,0,0,-7,-7,-7,6,-2,-1,10,295,1004,17,0.0,0.0,11.2,-4,88,2,Stutsman County,North Dakota
2020-03-04,2,2,-5,-5,-5,5,-1,-1,9,200,1009,18,1.0,0.5,8.6,-3,88,1,Stutsman County,North Dakota
2020-03-05,-1,-1,-8,-8,-8,3,-2,-2,17,329,1021,26,0.7,0.0,8.6,-4,85,1,Stutsman County,North Dakota
2020-03-06,1,1,-8,-9,-9,6,-4,-3,12,176,1026,21,0.0,0.0,11.3,-5,88,2,Stutsman County,North Dakota
2020-03-07,2,2,-3,-3,-3,3,0,0,7,157,1012,13,0.0,0.0,7.1,-1,92,1,Stutsman County,North Dakota
2020-03-08,1,1,-7,-4,-4,2,0,1,8,130,1009,12,0.1,0.0,5.7,-1,97,1,Stutsman County,North Dakota
2020-03-09,-8,-8,-13,-15,-15,5,-11,-11,5,109,1026,8,0.0,0.0,11.6,-12,89,2,Stutsman County,North Dakota
2020-03-10,0,0,-11,-9,-9,4,-6,-5,5,195,1023,9,0.4,0.0,10.2,-7,86,1,Stutsman County,North Dakota
2020-03-11,3,3,-3,-3,-3,5,1,2,9,226,1008,19,0.0,0.1,7.3,0,91,1,Stutsman County,North Dakota
2020-03-12,1,1,-4,-6,-6,4,0,0,14,312,1011,22,1.6,0.2,10.2,-4,78,1,Stutsman County,North Dakota
2020-03-13,-5,-5,-11,-13,-13,6,-7,-7,9,331,1029,15,0.0,0.0,11.6,-11,73,2,Stutsman County,North Dakota
2020-03-14,-10,-10,-14,-19,-19,6,-12,-12,8,72,1041,11,0.0,0.0,6.0,-13,92,1,Stutsman County,North Dakota
2020-03-15,-2,-2,-13,-12,-12,3,-7,-7,8,136,1036,12,3.1,2.2,6.0,-8,96,1,Stutsman County,North Dakota
2020-03-16,-3,-3,-8,-11,-11,4,-5,-5,10,312,1026,16,1.4,1.4,11.6,-7,86,2,Stutsman County,North Dakota
2020-03-17,-2,-2,-10,-11,-11,6,-6,-6,8,184,1023,15,0.0,0.0,11.6,-8,85,2,Stutsman County,North Dakota
2020-03-18,-2,-2,-6,-8,-8,4,-3,-3,8,28,1018,12,1.1,0.7,6.0,-4,96,1,Stutsman County,North Dakota
2020-03-19,-9,-9,-14,-19,-19,3,-10,-10,15,121,1026,21,2.5,2.0,6.0,-11,90,1,Stutsman County,North Dakota
2020-03-20,-12,-12,-18,-22,-22,6,-16,-16,8,328,1041,13,0.0,0.0,10.2,-17,88,1,Stutsman County,North Dakota
2020-03-21,-3,-3,-18,-17,-17,4,-10,-9,9,140,1030,16,0.0,0.0,7.5,-12,86,1,Stutsman County,North Dakota
2020-03-22,-1,-1,-9,-9,-9,6,-5,-4,5,275,1020,9,0.0,0.0,7.5,-7,90,1,Stutsman County,North Dakota
2020-03-23,1,1,-7,-7,-7,5,-3,-2,6,168,1018,12,0.0,0.0,10.2,-5,89,1,Stutsman County,North Dakota
2020-03-24,5,5,-1,-2,-2,5,2,3,9,190,1008,19,0.0,0.0,6.1,1,90,1,Stutsman County,North Dakota
2020-03-25,1,1,-5,-5,-5,6,-1,-1,9,23,1014,12,0.0,0.0,10.2,-5,73,1,Stutsman County,North Dakota
2020-03-26,5,5,-6,-5,-5,6,-1,0,6,176,1013,10,0.0,0.0,11.6,-4,84,2,Stutsman County,North Dakota
2020-03-27,11,11,-1,2,2,5,5,7,8,237,1010,12,0.0,0.0,11.6,1,78,3,Stutsman County,North Dakota
2020-03-28,7,7,-1,-2,-2,4,1,2,6,40,1012,10,0.0,0.0,9.0,-1,83,1,Stutsman County,North Dakota
2020-03-29,8,8,-2,-1,-1,6,2,4,7,22,1016,11,0.0,0.0,11.6,-3,67,2,Stutsman County,North Dakota
2020-03-30,13,13,-1,2,2,6,5,6,11,145,1021,17,0.0,0.0,11.6,0,71,3,Stutsman County,North Dakota
2020-03-31,11,11,3,4,4,6,7,8,14,146,1014,22,0.0,0.0,7.7,2,71,2,Stutsman County,North Dakota
2020-04-01,10,10,3,4,4,5,7,7,15,165,1010,20,0.4,0.0,6.5,0,71,2,Stutsman County,North Dakota
2020-04-02,-5,-5,-8,-14,-14,1,-6,-6,18,336,1021,23,12.7,1.4,6.5,-8,86,1,Stutsman County,North Dakota
2020-04-03,-6,-6,-11,-16,-16,5,-9,-9,11,311,1027,16,0.6,0.2,11.6,-12,82,1,Stutsman County,North Dakota
2020-04-04,1,1,-12,-11,-11,6,-6,-5,9,140,1023,16,0.0,0.0,11.6,-9,79,1,Stutsman County,North Dakota
2020-04-05,4,4,-5,-3,-3,6,0,0,7,65,1015,12,0.0,0.0,9.1,-2,88,1,Stutsman County,North Dakota
2020-04-06,8,8,0,1,1,3,4,4,7,111,1007,14,0.3,0.0,6.5,4,95,1,Stutsman County,North Dakota
2020-04-07,13,13,2,5,5,6,8,7,6,251,1006,11,0.6,0.0,11.6,1,68,3,Stutsman County,North Dakota
2020-04-08,7,7,2,-1,-1,5,4,5,16,304,1014,22,0.5,0.0,9.1,-3,61,1,Stutsman County,North Dakota
2020-04-09,4,4,-3,-6,-6,4,0,0,16,335,1020,21,0.6,0.1,10.4,-8,55,1,Stutsman County,North Dakota
2020-04-10,11,11,-1,1,1,6,4,5,7,220,1014,11,0.0,0.0,9.2,-6,48,2,Stutsman County,North Dakota
2020-04-11,6,6,1,-1,-1,6,3,4,12,357,1013,17,0.0,0.0,10.4,-5,58,2,Stutsman County,North Dakota
2020-04-12,1,1,-4,-7,-7,6,-2,-2,13,342,1020,16,0.0,0.0,10.4,-13,43,1,Stutsman County,North Dakota
2020-04-13,-2,-2,-5,-10,-10,5,-4,-4,13,317,1020,16,0.2,0.0,6.9,-14,43,1,Stutsman County,North Dakota
2020-04-14,-1,-1,-7,-9,-9,6,-4,-4,9,328,1021,11,0.0,0.0,9.2,-16,39,1,Stutsman County,North Dakota
2020-04-15,3,3,-6,-6,-6,6,-2,-1,7,311,1021,10,0.0,0.0,11.6,-12,46,2,Stutsman County,North Dakota
2020-04-16,5,5,-3,-3,-3,6,0,1,7,326,1024,10,0.0,0.0,11.6,-10,45,2,Stutsman County,North Dakota
2020-04-17,10,10,-1,0,0,6,4,5,12,246,1014,18,0.0,0.0,11.6,-6,46,2,Stutsman County,North Dakota
2020-04-18,11,11,5,4,4,5,8,8,16,324,1005,23,0.2,0.0,9.3,0,58,2,Stutsman County,North Dakota
2020-04-19,10,10,-2,0,0,6,4,4,10,273,1012,14,0.0,0.0,11.6,-5,54,2,Stutsman County,North Dakota
2020-04-20,9,9,3,3,3,5,6,7,15,319,1007,22,0.6,0.0,9.3,-1,60,2,Stutsman County,North Dakota
2020-04-21,13,13,-1,2,2,6,5,5,9,155,1012,12,0.0,0.0,10.4,-1,72,1,Stutsman County,North Dakota
2020-04-22,16,16,2,8,8,5,10,12,9,332,1005,13,0.8,0.0,11.6,4,71,4,Stutsman County,North Dakota
2020-04-23,15,15,6,10,10,5,11,12,6,220,1005,11,9.9,0.0,7.0,7,79,3,Stutsman County,North Dakota
2020-04-24,16,16,7,10,10,5,12,12,5,51,1012,8,5.8,0.0,7.0,5,68,3,Stutsman County,North Dakota
2020-04-25,13,13,8,9,9,4,10,10,6,325,1016,9,9.5,0.0,7.1,6,81,2,Stutsman County,North Dakota
2020-04-26,18,18,5,11,11,4,12,12,8,192,1015,10,2.4,0.0,9.3,5,72,3,Stutsman County,North Dakota
2020-04-27,19,19,8,13,13,6,13,14,6,298,1011,10,0.1,0.0,11.6,3,52,4,Stutsman County,North Dakota
2020-04-28,11,11,7,8,8,4,10,10,9,152,1009,13,11.9,0.0,7.1,8,85,3,Stutsman County,North Dakota
2020-04-29,16,16,8,9,9,5,11,11,10,352,1019,14,0.8,0.0,9.4,5,69,3,Stutsman County,North Dakota
2020-04-30,19,19,7,12,12,6,13,14,11,175,1012,16,0.0,0.0,11.6,6,62,4,Stutsman County,North Dakota
2020-05-01,20,20,11,14,14,5,15,15,11,228,1004,17,3.1,0.0,10.5,8,66,3,Stutsman County,North Dakota
2020-05-02,19,19,9,13,13,6,15,15,14,308,1013,20,0.0,0.0,11.6,3,47,5,Stutsman County,North Dakota
2020-05-03,14,14,5,8,8,6,10,9,9,48,1019,12,0.0,0.0,11.6,1,59,3,Stutsman County,North Dakota
2020-05-04,5,5,-2,1,1,4,4,5,8,110,1018,12,30.7,0.0,7.2,2,82,1,Stutsman County,North Dakota
2020-05-05,7,7,0,3,3,4,5,6,8,120,1020,10,3.9,0.0,7.2,4,90,2,Stutsman County,North Dakota
2020-05-06,16,16,4,8,8,6,10,11,6,322,1023,11,0.6,0.0,10.5,4,69,3,Stutsman County,North Dakota
2020-05-07,10,10,3,4,4,6,7,7,11,38,1023,15,0.0,0.0,9.4,-2,53,2,Stutsman County,North Dakota
2020-05-08,11,11,0,3,3,6,6,6,6,335,1026,10,0.0,0.0,11.6,-5,48,3,Stutsman County,North Dakota
2020-05-09,7,7,-6,-1,-1,4,3,4,15,131,1020,21,22.2,0.0,7.3,1,83,1,Stutsman County,North Dakota
2020-05-10,6,6,-2,-3,-3,5,2,2,13,351,1030,18,0.4,0.2,8.3,-3,72,1,Stutsman County,North Dakota
2020-05-11,8,8,-2,0,0,6,4,4,8,350,1029,12,0.0,0.0,14.5,-7,49,2,Stutsman County,North Dakota
2020-05-12,11,11,-1,3,3,6,5,6,8,133,1023,11,0.0,0.0,12.4,-5,47,3,Stutsman County,North Dakota
2020-05-13,10,10,5,5,5,4,8,8,12,167,1010,17,6.4,0.0,9.4,5,85,2,Stutsman County,North Dakota
2020-05-14,17,17,7,10,10,4,11,14,11,281,1007,15,0.2,0.0,12.5,6,74,3,Stutsman County,North Dakota
2020-05-15,17,17,7,11,11,6,12,13,6,225,1015,9,0.0,0.0,15.1,4,62,4,Stutsman County,North Dakota
2020-05-16,18,18,9,14,14,6,14,15,3,108,1013,5,0.0,0.0,15.5,6,60,4,Stutsman County,North Dakota
