date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,2,2,-10,-8,-8,6,-3,-2,8,302,1020,11,0.0,0.0,11.2,-9,69,2,Sullivan County,New York
2020-03-02,10,10,-4,0,0,6,3,5,6,195,1013,10,0.1,0.0,10.1,-2,74,2,Sullivan County,New York
2020-03-03,12,12,3,5,5,2,7,8,7,163,1004,11,6.5,0.0,5.6,5,90,2,Sullivan County,New York
2020-03-04,7,7,1,-1,-1,5,4,5,14,276,1006,18,5.0,0.0,11.3,0,76,2,Sullivan County,New York
2020-03-05,7,7,-2,-1,-1,5,2,4,6,295,1018,10,1.1,1.0,8.6,-4,69,1,Sullivan County,New York
2020-03-06,6,6,-3,-1,-1,5,1,3,6,86,1012,9,0.1,0.0,8.6,-3,76,1,Sullivan County,New York
2020-03-07,3,3,-5,-5,-5,5,0,0,10,332,1024,14,0.2,0.1,11.3,-7,65,2,Sullivan County,New York
2020-03-08,10,10,-5,0,0,6,4,6,8,273,1028,13,0.0,0.0,11.4,-5,62,3,Sullivan County,New York
2020-03-09,15,15,0,6,6,6,8,10,7,252,1025,11,0.0,0.0,11.6,1,68,4,Sullivan County,New York
2020-03-10,13,13,5,7,7,5,9,10,10,219,1017,15,6.4,0.0,7.3,6,83,3,Sullivan County,New York
2020-03-11,10,10,0,2,2,6,4,6,6,165,1020,9,1.4,0.0,7.3,-2,70,2,Sullivan County,New York
2020-03-12,6,6,-1,1,1,6,3,4,5,130,1020,7,0.1,0.0,5.9,-1,77,1,Sullivan County,New York
2020-03-13,14,14,4,7,7,5,9,12,13,261,1012,18,16.6,0.0,8.8,4,79,3,Sullivan County,New York
2020-03-14,7,7,0,-1,-1,6,3,4,10,303,1026,14,0.1,0.0,10.2,-3,67,2,Sullivan County,New York
2020-03-15,7,7,-1,1,1,5,4,4,6,341,1032,8,0.1,0.0,11.6,-6,59,2,Sullivan County,New York
2020-03-16,5,5,-4,-3,-3,6,0,2,6,142,1033,8,0.0,0.0,10.2,-7,61,1,Sullivan County,New York
2020-03-17,7,7,-1,0,0,4,3,6,8,241,1023,12,6.6,0.9,6.0,2,93,2,Sullivan County,New York
2020-03-18,10,10,-3,2,2,5,3,6,4,224,1030,7,0.0,0.0,10.2,-3,68,3,Sullivan County,New York
2020-03-19,7,7,1,2,2,3,4,5,5,94,1025,8,21.0,0.0,6.0,4,98,2,Sullivan County,New York
2020-03-20,19,19,4,11,11,4,12,15,11,238,1013,17,6.7,0.0,6.1,10,90,3,Sullivan County,New York
2020-03-21,6,6,-2,-2,-2,6,2,3,9,340,1027,11,0.0,0.0,11.6,-7,54,2,Sullivan County,New York
2020-03-22,5,5,-3,-1,-1,6,1,3,5,120,1037,6,0.0,0.0,11.6,-9,51,2,Sullivan County,New York
2020-03-23,2,2,-5,-5,-5,4,0,0,9,114,1028,12,12.1,0.3,6.3,-1,90,1,Sullivan County,New York
2020-03-24,4,4,-3,-1,-1,2,2,3,5,335,1021,7,0.0,0.0,7.6,1,94,1,Sullivan County,New York
2020-03-25,3,3,-3,-3,-3,3,0,1,6,83,1020,9,1.4,0.1,6.3,-1,95,1,Sullivan County,New York
