date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,-1,-1,-9,-6,-6,2,-3,-3,6,258,1011,9,7.1,6.0,5.8,-5,88,1,Summit County,Utah
2020-03-02,-6,-6,-10,-9,-9,5,-8,-7,2,247,1021,4,0.2,0.2,11.6,-11,82,2,Summit County,Utah
2020-03-03,-3,-3,-10,-8,-8,6,-6,-5,2,262,1023,4,0.0,0.0,11.6,-8,83,2,Summit County,Utah
2020-03-04,2,2,-5,-3,-3,6,-2,-1,3,211,1024,4,0.0,0.0,11.6,-8,64,2,Summit County,Utah
2020-03-05,4,4,-2,-1,-1,6,1,1,4,163,1026,8,0.0,0.0,11.6,-4,74,2,Summit County,Utah
2020-03-06,5,5,0,-1,-1,6,2,3,8,143,1022,14,0.0,0.0,11.6,-4,64,2,Summit County,Utah
2020-03-07,6,6,-1,-1,-1,5,2,3,9,167,1011,15,1.6,1.3,10.2,-3,69,1,Summit County,Utah
2020-03-08,1,1,-2,-2,-2,3,0,0,4,234,1011,5,14.5,12.3,5.9,-1,93,1,Summit County,Utah
2020-03-09,3,3,-2,-3,-3,5,0,1,6,184,1017,10,0.2,0.1,10.2,-3,79,1,Summit County,Utah
2020-03-10,2,2,-2,-2,-2,6,0,0,3,241,1022,5,0.0,0.0,11.6,-5,71,2,Summit County,Utah
2020-03-11,5,5,0,0,0,5,2,3,5,208,1018,7,1.0,0.0,10.2,-2,72,1,Summit County,Utah
2020-03-12,3,3,-3,0,0,6,1,2,3,228,1015,4,0.0,0.0,11.6,-6,63,2,Summit County,Utah
2020-03-13,0,0,-3,-3,-3,5,-1,-1,3,232,1010,5,1.3,1.1,11.6,-6,70,2,Summit County,Utah
2020-03-14,1,1,-2,-5,-5,4,-1,0,8,171,1013,13,3.3,2.5,8.8,-2,92,1,Summit County,Utah
2020-03-15,3,3,0,-3,-3,5,1,1,9,159,1015,15,0.9,0.5,10.2,-2,80,1,Summit County,Utah
2020-03-16,6,6,0,0,0,6,3,3,6,155,1014,9,0.0,0.0,11.6,-4,65,2,Summit County,Utah
2020-03-17,7,7,1,0,0,6,3,4,8,173,1008,13,0.1,0.0,11.6,-5,56,2,Summit County,Utah
2020-03-18,0,0,-4,-4,-4,3,-1,-2,4,201,1007,6,6.6,5.6,7.4,-4,86,1,Summit County,Utah
2020-03-19,-1,-1,-8,-4,-4,2,-2,-3,3,314,1010,5,6.3,5.4,6.0,-3,94,1,Summit County,Utah
2020-03-20,0,0,-5,-4,-4,5,-2,-2,3,270,1022,4,2.7,2.3,7.4,-4,85,1,Summit County,Utah
2020-03-21,3,3,-4,-3,-3,5,0,0,4,220,1021,6,0.5,0.3,10.2,-7,66,1,Summit County,Utah
2020-03-22,4,4,-3,-2,-2,6,0,1,3,234,1018,5,0.2,0.0,10.2,-6,68,1,Summit County,Utah
2020-03-23,2,2,-3,-4,-4,5,-1,0,6,196,1013,10,2.6,0.4,8.8,-5,71,1,Summit County,Utah
2020-03-24,2,2,0,-3,-3,4,1,1,9,202,1013,14,2.4,1.1,7.5,-2,82,1,Summit County,Utah
2020-03-25,-1,-1,-6,-5,-5,3,-2,-3,5,204,1010,8,16.2,13.8,8.9,-3,90,1,Summit County,Utah
2020-03-26,-5,-5,-11,-8,-8,3,-5,-5,4,236,1009,6,7.4,6.3,7.5,-6,93,1,Summit County,Utah
2020-03-27,-6,-6,-10,-11,-11,5,-8,-7,5,325,1014,8,1.1,0.9,7.5,-12,78,1,Summit County,Utah
2020-03-28,-3,-3,-10,-8,-8,3,-6,-5,3,275,1019,5,3.6,3.1,8.9,-9,85,1,Summit County,Utah
2020-03-29,-1,-1,-7,-7,-7,5,-4,-3,4,177,1017,8,1.7,1.4,6.2,-7,80,1,Summit County,Utah
2020-03-30,1,1,-4,-4,-4,5,-2,-2,3,223,1018,6,1.8,0.7,8.9,-5,78,1,Summit County,Utah
2020-03-31,4,4,-1,-1,-1,5,1,2,6,212,1015,10,1.6,0.7,6.2,-3,71,1,Summit County,Utah
2020-04-01,4,4,-1,-1,-1,4,2,2,6,211,1006,9,4.2,2.0,7.6,-1,85,1,Summit County,Utah
2020-04-02,-4,-4,-10,-10,-10,4,-5,-6,8,307,1017,11,11.2,9.4,10.3,-10,71,1,Summit County,Utah
2020-04-03,0,0,-9,-9,-9,6,-5,-4,6,197,1019,8,0.0,0.0,11.6,-14,52,2,Summit County,Utah
2020-04-04,5,5,-3,-4,-4,6,0,2,8,195,1009,13,0.0,0.0,11.6,-9,49,2,Summit County,Utah
2020-04-05,3,3,-3,-2,-2,4,2,1,10,183,1003,15,11.1,3.9,7.6,-1,78,1,Summit County,Utah
2020-04-06,5,5,-2,-1,-1,5,3,3,9,196,1006,14,4.5,0.1,9.0,-3,69,1,Summit County,Utah
2020-04-07,5,5,0,0,0,5,2,3,6,201,1015,9,0.7,0.2,9.0,-3,69,1,Summit County,Utah
2020-04-08,8,8,1,4,4,6,6,6,4,74,1016,8,0.0,0.0,11.6,-3,58,3,Summit County,Utah
2020-04-09,9,9,1,3,3,6,5,6,6,156,1013,9,2.5,0.0,9.1,-2,61,2,Summit County,Utah
2020-04-10,8,8,3,4,4,6,5,6,3,276,1013,5,0.1,0.0,11.6,-2,67,3,Summit County,Utah
2020-04-11,6,6,1,2,2,6,4,5,6,261,1007,9,3.4,0.0,9.2,-2,66,1,Summit County,Utah
2020-04-12,-1,-1,-7,-7,-7,4,-2,-2,9,301,1013,12,4.7,3.9,9.2,-7,70,1,Summit County,Utah
2020-04-13,-4,-4,-9,-10,-10,5,-5,-5,9,320,1021,12,2.2,1.7,9.2,-12,62,1,Summit County,Utah
2020-04-14,-1,-1,-8,-7,-7,6,-5,-3,6,285,1025,8,0.0,0.0,11.6,-14,46,2,Summit County,Utah
2020-04-15,2,2,-3,-3,-3,3,-1,0,4,239,1015,5,4.6,3.9,8.0,-4,84,1,Summit County,Utah
2020-04-16,-3,-3,-6,-6,-6,4,-3,-3,5,327,1018,7,8.0,6.6,9.2,-5,90,1,Summit County,Utah
2020-04-17,7,7,-7,-2,-2,6,0,1,4,177,1020,7,0.0,0.0,11.6,-9,58,2,Summit County,Utah
2020-04-18,9,9,0,2,2,6,4,5,5,290,1011,7,0.1,0.0,10.4,-4,63,1,Summit County,Utah
2020-04-19,5,5,0,0,0,6,3,4,6,255,1012,9,3.7,0.0,9.2,-6,54,1,Summit County,Utah
2020-04-20,8,8,0,2,2,6,4,5,4,324,1014,6,0.1,0.0,11.6,-4,61,3,Summit County,Utah
2020-04-21,9,9,2,3,3,6,5,6,6,322,1013,9,0.6,0.0,10.4,-2,61,2,Summit County,Utah
2020-04-22,7,7,2,3,3,6,4,5,6,298,1017,8,0.3,0.0,9.2,-2,66,1,Summit County,Utah
2020-04-23,6,6,0,1,1,4,3,4,6,286,1016,8,4.4,1.0,6.9,1,87,1,Summit County,Utah
2020-04-24,6,6,-2,0,0,5,2,3,5,267,1020,6,0.4,0.1,9.3,-3,73,1,Summit County,Utah
2020-04-25,12,12,1,5,5,6,6,7,4,229,1020,5,0.0,0.0,11.6,-1,60,3,Summit County,Utah
2020-04-26,15,15,6,8,8,6,10,10,7,246,1015,11,3.3,0.0,9.3,0,57,3,Summit County,Utah
2020-04-27,17,17,6,10,10,6,12,13,8,234,1014,12,0.0,0.0,11.6,0,48,4,Summit County,Utah
2020-04-28,14,14,4,8,8,6,10,10,6,313,1021,8,0.0,0.0,11.6,1,60,3,Summit County,Utah
2020-04-29,18,18,5,10,10,6,11,12,5,207,1019,7,0.0,0.0,11.6,0,48,4,Summit County,Utah
2020-04-30,18,18,10,13,13,6,14,16,7,261,1010,11,0.7,0.0,10.4,3,49,4,Summit County,Utah
2020-05-01,15,15,7,10,10,6,11,11,5,336,1012,7,0.7,0.0,10.5,2,57,3,Summit County,Utah
2020-05-02,14,14,6,8,8,5,9,10,4,257,1014,6,3.4,0.0,10.5,3,67,2,Summit County,Utah
2020-05-03,10,10,5,6,6,5,8,9,6,325,1013,10,6.5,0.0,9.3,2,71,2,Summit County,Utah
2020-05-04,7,7,0,2,2,5,4,4,5,312,1021,7,6.4,1.3,11.6,-3,65,2,Summit County,Utah
2020-05-05,12,12,2,6,6,6,7,9,4,247,1022,7,0.0,0.0,10.5,-9,33,2,Summit County,Utah
2020-05-06,14,14,6,8,8,6,10,11,10,242,1017,16,0.0,0.0,11.6,-2,46,4,Summit County,Utah
2020-05-07,8,8,-1,2,2,6,5,5,7,328,1023,9,0.0,0.0,11.6,-6,53,2,Summit County,Utah
2020-05-08,15,15,0,6,6,6,8,9,5,251,1021,8,0.0,0.0,11.6,-5,47,3,Summit County,Utah
2020-05-09,13,13,2,6,6,6,8,9,4,254,1020,7,0.0,0.0,11.6,-6,41,3,Summit County,Utah
2020-05-10,18,18,4,10,10,6,11,13,5,213,1015,8,0.0,0.0,11.6,-4,37,4,Summit County,Utah
2020-05-11,15,15,7,11,11,6,12,13,10,219,1008,15,4.1,0.0,8.2,2,55,3,Summit County,Utah
2020-05-12,14,14,7,8,8,6,10,11,10,223,1004,16,0.0,0.0,10.5,-3,39,3,Summit County,Utah
2020-05-13,7,7,3,4,4,5,5,5,4,284,1008,6,2.6,0.0,7.1,0,72,1,Summit County,Utah
2020-05-14,11,11,3,5,5,6,7,8,4,266,1012,7,0.0,0.0,11.6,-3,54,3,Summit County,Utah
2020-05-15,9,9,4,4,4,6,6,7,5,297,1013,7,0.4,0.0,9.4,0,67,2,Summit County,Utah
2020-05-16,13,13,3,7,7,6,8,10,6,247,1012,9,0.0,0.0,11.6,-2,53,3,Summit County,Utah
2020-05-17,17,17,8,11,11,6,12,14,12,206,1006,18,0.0,0.0,11.6,2,49,4,Summit County,Utah
2020-05-18,17,17,8,13,13,6,14,15,11,197,1005,17,0.0,0.0,11.6,-2,36,4,Summit County,Utah
2020-05-19,15,15,7,10,10,6,12,13,12,193,1004,18,0.1,0.0,9.4,-2,44,3,Summit County,Utah
2020-05-20,6,6,-2,1,1,5,4,4,6,233,1010,9,6.3,0.0,9.4,-2,67,1,Summit County,Utah
2020-05-21,9,9,1,3,3,6,5,5,6,224,1013,8,0.3,0.0,10.5,-1,67,2,Summit County,Utah
2020-05-22,13,13,5,7,7,6,9,10,10,195,1007,16,0.0,0.0,14.4,-3,48,4,Summit County,Utah
2020-05-23,4,4,-2,-1,-1,4,2,1,6,293,1014,8,5.2,4.3,11.2,-3,78,1,Summit County,Utah
2020-05-24,9,9,-1,2,2,6,4,5,6,318,1016,8,0.2,0.0,14.5,-3,65,3,Summit County,Utah
2020-05-25,12,12,0,5,5,6,7,8,5,320,1018,7,0.0,0.0,14.5,-1,66,3,Summit County,Utah
2020-05-26,16,16,5,10,10,6,11,12,5,290,1016,9,0.0,0.0,14.5,2,58,4,Summit County,Utah
2020-05-27,17,17,10,13,13,6,14,15,6,286,1015,10,0.1,0.0,13.5,5,57,3,Summit County,Utah
