date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,21,21,8,15,15,6,16,16,4,111,1026,7,0.0,0.0,11.6,3,50,5,Sumter County,Florida
2020-03-02,24,24,13,18,18,6,18,20,7,182,1021,11,0.1,0.0,10.2,11,66,4,Sumter County,Florida
2020-03-03,27,27,15,20,21,6,21,23,9,216,1017,13,0.0,0.0,11.6,15,74,6,Sumter County,Florida
2020-03-04,29,29,18,23,25,4,25,25,8,207,1015,12,0.0,0.0,11.6,18,78,7,Sumter County,Florida
2020-03-05,30,30,20,24,25,3,25,26,12,215,1015,18,1.3,0.0,5.9,20,81,6,Sumter County,Florida
2020-03-06,20,20,14,18,18,6,18,18,12,334,1019,17,0.0,0.0,8.8,9,59,4,Sumter County,Florida
2020-03-07,17,17,7,11,11,6,12,13,10,39,1027,15,0.0,0.0,11.6,1,47,4,Sumter County,Florida
2020-03-08,21,21,9,14,14,6,14,17,10,85,1031,15,0.0,0.0,10.2,7,62,4,Sumter County,Florida
2020-03-09,23,23,13,17,17,6,18,19,9,108,1031,14,0.0,0.0,11.6,11,70,4,Sumter County,Florida
2020-03-10,25,25,16,20,20,6,20,22,6,118,1027,10,0.9,0.0,8.8,14,72,5,Sumter County,Florida
2020-03-11,28,28,17,21,21,5,21,23,4,216,1021,6,2.7,0.0,7.4,16,74,5,Sumter County,Florida
2020-03-12,29,29,17,22,23,6,23,24,2,283,1018,3,0.0,0.0,11.6,14,63,6,Sumter County,Florida
2020-03-13,30,30,18,23,24,6,24,26,3,266,1021,5,0.0,0.0,11.6,14,61,7,Sumter County,Florida
2020-03-14,30,30,19,24,25,6,25,26,5,102,1024,7,0.0,0.0,11.6,16,64,7,Sumter County,Florida
2020-03-15,30,30,19,24,25,6,25,26,4,55,1023,5,0.1,0.0,11.6,17,68,7,Sumter County,Florida
2020-03-16,28,28,19,23,25,6,25,25,7,88,1023,11,1.7,0.0,10.2,17,70,6,Sumter County,Florida
2020-03-17,29,29,18,23,24,4,24,25,5,162,1023,7,0.3,0.0,8.8,17,73,6,Sumter County,Florida
2020-03-18,30,30,19,24,25,6,25,26,7,122,1024,10,0.2,0.0,11.6,16,68,7,Sumter County,Florida
2020-03-19,31,31,18,24,25,5,25,26,7,138,1025,10,0.0,0.0,11.6,17,71,7,Sumter County,Florida
2020-03-20,31,31,19,25,26,5,26,26,5,173,1025,8,0.0,0.0,11.6,17,72,7,Sumter County,Florida
2020-03-21,30,30,19,24,24,6,24,26,3,213,1024,5,0.1,0.0,8.8,18,72,6,Sumter County,Florida
2020-03-22,31,31,20,25,26,6,26,26,4,195,1022,6,0.4,0.0,8.8,17,68,6,Sumter County,Florida
2020-03-23,30,30,19,24,24,6,24,26,6,225,1022,8,0.4,0.0,11.6,18,73,6,Sumter County,Florida
2020-03-24,29,29,20,24,25,6,25,26,6,220,1019,9,0.0,0.0,8.8,17,71,6,Sumter County,Florida
2020-03-25,29,29,19,23,24,4,24,26,10,259,1014,15,0.1,0.0,10.2,19,79,6,Sumter County,Florida
2020-03-26,32,32,20,26,27,4,27,28,5,55,1015,7,0.1,0.0,10.2,19,73,7,Sumter County,Florida
2020-03-27,33,33,20,26,28,5,28,28,4,182,1016,6,0.0,0.0,11.6,18,69,7,Sumter County,Florida
2020-03-28,33,33,21,27,28,5,28,29,6,203,1017,8,0.0,0.0,11.6,18,68,7,Sumter County,Florida
2020-03-29,33,33,22,27,30,5,30,29,4,196,1020,6,0.0,0.0,11.6,19,73,7,Sumter County,Florida
2020-03-30,33,33,20,26,28,4,28,29,4,305,1018,6,0.0,0.0,11.6,19,73,7,Sumter County,Florida
2020-03-31,30,30,21,24,26,6,26,26,11,240,1010,15,1.5,0.0,10.2,19,73,6,Sumter County,Florida
2020-04-01,23,23,12,18,18,6,19,18,9,330,1011,14,0.5,0.0,11.6,8,59,5,Sumter County,Florida
2020-04-02,26,26,13,19,19,6,20,21,5,137,1016,8,0.0,0.0,11.6,9,59,6,Sumter County,Florida
2020-04-03,31,31,13,21,21,6,21,24,3,198,1016,6,0.0,0.0,11.6,10,54,6,Sumter County,Florida
2020-04-04,30,30,17,23,24,6,24,26,4,302,1014,6,0.0,0.0,11.6,12,55,7,Sumter County,Florida
2020-04-05,24,24,17,20,20,6,21,22,5,88,1016,8,0.3,0.0,8.9,14,72,5,Sumter County,Florida
2020-04-06,26,26,16,21,21,6,21,23,7,91,1018,11,0.6,0.0,7.5,15,74,5,Sumter County,Florida
2020-04-07,31,31,18,24,25,6,25,27,4,154,1018,7,0.0,0.0,11.6,16,69,7,Sumter County,Florida
2020-04-08,30,30,19,24,25,6,25,26,8,274,1013,12,0.0,0.0,11.6,19,78,7,Sumter County,Florida
2020-04-09,29,29,22,25,27,5,27,27,11,269,1010,15,0.1,0.0,8.9,21,81,6,Sumter County,Florida
2020-04-10,26,26,19,23,24,5,24,25,9,7,1012,12,0.4,0.0,7.6,15,68,5,Sumter County,Florida
2020-04-11,30,30,16,23,23,6,23,24,7,103,1017,11,0.0,0.0,11.6,12,54,6,Sumter County,Florida
2020-04-12,34,34,22,28,30,6,30,29,11,169,1016,16,0.8,0.0,8.9,20,70,6,Sumter County,Florida
2020-04-13,33,33,24,28,30,6,30,30,13,228,1015,19,0.6,0.0,11.6,21,69,8,Sumter County,Florida
2020-04-14,33,33,23,27,30,6,30,30,10,220,1016,14,0.2,0.0,8.9,21,73,6,Sumter County,Florida
2020-04-15,30,30,21,25,28,4,28,28,10,249,1014,13,2.9,0.0,8.9,20,80,6,Sumter County,Florida
2020-04-16,16,16,9,15,15,5,16,16,10,54,1020,15,7.0,0.0,6.3,14,87,4,Sumter County,Florida
2020-04-17,27,27,16,21,22,6,22,23,8,86,1020,13,1.0,0.0,6.3,17,77,5,Sumter County,Florida
2020-04-18,28,28,20,24,26,5,26,26,8,265,1016,12,2.7,0.0,10.3,20,82,6,Sumter County,Florida
2020-04-19,33,33,21,26,28,6,28,29,7,222,1013,10,0.0,0.0,11.6,19,67,7,Sumter County,Florida
2020-04-20,28,28,23,26,28,5,28,27,14,255,1008,22,5.4,0.0,7.8,20,73,6,Sumter County,Florida
2020-04-21,30,30,19,24,24,6,24,27,5,309,1013,8,0.0,0.0,11.6,16,67,7,Sumter County,Florida
2020-04-22,29,29,17,23,24,6,24,25,8,69,1017,12,0.0,0.0,11.6,12,56,7,Sumter County,Florida
2020-04-23,32,32,20,26,27,6,27,28,12,189,1013,18,0.5,0.0,11.6,17,62,6,Sumter County,Florida
