date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,-4,-4,-8,-11,-11,3,-5,-5,11,47,1013,17,6.7,1.4,5.8,-8,83,1,Sweetwater County,Wyoming
2020-03-02,-4,-4,-14,-16,-16,4,-10,-9,12,266,1023,19,0.0,0.0,10.2,-12,84,1,Sweetwater County,Wyoming
2020-03-03,0,0,-11,-13,-13,6,-6,-5,15,265,1024,26,0.0,0.0,11.6,-9,81,2,Sweetwater County,Wyoming
2020-03-04,2,2,-9,-10,-10,6,-4,-3,13,258,1025,21,0.0,0.0,11.6,-7,81,2,Sweetwater County,Wyoming
2020-03-05,3,3,-6,-5,-5,6,-1,-1,7,245,1029,13,0.0,0.0,11.6,-5,75,2,Sweetwater County,Wyoming
2020-03-06,3,3,-5,-2,-2,6,-1,0,2,187,1027,5,0.0,0.0,11.6,-6,68,2,Sweetwater County,Wyoming
2020-03-07,5,5,-3,-1,-1,6,2,2,7,175,1016,13,0.0,0.0,11.6,-4,67,2,Sweetwater County,Wyoming
2020-03-08,3,3,-1,-2,-2,5,1,1,6,253,1012,9,0.7,0.4,7.3,-2,85,1,Sweetwater County,Wyoming
2020-03-09,4,4,-4,-3,-3,6,0,1,5,237,1019,8,0.0,0.0,11.6,-3,80,1,Sweetwater County,Wyoming
2020-03-10,4,4,-2,-4,-4,5,1,1,12,263,1023,16,0.2,0.0,8.8,-4,75,1,Sweetwater County,Wyoming
2020-03-11,6,6,-3,-3,-3,6,1,2,10,265,1020,15,0.0,0.0,11.6,-3,75,2,Sweetwater County,Wyoming
2020-03-12,3,3,-2,-5,-5,6,1,1,18,280,1016,27,0.0,0.0,11.6,-6,60,2,Sweetwater County,Wyoming
2020-03-13,0,0,-4,-7,-7,5,-2,-2,12,75,1014,15,2.3,2.0,10.2,-7,71,1,Sweetwater County,Wyoming
2020-03-14,4,4,-6,-3,-3,4,-1,0,5,171,1016,9,1.0,0.9,11.6,-3,87,2,Sweetwater County,Wyoming
2020-03-15,8,8,0,0,0,6,4,4,11,191,1017,17,0.2,0.0,10.2,-2,73,1,Sweetwater County,Wyoming
2020-03-16,8,8,0,3,3,6,4,5,4,174,1017,6,0.0,0.0,11.6,-4,59,3,Sweetwater County,Wyoming
2020-03-17,11,11,-1,2,2,6,5,6,11,177,1011,15,0.0,0.0,11.6,-5,56,3,Sweetwater County,Wyoming
2020-03-18,7,7,1,1,1,5,3,4,6,186,1006,9,0.5,0.1,8.8,-5,56,1,Sweetwater County,Wyoming
2020-03-19,2,2,-4,-5,-5,5,0,1,16,54,1012,20,1.0,0.0,6.0,-5,67,1,Sweetwater County,Wyoming
2020-03-20,3,3,-6,-7,-7,5,-2,-2,9,206,1024,12,1.3,1.1,11.6,-7,71,1,Sweetwater County,Wyoming
2020-03-21,4,4,-3,-4,-4,6,0,1,8,268,1022,11,0.0,0.0,11.6,-6,66,2,Sweetwater County,Wyoming
2020-03-22,5,5,-2,-4,-4,5,1,2,16,278,1019,21,0.2,0.1,8.8,-6,60,1,Sweetwater County,Wyoming
2020-03-23,7,7,-2,-1,-1,6,2,4,8,237,1015,11,0.1,0.0,10.2,-6,55,1,Sweetwater County,Wyoming
2020-03-24,6,6,0,-2,-2,4,2,2,10,246,1013,14,7.6,5.3,7.5,-2,77,1,Sweetwater County,Wyoming
2020-03-25,3,3,-2,-4,-4,4,0,1,11,277,1010,14,2.9,2.5,8.9,-4,73,1,Sweetwater County,Wyoming
2020-03-26,2,2,-3,-5,-5,4,-1,-1,8,288,1008,10,1.3,1.0,6.1,-7,67,1,Sweetwater County,Wyoming
2020-03-27,0,0,-4,-8,-8,6,-3,-2,12,292,1012,14,0.0,0.0,8.9,-14,43,1,Sweetwater County,Wyoming
2020-03-28,2,2,-5,-9,-9,6,-2,-1,18,279,1018,22,0.0,0.0,11.6,-9,62,2,Sweetwater County,Wyoming
2020-03-29,4,4,-3,-3,-3,6,0,1,6,268,1019,8,0.1,0.0,11.6,-8,56,2,Sweetwater County,Wyoming
2020-03-30,6,6,-1,-2,-2,6,2,3,11,274,1019,14,0.1,0.1,11.6,-5,61,2,Sweetwater County,Wyoming
2020-03-31,8,8,0,0,0,6,4,5,15,250,1015,21,0.9,0.0,7.6,-3,60,1,Sweetwater County,Wyoming
2020-04-01,6,6,0,-1,-1,4,3,3,14,254,1006,20,4.5,0.0,9.0,-1,72,1,Sweetwater County,Wyoming
2020-04-02,-2,-2,-8,-10,-10,3,-4,-4,11,305,1017,14,10.6,8.8,7.7,-10,67,1,Sweetwater County,Wyoming
2020-04-03,0,0,-6,-6,-6,6,-3,-3,5,243,1023,7,0.0,0.0,11.6,-15,40,2,Sweetwater County,Wyoming
2020-04-04,7,7,-3,-1,-1,6,2,3,7,245,1013,9,0.0,0.0,11.6,-9,46,2,Sweetwater County,Wyoming
2020-04-05,9,9,2,3,3,6,5,6,8,216,1005,12,1.8,0.0,7.8,-3,57,2,Sweetwater County,Wyoming
2020-04-06,11,11,2,4,4,5,7,7,9,224,1007,13,2.5,0.0,10.3,-2,58,2,Sweetwater County,Wyoming
2020-04-07,12,12,2,3,3,6,7,8,12,261,1015,17,1.7,0.0,11.6,-2,56,3,Sweetwater County,Wyoming
2020-04-08,12,12,2,5,5,6,7,8,7,281,1017,10,0.1,0.0,11.6,-3,53,3,Sweetwater County,Wyoming
2020-04-09,13,13,2,5,5,6,7,8,8,79,1014,11,0.0,0.0,11.6,-3,47,3,Sweetwater County,Wyoming
2020-04-10,14,14,3,5,5,6,8,9,13,271,1011,18,0.1,0.0,11.6,-1,56,3,Sweetwater County,Wyoming
2020-04-11,11,11,4,3,3,6,7,8,21,273,1005,28,2.4,0.0,7.8,-3,50,2,Sweetwater County,Wyoming
2020-04-12,-2,-2,-7,-11,-11,3,-4,-5,14,198,1016,18,2.8,0.7,9.1,-10,64,1,Sweetwater County,Wyoming
2020-04-13,-3,-3,-10,-14,-14,5,-7,-6,16,262,1024,18,0.5,0.3,9.1,-15,54,1,Sweetwater County,Wyoming
2020-04-14,2,2,-6,-10,-10,6,-2,-1,21,289,1025,27,0.0,0.0,10.4,-14,40,1,Sweetwater County,Wyoming
2020-04-15,5,5,-2,-5,-5,3,1,2,17,222,1015,24,15.2,10.5,7.9,-5,70,1,Sweetwater County,Wyoming
2020-04-16,-4,-4,-9,-14,-14,3,-7,-7,19,62,1021,26,12.5,0.3,9.2,-9,81,1,Sweetwater County,Wyoming
2020-04-17,3,3,-8,-6,-6,6,-3,-2,7,273,1022,10,0.0,0.0,11.6,-9,63,2,Sweetwater County,Wyoming
2020-04-18,8,8,-2,0,0,6,3,4,9,285,1012,12,0.0,0.0,11.6,-8,48,2,Sweetwater County,Wyoming
