date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,17,17,4,10,10,6,11,12,6,199,1023,9,0.0,0.0,8.6,5,70,3,Talladega County,Alabama
2020-03-02,15,15,10,11,11,5,12,12,8,182,1016,14,18.0,0.0,5.7,11,91,3,Talladega County,Alabama
2020-03-03,20,20,15,17,17,5,17,18,8,245,1011,13,22.4,0.0,5.7,15,91,4,Talladega County,Alabama
2020-03-04,14,14,4,11,11,5,12,13,4,266,1016,7,25.1,0.0,5.7,11,91,3,Talladega County,Alabama
2020-03-05,11,11,10,8,8,3,10,10,7,152,1017,11,54.9,0.0,5.7,9,94,3,Talladega County,Alabama
2020-03-06,11,11,5,5,5,5,8,9,10,325,1025,15,0.0,0.0,11.4,3,73,3,Talladega County,Alabama
2020-03-07,13,13,-1,4,4,6,7,7,6,20,1032,8,0.0,0.0,11.4,-1,67,3,Talladega County,Alabama
2020-03-08,16,16,4,8,8,6,9,11,5,147,1033,9,0.0,0.0,10.1,2,66,3,Talladega County,Alabama
2020-03-09,18,18,7,11,11,6,13,14,8,174,1031,12,0.1,0.0,8.7,9,77,3,Talladega County,Alabama
2020-03-10,18,18,13,14,14,4,15,15,7,199,1025,12,13.3,0.0,5.7,13,90,3,Talladega County,Alabama
2020-03-11,20,20,14,16,16,4,16,17,5,219,1019,7,4.5,0.0,6.0,15,94,4,Talladega County,Alabama
2020-03-12,23,23,15,18,18,5,19,19,6,205,1015,10,5.7,0.0,8.8,16,86,4,Talladega County,Alabama
2020-03-13,19,19,11,16,16,4,17,18,6,295,1020,9,1.7,0.0,6.0,16,91,4,Talladega County,Alabama
2020-03-14,25,25,13,19,19,5,20,21,4,183,1024,6,0.9,0.0,8.8,16,82,5,Talladega County,Alabama
2020-03-15,18,18,13,16,16,4,16,17,3,259,1025,5,19.6,0.0,6.0,16,95,4,Talladega County,Alabama
2020-03-16,16,16,13,15,15,4,15,15,3,53,1024,5,3.2,0.0,6.0,14,94,4,Talladega County,Alabama
2020-03-17,23,23,14,17,17,5,17,19,3,31,1023,5,3.4,0.0,6.0,15,89,4,Talladega County,Alabama
2020-03-18,25,25,15,19,19,4,20,21,6,187,1022,10,1.1,0.0,10.2,16,82,5,Talladega County,Alabama
2020-03-19,25,25,17,21,21,4,21,22,7,194,1023,11,1.2,0.0,8.8,17,83,5,Talladega County,Alabama
2020-03-20,22,22,16,20,20,5,21,21,8,228,1023,14,15.6,0.0,6.1,17,89,5,Talladega County,Alabama
2020-03-21,20,20,10,15,15,6,15,16,5,334,1025,8,4.1,0.0,7.4,13,85,4,Talladega County,Alabama
2020-03-22,14,14,9,11,11,5,12,12,4,99,1025,7,0.8,0.0,8.8,10,86,3,Talladega County,Alabama
2020-03-23,19,19,15,16,16,4,17,17,6,228,1020,10,44.5,0.0,6.1,16,97,4,Talladega County,Alabama
2020-03-24,25,25,16,19,19,4,20,21,7,222,1014,11,14.3,0.0,6.3,18,90,5,Talladega County,Alabama
2020-03-25,23,23,16,19,19,4,20,19,5,327,1013,8,15.1,0.0,11.6,14,80,5,Talladega County,Alabama
2020-03-26,26,26,13,19,19,4,20,21,4,180,1015,7,0.0,0.0,11.6,14,76,6,Talladega County,Alabama
2020-03-27,28,28,17,22,23,4,23,23,6,220,1013,10,0.0,0.0,11.6,17,80,6,Talladega County,Alabama
2020-03-28,27,27,18,22,23,4,23,23,8,212,1014,13,0.2,0.0,9.0,18,83,5,Talladega County,Alabama
2020-03-29,23,23,18,21,21,6,23,21,7,291,1018,11,0.6,0.0,7.7,14,69,5,Talladega County,Alabama
2020-03-30,21,21,13,17,17,6,17,18,5,19,1021,7,0.0,0.0,11.6,9,62,5,Talladega County,Alabama
2020-03-31,15,15,8,11,11,4,12,13,8,341,1010,12,22.6,0.0,6.4,9,80,3,Talladega County,Alabama
2020-04-01,16,16,5,9,9,6,11,12,8,344,1016,12,0.1,0.0,11.6,5,72,4,Talladega County,Alabama
2020-04-02,19,19,4,11,11,6,12,14,4,142,1019,7,0.0,0.0,11.6,5,67,4,Talladega County,Alabama
2020-04-03,23,23,9,15,15,6,16,18,3,211,1017,5,0.0,0.0,11.6,7,62,5,Talladega County,Alabama
2020-04-04,24,24,13,18,18,6,19,20,3,354,1015,5,0.0,0.0,11.6,10,64,5,Talladega County,Alabama
2020-04-05,26,26,14,20,20,6,21,22,3,126,1017,4,0.2,0.0,11.6,12,66,6,Talladega County,Alabama
2020-04-06,26,26,15,20,21,6,21,23,3,213,1018,5,0.4,0.0,10.3,14,70,6,Talladega County,Alabama
2020-04-07,23,23,16,18,18,5,19,19,5,216,1016,9,9.0,0.0,9.0,15,84,4,Talladega County,Alabama
2020-04-08,24,24,16,21,21,6,21,22,6,252,1010,10,10.4,0.0,6.4,19,92,5,Talladega County,Alabama
2020-04-09,23,23,18,20,20,6,21,21,8,340,1009,13,4.9,0.0,11.6,13,74,6,Talladega County,Alabama
2020-04-10,15,15,7,9,9,6,11,11,8,118,1017,11,0.0,0.0,11.6,1,53,4,Talladega County,Alabama
2020-04-11,22,22,5,13,13,6,15,15,5,156,1018,7,0.0,0.0,11.6,3,55,5,Talladega County,Alabama
2020-04-12,20,20,10,13,13,5,14,15,11,143,1010,20,27.3,0.0,6.5,12,84,3,Talladega County,Alabama
2020-04-13,18,18,12,15,15,5,16,15,8,309,1013,13,65.1,0.0,10.3,12,82,4,Talladega County,Alabama
2020-04-14,18,18,6,11,11,5,13,14,6,226,1018,9,0.0,0.0,11.6,6,74,4,Talladega County,Alabama
2020-04-15,15,15,4,7,7,6,10,11,8,243,1020,12,0.0,0.0,11.6,0,57,4,Talladega County,Alabama
2020-04-16,19,19,4,11,11,6,13,14,4,41,1024,7,0.0,0.0,11.6,2,57,4,Talladega County,Alabama
2020-04-17,22,22,7,14,14,6,16,18,7,187,1021,11,0.0,0.0,11.6,7,63,4,Talladega County,Alabama
2020-04-18,20,20,12,16,16,5,17,16,6,344,1016,9,1.0,0.0,11.6,8,69,5,Talladega County,Alabama
2020-04-19,20,20,10,13,13,4,14,14,3,139,1010,5,92.0,0.0,6.6,12,89,3,Talladega County,Alabama
2020-04-20,21,21,14,16,16,5,17,18,6,344,1008,8,47.2,0.0,11.6,11,78,5,Talladega County,Alabama
2020-04-21,22,22,11,17,17,6,18,19,6,306,1015,9,0.0,0.0,11.6,10,72,5,Talladega County,Alabama
2020-04-22,19,19,10,15,15,5,15,17,4,119,1018,7,0.8,0.0,9.1,9,71,4,Talladega County,Alabama
2020-04-23,20,20,12,14,14,4,15,15,10,150,1008,16,61.4,0.0,6.6,14,94,4,Talladega County,Alabama
2020-04-24,22,22,12,15,15,4,16,17,5,321,1010,7,1.5,0.0,10.4,13,84,4,Talladega County,Alabama
2020-04-25,25,25,13,19,19,5,20,21,9,213,1011,13,0.0,0.0,11.6,13,76,6,Talladega County,Alabama
2020-04-26,20,20,9,14,14,6,15,16,10,309,1018,14,0.0,0.0,11.6,8,70,5,Talladega County,Alabama
2020-04-27,21,21,7,14,14,6,15,17,3,224,1023,5,0.0,0.0,13.3,6,64,5,Talladega County,Alabama
2020-04-28,24,24,12,18,18,6,19,20,5,190,1020,9,0.0,0.0,13.7,9,58,6,Talladega County,Alabama
2020-04-29,19,19,14,16,16,5,17,18,10,189,1010,15,43.1,0.0,8.6,15,91,4,Talladega County,Alabama
2020-04-30,18,18,9,12,12,4,13,15,7,301,1012,11,1.7,0.0,9.8,9,78,3,Talladega County,Alabama
2020-05-01,23,23,9,17,17,6,18,19,4,309,1018,6,0.0,0.0,13.7,9,69,5,Talladega County,Alabama
2020-05-02,26,26,12,19,19,6,21,22,4,222,1020,6,0.0,0.0,13.7,12,66,6,Talladega County,Alabama
2020-05-03,28,28,14,21,23,6,23,23,6,228,1017,9,0.0,0.0,13.8,14,70,6,Talladega County,Alabama
2020-05-04,28,28,15,22,22,5,22,24,4,256,1014,6,0.0,0.0,13.3,17,77,5,Talladega County,Alabama
2020-05-05,28,28,16,22,24,5,24,24,8,257,1012,12,3.1,0.0,11.0,18,81,5,Talladega County,Alabama
2020-05-06,20,20,8,14,14,4,14,17,9,319,1017,13,0.2,0.0,13.8,8,71,5,Talladega County,Alabama
2020-05-07,20,20,6,13,13,6,14,16,4,335,1021,6,0.0,0.0,13.8,5,63,5,Talladega County,Alabama
2020-05-08,14,14,10,11,11,5,12,13,6,141,1015,10,26.2,0.0,11.0,9,82,3,Talladega County,Alabama
2020-05-09,17,17,5,9,9,4,10,13,6,18,1023,9,0.2,0.0,13.9,3,65,4,Talladega County,Alabama
2020-05-10,21,21,6,15,15,6,16,18,3,206,1022,5,0.0,0.0,13.9,5,57,5,Talladega County,Alabama
2020-05-11,19,19,9,12,12,6,13,15,6,222,1023,9,0.0,0.0,13.9,5,63,5,Talladega County,Alabama
2020-05-12,25,25,8,17,17,6,18,19,3,152,1023,5,0.0,0.0,13.9,8,62,5,Talladega County,Alabama
2020-05-13,27,27,13,19,19,6,20,22,5,181,1022,8,0.0,0.0,13.9,11,63,6,Talladega County,Alabama
2020-05-14,28,28,17,23,24,6,24,24,8,164,1021,13,0.3,0.0,12.2,14,63,5,Talladega County,Alabama
2020-05-15,28,28,17,23,24,6,24,24,7,165,1019,11,0.0,0.0,14.0,15,67,6,Talladega County,Alabama
2020-05-16,30,30,16,23,24,6,24,25,5,185,1016,9,0.0,0.0,14.0,15,64,7,Talladega County,Alabama
2020-05-17,30,30,18,24,25,6,25,27,4,216,1016,7,1.2,0.0,14.0,17,68,7,Talladega County,Alabama
2020-05-18,24,24,18,21,22,5,22,22,6,177,1008,10,14.1,0.0,8.7,19,93,5,Talladega County,Alabama
2020-05-19,21,21,14,18,18,4,18,19,5,293,1009,7,2.7,0.0,11.0,14,82,4,Talladega County,Alabama
2020-05-20,25,25,12,19,19,4,19,21,4,328,1011,6,0.1,0.0,13.4,13,75,6,Talladega County,Alabama
2020-05-21,27,27,12,19,20,4,20,22,3,196,1015,5,0.3,0.0,13.4,14,76,5,Talladega County,Alabama
2020-05-22,30,30,18,24,25,5,25,26,6,230,1017,9,4.1,0.0,8.8,19,80,6,Talladega County,Alabama
2020-05-23,30,30,19,24,25,4,25,26,4,245,1017,7,21.8,0.0,8.8,20,85,6,Talladega County,Alabama
2020-05-24,32,32,20,25,27,5,27,28,3,171,1016,6,0.7,0.0,14.1,19,73,7,Talladega County,Alabama
2020-05-25,30,30,19,25,26,6,26,27,7,132,1015,11,0.1,0.0,13.4,18,70,7,Talladega County,Alabama
2020-05-26,22,22,16,20,20,4,21,21,8,100,1016,13,4.7,0.0,9.9,18,88,5,Talladega County,Alabama
2020-05-27,25,25,19,21,22,5,22,22,6,115,1014,10,10.2,0.0,9.9,19,91,5,Talladega County,Alabama
2020-05-28,30,30,19,24,25,5,25,26,5,210,1014,8,8.8,0.0,10.0,18,78,6,Talladega County,Alabama
2020-05-29,30,30,18,24,25,4,25,27,3,261,1016,5,0.8,0.0,13.4,18,75,7,Talladega County,Alabama
2020-05-30,28,28,18,23,24,4,24,25,5,334,1017,8,0.1,0.0,14.1,17,75,6,Talladega County,Alabama
2020-05-31,27,27,16,21,22,5,22,24,6,7,1019,9,0.0,0.0,14.1,15,73,6,Talladega County,Alabama
2020-06-01,29,29,13,21,22,6,22,24,6,118,1021,9,0.0,0.0,13.4,15,71,5,Talladega County,Alabama
2020-06-02,30,30,20,24,25,6,25,26,5,168,1020,9,0.1,0.0,12.2,18,71,6,Talladega County,Alabama
2020-06-03,31,31,19,25,26,6,26,27,3,206,1016,6,0.7,0.0,13.4,19,74,7,Talladega County,Alabama
2020-06-04,31,31,19,25,26,4,26,27,5,203,1014,7,1.3,0.0,14.2,19,75,7,Talladega County,Alabama
2020-06-05,31,31,20,25,27,5,27,27,4,269,1014,7,16.7,0.0,11.1,21,82,6,Talladega County,Alabama
2020-06-06,30,30,20,24,27,4,27,27,3,150,1014,5,4.2,0.0,10.0,21,83,6,Talladega County,Alabama
2020-06-07,30,30,20,25,27,4,27,27,8,102,1012,11,0.7,0.0,11.1,21,80,6,Talladega County,Alabama
2020-06-08,29,29,22,25,27,5,27,26,9,148,1011,14,13.9,0.0,10.0,22,88,6,Talladega County,Alabama
2020-06-09,29,29,22,25,28,5,28,27,9,202,1012,14,15.9,0.0,10.0,22,84,6,Talladega County,Alabama
2020-06-10,31,31,22,25,28,4,28,27,9,217,1014,13,7.9,0.0,8.9,22,85,6,Talladega County,Alabama
2020-06-11,28,28,16,22,23,5,23,24,7,351,1020,10,0.2,0.0,14.2,15,72,6,Talladega County,Alabama
2020-06-12,29,29,16,22,23,6,23,25,8,24,1020,12,0.0,0.0,14.2,15,66,6,Talladega County,Alabama
2020-06-13,29,29,17,23,23,6,23,26,5,54,1018,8,0.0,0.0,14.2,15,64,7,Talladega County,Alabama
2020-06-14,31,31,20,25,25,6,25,27,3,63,1020,5,0.0,0.0,14.2,16,63,7,Talladega County,Alabama
2020-06-15,28,28,17,22,24,6,24,25,5,332,1020,8,0.0,0.0,14.2,15,67,7,Talladega County,Alabama
2020-06-16,26,26,15,20,21,6,21,22,5,45,1021,8,0.1,0.0,14.2,14,69,6,Talladega County,Alabama
2020-06-17,25,25,14,20,21,5,21,22,3,202,1019,5,1.1,0.0,12.3,15,78,5,Talladega County,Alabama
2020-06-18,30,30,16,22,23,6,23,25,2,325,1017,3,1.7,0.0,14.2,16,71,7,Talladega County,Alabama
2020-06-19,30,30,18,24,25,5,25,27,1,258,1018,3,7.7,0.0,8.9,18,75,6,Talladega County,Alabama
2020-06-20,33,33,19,25,26,6,26,28,2,317,1017,3,0.2,0.0,14.2,18,69,7,Talladega County,Alabama
2020-06-21,31,31,21,25,27,6,27,28,4,209,1015,6,1.0,0.0,12.3,20,72,6,Talladega County,Alabama
2020-06-22,30,30,20,25,27,5,27,27,6,224,1015,10,4.6,0.0,11.1,20,78,6,Talladega County,Alabama
