date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,18,18,5,10,10,6,11,13,4,185,1025,7,0.0,0.0,10.2,1,52,3,Telfair County,Georgia
2020-03-02,20,20,10,13,13,6,14,15,9,199,1019,15,1.9,0.0,7.3,8,68,4,Telfair County,Georgia
2020-03-03,23,23,15,19,19,5,19,20,10,221,1013,16,11.8,0.0,5.9,17,88,5,Telfair County,Georgia
2020-03-04,18,18,14,16,16,3,16,16,7,37,1014,11,47.9,0.0,5.9,16,97,4,Telfair County,Georgia
2020-03-05,14,14,11,11,11,5,12,13,10,52,1014,15,7.4,0.0,5.9,11,94,3,Telfair County,Georgia
2020-03-06,15,15,9,9,9,6,11,13,13,312,1020,19,0.0,0.0,11.6,4,63,4,Telfair County,Georgia
2020-03-07,14,14,2,6,6,6,8,9,7,29,1030,11,0.0,0.0,11.6,-1,53,3,Telfair County,Georgia
2020-03-08,17,17,5,10,10,6,11,12,6,108,1034,10,0.0,0.0,5.9,3,60,3,Telfair County,Georgia
2020-03-09,21,21,9,14,14,6,15,17,7,152,1032,11,0.1,0.0,11.6,9,72,5,Telfair County,Georgia
2020-03-10,23,23,14,17,17,6,17,19,6,221,1027,9,0.9,0.0,8.8,14,82,4,Telfair County,Georgia
2020-03-11,24,24,15,19,19,5,19,20,6,232,1020,10,6.0,0.0,6.0,16,85,5,Telfair County,Georgia
2020-03-12,25,25,15,20,20,4,20,21,6,234,1016,10,1.1,0.0,10.2,16,81,5,Telfair County,Georgia
2020-03-13,26,26,15,20,20,5,21,22,7,261,1020,11,0.0,0.0,11.6,16,77,5,Telfair County,Georgia
2020-03-14,26,26,17,21,22,5,22,22,4,86,1024,6,2.6,0.0,7.4,17,79,5,Telfair County,Georgia
2020-03-15,25,25,16,20,20,6,21,22,5,235,1024,8,0.0,0.0,11.6,16,77,6,Telfair County,Georgia
2020-03-16,19,19,15,17,17,4,17,17,8,85,1025,11,0.6,0.0,6.0,14,83,4,Telfair County,Georgia
2020-03-17,24,24,16,19,19,5,20,21,4,265,1023,7,4.0,0.0,8.8,16,83,5,Telfair County,Georgia
2020-03-18,26,26,16,21,22,4,22,23,7,156,1024,11,6.1,0.0,6.0,18,83,5,Telfair County,Georgia
2020-03-19,28,28,18,23,24,4,24,24,6,182,1024,10,1.3,0.0,11.6,18,76,5,Telfair County,Georgia
2020-03-20,28,28,18,23,24,6,24,24,7,225,1024,11,0.0,0.0,11.6,17,71,6,Telfair County,Georgia
2020-03-21,27,27,18,22,23,5,23,24,6,302,1023,9,0.5,0.0,11.6,17,73,5,Telfair County,Georgia
2020-03-22,22,22,13,17,17,5,18,19,7,54,1024,11,4.5,0.0,8.8,13,76,4,Telfair County,Georgia
2020-03-23,26,26,15,20,20,5,21,22,6,234,1022,9,0.4,0.0,6.1,16,80,5,Telfair County,Georgia
2020-03-24,28,28,18,22,23,5,23,24,10,225,1016,14,0.1,0.0,8.8,17,71,5,Telfair County,Georgia
2020-03-25,28,28,20,23,25,6,25,25,11,285,1011,17,0.2,0.0,10.2,16,67,6,Telfair County,Georgia
2020-03-26,28,28,16,21,21,6,21,23,6,149,1016,10,0.0,0.0,11.6,15,70,6,Telfair County,Georgia
2020-03-27,30,30,18,23,24,4,24,25,7,234,1015,11,0.0,0.0,11.6,17,73,7,Telfair County,Georgia
2020-03-28,30,30,19,24,26,5,26,26,9,228,1016,14,0.0,0.0,11.6,18,72,7,Telfair County,Georgia
2020-03-29,30,30,19,24,25,4,25,26,9,247,1018,13,0.1,0.0,8.9,19,75,6,Telfair County,Georgia
2020-03-30,27,27,18,22,23,6,23,23,5,332,1019,8,0.0,0.0,10.2,9,44,5,Telfair County,Georgia
2020-03-31,21,21,14,18,18,5,19,20,8,206,1008,14,12.4,0.0,7.5,11,66,4,Telfair County,Georgia
2020-04-01,19,19,9,12,12,6,13,15,9,328,1012,14,0.0,0.0,11.6,5,57,4,Telfair County,Georgia
2020-04-02,22,22,9,14,14,6,15,17,4,158,1017,7,0.0,0.0,11.6,6,59,5,Telfair County,Georgia
2020-04-03,24,24,11,18,18,6,18,20,3,196,1016,5,0.0,0.0,11.6,7,52,5,Telfair County,Georgia
