date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,8,8,1,3,3,6,5,7,5,320,1029,7,0.2,0.0,7.2,2,81,2,Tillamook County,Oregon
2020-03-02,8,8,3,4,4,3,6,6,5,192,1028,7,3.2,0.0,5.8,6,95,2,Tillamook County,Oregon
2020-03-03,10,10,4,6,6,2,8,9,6,226,1025,7,0.8,0.0,5.8,7,95,2,Tillamook County,Oregon
2020-03-04,11,11,4,6,6,5,8,8,5,226,1024,7,0.4,0.0,10.2,3,75,3,Tillamook County,Oregon
2020-03-05,10,10,4,5,5,6,7,9,8,198,1017,11,0.1,0.0,8.7,4,80,2,Tillamook County,Oregon
2020-03-06,7,7,3,4,4,5,5,6,3,268,1017,4,3.2,0.0,5.8,3,86,2,Tillamook County,Oregon
2020-03-07,7,7,2,2,2,5,4,5,4,212,1013,6,8.6,0.0,5.9,2,89,2,Tillamook County,Oregon
2020-03-08,9,9,1,2,2,6,4,6,4,229,1018,6,0.0,0.0,7.3,0,77,2,Tillamook County,Oregon
2020-03-09,11,11,1,4,4,6,6,8,4,295,1023,7,0.0,0.0,11.6,-1,67,3,Tillamook County,Oregon
2020-03-10,11,11,3,6,6,6,7,9,3,268,1025,5,0.0,0.0,11.6,0,69,3,Tillamook County,Oregon
2020-03-11,10,10,3,5,5,5,7,9,7,331,1025,10,1.0,0.0,10.2,4,81,2,Tillamook County,Oregon
2020-03-12,10,10,1,2,2,6,5,7,7,338,1026,10,0.0,0.0,11.6,1,77,3,Tillamook County,Oregon
2020-03-13,5,5,-1,2,2,5,3,4,3,157,1008,3,6.8,0.0,5.9,1,85,1,Tillamook County,Oregon
2020-03-14,7,7,1,1,1,4,4,5,6,103,1010,8,3.1,0.0,10.2,0,80,3,Tillamook County,Oregon
2020-03-15,9,9,0,1,1,6,4,6,9,71,1017,13,0.0,0.0,11.6,-4,57,3,Tillamook County,Oregon
2020-03-16,13,13,0,5,5,6,8,9,6,40,1019,10,0.0,0.0,11.6,-1,62,3,Tillamook County,Oregon
2020-03-17,10,10,3,5,5,6,6,8,3,278,1012,5,0.0,0.0,8.8,2,77,2,Tillamook County,Oregon
2020-03-18,11,11,4,7,7,6,8,9,3,251,1013,5,0.0,0.0,11.6,3,76,3,Tillamook County,Oregon
2020-03-19,12,12,3,7,7,6,8,10,3,252,1017,6,0.0,0.0,11.6,4,81,3,Tillamook County,Oregon
2020-03-20,13,13,4,7,7,6,8,11,5,323,1025,7,0.1,0.0,11.6,5,83,3,Tillamook County,Oregon
2020-03-21,12,12,3,6,6,5,8,9,4,309,1024,6,0.0,0.0,11.6,4,83,3,Tillamook County,Oregon
2020-03-22,13,13,4,7,7,6,8,10,4,247,1018,6,0.1,0.0,10.2,4,79,4,Tillamook County,Oregon
2020-03-23,9,9,4,4,4,5,7,7,9,242,1013,11,9.3,0.0,7.5,4,85,2,Tillamook County,Oregon
2020-03-24,8,8,3,3,3,6,5,7,6,218,1015,9,8.3,0.0,6.1,4,88,2,Tillamook County,Oregon
2020-03-25,9,9,1,4,4,6,5,7,4,279,1019,6,0.4,0.0,11.6,1,81,3,Tillamook County,Oregon
2020-03-26,8,8,2,4,4,6,5,7,6,232,1020,7,0.2,0.0,6.2,3,83,2,Tillamook County,Oregon
2020-03-27,8,8,6,5,5,4,7,7,7,180,1018,8,1.8,0.0,6.2,5,90,2,Tillamook County,Oregon
2020-03-28,9,9,8,6,6,3,8,9,8,171,1017,11,4.9,0.0,6.2,8,96,2,Tillamook County,Oregon
2020-03-29,10,10,8,6,6,5,9,9,9,235,1013,13,13.2,0.0,6.2,7,92,2,Tillamook County,Oregon
2020-03-30,8,8,0,3,3,5,7,7,15,240,1013,20,14.4,0.0,6.4,5,88,2,Tillamook County,Oregon
2020-03-31,9,9,1,3,3,5,6,7,9,277,1018,12,6.2,0.0,7.7,3,82,2,Tillamook County,Oregon
2020-04-01,9,9,3,4,4,5,5,7,5,237,1019,7,11.0,0.0,6.5,4,88,2,Tillamook County,Oregon
2020-04-02,8,8,3,4,4,6,5,7,4,285,1023,5,0.6,0.0,9.0,2,81,2,Tillamook County,Oregon
2020-04-03,8,8,2,3,3,4,5,6,5,250,1020,7,2.2,0.0,6.5,2,82,2,Tillamook County,Oregon
2020-04-04,9,9,1,3,3,4,5,6,3,258,1007,5,1.8,0.0,6.5,2,82,2,Tillamook County,Oregon
2020-04-05,12,12,6,6,6,4,8,9,5,248,1002,7,1.3,0.0,6.5,6,87,2,Tillamook County,Oregon
