date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,26,26,13,18,18,6,20,19,12,246,1006,21,0.0,0.0,11.3,4,44,5,Tillman County,Oklahoma
2020-03-02,17,17,10,12,12,6,13,13,7,118,1009,10,0.0,0.0,11.3,4,57,4,Tillman County,Oklahoma
2020-03-03,18,18,11,13,13,6,14,14,8,61,1011,12,0.9,0.0,11.3,5,56,4,Tillman County,Oklahoma
2020-03-04,14,14,10,11,11,5,12,12,8,72,1017,12,2.2,0.0,10.1,6,67,3,Tillman County,Oklahoma
2020-03-05,19,19,7,12,12,6,13,14,9,116,1024,15,0.0,0.0,11.6,3,53,4,Tillman County,Oklahoma
2020-03-06,17,17,5,9,9,6,11,11,7,131,1033,12,0.0,0.0,11.6,-3,40,4,Tillman County,Oklahoma
2020-03-07,19,19,6,11,11,6,12,13,14,172,1026,21,0.0,0.0,11.6,1,49,4,Tillman County,Oklahoma
2020-03-08,17,17,10,11,11,5,13,13,16,183,1019,25,7.5,0.0,5.9,9,78,3,Tillman County,Oklahoma
2020-03-09,23,23,15,18,18,5,19,20,14,264,1015,22,2.6,0.0,11.6,11,65,5,Tillman County,Oklahoma
2020-03-10,24,24,8,15,15,6,16,15,9,150,1022,16,0.0,0.0,11.6,9,66,5,Tillman County,Oklahoma
2020-03-11,22,22,16,19,19,6,19,19,9,335,1014,15,0.0,0.0,7.4,13,69,4,Tillman County,Oklahoma
2020-03-12,26,26,18,21,22,6,22,23,12,202,1008,20,0.0,0.0,10.2,10,50,6,Tillman County,Oklahoma
2020-03-13,12,12,4,10,10,4,12,11,15,59,1018,20,5.9,0.0,6.0,9,79,3,Tillman County,Oklahoma
2020-03-14,21,21,11,14,14,5,15,16,9,239,1020,13,7.9,0.0,8.8,11,84,4,Tillman County,Oklahoma
2020-03-15,11,11,7,6,6,6,8,9,12,44,1029,15,1.1,0.0,6.0,5,80,2,Tillman County,Oklahoma
2020-03-16,17,17,8,11,11,4,12,13,7,167,1021,10,3.7,0.0,6.0,11,91,3,Tillman County,Oklahoma
2020-03-17,15,15,9,14,14,5,15,15,12,93,1018,18,14.2,0.0,6.0,14,95,4,Tillman County,Oklahoma
2020-03-18,26,26,13,19,19,4,19,20,8,207,1012,13,13.2,0.0,11.6,15,80,5,Tillman County,Oklahoma
2020-03-19,23,23,16,20,20,5,20,21,17,237,1010,28,7.4,0.0,7.4,10,59,5,Tillman County,Oklahoma
2020-03-20,12,12,7,8,8,6,11,9,15,136,1026,21,0.0,0.0,11.6,2,59,3,Tillman County,Oklahoma
2020-03-21,13,13,3,5,5,5,7,7,7,90,1029,10,2.6,0.0,10.2,1,66,3,Tillman County,Oklahoma
2020-03-22,19,19,8,13,13,5,13,14,7,198,1018,11,4.8,0.0,8.8,10,82,3,Tillman County,Oklahoma
2020-03-23,25,25,12,17,17,4,19,19,11,160,1014,16,0.0,0.0,8.8,13,80,4,Tillman County,Oklahoma
2020-03-24,24,24,14,19,19,6,20,20,12,311,1010,20,1.3,0.0,11.6,11,61,5,Tillman County,Oklahoma
2020-03-25,29,29,12,19,19,6,20,20,11,198,1010,19,0.0,0.0,11.6,10,61,6,Tillman County,Oklahoma
2020-03-26,33,33,18,24,25,6,25,25,13,217,1005,22,0.0,0.0,11.6,13,50,7,Tillman County,Oklahoma
2020-03-27,28,28,19,24,25,6,25,24,9,265,1003,17,0.4,0.0,11.6,13,54,5,Tillman County,Oklahoma
2020-03-28,22,22,15,18,18,6,19,18,17,266,1007,26,0.3,0.0,11.6,1,33,5,Tillman County,Oklahoma
2020-03-29,20,20,7,13,13,6,13,14,6,166,1019,10,0.0,0.0,7.5,3,52,3,Tillman County,Oklahoma
2020-03-30,15,15,9,11,11,5,13,14,13,133,1016,21,6.7,0.0,6.2,9,79,3,Tillman County,Oklahoma
2020-03-31,18,18,8,12,12,6,13,14,8,57,1018,11,0.1,0.0,10.2,9,77,3,Tillman County,Oklahoma
2020-04-01,22,22,10,15,15,6,16,16,15,173,1012,22,0.0,0.0,11.6,10,73,5,Tillman County,Oklahoma
2020-04-02,30,30,15,21,22,6,22,23,17,191,1006,26,0.7,0.0,11.6,14,68,6,Tillman County,Oklahoma
2020-04-03,7,7,4,3,3,4,7,5,16,124,1018,22,10.1,0.0,6.2,2,71,1,Tillman County,Oklahoma
2020-04-04,14,14,2,6,6,6,8,8,7,33,1020,10,0.0,0.0,11.6,1,61,3,Tillman County,Oklahoma
2020-04-05,20,20,8,13,13,6,14,14,10,153,1016,15,0.0,0.0,7.7,10,80,3,Tillman County,Oklahoma
2020-04-06,24,24,13,17,17,6,19,19,13,189,1013,18,0.0,0.0,7.7,15,83,4,Tillman County,Oklahoma
2020-04-07,31,31,16,22,23,5,23,24,10,232,1009,16,0.0,0.0,11.6,11,56,6,Tillman County,Oklahoma
2020-04-08,33,33,17,25,26,6,26,26,11,260,1008,19,0.0,0.0,11.6,6,34,7,Tillman County,Oklahoma
2020-04-09,20,20,15,17,17,6,17,17,13,70,1015,18,0.0,0.0,11.6,9,61,5,Tillman County,Oklahoma
2020-04-10,20,20,9,13,13,6,14,14,11,125,1018,16,0.0,0.0,11.6,6,58,4,Tillman County,Oklahoma
2020-04-11,25,25,13,17,17,5,19,19,11,187,1007,16,8.5,0.0,9.0,14,81,4,Tillman County,Oklahoma
2020-04-12,24,24,14,18,18,5,20,19,16,245,1001,23,9.7,0.0,10.3,10,67,4,Tillman County,Oklahoma
2020-04-13,11,11,1,1,1,6,6,6,14,44,1024,18,0.0,0.0,11.6,-7,42,3,Tillman County,Oklahoma
2020-04-14,9,9,1,2,2,3,5,5,7,27,1026,9,4.6,3.1,6.5,1,79,1,Tillman County,Oklahoma
2020-04-15,17,17,0,6,6,6,9,10,10,205,1021,17,0.0,0.0,11.6,1,63,3,Tillman County,Oklahoma
2020-04-16,23,23,8,14,14,6,16,16,18,184,1014,28,0.0,0.0,11.6,9,68,5,Tillman County,Oklahoma
2020-04-17,14,14,7,9,9,6,12,10,15,12,1019,20,0.0,0.0,7.8,5,66,2,Tillman County,Oklahoma
2020-04-18,18,18,5,10,10,6,12,12,10,157,1016,14,0.0,0.0,10.3,5,69,3,Tillman County,Oklahoma
2020-04-19,22,22,10,16,16,4,17,19,9,116,1006,14,0.0,0.0,11.6,12,78,4,Tillman County,Oklahoma
2020-04-20,24,24,10,17,17,4,19,18,5,135,1011,8,0.0,0.0,11.6,11,71,5,Tillman County,Oklahoma
2020-04-21,24,24,13,19,19,5,20,20,12,123,1012,18,5.6,0.0,10.4,14,76,5,Tillman County,Oklahoma
2020-04-22,28,28,18,21,22,5,22,23,17,239,1003,27,13.0,0.0,9.2,15,72,5,Tillman County,Oklahoma
2020-04-23,28,28,14,20,21,6,21,22,9,282,1007,16,0.0,0.0,11.6,9,52,6,Tillman County,Oklahoma
2020-04-24,25,25,17,20,20,6,21,22,17,326,1006,27,0.0,0.0,11.6,9,49,6,Tillman County,Oklahoma
2020-04-25,24,24,11,17,17,6,18,19,9,233,1018,14,0.0,0.0,11.6,7,52,5,Tillman County,Oklahoma
2020-04-26,27,27,12,19,19,6,19,21,11,187,1019,16,0.0,0.0,11.6,9,53,6,Tillman County,Oklahoma
2020-04-27,30,30,17,23,24,6,24,24,16,198,1012,24,0.6,0.0,11.6,14,58,5,Tillman County,Oklahoma
2020-04-28,32,32,18,24,25,6,25,26,14,205,1008,21,0.5,0.0,11.6,16,65,6,Tillman County,Oklahoma
2020-04-29,24,24,14,19,19,6,20,20,14,346,1018,21,0.0,0.0,11.6,5,40,6,Tillman County,Oklahoma
2020-04-30,29,29,12,20,20,6,20,22,10,183,1016,16,0.0,0.0,11.6,7,46,6,Tillman County,Oklahoma
2020-05-01,33,33,19,26,26,6,26,27,17,201,1009,27,0.6,0.0,10.4,13,47,6,Tillman County,Oklahoma
2020-05-02,39,39,21,29,30,6,30,31,13,191,1007,21,0.0,0.0,11.6,14,43,8,Tillman County,Oklahoma
