date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,17,17,7,11,11,5,12,14,14,198,1018,23,5.0,0.0,5.6,7,72,3,Tipton County,Tennessee
2020-03-02,20,20,14,16,16,5,16,17,14,215,1009,23,9.0,0.0,5.6,14,85,4,Tipton County,Tennessee
2020-03-03,16,16,12,14,14,6,14,14,8,309,1010,13,2.1,0.0,10.1,9,72,3,Tipton County,Tennessee
2020-03-04,15,15,10,12,12,6,13,13,5,227,1016,8,0.3,0.0,8.6,6,66,3,Tipton County,Tennessee
2020-03-05,17,17,8,10,10,6,11,12,8,321,1019,13,0.0,0.0,11.4,5,65,4,Tipton County,Tennessee
2020-03-06,11,11,4,4,4,6,7,7,12,340,1029,18,0.0,0.0,11.4,0,60,3,Tipton County,Tennessee
2020-03-07,13,13,2,5,5,6,7,8,6,102,1033,10,0.0,0.0,11.6,-1,58,3,Tipton County,Tennessee
2020-03-08,17,17,5,9,9,6,10,12,10,186,1029,17,0.0,0.0,11.6,4,63,4,Tipton County,Tennessee
2020-03-09,17,17,11,13,13,5,14,15,16,186,1024,25,10.1,0.0,5.9,12,83,3,Tipton County,Tennessee
2020-03-10,16,16,10,14,14,6,14,15,10,331,1022,14,0.5,0.0,7.4,11,83,3,Tipton County,Tennessee
2020-03-11,18,18,8,11,11,3,12,13,5,158,1018,8,14.7,0.0,5.9,11,91,3,Tipton County,Tennessee
2020-03-12,22,22,13,17,17,4,18,18,11,205,1010,18,3.5,0.0,6.0,16,92,4,Tipton County,Tennessee
2020-03-13,11,11,9,9,9,6,11,10,12,42,1022,18,2.4,0.0,8.8,6,73,2,Tipton County,Tennessee
2020-03-14,12,12,7,6,6,5,8,9,9,58,1025,13,6.8,0.0,6.0,6,84,2,Tipton County,Tennessee
2020-03-15,8,8,4,3,3,5,6,6,12,29,1030,16,7.0,0.0,6.0,4,86,2,Tipton County,Tennessee
2020-03-16,9,9,4,5,5,5,7,7,5,165,1026,7,2.1,0.0,6.0,5,88,2,Tipton County,Tennessee
2020-03-17,14,14,8,9,9,5,10,10,6,32,1024,9,9.8,0.0,6.0,9,91,2,Tipton County,Tennessee
