date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,0,0,-8,-9,-9,6,-4,-3,8,307,1018,11,0.0,0.0,11.2,-13,50,2,Tolland County,Connecticut
2020-03-02,10,10,-3,0,0,5,3,6,8,194,1015,13,0.4,0.1,11.2,-2,70,3,Tolland County,Connecticut
2020-03-03,14,14,4,7,7,4,9,10,7,192,1005,11,1.3,0.0,7.1,7,89,3,Tolland County,Connecticut
2020-03-04,8,8,3,2,2,6,6,6,11,274,1003,16,0.4,0.0,8.6,0,69,2,Tolland County,Connecticut
2020-03-05,8,8,-1,1,1,6,3,5,7,306,1017,10,0.0,0.0,11.3,-4,61,3,Tolland County,Connecticut
2020-03-06,8,8,1,1,1,5,3,5,7,104,1014,10,0.2,0.2,7.1,-2,67,2,Tolland County,Connecticut
2020-03-07,5,5,-3,-4,-4,6,1,2,11,348,1020,15,0.0,0.0,11.3,-9,51,2,Tolland County,Connecticut
2020-03-08,10,10,-2,1,1,6,4,6,7,278,1027,10,0.0,0.0,11.4,-8,44,3,Tolland County,Connecticut
2020-03-09,17,17,5,9,9,6,11,12,8,230,1025,14,0.0,0.0,11.4,2,56,4,Tolland County,Connecticut
2020-03-10,14,14,8,10,10,5,12,12,10,224,1016,16,2.1,0.0,7.2,7,71,3,Tolland County,Connecticut
2020-03-11,11,11,3,5,5,6,7,8,5,222,1018,7,1.0,0.0,10.1,-2,59,2,Tolland County,Connecticut
2020-03-12,11,11,2,4,4,6,5,7,5,169,1022,7,0.0,0.0,7.2,1,73,2,Tolland County,Connecticut
2020-03-13,14,14,4,6,6,4,9,12,12,229,1013,20,8.1,0.0,5.8,6,82,3,Tolland County,Connecticut
2020-03-14,9,9,1,0,0,6,4,6,10,296,1023,15,0.0,0.0,11.5,-3,61,3,Tolland County,Connecticut
2020-03-15,8,8,-1,1,1,6,4,5,7,234,1031,10,0.0,0.0,11.6,-7,51,2,Tolland County,Connecticut
2020-03-16,7,7,-5,-3,-3,6,1,3,7,152,1035,10,0.0,0.0,11.6,-10,50,2,Tolland County,Connecticut
2020-03-17,8,8,-1,1,1,4,4,6,7,212,1023,12,0.8,0.0,6.0,2,91,2,Tolland County,Connecticut
2020-03-18,12,12,0,3,3,6,5,7,4,275,1030,7,0.0,0.0,10.3,-4,59,2,Tolland County,Connecticut
2020-03-19,9,9,1,3,3,3,5,6,6,73,1027,8,8.7,0.0,6.2,4,92,2,Tolland County,Connecticut
2020-03-20,17,17,3,9,9,4,11,12,9,218,1013,16,2.5,0.0,6.3,9,92,3,Tolland County,Connecticut
2020-03-21,7,7,0,0,0,6,4,4,9,241,1025,13,0.1,0.0,11.6,-7,50,2,Tolland County,Connecticut
2020-03-22,10,10,-4,0,0,6,3,5,5,137,1038,8,0.0,0.0,11.6,-12,41,2,Tolland County,Connecticut
2020-03-23,4,4,-6,-3,-3,5,0,2,9,125,1030,13,10.6,0.0,6.3,-4,72,1,Tolland County,Connecticut
2020-03-24,6,6,0,0,0,4,2,4,6,346,1019,9,7.0,0.0,7.6,1,94,1,Tolland County,Connecticut
2020-03-25,5,5,-1,-1,-1,6,2,4,6,83,1021,10,0.2,0.1,6.3,0,89,1,Tolland County,Connecticut
2020-03-26,11,11,-3,2,2,4,5,7,5,189,1016,9,0.0,0.0,11.6,1,79,3,Tolland County,Connecticut
2020-03-27,14,14,6,8,8,5,9,11,7,331,1011,10,0.4,0.0,10.3,3,68,4,Tolland County,Connecticut
2020-03-28,12,12,4,6,6,5,7,9,5,166,1020,7,4.1,0.0,10.3,2,73,2,Tolland County,Connecticut
2020-03-29,8,8,4,4,4,5,7,8,9,108,1016,14,8.0,0.0,6.4,6,95,2,Tolland County,Connecticut
2020-03-30,9,9,2,3,3,4,6,7,7,73,1013,10,7.5,0.0,6.4,4,92,2,Tolland County,Connecticut
2020-03-31,7,7,1,1,1,6,3,5,6,36,1017,8,0.0,0.0,7.7,-1,78,1,Tolland County,Connecticut
2020-04-01,9,9,-1,1,1,5,4,6,7,21,1009,10,0.0,0.0,6.4,-1,72,2,Tolland County,Connecticut
2020-04-02,7,7,-1,0,0,5,4,5,12,334,1003,19,5.6,0.0,6.4,1,83,1,Tolland County,Connecticut
2020-04-03,8,8,6,3,3,4,7,7,13,18,1004,20,9.6,0.0,6.5,5,90,2,Tolland County,Connecticut
2020-04-04,9,9,5,5,5,4,7,7,7,40,1016,10,1.2,0.0,6.5,4,82,2,Tolland County,Connecticut
2020-04-05,14,14,5,7,7,6,8,10,5,202,1017,7,0.4,0.0,6.5,5,82,2,Tolland County,Connecticut
2020-04-06,14,14,5,7,7,6,9,11,7,315,1015,11,0.0,0.0,11.6,0,56,4,Tolland County,Connecticut
2020-04-07,15,15,5,8,8,6,10,12,6,288,1011,9,0.0,0.0,11.6,0,53,4,Tolland County,Connecticut
2020-04-08,13,13,7,8,8,5,9,10,4,230,1001,5,3.8,0.0,6.5,5,80,2,Tolland County,Connecticut
2020-04-09,10,10,3,4,4,4,7,9,11,215,993,17,15.7,0.0,6.5,4,85,2,Tolland County,Connecticut
2020-04-10,7,7,1,-1,-1,6,4,5,13,286,992,17,1.0,0.0,6.6,-2,68,2,Tolland County,Connecticut
2020-04-11,8,8,0,0,0,6,4,6,11,294,1011,15,0.0,0.0,11.6,-4,60,3,Tolland County,Connecticut
2020-04-12,14,14,1,6,6,6,8,10,7,193,1021,10,0.0,0.0,10.3,1,62,3,Tolland County,Connecticut
2020-04-13,16,16,9,11,11,4,13,14,17,186,1008,28,14.2,0.0,6.6,12,90,3,Tolland County,Connecticut
2020-04-14,12,12,4,6,6,6,8,9,6,278,1016,9,0.2,0.0,10.4,0,62,2,Tolland County,Connecticut
2020-04-15,8,8,2,3,3,6,5,6,7,303,1013,9,0.0,0.0,11.6,-4,52,3,Tolland County,Connecticut
2020-04-16,6,6,0,-1,-1,4,3,4,9,294,1017,12,2.7,1.4,11.6,-5,60,2,Tolland County,Connecticut
2020-04-17,8,8,-2,0,0,5,3,6,8,260,1021,10,1.2,0.3,9.1,-5,58,2,Tolland County,Connecticut
2020-04-18,3,3,1,-1,-1,3,2,2,6,19,1008,9,4.8,1.4,6.7,1,96,1,Tolland County,Connecticut
2020-04-19,14,14,-1,5,5,6,7,10,9,229,1009,13,0.0,0.0,11.6,1,64,4,Tolland County,Connecticut
2020-04-20,11,11,4,5,5,6,7,9,5,33,1005,8,0.0,0.0,9.1,1,66,2,Tolland County,Connecticut
2020-04-21,11,11,0,2,2,4,5,9,11,213,1001,16,14.1,6.9,8.6,3,84,2,Tolland County,Connecticut
2020-04-22,6,6,-3,-3,-3,6,2,4,12,282,1008,17,0.0,0.0,13.8,-8,52,2,Tolland County,Connecticut
2020-04-23,12,12,-2,4,4,6,6,8,6,247,1016,9,0.0,0.0,12.2,-5,52,2,Tolland County,Connecticut
2020-04-24,6,6,3,3,3,4,4,5,5,30,1009,8,2.6,0.0,8.7,3,88,1,Tolland County,Connecticut
2020-04-25,18,18,3,10,10,4,11,13,3,266,1017,5,0.1,0.0,8.7,4,74,3,Tolland County,Connecticut
2020-04-26,8,8,4,3,3,5,6,7,9,73,1015,14,4.2,0.0,11.0,2,77,2,Tolland County,Connecticut
2020-04-27,6,6,3,0,0,3,4,5,11,14,1012,16,3.6,0.3,8.7,3,94,1,Tolland County,Connecticut
2020-04-28,12,12,2,4,4,5,6,8,6,228,1019,9,0.8,0.9,9.9,2,79,2,Tolland County,Connecticut
2020-04-29,16,16,3,8,8,5,9,13,6,135,1025,9,0.0,0.0,14.0,3,69,4,Tolland County,Connecticut
